s,t,o,h,l,c,v
ok,2024-02-28 04:30:00,30.0,30.0,30.0,30.0,425
ok,2024-02-28 09:30:00,17.0,18.56,14.0,14.0,4002
ok,2024-02-28 10:00:00,13.1,13.6,12.5,12.5,3372
ok,2024-02-28 10:30:00,12.75,12.75,12.75,12.75,100
ok,2024-02-28 11:00:00,14.0,15.67,14.0,15.61,2152
ok,2024-02-28 11:30:00,15.26,15.3,14.7,14.7,917
ok,2024-02-28 12:00:00,15.25,15.5,14.21,15.15,1690
ok,2024-02-28 12:30:00,15.4,16.41,15.3,16.36,2351
ok,2024-02-28 13:00:00,15.73,15.79,14.9,14.9,777
ok,2024-02-28 13:30:00,14.88,15.49,14.22,14.22,1627
ok,2024-02-28 14:30:00,13.7,13.7,13.7,13.7,102
ok,2024-02-28 15:00:00,13.69,13.69,13.69,13.69,215
ok,2024-02-28 15:30:00,14.2,15.5,14.2,15.5,2976
ok,2024-02-29 09:30:00,14.31,14.31,13.03,13.03,378
ok,2024-02-29 10:00:00,13.26,13.26,12.75,12.76,1249
ok,2024-02-29 10:30:00,12.5,12.5,12.5,12.5,301
ok,2024-02-29 11:00:00,12.5,12.5,11.0,11.0,313
ok,2024-02-29 11:30:00,10.1,11.43,10.1,11.43,391
ok,2024-02-29 15:00:00,12.0,12.0,12.0,12.0,100
ok,2024-02-29 15:30:00,12.01,12.48,12.0,12.38,1281
ok,2024-03-01 09:30:00,11.75,11.75,11.21,11.21,426
ok,2024-03-01 10:30:00,11.75,12.37,11.75,12.37,766
ok,2024-03-01 11:00:00,12.29,12.38,12.29,12.38,200
ok,2024-03-01 11:30:00,12.29,12.29,12.11,12.11,1600
ok,2024-03-01 12:00:00,12.15,12.15,11.54,11.54,258
ok,2024-03-01 13:30:00,11.8,11.8,11.5,11.5,815
ok,2024-03-01 14:00:00,10.77,10.8,10.77,10.8,1503
ok,2024-03-01 14:30:00,10.32,11.76,10.32,11.76,8075
ok,2024-03-01 15:00:00,11.99,12.35,10.96,11.05,12986
ok,2024-03-01 15:30:00,11.44,11.44,10.4,10.4,280
ok,2024-03-04 08:00:00,12.5,12.5,12.5,12.5,1062
ok,2024-03-04 08:30:00,12.6,12.6,12.6,12.6,1001
ok,2024-03-04 09:30:00,13.23,13.89,12.44,12.44,6723
ok,2024-03-04 10:00:00,12.0,12.91,11.2,12.65,6470
ok,2024-03-04 10:30:00,12.5,12.5,11.48,11.48,3222
ok,2024-03-04 11:00:00,11.78,11.78,11.78,11.78,500
ok,2024-03-04 11:30:00,11.99,12.42,11.95,12.42,1727
ok,2024-03-04 12:00:00,12.42,12.42,11.84,12.36,1205
ok,2024-03-04 12:30:00,12.4,12.4,12.36,12.4,1161
ok,2024-03-04 13:00:00,12.0,12.0,12.0,12.0,356
ok,2024-03-04 13:30:00,11.74,11.99,11.6,11.6,601
ok,2024-03-04 14:00:00,11.73,11.93,11.73,11.74,300
ok,2024-03-04 14:30:00,11.74,11.74,11.5,11.5,1032
ok,2024-03-04 15:00:00,11.5,11.74,11.5,11.74,340
ok,2024-03-04 15:30:00,11.54,11.99,11.54,11.59,1107
ok,2024-03-05 09:30:00,11.5,11.5,11.0,11.0,1583
ok,2024-03-05 10:00:00,11.1,11.1,11.1,11.1,170
ok,2024-03-05 10:30:00,11.0,11.0,11.0,11.0,500
ok,2024-03-05 11:30:00,11.83,11.83,11.36,11.36,454
ok,2024-03-05 12:00:00,11.91,11.91,11.91,11.91,107
ok,2024-03-05 13:30:00,11.6,11.66,11.6,11.66,350
ok,2024-03-05 15:00:00,11.9,11.9,11.9,11.9,100
ok,2024-03-05 15:30:00,11.5,11.5,11.06,11.24,2761
ok,2024-03-06 09:30:00,11.99,11.99,11.35,11.35,700
ok,2024-03-06 10:30:00,11.28,11.55,11.01,11.55,342
ok,2024-03-06 11:00:00,11.03,11.55,11.02,11.55,6567
ok,2024-03-06 11:30:00,11.8,11.8,11.8,11.8,574
ok,2024-03-06 12:00:00,11.55,11.9,11.49,11.75,2925
ok,2024-03-06 12:30:00,11.7,11.8,11.5,11.5,1100
ok,2024-03-06 13:30:00,11.6,11.99,11.3,11.3,2738
ok,2024-03-06 14:00:00,11.58,11.99,11.46,11.99,3570
ok,2024-03-06 14:30:00,11.97,11.99,11.78,11.99,6584
ok,2024-03-06 15:00:00,11.71,11.99,11.64,11.67,4939
ok,2024-03-06 15:30:00,11.75,11.75,11.56,11.75,4403
ok,2024-03-07 09:30:00,11.5,12.0,11.5,11.58,1109
ok,2024-03-07 10:00:00,11.25,11.25,11.25,11.25,100
ok,2024-03-07 12:00:00,11.39,11.39,11.39,11.39,444
ok,2024-03-07 13:00:00,11.12,11.12,11.12,11.12,271
ok,2024-03-07 14:30:00,11.12,11.12,11.1,11.1,480
ok,2024-03-07 15:30:00,10.98,10.99,10.98,10.99,1423
ok,2024-03-08 07:30:00,10.99,10.99,10.99,10.99,100
ok,2024-03-08 09:30:00,11.0,11.0,10.95,10.95,883
ok,2024-03-08 10:00:00,10.96,10.96,10.95,10.95,2396
ok,2024-03-08 10:30:00,10.95,10.95,9.0,9.99,8583
ok,2024-03-08 11:00:00,9.9,9.9,7.08,7.62,12283
ok,2024-03-08 11:30:00,7.5,7.84,7.2,7.84,6317
ok,2024-03-08 12:00:00,8.32,8.76,8.01,8.01,5765
ok,2024-03-08 12:30:00,7.62,7.96,7.52,7.96,1974
ok,2024-03-08 13:00:00,8.01,8.01,7.91,7.91,311
ok,2024-03-08 13:30:00,8.01,8.44,7.9,8.44,2032
ok,2024-03-08 14:00:00,8.45,8.45,8.45,8.45,150
ok,2024-03-08 14:30:00,8.32,8.36,7.8,8.03,1750
ok,2024-03-08 15:00:00,8.25,8.44,8.25,8.44,748
ok,2024-03-08 15:30:00,8.14,8.45,8.12,8.12,1418
ok,2024-03-08 16:00:00,8.18,8.18,8.18,8.18,153
ok,2024-03-08 17:30:00,8.45,8.45,8.45,8.45,125
