s,t,o,h,l,c,v
ok,2024-01-02 06:30:00,0.8,0.8,0.8,0.8,200
ok,2024-01-02 07:00:00,0.78,0.78,0.75,0.75,200
ok,2024-01-02 09:00:00,0.75,0.75,0.75,0.75,100
ok,2024-01-02 09:30:00,0.75,0.82,0.75,0.82,15027
ok,2024-01-02 10:00:00,0.81,0.82,0.77,0.81,3633
ok,2024-01-02 10:30:00,0.82,0.82,0.8,0.82,77736
ok,2024-01-02 11:00:00,0.82,0.82,0.81,0.82,2240
ok,2024-01-02 11:30:00,0.82,0.84,0.82,0.84,14405
ok,2024-01-02 12:00:00,0.85,0.86,0.84,0.86,1862
ok,2024-01-02 12:30:00,0.86,0.9,0.86,0.87,29928
ok,2024-01-02 13:00:00,0.89,0.89,0.86,0.87,15327
ok,2024-01-02 13:30:00,0.87,0.87,0.86,0.86,2073
ok,2024-01-02 14:00:00,0.86,0.87,0.86,0.87,500
ok,2024-01-02 14:30:00,0.87,0.87,0.87,0.87,801
ok,2024-01-02 15:00:00,0.87,0.87,0.86,0.87,7570
ok,2024-01-02 15:30:00,0.87,0.87,0.86,0.86,7514
ok,2024-01-03 09:00:00,0.81,0.82,0.81,0.81,300
ok,2024-01-03 09:30:00,0.81,0.87,0.81,0.84,3110
ok,2024-01-03 10:00:00,0.86,0.86,0.83,0.83,3804
ok,2024-01-03 10:30:00,0.83,0.83,0.83,0.83,500
ok,2024-01-03 11:00:00,0.83,0.84,0.83,0.84,1486
ok,2024-01-03 11:30:00,0.84,0.84,0.84,0.84,100
ok,2024-01-03 12:00:00,0.84,0.84,0.84,0.84,100
ok,2024-01-03 13:30:00,0.84,0.84,0.84,0.84,330
ok,2024-01-03 14:00:00,0.84,0.84,0.84,0.84,542
ok,2024-01-03 14:30:00,0.83,0.83,0.83,0.83,1631
ok,2024-01-03 15:00:00,0.83,0.83,0.81,0.83,1718
ok,2024-01-03 15:30:00,0.82,0.82,0.8,0.82,1334
ok,2024-01-03 16:30:00,0.81,0.81,0.81,0.81,147
ok,2024-01-03 19:00:00,0.84,0.84,0.84,0.84,500
ok,2024-01-04 08:30:00,0.84,0.84,0.84,0.84,200
ok,2024-01-04 09:30:00,0.85,0.87,0.85,0.85,4350
ok,2024-01-04 10:00:00,0.85,0.85,0.85,0.85,209
ok,2024-01-04 10:30:00,0.85,0.88,0.85,0.88,1885
ok,2024-01-04 11:00:00,0.88,0.89,0.87,0.87,3284
ok,2024-01-04 11:30:00,0.89,0.89,0.87,0.87,510
ok,2024-01-04 12:00:00,0.88,0.88,0.87,0.87,439
ok,2024-01-04 12:30:00,0.87,0.88,0.87,0.88,211
ok,2024-01-04 13:00:00,0.87,0.88,0.87,0.87,1316
ok,2024-01-04 13:30:00,0.87,0.87,0.87,0.87,111
ok,2024-01-04 14:00:00,0.87,0.87,0.87,0.87,218
ok,2024-01-04 14:30:00,0.87,0.88,0.87,0.88,6616
ok,2024-01-04 15:00:00,0.87,0.88,0.87,0.87,5567
ok,2024-01-04 15:30:00,0.87,0.88,0.84,0.84,8718
