s,t,o,h,l,c,v
ok,2024-01-02 06:30:00,1.3,1.3,1.3,1.3,720
ok,2024-01-02 07:00:00,1.33,1.35,1.3,1.3,1178
ok,2024-01-02 08:00:00,1.3,1.3,1.29,1.3,4078
ok,2024-01-02 08:30:00,1.3,1.3,1.3,1.3,250
ok,2024-01-02 09:00:00,1.3,1.31,1.3,1.31,2119
ok,2024-01-02 09:30:00,1.34,1.34,1.3,1.3,28936
ok,2024-01-02 10:00:00,1.32,1.33,1.31,1.33,10558
ok,2024-01-02 10:30:00,1.33,1.33,1.31,1.31,8877
ok,2024-01-02 11:00:00,1.31,1.31,1.31,1.31,2613
ok,2024-01-02 11:30:00,1.3,1.32,1.3,1.32,10944
ok,2024-01-02 12:00:00,1.32,1.32,1.31,1.31,6281
ok,2024-01-02 12:30:00,1.32,1.33,1.31,1.32,10741
ok,2024-01-02 13:00:00,1.32,1.32,1.32,1.32,9713
ok,2024-01-02 13:30:00,1.31,1.32,1.29,1.3,61811
ok,2024-01-02 14:00:00,1.3,1.31,1.29,1.29,3383
ok,2024-01-02 14:30:00,1.29,1.3,1.29,1.3,22011
ok,2024-01-02 15:00:00,1.3,1.3,1.23,1.28,137604
ok,2024-01-02 15:30:00,1.3,1.3,1.24,1.27,46181
ok,2024-01-02 16:00:00,1.28,1.28,1.25,1.28,41165
ok,2024-01-02 16:30:00,1.29,1.29,1.25,1.29,893
ok,2024-01-02 17:30:00,1.28,1.28,1.28,1.28,1645
ok,2024-01-02 18:30:00,1.26,1.26,1.26,1.26,300
ok,2024-01-02 19:00:00,1.26,1.26,1.26,1.26,4381
ok,2024-01-02 19:30:00,1.27,1.27,1.27,1.27,100
ok,2024-01-03 04:30:00,1.26,1.26,1.26,1.26,275
ok,2024-01-03 05:00:00,1.26,1.26,1.26,1.26,205
ok,2024-01-03 06:00:00,1.26,1.26,1.26,1.26,426
ok,2024-01-03 07:00:00,1.26,1.27,1.26,1.27,2557
ok,2024-01-03 07:30:00,1.27,1.27,1.27,1.27,1503
ok,2024-01-03 08:00:00,1.26,1.31,1.26,1.27,3823
ok,2024-01-03 08:30:00,1.27,1.27,1.27,1.27,200
ok,2024-01-03 09:00:00,1.27,1.27,1.26,1.26,1200
ok,2024-01-03 09:30:00,1.24,1.26,1.22,1.24,49020
ok,2024-01-03 10:00:00,1.23,1.24,1.22,1.22,20127
ok,2024-01-03 10:30:00,1.22,1.24,1.21,1.24,21749
ok,2024-01-03 11:00:00,1.25,1.25,1.22,1.23,11962
ok,2024-01-03 11:30:00,1.23,1.24,1.22,1.24,13495
ok,2024-01-03 12:00:00,1.22,1.25,1.22,1.24,9228
ok,2024-01-03 12:30:00,1.24,1.25,1.22,1.25,19564
ok,2024-01-03 13:00:00,1.24,1.25,1.22,1.22,8557
ok,2024-01-03 13:30:00,1.22,1.24,1.22,1.23,8446
ok,2024-01-03 14:00:00,1.24,1.24,1.21,1.21,39228
