s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,1.58,1.58,1.58,1.58,291
ok,2024-01-02 09:00:00,1.59,1.59,1.59,1.59,800
ok,2024-01-02 09:30:00,1.48,1.55,1.47,1.55,12006
ok,2024-01-02 10:00:00,1.56,1.58,1.54,1.56,16747
ok,2024-01-02 10:30:00,1.55,1.55,1.55,1.55,1100
ok,2024-01-02 11:00:00,1.55,1.59,1.55,1.59,5142
ok,2024-01-02 11:30:00,1.59,1.62,1.59,1.62,5720
ok,2024-01-02 12:00:00,1.63,1.69,1.63,1.69,2470
ok,2024-01-02 12:30:00,1.67,1.68,1.65,1.68,2593
ok,2024-01-02 13:00:00,1.67,1.67,1.63,1.63,4413
ok,2024-01-02 13:30:00,1.64,1.64,1.64,1.64,2000
ok,2024-01-02 14:00:00,1.64,1.69,1.6,1.65,25889
ok,2024-01-02 14:30:00,1.65,1.69,1.63,1.68,13326
ok,2024-01-02 15:00:00,1.68,1.68,1.66,1.68,10031
ok,2024-01-02 15:30:00,1.67,1.67,1.64,1.67,7918
ok,2024-01-02 18:00:00,1.6,1.62,1.6,1.62,364
ok,2024-01-03 07:00:00,1.67,1.67,1.67,1.67,659
ok,2024-01-03 07:30:00,1.59,1.59,1.59,1.59,554
ok,2024-01-03 08:00:00,1.59,1.59,1.59,1.59,100
ok,2024-01-03 09:30:00,1.6,1.6,1.56,1.58,6845
ok,2024-01-03 10:00:00,1.57,1.59,1.57,1.58,3626
ok,2024-01-03 10:30:00,1.58,1.65,1.58,1.65,2257
ok,2024-01-03 11:00:00,1.65,1.65,1.65,1.65,1182
ok,2024-01-03 11:30:00,1.65,1.66,1.65,1.65,1530
ok,2024-01-03 12:00:00,1.66,1.67,1.65,1.65,2497
ok,2024-01-03 12:30:00,1.66,1.66,1.65,1.65,204
ok,2024-01-03 13:00:00,1.65,1.68,1.65,1.67,5169
ok,2024-01-03 13:30:00,1.67,1.67,1.66,1.66,1285
ok,2024-01-03 14:00:00,1.66,1.67,1.66,1.67,684
ok,2024-01-03 14:30:00,1.66,1.68,1.66,1.66,5003
ok,2024-01-03 15:00:00,1.68,1.71,1.67,1.69,10127
ok,2024-01-03 15:30:00,1.69,1.71,1.66,1.7,28140
ok,2024-01-04 08:00:00,1.62,1.63,1.62,1.62,485
ok,2024-01-04 09:30:00,1.67,1.68,1.66,1.68,3904
ok,2024-01-04 10:00:00,1.66,1.69,1.66,1.68,15420
ok,2024-01-04 10:30:00,1.67,1.67,1.65,1.66,4656
ok,2024-01-04 11:00:00,1.65,1.68,1.65,1.66,1495
ok,2024-01-04 11:30:00,1.66,1.66,1.64,1.65,10232
ok,2024-01-04 12:00:00,1.66,1.67,1.63,1.66,7232
ok,2024-01-04 12:30:00,1.65,1.66,1.65,1.66,1777
ok,2024-01-04 13:30:00,1.66,1.66,1.63,1.63,2428
