s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,3.49,3.49,3.49,3.49,432
ok,2024-01-02 05:30:00,3.33,3.33,3.33,3.33,100
ok,2024-01-02 06:30:00,3.32,3.32,3.31,3.31,222
ok,2024-01-02 08:00:00,3.38,3.38,3.33,3.35,2901
ok,2024-01-02 08:30:00,3.33,3.33,3.32,3.32,2003
ok,2024-01-02 09:00:00,3.32,3.34,3.32,3.34,1712
ok,2024-01-02 09:30:00,3.33,3.44,3.19,3.31,30224
ok,2024-01-02 10:00:00,3.39,3.45,3.3,3.34,17719
ok,2024-01-02 10:30:00,3.36,3.42,3.3,3.42,23061
ok,2024-01-02 11:00:00,3.42,3.46,3.42,3.43,3837
ok,2024-01-02 11:30:00,3.43,3.5,3.41,3.46,6523
ok,2024-01-02 12:00:00,3.44,3.59,3.41,3.52,35522
ok,2024-01-02 12:30:00,3.56,3.6,3.51,3.59,9264
ok,2024-01-02 13:00:00,3.57,3.57,3.4,3.46,4975
ok,2024-01-02 13:30:00,3.47,3.47,3.45,3.45,1000
ok,2024-01-02 14:00:00,3.45,3.5,3.4,3.44,4978
ok,2024-01-02 14:30:00,3.44,3.54,3.39,3.43,5676
ok,2024-01-02 15:00:00,3.44,3.49,3.34,3.4,15660
ok,2024-01-02 15:30:00,3.44,3.44,3.41,3.44,5685
ok,2024-01-02 16:30:00,3.48,3.48,3.47,3.48,7500
ok,2024-01-02 17:00:00,3.46,3.46,3.45,3.45,300
ok,2024-01-03 05:00:00,3.44,3.44,3.44,3.44,424
ok,2024-01-03 05:30:00,3.44,3.44,3.44,3.44,100
ok,2024-01-03 06:00:00,3.44,3.44,3.44,3.44,297
ok,2024-01-03 07:00:00,3.46,3.46,3.45,3.45,2650
ok,2024-01-03 07:30:00,3.44,3.44,3.44,3.44,445
ok,2024-01-03 08:00:00,3.45,3.45,3.45,3.45,128
ok,2024-01-03 08:30:00,3.42,3.42,3.41,3.41,1031
ok,2024-01-03 09:00:00,3.4,3.4,3.4,3.4,268
ok,2024-01-03 09:30:00,3.47,3.47,3.25,3.34,16805
ok,2024-01-03 10:00:00,3.38,3.38,3.2,3.25,8900
ok,2024-01-03 10:30:00,3.2,3.22,3.13,3.17,4166
ok,2024-01-03 11:00:00,3.14,3.3,3.14,3.17,7145
ok,2024-01-03 11:30:00,3.17,3.29,3.17,3.19,8326
ok,2024-01-03 12:00:00,3.17,3.25,3.13,3.13,9144
ok,2024-01-03 12:30:00,3.16,3.16,3.13,3.16,4874
ok,2024-01-03 13:00:00,3.16,3.16,3.11,3.15,2492
ok,2024-01-03 13:30:00,3.12,3.16,3.1,3.16,8389
ok,2024-01-03 14:00:00,3.16,3.4,3.16,3.36,18610
