s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,10.0,10.0,9.86,9.86,319
ok,2024-01-02 10:00:00,9.57,9.99,9.57,9.99,523
ok,2024-01-02 11:30:00,9.55,9.65,9.5,9.5,5304
ok,2024-01-02 12:00:00,9.5,9.61,9.26,9.6,2027
ok,2024-01-02 13:00:00,9.5,9.6,9.26,9.39,801
ok,2024-01-02 13:30:00,9.58,9.79,9.58,9.79,300
ok,2024-01-02 14:00:00,9.77,9.77,9.77,9.77,101
ok,2024-01-02 15:00:00,9.66,9.66,9.66,9.66,447
ok,2024-01-02 15:30:00,9.5,9.5,9.3,9.3,279
ok,2024-01-03 09:30:00,9.58,9.58,9.25,9.41,1056
ok,2024-01-03 10:00:00,9.42,9.51,9.05,9.15,3439
ok,2024-01-03 10:30:00,9.03,9.03,8.65,8.83,5873
ok,2024-01-03 11:00:00,8.57,8.72,8.55,8.71,1336
ok,2024-01-03 11:30:00,8.58,8.71,8.56,8.56,1320
ok,2024-01-03 12:00:00,8.62,8.7,8.51,8.55,1885
ok,2024-01-03 12:30:00,8.55,8.76,8.4,8.4,1901
ok,2024-01-03 13:00:00,8.5,8.5,8.4,8.49,3070
ok,2024-01-03 13:30:00,8.46,8.46,8.4,8.43,964
ok,2024-01-03 14:00:00,8.44,8.5,8.44,8.5,430
ok,2024-01-03 14:30:00,8.59,8.59,8.55,8.56,516
ok,2024-01-03 15:00:00,8.58,8.72,8.46,8.46,904
ok,2024-01-03 15:30:00,8.46,8.68,8.44,8.52,640
ok,2024-01-04 09:30:00,8.89,8.89,8.53,8.7,587
ok,2024-01-04 10:00:00,8.45,8.71,8.33,8.33,2315
ok,2024-01-04 10:30:00,8.33,8.34,7.76,7.92,2587
ok,2024-01-04 11:00:00,7.78,7.93,7.78,7.86,609
ok,2024-01-04 11:30:00,7.86,7.87,7.76,7.82,2553
ok,2024-01-04 12:00:00,7.76,7.81,7.56,7.61,4992
ok,2024-01-04 12:30:00,7.51,7.54,7.32,7.46,1855
ok,2024-01-04 13:00:00,7.36,7.44,7.26,7.26,834
ok,2024-01-04 13:30:00,7.31,7.35,7.26,7.35,5370
ok,2024-01-04 14:00:00,7.75,8.37,7.66,8.34,6336
ok,2024-01-04 14:30:00,8.37,8.5,8.13,8.13,3155
ok,2024-01-04 15:00:00,8.13,8.44,8.13,8.16,1710
ok,2024-01-04 15:30:00,8.16,8.49,8.16,8.23,7022
ok,2024-01-05 09:30:00,8.19,8.28,7.5,7.5,7326
ok,2024-01-05 10:00:00,7.5,8.5,7.5,8.49,11812
ok,2024-01-05 10:30:00,8.52,8.57,8.21,8.21,2603
ok,2024-01-05 11:00:00,8.1,8.52,8.1,8.39,1067
ok,2024-01-05 11:30:00,8.27,8.38,8.06,8.06,4087
ok,2024-01-05 12:00:00,8.08,8.08,7.83,8.0,4893
ok,2024-01-05 12:30:00,8.0,8.42,7.9,8.05,3244
ok,2024-01-05 13:00:00,8.1,8.1,7.95,7.95,902
ok,2024-01-05 13:30:00,8.0,8.34,7.82,8.21,1107
ok,2024-01-05 14:00:00,8.21,8.32,8.02,8.06,3896
ok,2024-01-05 14:30:00,8.08,8.28,8.01,8.28,1641
ok,2024-01-05 15:00:00,8.16,8.31,7.75,7.9,6713
ok,2024-01-05 15:30:00,7.89,8.16,7.55,8.09,2165
ok,2024-01-05 16:00:00,8.09,8.09,8.09,8.09,410
ok,2024-01-08 09:30:00,8.15,8.15,7.77,8.01,2367
ok,2024-01-08 10:00:00,7.81,7.99,7.7,7.71,1555
ok,2024-01-08 10:30:00,7.71,7.79,7.5,7.5,1505
ok,2024-01-08 11:00:00,7.51,7.76,7.5,7.55,2420
ok,2024-01-08 11:30:00,7.51,7.6,7.5,7.5,1451
ok,2024-01-08 12:00:00,7.5,7.52,7.5,7.52,920
ok,2024-01-08 12:30:00,7.52,7.6,7.4,7.54,3701
ok,2024-01-08 13:00:00,7.41,7.72,7.41,7.57,3360
ok,2024-01-08 13:30:00,7.51,8.0,7.41,7.75,33398
ok,2024-01-08 14:00:00,7.56,7.97,7.56,7.78,1601
ok,2024-01-08 14:30:00,7.56,8.0,7.56,7.57,7649
ok,2024-01-08 15:00:00,7.78,7.99,7.64,7.7,3855
ok,2024-01-08 15:30:00,7.62,7.78,7.55,7.6,4123
ok,2024-01-08 17:30:00,7.99,7.99,7.6,7.6,642
ok,2024-01-09 09:30:00,7.36,7.42,7.36,7.42,883
ok,2024-01-09 10:00:00,7.42,7.7,7.42,7.54,2990
ok,2024-01-09 10:30:00,7.56,7.94,7.37,7.37,4889
ok,2024-01-09 11:00:00,7.36,7.6,7.36,7.38,2434
ok,2024-01-09 11:30:00,7.38,7.72,7.2,7.2,24672
ok,2024-01-09 12:00:00,7.18,7.55,7.06,7.22,2147
ok,2024-01-09 12:30:00,7.49,7.49,6.9,7.04,5948
ok,2024-01-09 13:00:00,6.85,6.9,6.71,6.86,3883
ok,2024-01-09 13:30:00,6.9,7.02,6.9,6.9,1375
ok,2024-01-09 14:00:00,6.9,6.9,6.79,6.86,3884
ok,2024-01-09 14:30:00,6.71,6.87,6.7,6.72,2009
ok,2024-01-09 15:00:00,6.71,7.04,6.71,6.88,4624
ok,2024-01-09 15:30:00,6.89,7.02,6.84,7.02,2402
ok,2024-01-09 16:00:00,7.19,7.19,7.19,7.19,200
ok,2024-01-10 09:30:00,7.12,7.35,6.66,6.66,1863
ok,2024-01-10 10:00:00,6.68,6.71,6.65,6.65,727
ok,2024-01-10 10:30:00,6.65,6.65,6.11,6.11,2098
ok,2024-01-10 11:00:00,6.53,6.65,6.33,6.5,2612
ok,2024-01-10 11:30:00,6.13,6.5,6.12,6.12,3609
ok,2024-01-10 12:00:00,6.14,6.49,6.14,6.16,1600
ok,2024-01-10 12:30:00,6.15,6.43,6.15,6.18,1120
ok,2024-01-10 13:00:00,6.18,6.35,6.18,6.35,1297
ok,2024-01-10 13:30:00,6.34,6.43,6.26,6.27,2082
ok,2024-01-10 14:00:00,6.26,6.35,6.25,6.25,1147
ok,2024-01-10 14:30:00,6.25,6.26,6.25,6.26,1925
ok,2024-01-10 15:00:00,6.26,6.32,6.26,6.26,985
ok,2024-01-10 15:30:00,6.26,6.52,6.26,6.34,2886
ok,2024-01-10 16:00:00,6.23,6.23,6.23,6.23,100
ok,2024-01-11 09:30:00,6.43,6.43,6.08,6.21,4104
ok,2024-01-11 10:00:00,6.09,6.14,5.72,5.94,11339
ok,2024-01-11 10:30:00,5.96,5.96,5.75,5.75,2911
ok,2024-01-11 11:00:00,5.75,5.75,5.18,5.2,8169
ok,2024-01-11 11:30:00,5.25,5.38,5.17,5.37,8233
ok,2024-01-11 12:00:00,5.37,5.49,5.25,5.4,6334
ok,2024-01-11 12:30:00,5.4,5.43,5.3,5.33,4661
ok,2024-01-11 13:00:00,5.31,5.37,5.02,5.03,4816
ok,2024-01-11 13:30:00,5.02,5.23,5.0,5.06,8360
ok,2024-01-11 14:00:00,5.06,5.13,4.94,4.97,9421
ok,2024-01-11 14:30:00,4.97,5.19,4.95,5.02,17010
ok,2024-01-11 15:00:00,5.01,5.35,5.0,5.09,9587
ok,2024-01-11 15:30:00,5.09,5.24,4.94,5.04,15754
ok,2024-01-11 16:00:00,5.05,5.05,4.98,4.98,510
ok,2024-01-11 16:30:00,4.98,4.98,4.98,4.98,200
ok,2024-01-11 17:00:00,5.06,5.08,4.98,5.08,1098
ok,2024-01-11 17:30:00,5.05,5.05,5.05,5.05,100
ok,2024-01-11 18:00:00,4.99,4.99,4.99,4.99,300
ok,2024-01-11 18:30:00,5.0,5.0,4.99,4.99,200
ok,2024-01-12 07:00:00,4.95,4.95,4.95,4.95,201
ok,2024-01-12 08:30:00,4.96,4.96,4.96,4.96,158
ok,2024-01-12 09:00:00,4.95,4.95,4.95,4.95,150
ok,2024-01-12 09:30:00,5.15,5.27,4.95,4.96,4783
ok,2024-01-12 10:00:00,4.99,4.99,4.8,4.82,2605
ok,2024-01-12 10:30:00,4.89,4.89,4.62,4.72,9162
ok,2024-01-12 11:00:00,4.68,4.84,4.43,4.51,17655
ok,2024-01-12 11:30:00,4.52,4.72,4.48,4.48,5345
ok,2024-01-12 12:00:00,4.47,4.59,4.47,4.59,1825
ok,2024-01-12 12:30:00,4.58,4.69,4.48,4.64,3708
ok,2024-01-12 13:00:00,4.5,4.63,4.41,4.43,2027
ok,2024-01-12 13:30:00,4.52,4.6,4.44,4.47,1406
ok,2024-01-12 14:00:00,4.46,4.57,4.46,4.49,1996
ok,2024-01-12 14:30:00,4.48,4.48,4.3,4.31,4739
ok,2024-01-12 15:00:00,4.31,4.5,4.27,4.36,3201
ok,2024-01-12 15:30:00,4.3,4.59,4.29,4.33,15105
ok,2024-01-12 18:30:00,4.4,4.4,4.38,4.38,291
ok,2024-01-12 19:00:00,4.38,4.38,4.38,4.38,100
ok,2024-01-12 19:30:00,4.58,4.58,4.58,4.58,100
ok,2024-01-16 09:30:00,4.82,4.82,4.29,4.31,5354
ok,2024-01-16 10:00:00,4.31,4.59,4.25,4.35,10473
ok,2024-01-16 10:30:00,4.27,4.39,4.16,4.16,2430
ok,2024-01-16 11:00:00,4.16,4.16,4.11,4.15,826
ok,2024-01-16 11:30:00,4.16,4.24,4.02,4.05,4701
ok,2024-01-16 12:00:00,4.03,4.23,4.03,4.03,2040
ok,2024-01-16 12:30:00,4.03,4.14,4.02,4.09,3807
ok,2024-01-16 13:00:00,4.01,4.18,4.0,4.01,9549
ok,2024-01-16 13:30:00,4.0,4.09,3.76,3.89,8019
ok,2024-01-16 14:00:00,3.84,4.01,3.84,4.01,953
ok,2024-01-16 14:30:00,3.88,4.0,3.88,3.91,4357
ok,2024-01-16 15:00:00,3.93,4.01,3.91,3.92,1112
ok,2024-01-16 15:30:00,3.96,4.15,3.96,4.15,15212
ok,2024-01-17 09:30:00,4.11,4.12,3.75,3.99,218697
ok,2024-01-17 10:00:00,4.0,4.16,4.0,4.15,1520
ok,2024-01-17 10:30:00,4.28,4.86,4.24,4.76,53928
ok,2024-01-17 11:00:00,4.8,6.1,4.6,5.44,377071
ok,2024-01-17 11:30:00,5.46,5.46,4.8,4.97,190954
ok,2024-01-17 12:00:00,5.03,5.14,4.63,4.9,96464
ok,2024-01-17 12:30:00,4.9,4.95,4.55,4.75,34879
ok,2024-01-17 13:00:00,4.88,5.15,4.75,5.12,40308
ok,2024-01-17 13:30:00,5.0,5.6,5.0,5.27,135834
ok,2024-01-17 14:00:00,5.35,5.5,5.07,5.08,37572
ok,2024-01-17 14:30:00,5.1,5.35,4.8,4.82,36318
ok,2024-01-17 15:00:00,4.83,5.09,4.82,4.85,28887
ok,2024-01-17 15:30:00,4.82,4.86,4.29,4.73,70080
ok,2024-01-17 16:00:00,4.87,4.87,4.33,4.52,880
ok,2024-01-17 16:30:00,4.56,4.56,4.52,4.52,825
ok,2024-01-17 17:00:00,4.87,4.87,4.87,4.87,479
ok,2024-01-17 17:30:00,4.9,5.08,4.73,4.73,729
ok,2024-01-17 18:30:00,4.85,4.85,4.85,4.85,100
ok,2024-01-18 04:30:00,4.25,4.25,4.25,4.25,380
