s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,3.3,3.33,3.11,3.28,3542
ok,2024-01-02 10:00:00,3.19,3.19,3.14,3.14,4202
ok,2024-01-02 10:30:00,3.18,3.24,3.15,3.21,4096
ok,2024-01-02 11:00:00,3.18,3.24,3.18,3.18,5369
ok,2024-01-02 11:30:00,3.19,3.19,3.19,3.19,400
ok,2024-01-02 12:00:00,3.15,3.16,3.13,3.16,2255
ok,2024-01-02 12:30:00,3.16,3.16,3.13,3.16,5761
ok,2024-01-02 13:30:00,3.14,3.14,3.14,3.14,221
ok,2024-01-02 14:00:00,3.2,3.2,3.2,3.2,1100
ok,2024-01-02 14:30:00,3.17,3.18,3.16,3.16,907
ok,2024-01-02 15:00:00,3.15,3.32,3.15,3.32,7765
ok,2024-01-02 15:30:00,3.3,3.35,3.18,3.19,14897
ok,2024-01-02 16:00:00,3.19,3.19,3.19,3.19,1012
ok,2024-01-02 16:30:00,3.16,3.16,3.13,3.13,465
ok,2024-01-03 08:30:00,3.39,3.39,3.0,3.01,16630
ok,2024-01-03 09:00:00,3.31,3.43,3.2,3.29,8249
ok,2024-01-03 09:30:00,3.21,3.36,3.04,3.2,20283
ok,2024-01-03 10:00:00,3.15,3.25,3.11,3.19,12547
ok,2024-01-03 10:30:00,3.12,3.24,3.12,3.24,47012
ok,2024-01-03 11:00:00,3.18,3.25,3.13,3.18,66830
ok,2024-01-03 11:30:00,3.2,3.22,2.92,3.01,86044
ok,2024-01-03 12:00:00,3.06,3.06,2.92,3.0,10747
ok,2024-01-03 12:30:00,2.97,3.07,2.85,2.9,21361
ok,2024-01-03 13:00:00,2.9,3.03,2.87,2.92,12547
ok,2024-01-03 13:30:00,2.92,2.95,2.86,2.91,9537
ok,2024-01-03 14:00:00,2.95,2.95,2.95,2.95,1200
ok,2024-01-03 14:30:00,2.9,2.91,2.87,2.89,2677
ok,2024-01-03 15:00:00,2.89,2.92,2.86,2.86,9360
ok,2024-01-03 15:30:00,2.85,2.89,2.77,2.8,27331
ok,2024-01-03 16:00:00,2.78,2.78,2.78,2.78,361
ok,2024-01-03 16:30:00,2.77,2.96,2.74,2.8,8443
ok,2024-01-03 17:00:00,2.8,2.82,2.77,2.77,1110
ok,2024-01-03 18:30:00,2.85,2.85,2.77,2.77,1307
ok,2024-01-04 09:30:00,2.8,2.94,2.7,2.85,13686
ok,2024-01-04 10:00:00,2.82,2.9,2.78,2.78,5229
ok,2024-01-04 10:30:00,2.78,2.84,2.78,2.79,2595
ok,2024-01-04 11:00:00,2.78,2.78,2.71,2.71,4761
ok,2024-01-04 11:30:00,2.74,2.74,2.66,2.66,12450
ok,2024-01-04 12:00:00,2.61,2.64,2.55,2.61,14728
ok,2024-01-04 12:30:00,2.56,2.65,2.56,2.65,4452
ok,2024-01-04 13:00:00,2.65,2.8,2.59,2.71,20418
ok,2024-01-04 13:30:00,2.7,2.72,2.62,2.72,2603
ok,2024-01-04 14:00:00,2.71,2.71,2.7,2.7,1877
ok,2024-01-04 14:30:00,2.7,2.7,2.7,2.7,4604
ok,2024-01-04 15:00:00,2.7,2.7,2.61,2.61,5203
ok,2024-01-04 15:30:00,2.64,2.65,2.6,2.61,12740
ok,2024-01-04 16:00:00,2.73,2.73,2.73,2.73,190
ok,2024-01-04 16:30:00,2.73,2.73,2.73,2.73,100
ok,2024-01-05 07:00:00,2.53,2.53,2.51,2.51,280
ok,2024-01-05 09:30:00,2.57,2.72,2.57,2.68,1727
ok,2024-01-05 10:00:00,2.66,2.67,2.66,2.67,2000
ok,2024-01-05 10:30:00,2.64,2.64,2.63,2.63,2334
ok,2024-01-05 11:00:00,2.62,2.68,2.62,2.68,4100
ok,2024-01-05 11:30:00,2.67,2.68,2.63,2.64,4850
ok,2024-01-05 12:00:00,2.64,2.65,2.62,2.62,1890
ok,2024-01-05 12:30:00,2.63,2.63,2.63,2.63,100
ok,2024-01-05 13:00:00,2.64,2.65,2.62,2.65,1145
ok,2024-01-05 13:30:00,2.62,2.62,2.56,2.58,3800
ok,2024-01-05 14:00:00,2.6,2.6,2.6,2.6,201
ok,2024-01-05 14:30:00,2.6,2.6,2.6,2.6,293
