s,t,o,h,l,c,v
ok,2024-02-09 04:00:00,2.5,2.5,2.45,2.45,4747
ok,2024-02-09 04:30:00,2.25,2.26,2.25,2.26,501
ok,2024-02-09 05:00:00,1.81,2.03,1.75,1.98,1232
ok,2024-02-09 05:30:00,1.96,1.96,1.79,1.79,3186
ok,2024-02-09 06:00:00,1.69,1.69,1.14,1.63,3486
ok,2024-02-09 06:30:00,1.59,2.0,1.59,2.0,1677
ok,2024-02-09 07:00:00,2.0,2.0,1.63,1.63,9664
ok,2024-02-09 07:30:00,1.88,1.88,1.6,1.72,4527
ok,2024-02-09 08:00:00,1.68,1.7,1.45,1.6,12743
ok,2024-02-09 08:30:00,1.68,1.7,1.55,1.61,17648
ok,2024-02-09 09:00:00,1.6,1.64,1.58,1.63,15273
ok,2024-02-09 09:30:00,1.6,1.63,1.06,1.18,162316
ok,2024-02-09 10:00:00,1.24,1.39,1.2,1.28,121319
ok,2024-02-09 10:30:00,1.29,1.38,1.25,1.29,56349
ok,2024-02-09 11:00:00,1.29,1.37,1.21,1.23,32914
ok,2024-02-09 11:30:00,1.24,1.32,1.23,1.25,16266
ok,2024-02-09 12:00:00,1.24,1.27,1.2,1.22,26541
ok,2024-02-09 12:30:00,1.19,1.21,1.14,1.14,15206
ok,2024-02-09 13:00:00,1.14,1.15,1.1,1.11,46332
ok,2024-02-09 13:30:00,1.12,1.2,1.1,1.16,44246
ok,2024-02-09 14:00:00,1.16,1.2,1.13,1.16,22397
ok,2024-02-09 14:30:00,1.16,1.23,1.12,1.13,39131
ok,2024-02-09 15:00:00,1.15,1.24,1.09,1.24,78610
ok,2024-02-09 15:30:00,1.22,1.34,1.19,1.31,154143
ok,2024-02-09 16:00:00,1.33,1.6,1.24,1.28,80022
ok,2024-02-09 16:30:00,1.27,1.44,1.25,1.39,36931
ok,2024-02-09 17:00:00,1.33,1.38,1.33,1.37,10426
ok,2024-02-09 17:30:00,1.39,1.41,1.35,1.36,12476
ok,2024-02-09 18:00:00,1.41,1.44,1.3,1.3,12908
ok,2024-02-09 18:30:00,1.37,1.42,1.32,1.41,5540
ok,2024-02-09 19:00:00,1.38,1.38,1.3,1.3,3860
ok,2024-02-09 19:30:00,1.3,1.32,1.27,1.31,15894
ok,2024-02-12 04:00:00,1.45,2.6,1.4,1.99,1410830
ok,2024-02-12 04:30:00,2.0,2.39,2.0,2.04,865224
ok,2024-02-12 05:00:00,2.06,2.58,2.06,2.39,1063904
ok,2024-02-12 05:30:00,2.37,3.99,2.37,3.28,2329879
ok,2024-02-12 06:00:00,3.27,3.78,3.12,3.23,1069355
ok,2024-02-12 06:30:00,3.22,3.74,3.19,3.58,1251814
ok,2024-02-12 07:00:00,3.58,3.66,2.96,2.98,1450588
ok,2024-02-12 07:30:00,2.98,3.14,2.78,2.89,957628
ok,2024-02-12 08:00:00,3.22,3.6,2.32,2.41,1077375
ok,2024-02-12 08:30:00,2.42,2.65,2.25,2.37,993200
ok,2024-02-12 09:00:00,2.38,2.41,2.04,2.14,957285
ok,2024-02-12 09:30:00,2.09,2.55,1.98,2.3,4782454
ok,2024-02-12 10:00:00,2.3,3.29,2.15,2.59,6930817
ok,2024-02-12 10:30:00,2.6,2.61,2.16,2.34,2545369
ok,2024-02-12 11:00:00,2.35,2.51,2.17,2.24,1884824
ok,2024-02-12 11:30:00,2.24,2.35,2.06,2.18,1893824
ok,2024-02-12 12:00:00,2.19,2.3,2.15,2.26,728834
ok,2024-02-12 12:30:00,2.28,2.29,2.07,2.1,555830
ok,2024-02-12 13:00:00,2.1,2.11,1.71,1.88,1207826
ok,2024-02-12 13:30:00,1.88,2.0,1.82,1.89,403194
ok,2024-02-12 14:00:00,1.89,1.92,1.75,1.78,244689
ok,2024-02-12 14:30:00,1.8,1.89,1.75,1.87,101073
ok,2024-02-12 15:00:00,1.87,1.87,1.7,1.7,156407
ok,2024-02-12 15:30:00,1.7,1.77,1.56,1.58,432949
ok,2024-02-12 16:00:00,1.56,1.75,1.49,1.65,76457
ok,2024-02-12 16:30:00,1.65,1.66,1.57,1.61,37406
ok,2024-02-12 17:00:00,1.65,1.65,1.61,1.63,6114
ok,2024-02-12 17:30:00,1.63,1.68,1.63,1.64,8160
ok,2024-02-12 18:00:00,1.67,1.72,1.65,1.72,7815
ok,2024-02-12 18:30:00,1.7,1.72,1.68,1.7,17193
ok,2024-02-12 19:00:00,1.74,1.75,1.68,1.68,15159
ok,2024-02-12 19:30:00,1.68,1.75,1.68,1.75,17573
ok,2024-02-13 04:00:00,1.88,2.25,1.82,1.95,219577
ok,2024-02-13 04:30:00,1.91,2.22,1.91,2.02,127794
ok,2024-02-13 05:00:00,1.96,2.09,1.89,1.93,67495
ok,2024-02-13 05:30:00,1.93,1.99,1.83,1.9,43688
ok,2024-02-13 06:00:00,1.86,1.86,1.56,1.6,97360
ok,2024-02-13 06:30:00,1.6,1.77,1.6,1.73,20539
ok,2024-02-13 07:00:00,1.74,1.74,1.6,1.6,43198
ok,2024-02-13 07:30:00,1.61,1.67,1.6,1.61,37437
ok,2024-02-13 08:00:00,1.72,2.02,1.6,1.65,120842
ok,2024-02-13 08:30:00,1.65,1.67,1.62,1.65,40524
ok,2024-02-13 09:00:00,1.65,1.9,1.62,1.72,73198
ok,2024-02-13 09:30:00,1.6,1.84,1.6,1.65,271816
ok,2024-02-13 10:00:00,1.67,1.82,1.64,1.79,113430
ok,2024-02-13 10:30:00,1.78,1.78,1.65,1.65,80922
