s,t,o,h,l,c,v
ok,2024-03-26 03:00:00,55.0,60.95,54.0,59.75,80667
ok,2024-03-26 03:30:00,59.55,59.6,56.3,58.88,42151
ok,2024-03-26 04:00:00,58.6,60.0,58.5,59.12,38091
ok,2024-03-26 04:30:00,59.48,60.5,59.25,59.99,80021
ok,2024-03-26 05:00:00,59.99,65.0,59.98,65.0,117862
ok,2024-03-26 05:30:00,65.0,65.0,55.57,57.61,263289
ok,2024-03-26 06:00:00,57.61,59.0,51.5,54.4,287768
ok,2024-03-26 06:30:00,54.97,64.1,54.97,61.97,507314
ok,2024-03-26 07:00:00,58.52,64.94,52.06,62.0,961963
ok,2024-03-26 07:30:00,62.02,65.0,58.55,61.31,858341
ok,2024-03-26 08:00:00,61.35,71.8,61.17,70.82,1636322
ok,2024-03-26 08:30:00,70.9,79.38,65.98,72.84,11391852
ok,2024-03-26 09:00:00,73.05,74.21,68.0,71.06,5366620
ok,2024-03-26 09:30:00,71.08,73.61,69.0,70.57,3173764
ok,2024-03-26 10:00:00,70.56,70.8,66.1,69.48,2933571
ok,2024-03-26 10:30:00,69.33,69.7,63.62,66.6,2681482
ok,2024-03-26 11:00:00,66.6,69.26,65.5,69.26,1718460
ok,2024-03-26 11:30:00,69.3,72.36,69.01,72.3,2769893
ok,2024-03-26 12:00:00,72.26,74.0,69.59,71.34,2254500
ok,2024-03-26 12:30:00,71.32,74.96,71.27,74.79,2304432
ok,2024-03-26 13:00:00,74.74,75.0,72.1,74.66,2015735
ok,2024-03-26 13:30:00,74.52,76.0,67.5,72.09,3251458
ok,2024-03-26 14:00:00,72.09,72.5,65.67,66.36,2884091
ok,2024-03-26 14:30:00,66.32,66.5,57.25,58.0,5838173
ok,2024-03-26 15:00:00,57.99,59.49,56.2,57.68,545553
ok,2024-03-26 15:30:00,57.59,58.38,56.77,57.92,247831
ok,2024-03-26 16:00:00,57.85,60.61,57.85,60.61,313527
ok,2024-03-26 16:30:00,60.59,63.4,60.1,61.57,480577
ok,2024-03-26 17:00:00,61.6,62.6,61.5,61.75,139182
ok,2024-03-26 17:30:00,61.52,62.9,61.52,62.01,112639
ok,2024-03-26 18:00:00,62.15,62.21,61.0,61.03,92881
ok,2024-03-26 18:30:00,61.0,61.5,60.5,61.35,104800
ok,2024-03-27 03:00:00,63.06,65.0,62.6,64.46,59856
ok,2024-03-27 03:30:00,64.46,64.82,63.6,64.17,50085
ok,2024-03-27 04:00:00,64.18,65.47,63.67,64.27,77603
ok,2024-03-27 04:30:00,64.5,66.0,64.3,65.13,55472
ok,2024-03-27 05:00:00,65.29,67.06,65.2,66.76,90296
ok,2024-03-27 05:30:00,66.7,66.7,64.94,65.2,73835
ok,2024-03-27 06:00:00,65.24,66.0,63.25,65.4,336016
ok,2024-03-27 06:30:00,65.41,67.21,64.95,66.85,244803
ok,2024-03-27 07:00:00,65.6,67.61,62.52,67.29,651824
ok,2024-03-27 07:30:00,67.3,70.77,67.0,70.73,972140
ok,2024-03-27 08:00:00,70.7,72.4,68.01,70.65,1466744
ok,2024-03-27 08:30:00,70.81,71.93,63.5,64.5,7400384
ok,2024-03-27 09:00:00,64.51,67.36,62.3,66.74,3544549
ok,2024-03-27 09:30:00,66.78,67.2,63.43,65.89,2145390
ok,2024-03-27 10:00:00,66.0,67.14,64.52,67.11,1327258
ok,2024-03-27 10:30:00,67.15,69.3,66.55,68.09,2452696
ok,2024-03-27 11:00:00,68.1,69.14,67.12,67.6,1359411
ok,2024-03-27 11:30:00,67.55,67.65,65.51,66.8,1154512
ok,2024-03-27 12:00:00,66.79,68.26,66.51,66.76,1366497
ok,2024-03-27 12:30:00,66.83,69.0,65.74,66.7,1576529
ok,2024-03-27 13:00:00,66.96,67.19,65.0,66.49,1173671
ok,2024-03-27 13:30:00,66.31,66.68,64.64,64.99,885448
ok,2024-03-27 14:00:00,65.2,66.49,63.74,64.72,1586767
ok,2024-03-27 14:30:00,64.72,66.9,64.6,66.2,1943328
ok,2024-03-27 15:00:00,66.2,67.71,65.3,65.35,246723
ok,2024-03-27 15:30:00,65.65,66.6,65.65,66.3,57886
ok,2024-03-27 16:00:00,66.31,66.31,65.33,65.33,52276
ok,2024-03-27 16:30:00,65.5,66.37,65.31,66.02,40577
ok,2024-03-27 17:00:00,66.0,66.2,65.71,66.15,23617
ok,2024-03-27 17:30:00,66.15,66.2,65.75,65.9,30988
ok,2024-03-27 18:00:00,65.84,65.9,65.0,65.85,40274
ok,2024-03-27 18:30:00,65.85,66.39,65.51,65.51,55997
ok,2024-03-28 03:00:00,66.43,67.47,66.25,67.4,28900
ok,2024-03-28 03:30:00,67.49,67.49,67.08,67.33,14605
ok,2024-03-28 04:00:00,67.35,67.4,66.3,66.45,13106
ok,2024-03-28 04:30:00,66.62,66.62,65.92,65.96,14907
ok,2024-03-28 05:00:00,65.87,65.9,64.09,65.0,28034
ok,2024-03-28 05:30:00,64.91,65.5,64.9,64.95,17780
ok,2024-03-28 06:00:00,65.0,65.85,64.7,64.96,47603
ok,2024-03-28 06:30:00,65.0,65.5,65.0,65.35,26461
ok,2024-03-28 07:00:00,65.55,67.4,64.63,65.35,211694
ok,2024-03-28 07:30:00,65.3,67.54,65.3,67.22,243966
ok,2024-03-28 08:00:00,67.1,69.78,67.1,69.65,676110
ok,2024-03-28 08:30:00,69.7,69.87,65.7,66.75,3377512
ok,2024-03-28 09:00:00,66.74,68.0,65.0,65.74,1953901
ok,2024-03-28 09:30:00,65.72,66.18,63.5,64.5,1469697
ok,2024-03-28 10:00:00,64.58,64.75,62.26,63.57,1345120
ok,2024-03-28 10:30:00,63.5,63.77,61.26,62.57,1269024
ok,2024-03-28 11:00:00,62.58,62.65,60.23,61.24,1071489
ok,2024-03-28 11:30:00,61.27,61.84,60.6,60.95,709566
ok,2024-03-28 12:00:00,60.92,62.0,60.29,61.95,804819
ok,2024-03-28 12:30:00,62.0,63.0,61.61,62.98,782527
ok,2024-03-28 13:00:00,62.95,63.32,62.0,62.02,669917
ok,2024-03-28 13:30:00,62.02,62.8,61.84,62.16,526158
ok,2024-03-28 14:00:00,62.16,62.7,61.94,62.4,495505
ok,2024-03-28 14:30:00,62.4,62.4,61.55,61.99,946651
ok,2024-03-28 15:00:00,61.95,62.13,61.9,61.97,57934
ok,2024-03-28 15:30:00,61.98,61.98,61.5,61.9,31137
ok,2024-03-28 16:00:00,61.76,61.8,61.68,61.68,18078
ok,2024-03-28 16:30:00,61.64,61.75,60.56,60.59,32640
