s,t,o,h,l,c,v
ok,2024-01-02 05:00:00,5.09,5.09,5.08,5.09,818
ok,2024-01-02 07:00:00,5.28,5.29,5.28,5.29,600
ok,2024-01-02 08:00:00,5.29,5.4,5.27,5.4,1600
ok,2024-01-02 08:30:00,5.4,5.4,5.36,5.4,1825
ok,2024-01-02 09:30:00,5.48,7.1,5.09,7.1,58807
ok,2024-01-02 10:00:00,7.26,7.98,6.17,6.36,758392
ok,2024-01-02 10:30:00,6.35,6.79,6.1,6.6,106277
ok,2024-01-02 11:00:00,6.51,6.64,6.16,6.35,33569
ok,2024-01-02 11:30:00,6.49,6.56,6.35,6.5,5160
ok,2024-01-02 12:00:00,6.46,6.55,6.31,6.54,6294
ok,2024-01-02 12:30:00,6.5,6.85,6.5,6.6,22865
ok,2024-01-02 13:00:00,6.61,7.19,6.53,7.19,25305
ok,2024-01-02 13:30:00,7.15,7.2,6.54,6.7,18833
ok,2024-01-02 14:00:00,6.71,7.08,6.71,6.98,3292
ok,2024-01-02 14:30:00,6.98,7.89,6.98,7.8,66305
ok,2024-01-02 15:00:00,7.64,8.49,7.64,7.82,128158
ok,2024-01-02 15:30:00,7.81,8.25,7.71,8.04,135650
ok,2024-01-02 16:00:00,7.85,8.15,7.85,7.9,2139
ok,2024-01-02 16:30:00,7.85,8.5,7.85,8.5,5097
ok,2024-01-02 17:00:00,8.33,8.4,7.94,7.94,2531
ok,2024-01-02 17:30:00,8.01,8.05,7.77,7.8,3554
ok,2024-01-02 18:00:00,7.82,7.82,7.81,7.81,708
ok,2024-01-02 19:00:00,7.77,7.77,7.77,7.77,638
ok,2024-01-02 19:30:00,8.0,8.0,8.0,8.0,500
ok,2024-01-03 04:30:00,7.45,7.46,7.45,7.46,300
ok,2024-01-03 07:00:00,7.74,8.1,7.74,8.1,1516
ok,2024-01-03 07:30:00,8.09,8.1,7.94,8.1,1308
ok,2024-01-03 08:00:00,7.79,7.79,7.52,7.62,909
ok,2024-01-03 08:30:00,7.68,8.15,7.68,8.1,2754
ok,2024-01-03 09:00:00,7.9,7.9,7.9,7.9,201
ok,2024-01-03 09:30:00,8.01,8.8,7.35,8.38,124680
ok,2024-01-03 10:00:00,8.33,8.35,7.65,7.65,16673
ok,2024-01-03 10:30:00,7.65,7.92,7.65,7.9,5126
ok,2024-01-03 11:00:00,7.96,8.0,7.8,7.98,23863
ok,2024-01-03 11:30:00,7.98,7.98,7.86,7.86,3589
ok,2024-01-03 12:00:00,7.86,8.0,7.86,7.98,4044
ok,2024-01-03 12:30:00,8.0,8.3,7.98,8.29,6535
ok,2024-01-03 13:00:00,8.2,8.2,8.0,8.0,3046
ok,2024-01-03 13:30:00,8.14,8.14,7.97,7.97,3341
ok,2024-01-03 14:00:00,7.99,8.01,7.98,7.98,4060
ok,2024-01-03 14:30:00,8.0,8.01,7.99,7.99,3416
ok,2024-01-03 15:00:00,8.01,8.09,8.01,8.05,3754
ok,2024-01-03 15:30:00,8.0,8.25,8.0,8.25,23859
ok,2024-01-03 17:30:00,8.3,8.3,8.3,8.3,300
ok,2024-01-03 19:30:00,8.31,8.31,8.31,8.31,200
ok,2024-01-04 07:00:00,8.31,8.31,8.31,8.31,220
ok,2024-01-04 08:00:00,7.89,7.89,7.89,7.89,363
ok,2024-01-04 08:30:00,8.03,8.31,8.03,8.31,1342
ok,2024-01-04 09:00:00,8.55,8.55,8.29,8.38,859
ok,2024-01-04 09:30:00,8.45,9.2,8.44,8.87,139904
ok,2024-01-04 10:00:00,8.88,9.39,8.7,9.23,399655
ok,2024-01-04 10:30:00,9.24,9.41,9.0,9.08,21067
ok,2024-01-04 11:00:00,9.2,9.22,9.02,9.16,23999
ok,2024-01-04 11:30:00,9.17,9.24,9.07,9.08,13315
ok,2024-01-04 12:00:00,9.13,9.2,9.09,9.09,686
ok,2024-01-04 12:30:00,9.1,9.2,9.1,9.18,17882
ok,2024-01-04 13:00:00,9.14,9.18,8.95,9.07,83152
ok,2024-01-04 13:30:00,9.01,9.05,8.9,8.91,6611
ok,2024-01-04 14:00:00,8.9,8.91,8.8,8.86,12888
ok,2024-01-04 14:30:00,8.88,8.92,8.7,8.91,70204
ok,2024-01-04 15:00:00,8.86,8.98,8.85,8.94,27704
ok,2024-01-04 15:30:00,8.92,9.01,8.86,9.01,16447
ok,2024-01-04 17:30:00,8.91,8.91,8.91,8.91,200
ok,2024-01-04 18:00:00,8.91,8.91,8.9,8.9,200
ok,2024-01-04 19:00:00,8.9,8.9,8.9,8.9,201
ok,2024-01-05 04:30:00,8.88,8.88,8.88,8.88,170
ok,2024-01-05 06:30:00,8.9,8.93,8.89,8.89,2662
ok,2024-01-05 07:00:00,8.8,8.81,8.8,8.81,229
ok,2024-01-05 08:00:00,8.82,8.82,8.82,8.82,637
ok,2024-01-05 08:30:00,8.79,8.88,8.79,8.88,2129
ok,2024-01-05 09:00:00,9.06,9.15,9.06,9.15,1221
ok,2024-01-05 09:30:00,9.24,9.52,8.8,9.46,93282
ok,2024-01-05 10:00:00,9.49,9.6,9.27,9.44,404401
ok,2024-01-05 10:30:00,9.44,9.5,6.63,7.36,220263
ok,2024-01-05 11:00:00,7.36,7.7,6.73,6.99,80662
ok,2024-01-05 11:30:00,7.19,7.19,5.55,5.85,164880
ok,2024-01-05 12:00:00,5.85,6.39,5.7,5.7,60073
ok,2024-01-05 12:30:00,5.9,6.1,5.87,6.08,9044
ok,2024-01-05 13:00:00,6.08,6.15,5.67,5.77,43731
ok,2024-01-05 13:30:00,5.78,5.99,5.2,5.37,61350
ok,2024-01-05 14:00:00,5.28,5.35,3.6,4.04,145090
ok,2024-01-05 14:30:00,4.1,4.25,4.06,4.1,42311
ok,2024-01-05 15:00:00,4.1,4.19,3.61,3.96,79458
ok,2024-01-05 15:30:00,3.97,4.59,3.96,4.47,49021
ok,2024-01-05 16:00:00,4.3,4.5,4.15,4.36,2632
ok,2024-01-05 16:30:00,4.38,4.38,4.38,4.38,1523
ok,2024-01-05 17:00:00,4.38,4.38,4.38,4.38,100
ok,2024-01-05 17:30:00,4.38,4.38,4.38,4.38,287
ok,2024-01-05 19:00:00,4.4,4.4,4.19,4.19,695
ok,2024-01-05 19:30:00,4.28,4.28,4.28,4.28,100
ok,2024-01-08 04:00:00,3.91,3.91,3.91,3.91,218
ok,2024-01-08 04:30:00,4.44,4.44,4.44,4.44,506
ok,2024-01-08 06:00:00,4.1,4.1,4.05,4.05,300
ok,2024-01-08 07:30:00,4.4,4.4,4.4,4.4,200
ok,2024-01-08 08:00:00,4.39,4.65,4.28,4.28,4860
ok,2024-01-08 08:30:00,4.41,4.41,4.41,4.41,118
ok,2024-01-08 09:00:00,4.41,5.74,4.41,5.74,1007
ok,2024-01-08 09:30:00,5.69,5.78,4.44,5.46,107467
ok,2024-01-08 10:00:00,5.31,5.44,5.0,5.05,16961
ok,2024-01-08 10:30:00,5.05,5.34,5.05,5.19,26884
ok,2024-01-08 11:00:00,5.11,5.23,5.11,5.22,4035
ok,2024-01-08 11:30:00,5.12,5.23,5.1,5.22,2971
ok,2024-01-08 12:00:00,5.23,5.26,5.22,5.23,2880
ok,2024-01-08 12:30:00,5.21,5.21,5.1,5.19,892
ok,2024-01-08 13:00:00,5.19,5.19,5.15,5.15,495
ok,2024-01-08 13:30:00,5.18,5.18,5.1,5.18,6409
