s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,1.01,1.01,1.01,1.01,160
ok,2024-01-02 09:30:00,1.05,1.05,1.03,1.03,2352
ok,2024-01-02 10:00:00,1.05,1.05,1.02,1.02,7225
ok,2024-01-02 10:30:00,1.01,1.01,1.01,1.01,1426
ok,2024-01-02 11:00:00,1.01,1.01,1.0,1.0,19531
ok,2024-01-02 11:30:00,1.01,1.01,1.0,1.0,7477
ok,2024-01-02 12:00:00,1.01,1.03,1.01,1.03,275
ok,2024-01-02 12:30:00,1.01,1.02,1.01,1.01,562
ok,2024-01-02 13:00:00,1.01,1.01,0.98,1.01,6010
ok,2024-01-02 13:30:00,0.99,1.0,0.99,1.0,230
ok,2024-01-02 14:00:00,0.99,0.99,0.98,0.99,6433
ok,2024-01-02 14:30:00,0.97,0.99,0.97,0.99,898
ok,2024-01-02 15:00:00,0.98,0.99,0.98,0.99,1272
ok,2024-01-02 15:30:00,0.98,1.0,0.97,1.0,16457
ok,2024-01-02 16:00:00,0.98,0.98,0.97,0.97,601
ok,2024-01-02 16:30:00,0.96,0.96,0.96,0.96,1386
ok,2024-01-02 18:30:00,1.0,1.0,1.0,1.0,150
ok,2024-01-03 08:00:00,1.0,1.0,1.0,1.0,100
ok,2024-01-03 08:30:00,0.98,0.98,0.98,0.98,100
ok,2024-01-03 09:00:00,0.98,0.98,0.98,0.98,100
ok,2024-01-03 09:30:00,0.97,1.0,0.97,1.0,2428
ok,2024-01-03 10:00:00,1.02,1.03,0.97,1.03,2644
ok,2024-01-03 10:30:00,1.0,1.0,1.0,1.0,1040
ok,2024-01-03 11:00:00,0.97,0.98,0.97,0.97,6578
ok,2024-01-03 11:30:00,0.99,0.99,0.98,0.98,1605
ok,2024-01-03 12:00:00,0.98,0.98,0.98,0.98,5329
ok,2024-01-03 12:30:00,0.98,0.98,0.98,0.98,500
ok,2024-01-03 13:00:00,0.98,0.98,0.97,0.97,8715
ok,2024-01-03 13:30:00,0.97,0.98,0.97,0.97,2062
ok,2024-01-03 14:00:00,0.97,0.98,0.97,0.97,10701
