s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,0.23,0.23,0.22,0.23,3339
ok,2024-01-02 08:00:00,0.23,0.23,0.23,0.23,178
ok,2024-01-02 08:30:00,0.23,0.23,0.23,0.23,1000
ok,2024-01-02 09:00:00,0.23,0.23,0.23,0.23,937
ok,2024-01-02 09:30:00,0.23,0.23,0.18,0.19,459698
ok,2024-01-02 10:00:00,0.19,0.19,0.17,0.19,336858
ok,2024-01-02 10:30:00,0.19,0.19,0.18,0.19,61087
ok,2024-01-02 11:00:00,0.18,0.19,0.18,0.18,45518
ok,2024-01-02 11:30:00,0.19,0.19,0.18,0.18,19263
ok,2024-01-02 12:00:00,0.18,0.19,0.18,0.19,15545
ok,2024-01-02 12:30:00,0.19,0.19,0.18,0.19,17028
ok,2024-01-02 13:00:00,0.19,0.19,0.18,0.19,4974
ok,2024-01-02 13:30:00,0.19,0.19,0.19,0.19,100
ok,2024-01-02 14:00:00,0.19,0.19,0.18,0.18,1905
ok,2024-01-02 14:30:00,0.19,0.19,0.18,0.18,19267
ok,2024-01-02 15:00:00,0.18,0.18,0.18,0.18,52429
ok,2024-01-02 15:30:00,0.18,0.18,0.18,0.18,66962
ok,2024-01-02 16:00:00,0.18,0.18,0.18,0.18,610
ok,2024-01-02 16:30:00,0.18,0.19,0.18,0.19,6000
ok,2024-01-02 17:30:00,0.18,0.19,0.18,0.19,9326
ok,2024-01-02 18:00:00,0.19,0.19,0.19,0.19,8214
ok,2024-01-02 19:30:00,0.19,0.19,0.19,0.19,858
ok,2024-01-03 04:30:00,0.19,0.19,0.19,0.19,100
ok,2024-01-03 07:00:00,0.18,0.18,0.18,0.18,100
ok,2024-01-03 07:30:00,0.18,0.18,0.18,0.18,1013
ok,2024-01-03 08:00:00,0.19,0.19,0.19,0.19,5909
ok,2024-01-03 09:00:00,0.19,0.19,0.18,0.19,1038
ok,2024-01-03 09:30:00,0.18,0.19,0.18,0.19,54607
ok,2024-01-03 10:00:00,0.19,0.19,0.18,0.18,44661
ok,2024-01-03 10:30:00,0.19,0.19,0.18,0.18,4449
ok,2024-01-03 11:00:00,0.18,0.19,0.18,0.18,6543
ok,2024-01-03 11:30:00,0.18,0.19,0.18,0.18,16816
