s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,2.41,2.41,2.41,2.41,324
ok,2024-01-02 07:00:00,2.4,2.4,2.4,2.4,2090
ok,2024-01-02 08:00:00,2.38,2.49,2.38,2.41,749
ok,2024-01-02 09:00:00,2.38,2.38,2.38,2.38,1700
ok,2024-01-02 09:30:00,2.35,2.49,2.33,2.49,73961
ok,2024-01-02 10:00:00,2.48,2.68,2.48,2.66,323656
ok,2024-01-02 10:30:00,2.65,2.67,2.6,2.61,99699
ok,2024-01-02 11:00:00,2.6,2.61,2.58,2.6,52280
ok,2024-01-02 11:30:00,2.61,2.62,2.59,2.61,44212
ok,2024-01-02 12:00:00,2.62,2.68,2.6,2.65,109967
ok,2024-01-02 12:30:00,2.66,2.76,2.66,2.75,103833
ok,2024-01-02 13:00:00,2.75,2.75,2.7,2.71,75107
ok,2024-01-02 13:30:00,2.7,2.71,2.63,2.63,42580
ok,2024-01-02 14:00:00,2.63,2.64,2.6,2.63,55709
ok,2024-01-02 14:30:00,2.63,2.63,2.59,2.62,69497
ok,2024-01-02 15:00:00,2.62,2.62,2.57,2.58,82798
ok,2024-01-02 15:30:00,2.58,2.6,2.57,2.58,141441
ok,2024-01-02 16:00:00,2.59,2.59,2.59,2.59,1300
ok,2024-01-02 16:30:00,2.65,2.65,2.62,2.65,1666
ok,2024-01-02 17:00:00,2.65,2.65,2.65,2.65,576
ok,2024-01-02 17:30:00,2.65,2.65,2.65,2.65,270
ok,2024-01-02 18:00:00,2.58,2.58,2.58,2.58,101
ok,2024-01-03 06:30:00,2.59,2.59,2.59,2.59,100
ok,2024-01-03 08:00:00,2.6,2.6,2.6,2.6,261
ok,2024-01-03 08:30:00,2.6,2.6,2.55,2.55,455
ok,2024-01-03 09:00:00,2.54,2.54,2.54,2.54,4001
ok,2024-01-03 09:30:00,2.55,2.56,2.42,2.48,105991
ok,2024-01-03 10:00:00,2.48,2.54,2.45,2.52,204801
ok,2024-01-03 10:30:00,2.5,2.51,2.46,2.48,68788
ok,2024-01-03 11:00:00,2.48,2.51,2.48,2.48,65697
ok,2024-01-03 11:30:00,2.48,2.5,2.46,2.48,52576
ok,2024-01-03 12:00:00,2.47,2.48,2.38,2.38,87097
ok,2024-01-03 12:30:00,2.38,2.4,2.34,2.35,261098
ok,2024-01-03 13:00:00,2.36,2.44,2.35,2.43,54000
ok,2024-01-03 13:30:00,2.44,2.44,2.4,2.4,33675
ok,2024-01-03 14:00:00,2.41,2.44,2.4,2.43,53943
ok,2024-01-03 14:30:00,2.43,2.44,2.4,2.4,46245
ok,2024-01-03 15:00:00,2.4,2.41,2.33,2.34,229254
ok,2024-01-03 15:30:00,2.34,2.37,2.34,2.37,300697
ok,2024-01-03 19:00:00,2.37,2.37,2.37,2.37,200
ok,2024-01-03 19:30:00,2.37,2.37,2.37,2.37,2136
ok,2024-01-04 04:00:00,2.35,2.35,2.32,2.33,1239
ok,2024-01-04 08:00:00,2.44,2.44,2.44,2.44,180
ok,2024-01-04 08:30:00,2.37,2.38,2.37,2.38,773
ok,2024-01-04 09:30:00,2.4,2.4,2.27,2.28,169590
ok,2024-01-04 10:00:00,2.28,2.3,2.25,2.26,50409
ok,2024-01-04 10:30:00,2.26,2.31,2.2,2.21,393060
