s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.14,1.15,1.11,1.11,1162
ok,2024-01-02 10:00:00,1.18,1.19,1.13,1.13,1500
ok,2024-01-02 10:30:00,1.18,1.24,1.18,1.23,10238
ok,2024-01-02 11:00:00,1.19,1.23,1.19,1.23,1901
ok,2024-01-02 11:30:00,1.21,1.23,1.21,1.21,4305
ok,2024-01-02 12:00:00,1.2,1.2,1.2,1.2,1200
ok,2024-01-02 12:30:00,1.21,1.21,1.2,1.2,1127
ok,2024-01-02 13:00:00,1.2,1.2,1.2,1.2,1137
ok,2024-01-02 13:30:00,1.21,1.21,1.21,1.21,100
ok,2024-01-02 14:00:00,1.2,1.2,1.2,1.2,455
ok,2024-01-02 14:30:00,1.2,1.2,1.2,1.2,125
ok,2024-01-02 15:00:00,1.2,1.2,1.19,1.19,3733
ok,2024-01-02 15:30:00,1.19,1.2,1.19,1.2,318
ok,2024-01-03 09:30:00,1.2,1.2,1.2,1.2,320
ok,2024-01-03 12:30:00,1.15,1.15,1.15,1.15,101
ok,2024-01-03 13:30:00,1.17,1.17,1.17,1.17,110
ok,2024-01-03 14:00:00,1.18,1.18,1.18,1.18,100
ok,2024-01-03 15:00:00,1.18,1.19,1.18,1.19,1036
ok,2024-01-03 15:30:00,1.18,1.19,1.18,1.19,1091
ok,2024-01-04 09:30:00,1.11,1.2,1.11,1.2,7574
ok,2024-01-04 10:00:00,1.2,1.25,1.17,1.17,8287
ok,2024-01-04 10:30:00,1.2,1.21,1.2,1.21,311
ok,2024-01-04 11:00:00,1.17,1.21,1.17,1.21,845
ok,2024-01-04 11:30:00,1.21,1.24,1.21,1.22,1290
ok,2024-01-04 12:00:00,1.17,1.17,1.17,1.17,100
ok,2024-01-04 12:30:00,1.19,1.2,1.19,1.2,200
ok,2024-01-04 13:30:00,1.18,1.18,1.18,1.18,100
ok,2024-01-04 14:30:00,1.22,1.24,1.22,1.23,3509
ok,2024-01-04 15:00:00,1.23,1.25,1.23,1.25,383
ok,2024-01-04 15:30:00,1.25,1.28,1.25,1.25,877
ok,2024-01-05 09:30:00,1.25,1.29,1.25,1.26,1737
ok,2024-01-05 10:00:00,1.26,1.27,1.25,1.27,2308
ok,2024-01-05 10:30:00,1.27,1.28,1.27,1.28,1500
ok,2024-01-05 11:30:00,1.25,1.26,1.21,1.26,9763
ok,2024-01-05 12:00:00,1.25,1.25,1.25,1.25,100
ok,2024-01-05 13:00:00,1.25,1.25,1.21,1.21,1311
ok,2024-01-05 13:30:00,1.23,1.23,1.23,1.23,600
ok,2024-01-05 14:00:00,1.22,1.22,1.22,1.22,100
ok,2024-01-05 14:30:00,1.22,1.22,1.22,1.22,600
ok,2024-01-08 09:30:00,1.2,1.22,1.16,1.2,11289
ok,2024-01-08 10:00:00,1.17,1.17,1.17,1.17,300
ok,2024-01-08 10:30:00,1.14,1.14,1.14,1.14,302
ok,2024-01-08 11:00:00,1.11,1.17,1.11,1.14,3650
ok,2024-01-08 11:30:00,1.17,1.26,1.14,1.19,9052
ok,2024-01-08 12:00:00,1.23,1.23,1.23,1.23,140
ok,2024-01-08 12:30:00,1.18,1.18,1.18,1.18,100
ok,2024-01-08 13:00:00,1.22,1.22,1.22,1.22,241
ok,2024-01-08 14:00:00,1.16,1.2,1.16,1.2,1600
ok,2024-01-08 15:00:00,1.19,1.19,1.17,1.19,1083
ok,2024-01-08 15:30:00,1.17,1.17,1.17,1.17,3000
