s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.51,1.51,1.5,1.5,584
ok,2024-01-02 10:30:00,1.5,1.5,1.5,1.5,256
ok,2024-01-02 15:00:00,1.48,1.48,1.48,1.48,1000
ok,2024-01-02 15:30:00,1.46,1.46,1.45,1.45,4310
ok,2024-01-03 09:30:00,1.45,1.45,1.45,1.45,932
ok,2024-01-03 10:30:00,1.46,1.46,1.46,1.46,203
ok,2024-01-03 12:00:00,1.46,1.46,1.46,1.46,100
ok,2024-01-03 12:30:00,1.46,1.46,1.46,1.46,100
ok,2024-01-03 13:30:00,1.45,1.45,1.45,1.45,406
ok,2024-01-03 15:00:00,1.48,1.48,1.48,1.48,100
ok,2024-01-03 15:30:00,1.45,1.48,1.45,1.48,500
ok,2024-01-04 09:30:00,1.5,1.51,1.5,1.51,1000
ok,2024-01-05 08:30:00,1.59,1.59,1.59,1.59,200
ok,2024-01-05 10:30:00,1.51,1.51,1.51,1.51,285
ok,2024-01-05 12:30:00,1.58,1.58,1.58,1.58,403
ok,2024-01-05 14:30:00,1.58,1.58,1.58,1.58,317
ok,2024-01-08 10:30:00,1.55,1.56,1.55,1.56,503
ok,2024-01-08 11:00:00,1.57,1.57,1.57,1.57,202
ok,2024-01-08 13:30:00,1.55,1.55,1.55,1.55,101
ok,2024-01-09 09:30:00,1.53,1.55,1.53,1.55,2275
ok,2024-01-09 11:30:00,1.55,1.56,1.55,1.56,1374
ok,2024-01-09 12:30:00,1.56,1.56,1.56,1.56,300
ok,2024-01-09 15:00:00,1.51,1.51,1.51,1.51,784
ok,2024-01-10 11:00:00,1.5,1.5,1.5,1.5,960
ok,2024-01-11 09:30:00,1.5,1.5,1.5,1.5,150
ok,2024-01-11 12:00:00,1.51,1.53,1.51,1.51,501
ok,2024-01-11 12:30:00,1.48,1.48,1.45,1.45,1001
ok,2024-01-11 13:00:00,1.52,1.52,1.52,1.52,100
ok,2024-01-12 10:00:00,1.47,1.47,1.47,1.47,214
ok,2024-01-12 10:30:00,1.49,1.49,1.48,1.48,305
ok,2024-01-12 15:00:00,1.52,1.6,1.49,1.49,3553
ok,2024-01-16 09:30:00,1.57,1.57,1.57,1.57,100
ok,2024-01-16 10:00:00,1.49,1.49,1.49,1.49,492
ok,2024-01-16 10:30:00,1.49,1.49,1.49,1.49,700
ok,2024-01-17 09:30:00,1.5,1.5,1.5,1.5,153
ok,2024-01-17 11:00:00,1.52,1.52,1.52,1.52,200
ok,2024-01-17 12:30:00,1.5,1.5,1.47,1.47,2062
ok,2024-01-17 13:00:00,1.48,1.51,1.48,1.51,285
ok,2024-01-17 13:30:00,1.5,1.5,1.5,1.5,129
ok,2024-01-17 14:30:00,1.52,1.52,1.52,1.52,150
ok,2024-01-17 15:30:00,1.52,1.52,1.52,1.52,137
ok,2024-01-18 14:30:00,1.49,1.49,1.48,1.48,442
