s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.51,0.51,0.51,0.51,288
ok,2024-01-02 05:00:00,0.49,0.49,0.49,0.49,472
ok,2024-01-02 06:00:00,0.51,0.54,0.51,0.54,800
ok,2024-01-02 07:00:00,0.49,0.53,0.49,0.5,865
ok,2024-01-02 08:00:00,0.5,0.53,0.49,0.5,9031
ok,2024-01-02 08:30:00,0.52,0.53,0.5,0.51,15680
ok,2024-01-02 09:00:00,0.52,0.53,0.5,0.53,9252
ok,2024-01-02 09:30:00,0.51,0.54,0.48,0.52,202645
ok,2024-01-02 10:00:00,0.52,0.54,0.49,0.49,419524
ok,2024-01-02 10:30:00,0.5,0.5,0.49,0.49,47325
ok,2024-01-02 11:00:00,0.49,0.51,0.47,0.5,58388
ok,2024-01-02 11:30:00,0.5,0.5,0.48,0.5,45388
ok,2024-01-02 12:00:00,0.49,0.5,0.48,0.49,5120
ok,2024-01-02 12:30:00,0.5,0.52,0.5,0.51,19707
ok,2024-01-02 13:00:00,0.51,0.52,0.5,0.5,6279
ok,2024-01-02 13:30:00,0.5,0.52,0.5,0.5,22595
ok,2024-01-02 14:00:00,0.51,0.51,0.5,0.5,6427
ok,2024-01-02 14:30:00,0.5,0.5,0.5,0.5,1353
ok,2024-01-02 15:00:00,0.5,0.51,0.5,0.51,7206
ok,2024-01-02 15:30:00,0.51,0.52,0.5,0.52,31655
ok,2024-01-02 16:00:00,0.5,0.5,0.5,0.5,2700
ok,2024-01-02 16:30:00,0.5,0.5,0.5,0.5,1112
ok,2024-01-02 17:00:00,0.5,0.5,0.5,0.5,9028
ok,2024-01-02 18:30:00,0.5,0.52,0.5,0.52,2311
ok,2024-01-02 19:00:00,0.5,0.5,0.5,0.5,2300
ok,2024-01-02 19:30:00,0.49,0.5,0.47,0.47,7220
ok,2024-01-03 05:30:00,0.49,0.49,0.48,0.48,641
ok,2024-01-03 06:00:00,0.48,0.48,0.47,0.47,722
ok,2024-01-03 07:00:00,0.48,0.48,0.47,0.47,2817
ok,2024-01-03 07:30:00,0.5,0.5,0.5,0.5,156
ok,2024-01-03 08:00:00,0.47,0.5,0.47,0.49,3895
ok,2024-01-03 08:30:00,0.49,0.5,0.49,0.49,3742
ok,2024-01-03 09:00:00,0.49,0.49,0.48,0.48,750
ok,2024-01-03 09:30:00,0.5,0.5,0.49,0.5,11753
ok,2024-01-03 10:00:00,0.49,0.5,0.49,0.49,14261
ok,2024-01-03 10:30:00,0.49,0.49,0.48,0.49,7876
ok,2024-01-03 11:00:00,0.49,0.49,0.48,0.48,64340
ok,2024-01-03 11:30:00,0.48,0.48,0.48,0.48,21040
ok,2024-01-03 12:00:00,0.48,0.48,0.48,0.48,3235
ok,2024-01-03 12:30:00,0.48,0.48,0.47,0.47,28317
ok,2024-01-03 13:00:00,0.48,0.48,0.47,0.48,33423
ok,2024-01-03 13:30:00,0.48,0.48,0.48,0.48,5999
ok,2024-01-03 14:00:00,0.48,0.49,0.48,0.48,15581
ok,2024-01-03 14:30:00,0.48,0.49,0.48,0.49,931
ok,2024-01-03 15:00:00,0.48,0.48,0.47,0.47,34014
ok,2024-01-03 15:30:00,0.47,0.49,0.47,0.48,21692
ok,2024-01-03 16:00:00,0.47,0.49,0.47,0.49,1370
ok,2024-01-03 18:00:00,0.49,0.49,0.49,0.49,1000
ok,2024-01-03 18:30:00,0.49,0.49,0.49,0.49,1000
ok,2024-01-03 19:30:00,0.48,0.48,0.48,0.48,10000
ok,2024-01-04 04:30:00,0.49,0.5,0.49,0.5,747
ok,2024-01-04 05:30:00,0.5,0.5,0.5,0.5,304
ok,2024-01-04 07:00:00,0.48,0.5,0.48,0.5,1500
ok,2024-01-04 08:00:00,0.49,0.5,0.48,0.48,1022
ok,2024-01-04 09:00:00,0.5,0.5,0.5,0.5,100
ok,2024-01-04 09:30:00,0.5,0.5,0.48,0.48,16152
ok,2024-01-04 10:00:00,0.49,0.5,0.47,0.48,72648
ok,2024-01-04 10:30:00,0.49,0.49,0.47,0.48,15267
ok,2024-01-04 11:00:00,0.49,0.49,0.48,0.48,26195
ok,2024-01-04 11:30:00,0.49,0.49,0.46,0.47,40203
ok,2024-01-04 12:00:00,0.47,0.47,0.46,0.47,6291
ok,2024-01-04 12:30:00,0.47,0.47,0.46,0.47,6833
ok,2024-01-04 13:00:00,0.47,0.47,0.47,0.47,1314
ok,2024-01-04 13:30:00,0.47,0.48,0.47,0.47,3392
ok,2024-01-04 14:00:00,0.48,0.49,0.48,0.48,3814
ok,2024-01-04 14:30:00,0.48,0.48,0.48,0.48,560
ok,2024-01-04 15:00:00,0.48,0.49,0.48,0.48,6371
