s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.44,0.44,0.42,0.43,3119
ok,2024-01-02 04:30:00,0.43,0.43,0.41,0.42,3944
ok,2024-01-02 05:00:00,0.42,0.43,0.42,0.43,1566
ok,2024-01-02 05:30:00,0.43,0.43,0.42,0.42,2674
ok,2024-01-02 06:00:00,0.43,0.43,0.43,0.43,1225
ok,2024-01-02 06:30:00,0.43,0.45,0.43,0.45,3699
ok,2024-01-02 07:00:00,0.45,0.45,0.44,0.44,6687
ok,2024-01-02 07:30:00,0.44,0.45,0.44,0.44,7952
ok,2024-01-02 08:00:00,0.45,0.45,0.44,0.45,11026
ok,2024-01-02 08:30:00,0.44,0.45,0.44,0.45,2195
ok,2024-01-02 09:00:00,0.45,0.45,0.45,0.45,2367
ok,2024-01-02 09:30:00,0.45,0.46,0.45,0.45,15936
ok,2024-01-02 10:00:00,0.44,0.46,0.44,0.46,14990
ok,2024-01-02 10:30:00,0.46,0.46,0.44,0.46,5291
ok,2024-01-02 11:00:00,0.45,0.46,0.44,0.46,16342
ok,2024-01-02 11:30:00,0.45,0.46,0.44,0.44,7642
ok,2024-01-02 12:00:00,0.44,0.46,0.44,0.46,1774
ok,2024-01-02 12:30:00,0.46,0.46,0.44,0.46,1739
ok,2024-01-02 13:00:00,0.46,0.46,0.46,0.46,1442
ok,2024-01-02 13:30:00,0.46,0.46,0.44,0.44,5334
ok,2024-01-02 14:00:00,0.46,0.47,0.46,0.47,17743
ok,2024-01-02 14:30:00,0.46,0.46,0.46,0.46,100
ok,2024-01-02 15:00:00,0.44,0.46,0.44,0.46,6206
ok,2024-01-02 15:30:00,0.45,0.46,0.45,0.45,2316
ok,2024-01-02 16:00:00,0.46,0.46,0.45,0.45,390
ok,2024-01-02 16:30:00,0.45,0.45,0.45,0.45,450
ok,2024-01-03 05:00:00,0.43,0.43,0.43,0.43,833
ok,2024-01-03 05:30:00,0.43,0.43,0.43,0.43,259
ok,2024-01-03 06:00:00,0.43,0.47,0.43,0.47,1260
ok,2024-01-03 06:30:00,0.43,0.43,0.43,0.43,300
ok,2024-01-03 07:00:00,0.44,0.44,0.44,0.44,890
ok,2024-01-03 08:00:00,0.44,0.45,0.44,0.45,3495
ok,2024-01-03 08:30:00,0.44,0.44,0.44,0.44,322
ok,2024-01-03 09:00:00,0.44,0.44,0.43,0.44,1305
ok,2024-01-03 09:30:00,0.44,0.47,0.43,0.47,20185
ok,2024-01-03 10:00:00,0.44,0.47,0.44,0.45,17535
ok,2024-01-03 10:30:00,0.45,0.46,0.45,0.46,3617
ok,2024-01-03 11:00:00,0.46,0.46,0.44,0.46,10912
ok,2024-01-03 11:30:00,0.46,0.48,0.45,0.48,32140
ok,2024-01-03 12:00:00,0.47,0.49,0.47,0.49,18427
ok,2024-01-03 12:30:00,0.48,0.48,0.46,0.48,14494
ok,2024-01-03 13:00:00,0.48,0.49,0.47,0.49,6042
ok,2024-01-03 13:30:00,0.49,0.49,0.47,0.47,3124
