s,t,o,h,l,c,v
ok,2024-01-02 07:30:00,0.24,0.24,0.24,0.24,831
ok,2024-01-02 08:30:00,0.23,0.23,0.23,0.23,4000
ok,2024-01-02 09:00:00,0.23,0.23,0.23,0.23,557
ok,2024-01-02 09:30:00,0.23,0.23,0.22,0.22,25847
ok,2024-01-02 10:00:00,0.22,0.24,0.22,0.23,8892
ok,2024-01-02 10:30:00,0.24,0.24,0.22,0.24,3346
ok,2024-01-02 11:00:00,0.24,0.24,0.23,0.23,27659
ok,2024-01-02 11:30:00,0.24,0.24,0.23,0.24,16807
ok,2024-01-02 12:00:00,0.24,0.24,0.23,0.24,10632
ok,2024-01-02 12:30:00,0.24,0.24,0.24,0.24,200
ok,2024-01-02 13:00:00,0.24,0.24,0.23,0.23,26763
ok,2024-01-02 13:30:00,0.23,0.24,0.23,0.24,10796
ok,2024-01-02 14:00:00,0.24,0.24,0.24,0.24,24928
ok,2024-01-02 14:30:00,0.24,0.24,0.24,0.24,8454
ok,2024-01-02 15:00:00,0.24,0.24,0.23,0.24,23401
ok,2024-01-02 15:30:00,0.24,0.24,0.24,0.24,24638
ok,2024-01-03 07:30:00,0.24,0.24,0.24,0.24,1250
ok,2024-01-03 09:30:00,0.24,0.25,0.24,0.24,12251
ok,2024-01-03 10:00:00,0.24,0.25,0.24,0.24,59473
ok,2024-01-03 10:30:00,0.24,0.24,0.24,0.24,4675
ok,2024-01-03 11:00:00,0.24,0.24,0.24,0.24,40272
ok,2024-01-03 11:30:00,0.25,0.25,0.25,0.25,100
ok,2024-01-03 12:00:00,0.25,0.25,0.24,0.24,1000
ok,2024-01-03 12:30:00,0.24,0.25,0.24,0.24,600
ok,2024-01-03 13:00:00,0.24,0.25,0.24,0.24,7254
ok,2024-01-03 13:30:00,0.24,0.24,0.24,0.24,900
ok,2024-01-03 14:00:00,0.24,0.25,0.24,0.24,10720
ok,2024-01-03 14:30:00,0.25,0.25,0.24,0.24,4075
ok,2024-01-03 15:00:00,0.24,0.24,0.24,0.24,2369
ok,2024-01-03 15:30:00,0.24,0.25,0.24,0.24,19901
ok,2024-01-04 08:00:00,0.26,0.26,0.24,0.26,5710
ok,2024-01-04 09:00:00,0.26,0.26,0.24,0.24,10110
ok,2024-01-04 09:30:00,0.22,0.24,0.22,0.23,107390
ok,2024-01-04 10:00:00,0.23,0.23,0.23,0.23,6996
ok,2024-01-04 10:30:00,0.23,0.23,0.23,0.23,25372
ok,2024-01-04 11:00:00,0.23,0.23,0.23,0.23,34816
ok,2024-01-04 11:30:00,0.23,0.23,0.23,0.23,6310
ok,2024-01-04 12:00:00,0.23,0.23,0.23,0.23,15884
ok,2024-01-04 12:30:00,0.23,0.23,0.23,0.23,15460
ok,2024-01-04 13:00:00,0.23,0.24,0.23,0.23,32200
ok,2024-01-04 13:30:00,0.23,0.23,0.23,0.23,17505
ok,2024-01-04 14:00:00,0.23,0.23,0.23,0.23,34483
ok,2024-01-04 14:30:00,0.23,0.23,0.23,0.23,2936
ok,2024-01-04 15:00:00,0.23,0.23,0.23,0.23,2449
ok,2024-01-04 15:30:00,0.23,0.23,0.23,0.23,17688
ok,2024-01-04 16:30:00,0.23,0.23,0.23,0.23,200
ok,2024-01-04 17:00:00,0.23,0.23,0.21,0.21,10000
ok,2024-01-04 17:30:00,0.21,0.21,0.21,0.21,400
ok,2024-01-05 04:30:00,0.23,0.23,0.23,0.23,399
ok,2024-01-05 08:00:00,0.23,0.23,0.23,0.23,5009
ok,2024-01-05 09:30:00,0.23,0.24,0.23,0.24,5644
ok,2024-01-05 10:00:00,0.23,0.23,0.23,0.23,13938
ok,2024-01-05 10:30:00,0.23,0.23,0.23,0.23,2706
ok,2024-01-05 11:00:00,0.23,0.23,0.23,0.23,24725
ok,2024-01-05 11:30:00,0.23,0.23,0.23,0.23,10494
ok,2024-01-05 12:00:00,0.23,0.23,0.23,0.23,19235
ok,2024-01-05 12:30:00,0.23,0.23,0.23,0.23,12695
ok,2024-01-05 13:00:00,0.23,0.23,0.21,0.21,53412
ok,2024-01-05 13:30:00,0.22,0.22,0.22,0.22,840
ok,2024-01-05 14:00:00,0.22,0.22,0.22,0.22,25214
ok,2024-01-05 14:30:00,0.22,0.22,0.22,0.22,8216
ok,2024-01-05 15:00:00,0.22,0.22,0.2,0.21,39520
ok,2024-01-05 15:30:00,0.21,0.22,0.21,0.22,125281
ok,2024-01-05 16:00:00,0.22,0.22,0.21,0.21,10318
ok,2024-01-05 16:30:00,0.21,0.21,0.21,0.21,450
ok,2024-01-05 17:00:00,0.21,0.21,0.2,0.21,3672
ok,2024-01-05 17:30:00,0.21,0.21,0.2,0.21,5098
ok,2024-01-05 18:00:00,0.21,0.21,0.21,0.21,5992
ok,2024-01-05 19:00:00,0.21,0.22,0.21,0.22,5600
ok,2024-01-08 09:00:00,6.6,6.6,6.6,6.6,210
ok,2024-01-08 09:30:00,6.73,6.73,6.2,6.35,2767
ok,2024-01-08 10:00:00,6.41,6.68,6.37,6.68,1185
ok,2024-01-08 11:00:00,6.64,6.64,6.64,6.64,311
ok,2024-01-08 11:30:00,6.52,6.72,6.52,6.72,2591
ok,2024-01-08 12:30:00,6.75,6.99,6.75,6.88,1992
ok,2024-01-08 13:00:00,6.99,6.99,6.75,6.75,3090
ok,2024-01-08 13:30:00,7.0,7.5,6.9,7.25,7225
ok,2024-01-08 14:00:00,7.26,7.5,7.26,7.5,266
ok,2024-01-08 14:30:00,7.32,7.32,7.25,7.31,2117
ok,2024-01-08 15:00:00,7.31,7.31,7.25,7.25,365
ok,2024-01-08 15:30:00,7.25,7.31,7.1,7.1,427
ok,2024-01-09 09:30:00,6.98,7.1,6.67,6.67,2092
ok,2024-01-09 10:00:00,6.77,7.1,6.77,7.1,871
ok,2024-01-09 11:30:00,7.11,7.32,7.04,7.04,1507
ok,2024-01-09 12:30:00,6.91,6.91,6.8,6.8,1100
ok,2024-01-09 13:00:00,7.4,7.4,7.4,7.4,367
ok,2024-01-09 14:00:00,7.34,7.4,7.34,7.4,4157
ok,2024-01-09 15:00:00,7.08,7.17,7.08,7.17,766
ok,2024-01-09 15:30:00,7.4,7.6,7.18,7.18,3145
ok,2024-01-09 18:00:00,7.98,7.98,7.98,7.98,125
ok,2024-01-10 09:30:00,7.78,7.92,7.51,7.51,3607
ok,2024-01-10 10:00:00,7.5,7.5,7.25,7.25,973
ok,2024-01-10 10:30:00,7.16,7.16,7.1,7.1,1166
ok,2024-01-10 11:00:00,7.15,7.15,7.15,7.15,180
ok,2024-01-10 11:30:00,7.15,7.15,7.15,7.15,469
ok,2024-01-10 12:30:00,7.1,7.18,7.1,7.18,429
ok,2024-01-10 13:30:00,7.09,7.09,7.09,7.09,450
ok,2024-01-10 14:00:00,7.04,7.04,7.04,7.04,293
ok,2024-01-10 14:30:00,7.05,7.14,7.04,7.14,2481
ok,2024-01-10 15:00:00,7.15,7.15,7.15,7.15,360
ok,2024-01-10 15:30:00,7.06,7.43,7.06,7.43,495
ok,2024-01-11 09:30:00,7.26,7.26,7.26,7.26,107
ok,2024-01-11 10:30:00,7.01,7.23,7.01,7.23,600
ok,2024-01-11 11:00:00,7.15,7.15,7.15,7.15,143
ok,2024-01-11 12:00:00,7.14,7.14,7.14,7.14,361
ok,2024-01-11 12:30:00,7.17,7.17,7.17,7.17,100
ok,2024-01-11 14:00:00,7.18,7.18,7.18,7.18,160
ok,2024-01-12 09:30:00,7.21,7.47,7.21,7.47,1147
ok,2024-01-12 10:00:00,7.28,7.28,7.28,7.28,212
ok,2024-01-12 10:30:00,7.44,7.44,7.44,7.44,200
ok,2024-01-12 11:30:00,7.31,7.31,7.31,7.31,100
ok,2024-01-12 13:30:00,7.2,7.22,7.2,7.22,570
ok,2024-01-12 15:00:00,7.35,7.5,7.35,7.5,433
ok,2024-01-12 15:30:00,7.4,7.4,7.35,7.36,586
ok,2024-01-16 09:30:00,7.37,7.37,7.37,7.37,224
ok,2024-01-16 10:00:00,7.37,7.37,7.37,7.37,363
ok,2024-01-16 10:30:00,7.27,7.27,7.26,7.26,233
ok,2024-01-16 11:00:00,7.26,7.26,7.15,7.15,927
ok,2024-01-16 12:00:00,7.08,7.08,7.08,7.08,438
ok,2024-01-16 13:30:00,6.81,6.81,6.8,6.8,542
ok,2024-01-16 14:00:00,6.79,6.81,6.79,6.81,612
ok,2024-01-16 14:30:00,6.98,6.98,6.98,6.98,100
ok,2024-01-17 09:30:00,6.78,7.11,6.76,6.76,1451
ok,2024-01-17 10:00:00,7.0,7.0,7.0,7.0,165
ok,2024-01-17 10:30:00,7.4,7.4,7.2,7.2,797
ok,2024-01-17 11:00:00,6.78,6.99,6.78,6.99,261
ok,2024-01-17 13:30:00,6.89,6.98,6.88,6.88,762
ok,2024-01-17 14:00:00,6.77,6.77,6.76,6.76,571
ok,2024-01-17 15:30:00,6.78,6.95,6.77,6.95,391
ok,2024-01-18 09:30:00,6.96,6.96,6.96,6.96,180
ok,2024-01-18 10:30:00,6.98,6.98,6.98,6.98,133
ok,2024-01-18 11:30:00,7.05,7.33,7.04,7.17,2762
ok,2024-01-18 12:00:00,7.15,7.15,6.97,6.97,1831
ok,2024-01-18 12:30:00,7.0,7.0,6.9,6.9,1970
ok,2024-01-18 14:00:00,6.71,6.71,6.71,6.71,133
ok,2024-01-18 14:30:00,6.86,6.86,6.86,6.86,400
ok,2024-01-18 15:00:00,6.7,6.7,6.7,6.7,120
ok,2024-01-18 15:30:00,6.98,6.99,6.78,6.99,1580
ok,2024-01-19 09:30:00,7.1,7.1,6.96,6.96,2527
ok,2024-01-19 10:00:00,7.04,7.04,6.98,6.98,516
ok,2024-01-19 10:30:00,6.48,6.48,6.48,6.48,102
ok,2024-01-19 11:00:00,6.75,6.75,6.75,6.75,234
ok,2024-01-19 12:30:00,6.48,6.6,6.48,6.6,218
ok,2024-01-19 13:00:00,6.7,6.7,6.7,6.7,210
ok,2024-01-19 13:30:00,6.56,6.56,6.56,6.56,200
