s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,3.73,3.8,3.73,3.8,533
ok,2024-01-02 04:30:00,3.8,3.8,3.71,3.71,4084
ok,2024-01-02 05:00:00,3.71,3.88,3.71,3.87,5373
ok,2024-01-02 06:00:00,3.85,3.85,3.8,3.8,1013
ok,2024-01-02 06:30:00,3.83,3.83,3.71,3.8,9593
ok,2024-01-02 07:00:00,3.8,3.82,3.8,3.82,5373
ok,2024-01-02 07:30:00,3.83,3.83,3.81,3.82,2653
ok,2024-01-02 08:00:00,3.83,3.83,3.52,3.83,68676
ok,2024-01-02 08:30:00,3.83,3.83,3.82,3.83,1187
ok,2024-01-02 09:00:00,3.82,3.84,3.81,3.84,9751
ok,2024-01-02 09:30:00,3.84,3.87,3.81,3.83,161448
ok,2024-01-02 10:00:00,3.84,3.91,3.84,3.87,124201
ok,2024-01-02 10:30:00,3.87,3.88,3.86,3.88,26344
ok,2024-01-02 11:00:00,3.87,3.88,3.86,3.87,46598
ok,2024-01-02 11:30:00,3.87,3.88,3.86,3.86,32921
ok,2024-01-02 12:00:00,3.86,3.88,3.86,3.88,28814
ok,2024-01-02 12:30:00,3.87,3.88,3.86,3.86,8533
ok,2024-01-02 13:00:00,3.86,3.86,3.84,3.84,46643
ok,2024-01-02 13:30:00,3.84,3.84,3.83,3.84,44219
ok,2024-01-02 14:00:00,3.84,3.84,3.82,3.82,163861
ok,2024-01-02 14:30:00,3.82,3.84,3.82,3.83,75923
ok,2024-01-02 15:00:00,3.83,3.83,3.82,3.82,134395
ok,2024-01-02 15:30:00,3.82,3.83,3.82,3.82,457911
ok,2024-01-02 16:00:00,3.82,3.82,3.82,3.82,2722
ok,2024-01-02 16:30:00,3.83,3.83,3.82,3.83,7607
ok,2024-01-02 17:30:00,3.82,3.82,3.81,3.81,2650
ok,2024-01-02 18:00:00,3.81,3.81,3.81,3.81,1325
ok,2024-01-02 19:00:00,3.82,3.82,3.81,3.81,204
ok,2024-01-02 19:30:00,3.81,3.85,3.81,3.85,450
ok,2024-01-03 04:00:00,3.81,3.81,3.8,3.8,805
ok,2024-01-03 04:30:00,3.78,3.81,3.78,3.81,2077
ok,2024-01-03 05:00:00,3.81,3.81,3.81,3.81,400
ok,2024-01-03 06:00:00,3.8,3.81,3.8,3.81,1009
ok,2024-01-03 07:00:00,3.81,3.81,3.79,3.81,7673
ok,2024-01-03 07:30:00,3.81,3.82,3.77,3.82,5135
ok,2024-01-03 08:00:00,3.82,3.84,3.74,3.81,15901
ok,2024-01-03 08:30:00,3.82,3.82,3.81,3.81,2086
ok,2024-01-03 09:00:00,3.81,3.83,3.8,3.81,9205
ok,2024-01-03 09:30:00,3.79,3.8,2.43,2.43,687170
ok,2024-01-03 10:00:00,1.38,1.53,1.24,1.37,984292
ok,2024-01-03 10:30:00,1.3,2.3,1.17,2.3,2471800
ok,2024-01-03 11:00:00,2.41,2.6,1.68,1.78,1940737
ok,2024-01-03 11:30:00,1.78,1.8,1.59,1.71,680611
ok,2024-01-03 12:00:00,1.72,1.73,1.45,1.49,958800
ok,2024-01-03 12:30:00,1.49,1.64,1.38,1.62,975433
ok,2024-01-03 13:00:00,1.62,1.67,1.54,1.6,481838
ok,2024-01-03 13:30:00,1.6,1.61,1.54,1.54,330483
ok,2024-01-03 14:00:00,1.54,1.56,1.48,1.56,255634
ok,2024-01-03 14:30:00,1.56,1.64,1.53,1.59,298454
ok,2024-01-03 15:00:00,1.58,1.6,1.57,1.6,294104
ok,2024-01-03 15:30:00,1.6,1.61,1.4,1.46,901072
ok,2024-01-03 16:00:00,1.47,1.48,1.39,1.47,78733
ok,2024-01-03 16:30:00,1.46,1.48,1.44,1.46,46013
ok,2024-01-03 17:00:00,1.46,1.46,1.44,1.46,23666
