s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.82,1.99,1.82,1.93,1389
ok,2024-01-02 10:00:00,1.9,1.94,1.9,1.94,300
ok,2024-01-02 10:30:00,1.85,1.85,1.85,1.85,800
ok,2024-01-02 11:00:00,1.94,1.94,1.85,1.85,3094
ok,2024-01-02 12:00:00,1.86,1.88,1.86,1.88,2688
ok,2024-01-02 12:30:00,1.87,1.87,1.87,1.87,297
ok,2024-01-02 13:00:00,1.87,1.87,1.87,1.87,900
ok,2024-01-02 13:30:00,1.94,1.94,1.94,1.94,2000
ok,2024-01-02 14:00:00,1.89,1.89,1.89,1.89,100
ok,2024-01-03 09:30:00,1.86,1.86,1.85,1.85,347
ok,2024-01-03 10:00:00,1.85,1.85,1.85,1.85,1481
ok,2024-01-03 10:30:00,1.89,1.89,1.89,1.89,400
ok,2024-01-03 11:00:00,1.85,1.85,1.79,1.82,4158
ok,2024-01-03 11:30:00,1.85,1.85,1.77,1.81,1100
ok,2024-01-03 12:30:00,1.77,1.77,1.77,1.77,549
ok,2024-01-03 13:30:00,1.78,1.81,1.78,1.81,776
ok,2024-01-03 14:00:00,1.78,1.78,1.78,1.78,200
ok,2024-01-03 14:30:00,1.78,1.78,1.78,1.78,1224
ok,2024-01-03 15:30:00,1.79,1.84,1.79,1.84,300
ok,2024-01-03 16:00:00,1.78,1.78,1.78,1.78,115
ok,2024-01-04 09:30:00,1.8,1.8,1.8,1.8,400
ok,2024-01-04 10:30:00,1.77,1.77,1.77,1.77,202
ok,2024-01-04 11:00:00,1.77,1.77,1.77,1.77,1284
ok,2024-01-04 11:30:00,1.75,1.75,1.75,1.75,205
ok,2024-01-04 12:00:00,1.75,1.75,1.73,1.74,894
ok,2024-01-04 13:00:00,1.74,1.74,1.74,1.74,115
ok,2024-01-04 13:30:00,1.73,1.73,1.73,1.73,822
ok,2024-01-04 14:30:00,1.73,1.73,1.73,1.73,7383
ok,2024-01-04 15:00:00,1.71,1.71,1.5,1.6,9561
ok,2024-01-04 15:30:00,1.62,1.63,1.6,1.6,1173
ok,2024-01-05 09:30:00,1.56,1.61,1.56,1.61,785
ok,2024-01-05 10:00:00,1.61,1.65,1.61,1.64,410
ok,2024-01-05 10:30:00,1.62,1.69,1.62,1.65,4600
ok,2024-01-05 11:00:00,1.65,1.65,1.65,1.65,500
ok,2024-01-05 12:00:00,1.7,1.7,1.7,1.7,1000
ok,2024-01-05 12:30:00,1.74,1.74,1.7,1.7,4019
ok,2024-01-05 14:30:00,1.74,1.74,1.73,1.73,2000
ok,2024-01-05 15:30:00,1.67,1.67,1.66,1.66,2200
ok,2024-01-08 09:30:00,1.77,1.95,1.77,1.95,3050
ok,2024-01-08 10:00:00,1.94,1.95,1.81,1.81,6957
ok,2024-01-08 10:30:00,1.91,1.91,1.91,1.91,534
ok,2024-01-08 11:00:00,1.88,1.88,1.81,1.81,884
ok,2024-01-08 11:30:00,1.79,1.79,1.79,1.79,397
ok,2024-01-08 12:00:00,1.8,1.8,1.79,1.79,350
ok,2024-01-08 14:00:00,1.79,1.79,1.78,1.79,550
ok,2024-01-08 14:30:00,1.78,1.79,1.78,1.79,350
ok,2024-01-08 15:00:00,1.78,1.78,1.73,1.73,2781
ok,2024-01-08 16:00:00,1.94,1.94,1.94,1.94,250
ok,2024-01-09 14:00:00,1.8,1.8,1.8,1.8,111
ok,2024-01-09 14:30:00,1.8,1.8,1.8,1.8,570
ok,2024-01-09 15:00:00,1.8,1.8,1.8,1.8,120
ok,2024-01-09 15:30:00,1.8,1.8,1.76,1.76,1103
ok,2024-01-10 09:30:00,1.76,1.76,1.76,1.76,100
ok,2024-01-10 11:00:00,1.75,1.75,1.75,1.75,200
ok,2024-01-10 11:30:00,1.76,1.76,1.76,1.76,300
ok,2024-01-10 14:00:00,1.67,1.75,1.67,1.75,380
ok,2024-01-10 15:30:00,1.75,1.76,1.75,1.76,458
ok,2024-01-10 16:30:00,1.75,1.75,1.75,1.75,100
ok,2024-01-10 19:30:00,1.94,1.94,1.94,1.94,100
ok,2024-01-11 10:00:00,1.77,1.88,1.77,1.88,2000
ok,2024-01-11 10:30:00,1.89,1.89,1.88,1.89,3870
ok,2024-01-11 11:00:00,1.8,1.89,1.8,1.87,1333
ok,2024-01-11 11:30:00,1.8,1.8,1.76,1.76,1613
ok,2024-01-11 12:30:00,1.76,1.84,1.76,1.84,1038
ok,2024-01-11 15:30:00,1.78,1.78,1.78,1.78,1867
ok,2024-01-12 09:00:00,1.73,1.73,1.73,1.73,150
ok,2024-01-12 10:00:00,1.81,1.81,1.78,1.79,500
ok,2024-01-12 10:30:00,1.79,1.79,1.78,1.79,11206
ok,2024-01-12 11:00:00,1.8,1.8,1.75,1.75,2030
ok,2024-01-12 11:30:00,1.73,1.73,1.66,1.68,2862
ok,2024-01-12 13:30:00,1.8,1.8,1.8,1.8,168
ok,2024-01-12 15:30:00,1.76,1.76,1.71,1.71,359
ok,2024-01-16 08:30:00,1.89,4.27,1.88,3.8,3853587
ok,2024-01-16 09:00:00,3.8,4.38,3.36,3.38,3228473
ok,2024-01-16 09:30:00,3.38,3.89,3.15,3.68,15565909
ok,2024-01-16 10:00:00,3.69,3.73,3.15,3.18,7195946
ok,2024-01-16 10:30:00,3.18,3.19,2.58,2.66,5658022
ok,2024-01-16 11:00:00,2.66,2.67,1.92,2.02,4544595
ok,2024-01-16 11:30:00,2.0,2.03,1.71,1.83,3081782
ok,2024-01-16 12:00:00,1.84,1.97,1.78,1.79,1044500
ok,2024-01-16 12:30:00,1.8,1.88,1.74,1.75,636505
ok,2024-01-16 13:00:00,1.75,1.79,1.72,1.73,543231
ok,2024-01-16 13:30:00,1.73,1.74,1.53,1.58,1056542
ok,2024-01-16 14:00:00,1.58,1.62,1.51,1.55,374822
ok,2024-01-16 14:30:00,1.55,1.55,1.45,1.51,373936
ok,2024-01-16 15:00:00,1.51,1.53,1.42,1.43,446225
ok,2024-01-16 15:30:00,1.45,1.46,1.36,1.39,689830
ok,2024-01-16 16:00:00,1.38,1.39,1.21,1.29,222586
ok,2024-01-16 16:30:00,1.28,1.28,1.21,1.22,56255
ok,2024-01-16 17:00:00,1.22,1.27,1.22,1.27,62513
ok,2024-01-16 17:30:00,1.25,1.34,1.25,1.34,25612
ok,2024-01-16 18:00:00,1.34,1.41,1.33,1.33,54783
ok,2024-01-16 18:30:00,1.34,1.36,1.34,1.35,9917
ok,2024-01-16 19:00:00,1.35,1.36,1.33,1.36,14902
ok,2024-01-16 19:30:00,1.36,1.36,1.33,1.35,3179
ok,2024-01-17 04:00:00,1.35,1.4,1.18,1.27,40255
ok,2024-01-17 04:30:00,1.27,1.3,1.19,1.21,25374
ok,2024-01-17 05:00:00,1.21,1.26,1.2,1.23,8524
ok,2024-01-17 05:30:00,1.23,1.27,1.23,1.26,12615
ok,2024-01-17 06:00:00,1.25,1.27,1.22,1.27,5715
ok,2024-01-17 06:30:00,1.27,1.36,1.25,1.31,9819
ok,2024-01-17 07:00:00,1.3,1.37,1.3,1.33,38646
ok,2024-01-17 07:30:00,1.32,1.32,1.3,1.32,12798
ok,2024-01-17 08:00:00,1.32,1.4,1.21,1.25,71791
ok,2024-01-17 08:30:00,1.29,1.38,1.27,1.36,105153
ok,2024-01-17 09:00:00,1.35,1.36,1.3,1.33,43442
ok,2024-01-17 09:30:00,1.35,1.35,1.16,1.25,372600
ok,2024-01-17 10:00:00,1.24,1.29,1.18,1.21,182514
ok,2024-01-17 10:30:00,1.21,1.22,1.17,1.18,144114
ok,2024-01-17 11:00:00,1.18,1.19,1.16,1.18,71648
ok,2024-01-17 11:30:00,1.17,1.18,1.13,1.14,115279
ok,2024-01-17 12:00:00,1.15,1.15,1.03,1.03,155337
ok,2024-01-17 12:30:00,1.06,1.15,1.03,1.1,120094
ok,2024-01-17 13:00:00,1.11,1.13,1.09,1.11,47374
ok,2024-01-17 13:30:00,1.11,1.13,1.1,1.12,40840
ok,2024-01-17 14:00:00,1.11,1.13,1.1,1.11,27065
ok,2024-01-17 14:30:00,1.11,1.12,1.08,1.09,64355
ok,2024-01-17 15:00:00,1.08,1.12,1.08,1.1,54647
ok,2024-01-17 15:30:00,1.1,1.14,1.07,1.08,166714
ok,2024-01-17 16:00:00,1.08,1.09,1.05,1.09,12726
ok,2024-01-17 16:30:00,1.05,1.09,1.05,1.09,5062
ok,2024-01-17 17:00:00,1.09,1.09,1.05,1.09,4161
ok,2024-01-17 17:30:00,1.09,1.09,1.09,1.09,200
ok,2024-01-17 18:00:00,1.09,1.09,1.07,1.07,6282
ok,2024-01-17 18:30:00,1.06,1.08,1.06,1.08,2588
ok,2024-01-17 19:30:00,1.06,1.08,1.06,1.06,6021
ok,2024-01-18 04:00:00,1.07,1.15,1.02,1.07,6097
ok,2024-01-18 04:30:00,1.07,1.08,1.06,1.08,4412
ok,2024-01-18 05:00:00,1.06,1.06,1.06,1.06,527
ok,2024-01-18 05:30:00,1.04,1.07,1.03,1.03,7164
ok,2024-01-18 06:00:00,1.05,1.05,1.02,1.02,3021
ok,2024-01-18 06:30:00,1.05,1.05,0.95,0.97,23279
ok,2024-01-18 07:00:00,0.97,1.03,0.97,1.03,38825
ok,2024-01-18 07:30:00,1.03,1.03,0.98,1.0,6067
ok,2024-01-18 08:00:00,0.98,1.06,0.98,0.99,32649
ok,2024-01-18 08:30:00,0.99,1.0,0.98,1.0,9574
ok,2024-01-18 09:00:00,1.0,1.05,0.99,1.02,18971
ok,2024-01-18 09:30:00,1.05,1.06,0.97,0.97,184961
ok,2024-01-18 10:00:00,1.0,1.08,0.94,1.05,143767
ok,2024-01-18 10:30:00,1.06,1.08,1.03,1.07,53634
ok,2024-01-18 11:00:00,1.06,1.2,1.02,1.09,84105
ok,2024-01-18 11:30:00,1.09,1.12,1.05,1.1,33847
ok,2024-01-18 12:00:00,1.1,1.11,1.07,1.08,16046
ok,2024-01-18 12:30:00,1.08,1.11,1.07,1.11,18477
ok,2024-01-18 13:00:00,1.1,1.11,1.08,1.1,11553
ok,2024-01-18 13:30:00,1.1,1.11,1.08,1.11,26459
ok,2024-01-18 14:00:00,1.1,1.1,1.07,1.07,11347
ok,2024-01-18 14:30:00,1.08,1.08,1.05,1.07,7567
ok,2024-01-18 15:00:00,1.07,1.08,1.05,1.08,8384
ok,2024-01-18 15:30:00,1.07,1.08,1.05,1.06,9797
ok,2024-01-18 16:00:00,1.05,1.05,1.05,1.05,1539
ok,2024-01-18 16:30:00,1.02,1.05,1.02,1.05,222
ok,2024-01-18 17:00:00,1.07,1.07,1.0,1.0,3230
ok,2024-01-18 18:30:00,1.05,1.05,1.05,1.05,200
ok,2024-01-18 19:00:00,1.07,1.07,1.07,1.07,300
ok,2024-01-18 19:30:00,1.07,1.07,1.04,1.06,1271
ok,2024-01-19 04:00:00,1.02,1.05,1.02,1.05,503
