s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,0.54,0.57,0.54,0.57,31729
ok,2024-01-02 10:00:00,0.56,0.57,0.54,0.56,67937
ok,2024-01-02 10:30:00,0.56,0.57,0.55,0.56,20325
ok,2024-01-02 11:00:00,0.56,0.57,0.55,0.57,17600
ok,2024-01-02 11:30:00,0.57,0.57,0.56,0.56,10469
ok,2024-01-02 12:00:00,0.57,0.57,0.55,0.56,16469
ok,2024-01-02 12:30:00,0.56,0.59,0.56,0.58,60684
ok,2024-01-02 13:00:00,0.58,0.6,0.58,0.59,80743
ok,2024-01-02 13:30:00,0.59,0.61,0.59,0.61,93459
ok,2024-01-02 14:00:00,0.61,0.61,0.6,0.6,25482
ok,2024-01-02 14:30:00,0.6,0.61,0.6,0.61,16870
ok,2024-01-02 15:00:00,0.61,0.62,0.6,0.61,63207
ok,2024-01-02 15:30:00,0.62,0.63,0.6,0.63,69835
ok,2024-01-02 19:30:00,0.62,0.63,0.62,0.63,531
ok,2024-01-03 07:30:00,0.63,0.63,0.63,0.63,111
ok,2024-01-03 09:30:00,0.62,0.63,0.58,0.6,49312
ok,2024-01-03 10:00:00,0.6,0.64,0.59,0.59,29696
ok,2024-01-03 10:30:00,0.59,0.6,0.59,0.59,3375
ok,2024-01-03 11:00:00,0.59,0.61,0.59,0.6,16425
ok,2024-01-03 11:30:00,0.61,0.61,0.57,0.57,57778
ok,2024-01-03 12:00:00,0.57,0.58,0.57,0.58,39006
ok,2024-01-03 12:30:00,0.58,0.58,0.58,0.58,1615
ok,2024-01-03 13:00:00,0.58,0.58,0.58,0.58,26104
ok,2024-01-03 13:30:00,0.58,0.58,0.58,0.58,7519
ok,2024-01-03 14:00:00,0.58,0.58,0.55,0.57,40624
ok,2024-01-03 14:30:00,0.57,0.57,0.57,0.57,3201
ok,2024-01-03 15:00:00,0.57,0.59,0.57,0.58,15780
ok,2024-01-03 15:30:00,0.58,0.61,0.58,0.6,28493
ok,2024-01-03 16:00:00,0.61,0.61,0.61,0.61,2000
ok,2024-01-03 17:00:00,0.57,0.57,0.57,0.57,934
ok,2024-01-03 17:30:00,0.57,0.57,0.57,0.57,2466
ok,2024-01-04 09:30:00,0.58,0.6,0.58,0.59,5329
ok,2024-01-04 10:00:00,0.59,0.59,0.57,0.57,12179
ok,2024-01-04 10:30:00,0.58,0.58,0.57,0.57,4811
ok,2024-01-04 11:00:00,0.58,0.58,0.56,0.56,41454
ok,2024-01-04 11:30:00,0.57,0.58,0.57,0.58,4141
ok,2024-01-04 12:00:00,0.58,0.58,0.58,0.58,408
ok,2024-01-04 12:30:00,0.58,0.59,0.57,0.57,3249
ok,2024-01-04 13:00:00,0.58,0.59,0.57,0.57,27095
ok,2024-01-04 13:30:00,0.58,0.58,0.57,0.58,53141
ok,2024-01-04 14:00:00,0.58,0.61,0.57,0.6,28469
ok,2024-01-04 14:30:00,0.61,0.61,0.57,0.59,32871
ok,2024-01-04 15:00:00,0.6,0.6,0.6,0.6,200
ok,2024-01-04 15:30:00,0.6,0.61,0.58,0.58,23904
ok,2024-01-05 07:30:00,0.59,0.62,0.59,0.62,5397
ok,2024-01-05 08:00:00,0.62,0.68,0.59,0.68,98490
ok,2024-01-05 08:30:00,0.68,0.72,0.63,0.65,276812
ok,2024-01-05 09:00:00,0.67,0.7,0.64,0.65,148166
ok,2024-01-05 09:30:00,0.66,0.66,0.51,0.59,1223239
ok,2024-01-05 10:00:00,0.59,0.67,0.58,0.66,258964
ok,2024-01-05 10:30:00,0.65,0.7,0.65,0.7,679920
ok,2024-01-05 11:00:00,0.7,0.74,0.69,0.74,889735
ok,2024-01-05 11:30:00,0.74,0.8,0.71,0.74,1563612
ok,2024-01-05 12:00:00,0.74,0.85,0.74,0.85,1210805
ok,2024-01-05 12:30:00,0.85,0.88,0.76,0.82,1819814
ok,2024-01-05 13:00:00,0.82,0.83,0.79,0.83,816889
ok,2024-01-05 13:30:00,0.83,0.83,0.77,0.81,496163
ok,2024-01-05 14:00:00,0.81,0.82,0.81,0.82,259326
ok,2024-01-05 14:30:00,0.82,0.84,0.77,0.84,811138
ok,2024-01-05 15:00:00,0.84,0.95,0.84,0.94,1303648
ok,2024-01-05 15:30:00,0.93,0.94,0.85,0.88,1554762
ok,2024-01-05 16:00:00,0.88,0.89,0.85,0.87,172939
ok,2024-01-05 16:30:00,0.86,0.88,0.85,0.87,16145
ok,2024-01-05 17:00:00,0.87,0.91,0.87,0.9,34263
ok,2024-01-05 17:30:00,0.9,0.9,0.88,0.88,9751
ok,2024-01-05 18:00:00,0.89,0.91,0.86,0.86,25838
ok,2024-01-05 18:30:00,0.86,0.86,0.85,0.85,35083
ok,2024-01-05 19:00:00,0.85,0.86,0.85,0.86,7787
ok,2024-01-05 19:30:00,0.86,0.86,0.82,0.83,22138
ok,2024-01-08 04:00:00,0.82,0.82,0.8,0.81,10357
ok,2024-01-08 04:30:00,0.81,0.81,0.81,0.81,982
ok,2024-01-08 05:00:00,0.81,0.81,0.81,0.81,545
ok,2024-01-08 06:00:00,0.81,0.81,0.81,0.81,200
ok,2024-01-08 06:30:00,0.81,0.81,0.81,0.81,691
ok,2024-01-08 07:00:00,0.82,0.82,0.8,0.8,8508
ok,2024-01-08 07:30:00,0.8,0.81,0.79,0.79,11678
ok,2024-01-08 08:00:00,0.81,0.89,0.79,0.84,36459
