s,t,o,h,l,c,v
ok,2024-01-02 05:30:00,0.62,0.63,0.62,0.63,1300
ok,2024-01-02 06:00:00,0.57,0.57,0.57,0.57,2790
ok,2024-01-02 07:00:00,0.61,0.72,0.61,0.72,1290
ok,2024-01-02 07:30:00,0.63,0.63,0.63,0.63,3345
ok,2024-01-02 08:00:00,0.61,0.62,0.61,0.62,2085
ok,2024-01-02 08:30:00,0.62,0.69,0.62,0.69,911
ok,2024-01-02 09:00:00,0.62,0.65,0.62,0.64,3128
ok,2024-01-02 09:30:00,0.64,0.69,0.63,0.66,12874
ok,2024-01-02 10:00:00,0.66,0.75,0.63,0.73,410992
ok,2024-01-02 10:30:00,0.73,1.25,0.72,0.79,3810936
ok,2024-01-02 11:00:00,0.79,0.85,0.72,0.76,514185
ok,2024-01-02 11:30:00,0.77,0.78,0.73,0.74,168024
ok,2024-01-02 12:00:00,0.73,0.74,0.65,0.68,167813
ok,2024-01-02 12:30:00,0.68,0.7,0.67,0.68,63896
ok,2024-01-02 13:00:00,0.69,0.73,0.68,0.7,52006
ok,2024-01-02 13:30:00,0.71,0.72,0.69,0.69,45339
ok,2024-01-02 14:00:00,0.69,0.71,0.69,0.7,36065
ok,2024-01-02 14:30:00,0.69,0.71,0.67,0.67,54310
ok,2024-01-02 15:00:00,0.67,0.71,0.67,0.68,22597
ok,2024-01-02 15:30:00,0.69,0.74,0.67,0.72,93236
ok,2024-01-02 16:00:00,0.71,0.75,0.68,0.68,12863
ok,2024-01-02 16:30:00,0.69,0.69,0.68,0.69,4251
ok,2024-01-02 17:00:00,0.68,0.79,0.67,0.76,42288
ok,2024-01-02 17:30:00,0.7,0.7,0.7,0.7,200
ok,2024-01-02 18:00:00,0.72,0.72,0.7,0.72,1542
ok,2024-01-02 18:30:00,0.72,0.72,0.72,0.72,1369
ok,2024-01-02 19:00:00,0.75,0.75,0.75,0.75,2400
ok,2024-01-02 19:30:00,0.73,0.75,0.72,0.72,738
ok,2024-01-03 04:00:00,0.71,0.72,0.68,0.68,1037
ok,2024-01-03 04:30:00,0.68,0.68,0.67,0.68,3236
ok,2024-01-03 05:00:00,0.67,0.73,0.67,0.71,915
ok,2024-01-03 05:30:00,0.68,0.68,0.68,0.68,271
ok,2024-01-03 06:00:00,0.72,0.72,0.72,0.72,270
ok,2024-01-03 07:00:00,0.68,0.68,0.68,0.68,440
ok,2024-01-03 07:30:00,0.68,0.68,0.68,0.68,7250
ok,2024-01-03 08:00:00,0.68,0.68,0.67,0.68,17160
ok,2024-01-03 08:30:00,0.7,0.71,0.68,0.68,9429
ok,2024-01-03 09:00:00,0.68,0.68,0.68,0.68,3489
ok,2024-01-03 09:30:00,0.69,0.71,0.68,0.68,35967
ok,2024-01-03 10:00:00,0.68,0.68,0.61,0.63,56371
ok,2024-01-03 10:30:00,0.61,0.63,0.61,0.61,8961
ok,2024-01-03 11:00:00,0.62,0.63,0.61,0.61,26754
ok,2024-01-03 11:30:00,0.62,0.63,0.61,0.63,3109
ok,2024-01-03 12:00:00,0.61,0.69,0.61,0.66,14442
ok,2024-01-03 12:30:00,0.66,0.66,0.62,0.62,14175
ok,2024-01-03 13:00:00,0.63,0.68,0.63,0.68,5519
ok,2024-01-03 13:30:00,0.65,0.66,0.65,0.66,2330
ok,2024-01-03 14:00:00,0.66,0.66,0.62,0.66,20991
ok,2024-01-03 14:30:00,0.66,0.69,0.66,0.69,9284
ok,2024-01-03 15:00:00,0.66,0.66,0.65,0.65,7858
ok,2024-01-03 15:30:00,0.69,0.71,0.65,0.7,26092
ok,2024-01-03 16:00:00,0.7,0.7,0.66,0.66,1595
ok,2024-01-03 16:30:00,0.63,0.63,0.63,0.63,115
ok,2024-01-03 19:30:00,0.65,0.68,0.65,0.68,456
ok,2024-01-04 04:30:00,0.66,0.67,0.66,0.67,1000
ok,2024-01-04 05:00:00,0.7,0.7,0.7,0.7,1679
ok,2024-01-04 07:30:00,0.7,0.7,0.7,0.7,250
ok,2024-01-04 08:30:00,0.7,0.7,0.7,0.7,1828
ok,2024-01-04 09:00:00,0.7,0.7,0.7,0.7,1365
ok,2024-01-04 09:30:00,0.68,0.68,0.65,0.65,2222
ok,2024-01-04 10:00:00,0.65,0.68,0.65,0.65,2975
ok,2024-01-04 10:30:00,0.68,0.69,0.68,0.68,6565
ok,2024-01-04 11:00:00,0.68,0.68,0.65,0.66,8701
ok,2024-01-04 11:30:00,0.67,0.67,0.62,0.62,19198
ok,2024-01-04 12:00:00,0.64,0.65,0.59,0.6,40329
ok,2024-01-04 12:30:00,0.61,0.64,0.61,0.64,9974
ok,2024-01-04 13:00:00,0.62,0.64,0.62,0.64,14097
ok,2024-01-04 13:30:00,0.63,0.64,0.63,0.64,2260
ok,2024-01-04 14:00:00,0.63,0.65,0.62,0.62,19462
ok,2024-01-04 14:30:00,0.62,0.62,0.62,0.62,11878
ok,2024-01-04 15:00:00,0.62,0.65,0.62,0.63,20072
ok,2024-01-04 15:30:00,0.63,0.63,0.61,0.62,1871
ok,2024-01-04 17:00:00,0.65,0.65,0.65,0.65,625
ok,2024-01-04 19:30:00,0.62,0.62,0.62,0.62,1050
ok,2024-01-05 06:30:00,0.62,0.62,0.62,0.62,7000
ok,2024-01-05 09:00:00,0.61,0.62,0.61,0.62,1100
ok,2024-01-05 09:30:00,0.59,0.61,0.59,0.61,19773
ok,2024-01-05 10:00:00,0.6,0.6,0.58,0.6,7640
ok,2024-01-05 10:30:00,0.6,0.6,0.59,0.6,1577
ok,2024-01-05 11:00:00,0.6,0.6,0.59,0.59,2623
ok,2024-01-05 11:30:00,0.59,0.59,0.59,0.59,600
ok,2024-01-05 12:00:00,0.59,0.59,0.58,0.58,10313
ok,2024-01-05 12:30:00,0.58,0.58,0.55,0.55,8839
ok,2024-01-05 13:00:00,0.57,0.57,0.57,0.57,2950
ok,2024-01-05 13:30:00,0.57,0.57,0.56,0.56,3725
ok,2024-01-05 14:00:00,0.57,0.58,0.57,0.57,1500
ok,2024-01-05 14:30:00,0.57,0.57,0.56,0.56,1413
ok,2024-01-05 15:00:00,0.56,0.56,0.54,0.54,21981
ok,2024-01-05 15:30:00,0.56,0.58,0.54,0.58,5550
ok,2024-01-05 19:30:00,0.53,0.53,0.53,0.53,669
ok,2024-01-08 08:00:00,0.55,0.55,0.55,0.55,249
ok,2024-01-08 09:00:00,0.56,0.56,0.56,0.56,193
ok,2024-01-08 09:30:00,0.57,0.58,0.57,0.58,6539
ok,2024-01-08 10:00:00,0.58,0.58,0.58,0.58,848
ok,2024-01-08 10:30:00,0.57,0.57,0.53,0.53,3149
ok,2024-01-08 11:00:00,0.55,0.55,0.55,0.55,3868
ok,2024-01-08 11:30:00,0.55,0.55,0.55,0.55,500
ok,2024-01-08 12:00:00,0.54,0.55,0.54,0.55,5358
ok,2024-01-08 12:30:00,0.57,0.57,0.55,0.56,3218
