s,t,o,h,l,c,v
ok,2024-01-02 10:00:00,1.02,1.04,1.02,1.04,1832
ok,2024-01-02 10:30:00,1.04,1.06,1.04,1.05,3166
ok,2024-01-02 11:00:00,1.04,1.06,1.04,1.04,6245
ok,2024-01-02 11:30:00,1.06,1.06,1.06,1.06,2818
ok,2024-01-02 12:00:00,1.07,1.07,1.07,1.07,2159
ok,2024-01-02 12:30:00,1.07,1.16,1.07,1.13,26375
ok,2024-01-02 13:00:00,1.13,1.14,1.12,1.14,4940
ok,2024-01-02 13:30:00,1.12,1.14,1.1,1.14,10866
ok,2024-01-02 14:00:00,1.12,1.12,1.11,1.11,2725
ok,2024-01-02 14:30:00,1.11,1.11,1.11,1.11,500
ok,2024-01-02 15:00:00,1.11,1.11,1.1,1.1,668
ok,2024-01-02 15:30:00,1.09,1.11,1.09,1.11,3655
ok,2024-01-02 16:30:00,1.1,1.1,1.09,1.09,1065
ok,2024-01-03 09:00:00,1.08,1.08,1.08,1.08,265
ok,2024-01-03 09:30:00,1.12,1.13,1.12,1.13,6001
ok,2024-01-03 10:00:00,1.12,1.13,1.12,1.13,1230
ok,2024-01-03 10:30:00,1.13,1.14,1.13,1.14,1313
ok,2024-01-03 11:00:00,1.12,1.12,1.1,1.1,4216
ok,2024-01-03 12:00:00,1.13,1.13,1.13,1.13,150
ok,2024-01-03 12:30:00,1.11,1.12,1.11,1.12,1400
ok,2024-01-03 13:00:00,1.12,1.12,1.08,1.08,9269
ok,2024-01-03 14:00:00,1.1,1.11,1.09,1.09,5555
ok,2024-01-03 15:30:00,1.08,1.11,1.07,1.11,5552
ok,2024-01-03 16:00:00,1.11,1.11,1.11,1.11,1300
ok,2024-01-04 09:00:00,1.11,1.11,1.1,1.1,211
ok,2024-01-04 09:30:00,1.14,1.14,1.06,1.08,5925
ok,2024-01-04 10:00:00,1.08,1.08,1.08,1.08,510
ok,2024-01-04 10:30:00,1.09,1.09,1.08,1.08,300
ok,2024-01-04 11:30:00,1.08,1.08,1.08,1.08,1620
ok,2024-01-04 12:00:00,1.08,1.09,1.08,1.09,211
ok,2024-01-04 12:30:00,1.09,1.09,1.09,1.09,125
ok,2024-01-04 13:00:00,1.1,1.1,1.1,1.1,4500
ok,2024-01-04 13:30:00,1.1,1.1,1.1,1.1,150
ok,2024-01-04 14:00:00,1.08,1.11,1.08,1.11,1171
ok,2024-01-04 14:30:00,1.09,1.09,1.09,1.09,427
ok,2024-01-04 15:00:00,1.14,1.15,1.12,1.12,6858
ok,2024-01-04 15:30:00,1.16,1.17,1.08,1.15,3918
ok,2024-01-04 16:30:00,1.11,1.11,1.11,1.11,208
ok,2024-01-05 07:00:00,1.05,1.06,1.05,1.06,1222
ok,2024-01-05 09:00:00,1.15,1.15,1.15,1.15,130
ok,2024-01-05 09:30:00,1.15,1.15,1.04,1.08,10279
ok,2024-01-05 10:00:00,1.07,1.07,1.07,1.07,231
ok,2024-01-05 11:00:00,1.09,1.09,1.07,1.07,1023
ok,2024-01-05 13:00:00,1.1,1.11,1.1,1.1,956
ok,2024-01-05 14:30:00,1.1,1.1,1.07,1.08,6000
ok,2024-01-05 15:00:00,1.11,1.11,1.11,1.11,109
ok,2024-01-05 15:30:00,1.09,1.09,1.09,1.09,1716
ok,2024-01-08 09:30:00,1.17,1.17,1.09,1.14,1929
ok,2024-01-08 10:00:00,1.12,1.12,1.07,1.09,4828
ok,2024-01-08 11:00:00,1.1,1.1,1.1,1.1,2696
ok,2024-01-08 11:30:00,1.1,1.1,1.1,1.1,100
ok,2024-01-08 12:30:00,1.06,1.1,1.06,1.07,1601
ok,2024-01-08 13:00:00,1.1,1.1,1.1,1.1,677
ok,2024-01-08 14:00:00,1.09,1.11,1.09,1.11,432
ok,2024-01-08 15:30:00,1.08,1.12,1.08,1.12,1477
ok,2024-01-08 16:00:00,1.12,1.12,1.12,1.12,100
ok,2024-01-08 17:00:00,1.12,1.12,1.12,1.12,152
ok,2024-01-09 07:00:00,1.15,1.15,1.15,1.15,887
ok,2024-01-09 08:00:00,1.15,1.15,1.15,1.15,152
ok,2024-01-09 09:30:00,1.13,1.35,1.13,1.26,362456
ok,2024-01-09 10:00:00,1.29,1.34,1.27,1.3,113395
ok,2024-01-09 10:30:00,1.29,1.32,1.26,1.27,28845
ok,2024-01-09 11:00:00,1.28,1.32,1.25,1.27,43961
ok,2024-01-09 11:30:00,1.3,1.3,1.27,1.3,7733
ok,2024-01-09 12:00:00,1.3,1.3,1.27,1.27,13131
ok,2024-01-09 12:30:00,1.26,1.34,1.26,1.32,21748
ok,2024-01-09 13:00:00,1.34,1.4,1.31,1.32,89663
ok,2024-01-09 13:30:00,1.33,1.36,1.33,1.34,65891
ok,2024-01-09 14:00:00,1.35,1.39,1.34,1.37,27993
ok,2024-01-09 14:30:00,1.36,1.41,1.3,1.33,136099
ok,2024-01-09 15:00:00,1.33,1.35,1.3,1.35,21648
ok,2024-01-09 15:30:00,1.35,1.35,1.3,1.3,55130
ok,2024-01-09 16:00:00,1.28,1.32,1.28,1.3,2978
ok,2024-01-09 16:30:00,1.32,1.32,1.32,1.32,500
ok,2024-01-09 17:00:00,1.32,1.32,1.32,1.32,2104
ok,2024-01-09 17:30:00,1.36,1.36,1.3,1.3,914
ok,2024-01-09 18:00:00,1.34,1.34,1.33,1.33,700
ok,2024-01-09 18:30:00,1.36,1.36,1.36,1.36,278
ok,2024-01-09 19:00:00,1.36,1.36,1.36,1.36,500
ok,2024-01-09 19:30:00,1.36,1.36,1.33,1.33,3078
ok,2024-01-10 07:30:00,1.33,1.33,1.33,1.33,215
ok,2024-01-10 08:00:00,1.35,1.35,1.27,1.3,5942
