s,t,o,h,l,c,v
ok,2024-01-02 05:00:00,1.3,1.3,1.3,1.3,123
ok,2024-01-02 07:00:00,1.32,1.32,1.32,1.32,100
ok,2024-01-02 09:30:00,1.27,1.27,1.25,1.25,7715
ok,2024-01-02 10:00:00,1.27,1.29,1.26,1.27,1000
ok,2024-01-02 10:30:00,1.27,1.28,1.26,1.26,1463
ok,2024-01-02 11:00:00,1.26,1.26,1.25,1.25,2740
ok,2024-01-02 11:30:00,1.26,1.35,1.25,1.28,57944
ok,2024-01-02 12:00:00,1.35,1.35,1.35,1.35,100
ok,2024-01-02 12:30:00,1.32,1.32,1.3,1.3,2414
ok,2024-01-02 13:00:00,1.3,1.3,1.28,1.29,1405
ok,2024-01-02 13:30:00,1.31,1.31,1.31,1.31,150
ok,2024-01-02 14:00:00,1.29,1.32,1.29,1.29,9180
ok,2024-01-02 14:30:00,1.32,1.32,1.32,1.32,200
ok,2024-01-02 15:00:00,1.27,1.27,1.26,1.26,958
ok,2024-01-02 15:30:00,1.27,1.3,1.26,1.26,5241
ok,2024-01-02 16:00:00,1.28,1.28,1.28,1.28,7007
ok,2024-01-02 18:00:00,1.29,1.29,1.29,1.29,100
ok,2024-01-03 08:00:00,1.33,1.33,1.33,1.33,202
ok,2024-01-03 08:30:00,1.32,1.32,1.27,1.27,287
ok,2024-01-03 09:30:00,1.34,1.34,1.22,1.22,11071
ok,2024-01-03 10:00:00,1.25,1.29,1.24,1.24,2750
ok,2024-01-03 10:30:00,1.25,1.3,1.25,1.27,2340
ok,2024-01-03 11:00:00,1.27,1.27,1.26,1.26,1400
ok,2024-01-03 11:30:00,1.26,1.27,1.26,1.27,311
ok,2024-01-03 12:00:00,1.25,1.25,1.23,1.23,2101
ok,2024-01-03 12:30:00,1.25,1.25,1.23,1.25,1315
ok,2024-01-03 13:00:00,1.24,1.24,1.23,1.23,2800
ok,2024-01-03 14:30:00,1.26,1.32,1.24,1.32,6407
ok,2024-01-03 15:00:00,1.32,1.32,1.3,1.3,15368
ok,2024-01-03 15:30:00,1.32,1.32,1.3,1.32,4021
ok,2024-01-03 16:00:00,1.26,1.33,1.26,1.33,6963
ok,2024-01-03 17:00:00,1.33,1.34,1.33,1.34,350
ok,2024-01-03 17:30:00,1.28,1.28,1.28,1.28,284
ok,2024-01-04 08:00:00,1.34,1.34,1.34,1.34,100
ok,2024-01-04 09:30:00,1.31,1.31,1.31,1.31,229
ok,2024-01-04 10:00:00,1.3,1.3,1.25,1.27,2737
ok,2024-01-04 10:30:00,1.26,1.27,1.25,1.25,5721
ok,2024-01-04 11:00:00,1.25,1.26,1.25,1.26,782
ok,2024-01-04 11:30:00,1.26,1.26,1.25,1.26,2400
ok,2024-01-04 12:00:00,1.25,1.25,1.25,1.25,100
ok,2024-01-04 12:30:00,1.28,1.28,1.28,1.28,100
ok,2024-01-04 13:00:00,1.27,1.28,1.26,1.26,700
ok,2024-01-04 13:30:00,1.27,1.28,1.27,1.28,320
ok,2024-01-04 14:00:00,1.27,1.27,1.27,1.27,117
ok,2024-01-04 14:30:00,1.31,1.31,1.28,1.28,284
ok,2024-01-04 15:30:00,1.29,1.29,1.29,1.29,100
ok,2024-01-04 16:00:00,1.25,1.25,1.25,1.25,1773
ok,2024-01-04 17:00:00,1.28,1.28,1.28,1.28,135
ok,2024-01-04 17:30:00,1.25,1.25,1.25,1.25,100
ok,2024-01-05 08:30:00,1.31,1.31,1.31,1.31,100
ok,2024-01-05 09:30:00,1.29,1.29,1.29,1.29,874
ok,2024-01-05 10:00:00,1.29,1.29,1.29,1.29,2819
ok,2024-01-05 10:30:00,1.31,1.31,1.26,1.27,5515
ok,2024-01-05 11:00:00,1.31,1.31,1.31,1.31,100
ok,2024-01-05 12:00:00,1.27,1.27,1.27,1.27,536
ok,2024-01-05 13:30:00,1.27,1.27,1.27,1.27,223
ok,2024-01-05 14:30:00,1.27,1.3,1.27,1.3,264
ok,2024-01-05 15:00:00,1.27,1.31,1.27,1.3,9138
ok,2024-01-05 15:30:00,1.29,1.32,1.27,1.27,1406
ok,2024-01-05 16:00:00,1.27,1.27,1.27,1.27,2595
ok,2024-01-05 19:00:00,1.26,1.26,1.26,1.26,100
ok,2024-01-08 09:30:00,1.27,1.27,1.27,1.27,355
ok,2024-01-08 10:00:00,1.26,1.33,1.26,1.33,3075
ok,2024-01-08 10:30:00,1.26,1.26,1.25,1.25,1910
ok,2024-01-08 11:00:00,1.27,1.27,1.27,1.27,150
ok,2024-01-08 11:30:00,1.26,1.27,1.26,1.26,1158
ok,2024-01-08 12:00:00,1.26,1.26,1.26,1.26,200
ok,2024-01-08 12:30:00,1.27,1.29,1.27,1.29,525
ok,2024-01-08 13:00:00,1.28,1.28,1.27,1.27,400
ok,2024-01-08 13:30:00,1.3,1.33,1.3,1.33,428
