s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,0.73,0.74,0.73,0.74,200
ok,2024-01-02 08:30:00,0.72,0.72,0.72,0.72,400
ok,2024-01-02 09:30:00,0.75,0.75,0.72,0.73,14693
ok,2024-01-02 10:00:00,0.73,0.73,0.73,0.73,10123
ok,2024-01-02 10:30:00,0.73,0.74,0.73,0.74,9289
ok,2024-01-02 11:00:00,0.73,0.74,0.73,0.73,1115
ok,2024-01-02 11:30:00,0.73,0.74,0.73,0.74,5008
ok,2024-01-02 12:00:00,0.74,0.74,0.74,0.74,500
ok,2024-01-02 12:30:00,0.74,0.74,0.74,0.74,1107
ok,2024-01-02 13:30:00,0.74,0.74,0.73,0.73,727
ok,2024-01-02 14:00:00,0.73,0.73,0.73,0.73,15227
ok,2024-01-02 14:30:00,0.73,0.74,0.73,0.74,3827
ok,2024-01-02 15:00:00,0.73,0.74,0.73,0.74,2307
ok,2024-01-02 15:30:00,0.74,0.74,0.73,0.73,19355
ok,2024-01-02 16:30:00,0.75,0.75,0.75,0.75,1000
ok,2024-01-02 17:00:00,0.75,0.75,0.71,0.71,1886
ok,2024-01-03 09:30:00,0.75,0.75,0.72,0.75,16872
ok,2024-01-03 10:00:00,0.73,0.75,0.73,0.75,10746
ok,2024-01-03 10:30:00,0.75,0.77,0.75,0.77,30322
ok,2024-01-03 11:00:00,0.77,0.77,0.76,0.76,300
ok,2024-01-03 11:30:00,0.75,0.76,0.75,0.76,4200
ok,2024-01-03 12:00:00,0.77,0.77,0.76,0.77,1900
ok,2024-01-03 12:30:00,0.77,0.77,0.77,0.77,2491
ok,2024-01-03 13:00:00,0.77,0.83,0.77,0.81,57678
ok,2024-01-03 13:30:00,0.82,0.82,0.78,0.78,15334
ok,2024-01-03 14:00:00,0.78,0.79,0.75,0.77,17379
ok,2024-01-03 14:30:00,0.77,0.79,0.75,0.79,11903
ok,2024-01-03 15:00:00,0.78,0.78,0.75,0.77,12951
ok,2024-01-03 15:30:00,0.75,0.76,0.74,0.75,16266
ok,2024-01-03 17:00:00,0.72,0.72,0.72,0.72,998
ok,2024-01-03 18:00:00,0.76,0.76,0.76,0.76,401
ok,2024-01-04 04:30:00,0.71,0.71,0.71,0.71,100
ok,2024-01-04 07:00:00,0.72,0.72,0.72,0.72,233
ok,2024-01-04 09:00:00,0.73,0.73,0.73,0.73,4000
ok,2024-01-04 09:30:00,0.73,0.77,0.73,0.77,24303
ok,2024-01-04 10:00:00,0.77,0.77,0.75,0.77,1751
ok,2024-01-04 10:30:00,0.75,0.76,0.75,0.75,3071
ok,2024-01-04 11:00:00,0.77,0.77,0.77,0.77,200
ok,2024-01-04 11:30:00,0.77,0.77,0.77,0.77,400
ok,2024-01-04 12:00:00,0.77,0.77,0.77,0.77,1252
ok,2024-01-04 12:30:00,0.77,0.77,0.76,0.76,8500
ok,2024-01-04 13:30:00,0.77,0.77,0.77,0.77,6838
ok,2024-01-04 14:00:00,0.77,0.77,0.77,0.77,10837
ok,2024-01-04 14:30:00,0.77,0.77,0.76,0.76,4727
ok,2024-01-04 15:00:00,0.76,0.76,0.76,0.76,1373
ok,2024-01-04 15:30:00,0.76,0.77,0.76,0.76,944
ok,2024-01-05 08:00:00,0.78,0.78,0.78,0.78,100
ok,2024-01-05 09:30:00,0.78,0.78,0.75,0.77,20449
ok,2024-01-05 10:00:00,0.76,0.76,0.76,0.76,919
ok,2024-01-05 10:30:00,0.76,0.76,0.75,0.75,4411
ok,2024-01-05 11:00:00,0.76,0.76,0.75,0.76,30217
ok,2024-01-05 11:30:00,0.74,0.76,0.74,0.76,2543
ok,2024-01-05 12:30:00,0.75,0.76,0.75,0.76,1619
ok,2024-01-05 13:00:00,0.76,0.76,0.76,0.76,5690
ok,2024-01-05 13:30:00,0.78,0.78,0.78,0.78,300
ok,2024-01-05 14:00:00,0.78,0.79,0.76,0.77,21821
ok,2024-01-05 14:30:00,0.78,0.79,0.78,0.79,3996
ok,2024-01-05 15:00:00,0.79,0.82,0.79,0.82,8185
ok,2024-01-05 15:30:00,0.82,0.85,0.81,0.84,80669
ok,2024-01-05 16:00:00,0.85,0.85,0.85,0.85,100
ok,2024-01-08 08:30:00,0.83,0.85,0.83,0.84,5000
ok,2024-01-08 09:30:00,0.84,0.85,0.82,0.83,34483
ok,2024-01-08 10:00:00,0.84,0.84,0.83,0.83,14132
ok,2024-01-08 10:30:00,0.85,0.85,0.84,0.85,22702
ok,2024-01-08 11:00:00,0.87,0.89,0.86,0.87,15874
ok,2024-01-08 11:30:00,0.86,0.88,0.86,0.86,17024
ok,2024-01-08 12:00:00,0.87,0.87,0.84,0.87,15366
ok,2024-01-08 12:30:00,0.87,0.87,0.85,0.87,18187
ok,2024-01-08 13:00:00,0.86,0.86,0.85,0.86,4017
ok,2024-01-08 13:30:00,0.86,0.86,0.84,0.84,8070
ok,2024-01-08 14:00:00,0.86,0.86,0.84,0.84,1392
ok,2024-01-08 14:30:00,0.85,0.86,0.84,0.85,13140
ok,2024-01-08 15:00:00,0.86,0.86,0.85,0.85,7992
ok,2024-01-08 15:30:00,0.84,0.87,0.84,0.87,37166
ok,2024-01-09 09:30:00,0.88,0.89,0.87,0.88,11484
ok,2024-01-09 10:00:00,0.87,0.88,0.85,0.87,16802
ok,2024-01-09 10:30:00,0.88,0.89,0.88,0.88,16629
ok,2024-01-09 11:00:00,0.88,0.88,0.87,0.88,1910
ok,2024-01-09 11:30:00,0.88,0.89,0.87,0.89,2201
ok,2024-01-09 12:00:00,0.89,0.9,0.89,0.9,9894
ok,2024-01-09 12:30:00,0.89,0.9,0.89,0.9,486
ok,2024-01-09 13:00:00,0.9,0.91,0.9,0.91,14521
ok,2024-01-09 13:30:00,0.91,0.93,0.91,0.93,21745
ok,2024-01-09 14:00:00,0.93,0.93,0.92,0.92,400
ok,2024-01-09 14:30:00,0.9,0.94,0.9,0.93,70288
ok,2024-01-09 15:00:00,0.94,0.94,0.88,0.88,76321
ok,2024-01-09 15:30:00,0.87,0.88,0.87,0.88,12906
ok,2024-01-09 16:30:00,0.88,0.88,0.88,0.88,100
ok,2024-01-09 18:00:00,0.88,0.88,0.88,0.88,1500
ok,2024-01-10 09:30:00,0.88,0.93,0.85,0.85,12261
ok,2024-01-10 10:00:00,0.83,0.85,0.83,0.83,19061
ok,2024-01-10 10:30:00,0.85,0.88,0.85,0.88,12061
ok,2024-01-10 11:00:00,0.87,0.88,0.87,0.87,443
ok,2024-01-10 12:00:00,0.85,0.88,0.85,0.88,4655
ok,2024-01-10 12:30:00,0.88,0.88,0.87,0.88,11752
ok,2024-01-10 13:00:00,0.87,0.87,0.86,0.86,7352
ok,2024-01-10 13:30:00,0.87,0.87,0.86,0.86,6033
ok,2024-01-10 14:00:00,0.88,0.88,0.87,0.87,822
ok,2024-01-10 14:30:00,0.86,0.86,0.86,0.86,140
ok,2024-01-10 15:00:00,0.87,0.87,0.86,0.86,3888
ok,2024-01-10 15:30:00,0.86,0.86,0.86,0.86,1600
ok,2024-01-10 17:00:00,0.86,0.86,0.86,0.86,500
ok,2024-01-10 18:00:00,0.86,0.86,0.86,0.86,1108
ok,2024-01-11 08:00:00,0.86,0.86,0.86,0.86,120
ok,2024-01-11 09:30:00,0.9,0.9,0.85,0.85,6107
ok,2024-01-11 10:00:00,0.86,0.86,0.82,0.82,27333
ok,2024-01-11 10:30:00,0.81,0.83,0.81,0.82,7209
ok,2024-01-11 11:00:00,0.82,0.84,0.82,0.84,1811
ok,2024-01-11 12:30:00,0.85,0.86,0.84,0.86,11568
ok,2024-01-11 13:00:00,0.86,0.86,0.86,0.86,2101
ok,2024-01-11 13:30:00,0.86,0.86,0.86,0.86,300
ok,2024-01-11 14:00:00,0.86,0.86,0.86,0.86,21229
ok,2024-01-11 14:30:00,0.86,0.86,0.86,0.86,14956
ok,2024-01-11 15:00:00,0.86,0.86,0.86,0.86,200
ok,2024-01-11 15:30:00,0.86,0.86,0.85,0.86,23651
ok,2024-01-12 08:00:00,0.83,0.83,0.83,0.83,125
ok,2024-01-12 09:30:00,0.86,0.86,0.82,0.86,3301
ok,2024-01-12 10:00:00,0.84,0.86,0.84,0.86,1100
ok,2024-01-12 10:30:00,0.84,0.84,0.82,0.82,15816
ok,2024-01-12 11:00:00,0.83,0.83,0.82,0.82,22666
ok,2024-01-12 11:30:00,0.83,0.83,0.82,0.82,13099
ok,2024-01-12 12:00:00,0.83,0.83,0.83,0.83,111
ok,2024-01-12 12:30:00,0.83,0.87,0.83,0.86,16196
ok,2024-01-12 13:00:00,0.86,0.87,0.85,0.85,7269
ok,2024-01-12 13:30:00,0.87,0.87,0.86,0.87,1188
