s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,0.45,0.45,0.45,0.45,2097
ok,2024-01-02 10:00:00,0.47,0.48,0.47,0.48,305
ok,2024-01-02 10:30:00,0.48,0.48,0.48,0.48,1031
ok,2024-01-02 11:30:00,0.46,0.46,0.46,0.46,400
ok,2024-01-02 14:30:00,0.48,0.48,0.48,0.48,1040
ok,2024-01-02 15:30:00,0.48,0.48,0.48,0.48,1030
ok,2024-01-02 19:30:00,0.46,0.46,0.46,0.46,500
ok,2024-01-03 09:30:00,0.45,0.45,0.44,0.44,6488
ok,2024-01-03 10:30:00,0.44,0.46,0.44,0.46,8000
ok,2024-01-03 11:00:00,0.45,0.45,0.45,0.45,2423
ok,2024-01-03 11:30:00,0.46,0.46,0.4,0.41,151973
ok,2024-01-03 12:00:00,0.39,0.42,0.39,0.41,1451
ok,2024-01-03 12:30:00,0.41,0.41,0.39,0.39,2348
ok,2024-01-03 13:00:00,0.39,0.41,0.39,0.4,16238
ok,2024-01-03 13:30:00,0.4,0.4,0.4,0.4,450
ok,2024-01-03 14:00:00,0.39,0.39,0.38,0.38,42366
ok,2024-01-03 14:30:00,0.38,0.4,0.38,0.39,9488
ok,2024-01-03 15:00:00,0.4,0.4,0.4,0.4,132
ok,2024-01-03 15:30:00,0.39,0.4,0.38,0.38,4704
ok,2024-01-03 17:00:00,0.39,0.39,0.39,0.39,900
ok,2024-01-04 09:00:00,0.39,0.39,0.39,0.39,100
ok,2024-01-04 09:30:00,0.38,0.39,0.38,0.38,4255
ok,2024-01-04 10:00:00,0.38,0.38,0.36,0.36,51020
ok,2024-01-04 10:30:00,0.36,0.38,0.36,0.38,1657
ok,2024-01-04 11:00:00,0.36,0.36,0.36,0.36,1887
ok,2024-01-04 14:30:00,0.37,0.37,0.37,0.37,1317
ok,2024-01-04 15:00:00,0.37,0.37,0.37,0.37,100
ok,2024-01-04 15:30:00,0.37,0.37,0.37,0.37,272
ok,2024-01-05 09:30:00,0.36,0.38,0.36,0.38,2866
ok,2024-01-05 10:00:00,0.38,0.38,0.38,0.38,9628
ok,2024-01-05 10:30:00,0.36,0.36,0.36,0.36,1500
ok,2024-01-05 11:00:00,0.36,0.37,0.36,0.37,2000
ok,2024-01-05 12:30:00,0.36,0.36,0.36,0.36,127
ok,2024-01-05 13:00:00,0.36,0.37,0.36,0.37,1406
ok,2024-01-05 13:30:00,0.36,0.36,0.36,0.36,3007
ok,2024-01-05 14:00:00,0.36,0.36,0.36,0.36,100
ok,2024-01-05 14:30:00,0.36,0.36,0.36,0.36,408
ok,2024-01-05 15:00:00,0.36,0.36,0.36,0.36,403
ok,2024-01-05 15:30:00,0.36,0.36,0.36,0.36,381
ok,2024-01-08 09:00:00,0.36,0.36,0.34,0.34,2323
ok,2024-01-08 09:30:00,0.34,0.34,0.32,0.32,5497
ok,2024-01-08 10:00:00,0.32,0.32,0.3,0.31,29982
ok,2024-01-08 10:30:00,0.32,0.32,0.32,0.32,529
ok,2024-01-08 11:00:00,0.32,0.32,0.32,0.32,773
ok,2024-01-08 11:30:00,0.32,0.32,0.32,0.32,100
ok,2024-01-08 12:30:00,0.31,0.32,0.31,0.32,243
ok,2024-01-08 13:30:00,0.31,0.31,0.31,0.31,556
ok,2024-01-08 14:30:00,0.31,0.31,0.3,0.3,5520
ok,2024-01-08 15:00:00,0.31,0.31,0.28,0.3,80672
ok,2024-01-08 15:30:00,0.28,0.3,0.28,0.29,10147
ok,2024-01-08 16:00:00,0.3,0.3,0.3,0.3,500
ok,2024-01-08 18:00:00,0.31,0.31,0.31,0.31,100
ok,2024-01-08 19:00:00,0.31,0.31,0.31,0.31,100
ok,2024-01-09 08:00:00,0.3,0.3,0.3,0.3,420
ok,2024-01-09 08:30:00,0.3,0.3,0.3,0.3,290
ok,2024-01-09 09:30:00,0.27,0.3,0.27,0.29,1698
ok,2024-01-09 10:00:00,0.3,0.3,0.3,0.3,1357
ok,2024-01-09 10:30:00,0.29,0.31,0.29,0.31,15131
ok,2024-01-09 12:30:00,0.3,0.3,0.3,0.3,1000
ok,2024-01-09 13:30:00,0.29,0.29,0.29,0.29,400
ok,2024-01-09 14:00:00,0.29,0.29,0.29,0.29,339
ok,2024-01-09 15:00:00,0.3,0.3,0.3,0.3,5000
ok,2024-01-09 15:30:00,0.29,0.29,0.29,0.29,2774
ok,2024-01-10 09:30:00,0.28,0.29,0.28,0.29,11117
ok,2024-01-10 15:00:00,0.29,0.29,0.29,0.29,1146
ok,2024-01-10 15:30:00,0.29,0.29,0.28,0.28,941
ok,2024-01-10 19:30:00,0.29,0.29,0.29,0.29,125
ok,2024-01-11 09:00:00,0.28,0.28,0.28,0.28,800
ok,2024-01-11 09:30:00,0.28,0.28,0.28,0.28,846
ok,2024-01-11 10:00:00,0.27,0.27,0.27,0.27,3187
ok,2024-01-11 11:00:00,0.27,0.27,0.27,0.27,500
ok,2024-01-11 11:30:00,0.27,0.27,0.27,0.27,18738
ok,2024-01-11 12:00:00,0.27,0.27,0.27,0.27,400
ok,2024-01-11 12:30:00,0.27,0.27,0.26,0.26,1354
ok,2024-01-11 13:00:00,0.26,0.27,0.26,0.27,10062
ok,2024-01-11 13:30:00,0.27,0.27,0.27,0.27,529
ok,2024-01-11 15:00:00,0.27,0.27,0.27,0.27,426
ok,2024-01-11 15:30:00,0.27,0.27,0.26,0.26,3004
ok,2024-01-11 16:00:00,0.27,0.27,0.27,0.27,300
ok,2024-01-12 09:30:00,0.25,0.25,0.25,0.25,1309
ok,2024-01-12 10:00:00,0.29,0.33,0.29,0.33,7617
ok,2024-01-12 10:30:00,0.3,0.3,0.27,0.29,14080
ok,2024-01-12 11:00:00,0.27,0.27,0.27,0.27,120
ok,2024-01-12 12:00:00,0.28,0.28,0.27,0.27,1512
ok,2024-01-12 14:00:00,0.28,0.28,0.28,0.28,555
ok,2024-01-12 14:30:00,0.28,0.28,0.26,0.26,1332
ok,2024-01-12 15:00:00,0.25,0.25,0.25,0.25,736
ok,2024-01-12 15:30:00,0.25,0.26,0.25,0.25,2001
ok,2024-01-12 17:00:00,0.29,0.29,0.26,0.26,600
ok,2024-01-16 09:30:00,0.27,0.27,0.27,0.27,4840
ok,2024-01-16 10:00:00,0.25,0.25,0.25,0.25,438
ok,2024-01-16 10:30:00,0.25,0.25,0.25,0.25,3592
ok,2024-01-16 11:30:00,0.27,0.27,0.26,0.26,489
ok,2024-01-16 12:00:00,0.27,0.27,0.27,0.27,193
ok,2024-01-16 12:30:00,0.26,0.26,0.26,0.26,338
ok,2024-01-16 15:00:00,0.27,0.28,0.27,0.28,12036
ok,2024-01-16 15:30:00,0.26,0.26,0.26,0.26,983
ok,2024-01-17 09:30:00,0.26,0.27,0.26,0.27,540
ok,2024-01-17 11:00:00,0.26,0.27,0.26,0.27,932
ok,2024-01-18 07:30:00,0.27,0.27,0.27,0.27,499
ok,2024-01-18 09:30:00,0.27,0.27,0.26,0.26,4306
ok,2024-01-18 10:00:00,0.27,0.27,0.27,0.27,230
ok,2024-01-18 11:30:00,0.27,0.27,0.26,0.26,1651
ok,2024-01-18 12:00:00,0.27,0.27,0.27,0.27,100
ok,2024-01-18 12:30:00,0.26,0.26,0.26,0.26,933
ok,2024-01-18 13:00:00,0.27,0.27,0.27,0.27,100
ok,2024-01-18 15:00:00,0.27,0.27,0.27,0.27,202
ok,2024-01-18 15:30:00,0.27,0.27,0.27,0.27,100
ok,2024-01-19 09:30:00,0.27,0.27,0.27,0.27,5036
ok,2024-01-19 10:00:00,0.27,0.27,0.27,0.27,7796
ok,2024-01-19 10:30:00,0.27,0.27,0.27,0.27,7371
ok,2024-01-19 11:00:00,0.27,0.27,0.27,0.27,21358
ok,2024-01-19 11:30:00,0.27,0.27,0.27,0.27,10675
ok,2024-01-19 12:30:00,0.27,0.27,0.27,0.27,100
ok,2024-01-19 13:30:00,0.27,0.27,0.27,0.27,150
ok,2024-01-19 14:00:00,0.27,0.27,0.27,0.27,200
ok,2024-01-19 14:30:00,0.27,0.27,0.27,0.27,311
ok,2024-01-19 15:00:00,0.27,0.27,0.27,0.27,7816
ok,2024-01-19 15:30:00,0.27,0.27,0.27,0.27,100
ok,2024-01-22 09:30:00,0.26,0.26,0.26,0.26,632
ok,2024-01-22 12:30:00,0.26,0.26,0.26,0.26,350
ok,2024-01-22 13:00:00,0.27,0.27,0.27,0.27,164
ok,2024-01-23 09:30:00,0.25,0.25,0.22,0.22,12261
ok,2024-01-23 10:00:00,0.21,0.21,0.21,0.21,18280
ok,2024-01-23 10:30:00,0.22,0.25,0.21,0.25,11558
ok,2024-01-23 11:00:00,0.25,0.25,0.24,0.24,511
ok,2024-01-23 11:30:00,0.24,0.25,0.24,0.24,807
ok,2024-01-23 12:00:00,0.24,0.24,0.22,0.24,4259
ok,2024-01-23 12:30:00,0.24,0.24,0.22,0.22,1051
ok,2024-01-23 13:00:00,0.23,0.23,0.23,0.23,10400
ok,2024-01-23 13:30:00,0.23,0.23,0.23,0.23,300
ok,2024-01-23 14:30:00,0.23,0.23,0.22,0.22,24553
ok,2024-01-23 15:00:00,0.22,0.22,0.22,0.22,1849
ok,2024-01-23 15:30:00,0.22,0.22,0.22,0.22,3207
ok,2024-01-23 16:00:00,0.22,0.22,0.22,0.22,555
ok,2024-01-23 16:30:00,0.22,0.22,0.22,0.22,307
ok,2024-01-23 18:00:00,0.22,0.22,0.22,0.22,500
ok,2024-01-23 18:30:00,0.22,0.22,0.22,0.22,100
ok,2024-01-24 04:00:00,0.2,0.2,0.2,0.2,311
ok,2024-01-24 05:00:00,0.22,0.22,0.22,0.22,100
