s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,0.65,0.65,0.65,0.65,300
ok,2024-01-02 09:00:00,0.7,0.72,0.7,0.72,600
ok,2024-01-02 09:30:00,0.82,0.82,0.74,0.78,8511
ok,2024-01-02 10:00:00,0.73,0.78,0.67,0.74,4528
ok,2024-01-02 10:30:00,0.77,0.77,0.69,0.75,3955
ok,2024-01-02 11:00:00,0.75,0.75,0.73,0.74,1920
ok,2024-01-02 11:30:00,0.74,0.74,0.71,0.71,1935
ok,2024-01-02 12:00:00,0.71,0.71,0.68,0.69,1639
ok,2024-01-02 12:30:00,0.71,0.71,0.71,0.71,300
ok,2024-01-02 13:00:00,0.68,0.71,0.68,0.71,250
ok,2024-01-02 13:30:00,0.71,0.72,0.68,0.72,5126
ok,2024-01-02 14:00:00,0.72,0.75,0.72,0.75,7211
ok,2024-01-02 14:30:00,0.77,0.77,0.77,0.77,100
ok,2024-01-02 15:00:00,0.69,0.69,0.69,0.69,4000
ok,2024-01-02 15:30:00,0.69,0.73,0.69,0.73,2542
ok,2024-01-03 09:30:00,0.72,0.72,0.7,0.7,1966
ok,2024-01-03 10:30:00,0.73,0.73,0.73,0.73,1951
ok,2024-01-03 11:00:00,0.75,0.76,0.73,0.73,2245
ok,2024-01-03 11:30:00,0.73,0.73,0.73,0.73,100
ok,2024-01-03 12:00:00,0.75,0.75,0.75,0.75,623
ok,2024-01-03 12:30:00,0.75,0.75,0.75,0.75,100
ok,2024-01-03 13:00:00,0.73,0.74,0.73,0.73,888
ok,2024-01-03 13:30:00,0.73,0.73,0.73,0.73,714
ok,2024-01-03 14:00:00,0.74,0.74,0.74,0.74,725
ok,2024-01-03 15:00:00,0.73,0.73,0.7,0.73,8150
ok,2024-01-03 15:30:00,0.73,0.73,0.7,0.7,1118
ok,2024-01-04 09:30:00,0.73,0.76,0.7,0.7,13519
ok,2024-01-04 10:00:00,0.76,0.77,0.71,0.71,11321
ok,2024-01-04 10:30:00,0.76,0.77,0.76,0.77,1000
ok,2024-01-04 11:30:00,0.77,0.77,0.77,0.77,311
ok,2024-01-04 12:00:00,0.77,0.77,0.77,0.77,100
ok,2024-01-04 13:00:00,0.74,0.77,0.74,0.77,4668
ok,2024-01-04 14:00:00,0.76,0.76,0.76,0.76,100
ok,2024-01-04 14:30:00,0.74,0.77,0.74,0.77,2067
ok,2024-01-04 15:00:00,0.74,0.76,0.72,0.73,11195
ok,2024-01-04 15:30:00,0.77,0.77,0.77,0.77,281
ok,2024-01-05 04:00:00,0.77,0.77,0.77,0.77,188
ok,2024-01-05 09:30:00,0.77,0.77,0.75,0.75,1465
ok,2024-01-05 10:00:00,0.75,0.76,0.75,0.75,6252
ok,2024-01-05 10:30:00,0.77,0.77,0.77,0.77,130
ok,2024-01-05 11:30:00,0.75,0.75,0.75,0.75,500
ok,2024-01-05 12:00:00,0.74,0.74,0.74,0.74,210
ok,2024-01-05 12:30:00,0.75,0.75,0.74,0.74,813
ok,2024-01-05 13:30:00,0.76,0.76,0.75,0.75,4100
ok,2024-01-05 14:00:00,0.76,0.76,0.74,0.74,1127
ok,2024-01-05 14:30:00,0.75,0.75,0.75,0.75,200
ok,2024-01-05 15:30:00,0.73,0.76,0.73,0.75,3320
ok,2024-01-05 16:00:00,0.76,0.76,0.76,0.76,100
ok,2024-01-05 18:00:00,0.76,0.76,0.76,0.76,200
ok,2024-01-08 09:00:00,0.78,0.79,0.78,0.79,1417
ok,2024-01-08 09:30:00,0.8,0.8,0.75,0.79,19847
ok,2024-01-08 10:00:00,0.75,0.79,0.75,0.79,2109
ok,2024-01-08 10:30:00,0.76,0.76,0.73,0.74,9106
ok,2024-01-08 11:00:00,0.76,0.77,0.76,0.77,1403
ok,2024-01-08 12:00:00,0.77,0.77,0.75,0.75,400
ok,2024-01-08 12:30:00,0.75,0.75,0.75,0.75,105
ok,2024-01-08 13:30:00,0.77,0.77,0.77,0.77,233
ok,2024-01-08 14:00:00,0.73,0.75,0.73,0.74,7288
ok,2024-01-08 14:30:00,0.77,0.77,0.74,0.74,702
ok,2024-01-08 15:00:00,0.75,0.76,0.75,0.76,1204
ok,2024-01-08 15:30:00,0.76,0.77,0.76,0.77,300
ok,2024-01-09 09:00:00,0.72,0.72,0.7,0.7,600
ok,2024-01-09 09:30:00,0.68,0.78,0.68,0.78,39392
ok,2024-01-09 10:00:00,0.76,0.78,0.75,0.75,10774
ok,2024-01-09 10:30:00,0.75,0.75,0.75,0.75,200
ok,2024-01-09 11:30:00,0.75,0.75,0.71,0.71,900
ok,2024-01-09 12:00:00,0.71,0.73,0.71,0.71,4540
ok,2024-01-09 12:30:00,0.72,0.75,0.72,0.75,1266
