s,t,o,h,l,c,v
ok,2024-04-03 03:00:00,20.0,32.56,16.0,21.48,46621
ok,2024-04-03 03:30:00,19.8,25.94,19.24,19.24,13913
ok,2024-04-03 04:00:00,19.65,22.0,18.2,20.63,6356
ok,2024-04-03 04:30:00,20.6,21.08,16.83,16.9,12786
ok,2024-04-03 05:00:00,17.7,17.7,11.0,11.0,11196
ok,2024-04-03 05:30:00,9.99,10.5,8.54,9.69,17118
ok,2024-04-03 06:00:00,9.6,9.6,7.11,8.4,9133
ok,2024-04-03 06:30:00,7.9,8.05,6.42,7.15,8957
ok,2024-04-03 07:00:00,7.06,8.56,6.54,8.5,8083
ok,2024-04-03 07:30:00,8.48,8.5,8.4,8.4,1053
ok,2024-04-03 08:00:00,7.17,7.17,7.17,7.17,213
ok,2024-04-03 08:30:00,9.01,9.2,5.8,7.0,19925
ok,2024-04-03 09:00:00,9.0,10.68,7.25,8.27,28421
ok,2024-04-03 09:30:00,7.62,7.94,7.04,7.54,5462
ok,2024-04-03 10:00:00,7.6,8.5,7.21,8.49,8631
ok,2024-04-03 10:30:00,8.0,8.0,7.28,7.99,4259
ok,2024-04-03 11:30:00,7.29,7.32,7.14,7.3,5565
ok,2024-04-03 12:00:00,7.25,7.25,6.6,7.03,3470
ok,2024-04-03 12:30:00,6.72,6.72,6.72,6.72,500
ok,2024-04-03 13:00:00,6.76,7.15,6.76,6.95,1093
ok,2024-04-03 13:30:00,6.7,6.7,6.35,6.35,2825
ok,2024-04-03 14:00:00,6.33,6.66,6.02,6.29,8720
ok,2024-04-03 14:30:00,6.3,6.96,6.3,6.95,2385
ok,2024-04-03 15:00:00,6.72,6.72,6.05,6.15,2716
ok,2024-04-03 15:30:00,6.15,6.2,6.15,6.2,937
ok,2024-04-03 16:00:00,6.21,6.21,6.2,6.2,863
ok,2024-04-03 16:30:00,6.09,6.09,6.0,6.0,338
ok,2024-04-03 17:00:00,6.15,6.15,6.0,6.11,506
ok,2024-04-04 03:00:00,6.47,6.58,6.47,6.58,563
ok,2024-04-04 03:30:00,6.38,6.38,6.38,6.38,228
ok,2024-04-04 04:00:00,6.37,6.37,6.09,6.09,292
ok,2024-04-04 04:30:00,6.39,6.39,6.39,6.39,124
ok,2024-04-04 05:00:00,6.59,6.59,6.3,6.3,351
ok,2024-04-04 06:00:00,6.09,6.09,6.04,6.04,382
ok,2024-04-04 06:30:00,6.24,6.24,6.24,6.24,196
ok,2024-04-04 07:00:00,6.11,6.2,6.11,6.2,364
ok,2024-04-04 07:30:00,6.14,6.14,5.97,6.0,2532
ok,2024-04-04 08:00:00,6.03,6.03,6.0,6.0,1319
ok,2024-04-04 08:30:00,5.75,5.85,5.35,5.85,3224
ok,2024-04-04 09:00:00,5.88,5.89,5.35,5.35,5320
ok,2024-04-04 09:30:00,5.92,5.99,5.56,5.75,1192
ok,2024-04-04 10:00:00,5.89,5.97,5.72,5.8,2230
ok,2024-04-04 10:30:00,5.4,5.7,5.4,5.65,2327
ok,2024-04-04 11:00:00,5.66,5.99,5.59,5.59,1525
ok,2024-04-04 11:30:00,5.89,5.89,5.89,5.89,202
ok,2024-04-04 12:00:00,5.99,5.99,5.99,5.99,243
ok,2024-04-04 13:00:00,5.82,6.35,5.6,6.35,4454
ok,2024-04-04 13:30:00,6.03,6.63,5.92,6.1,6813
ok,2024-04-04 14:00:00,6.1,6.35,5.81,6.14,8171
ok,2024-04-04 14:30:00,5.81,5.81,5.53,5.77,2186
ok,2024-04-04 15:00:00,6.0,6.0,5.8,5.8,301
ok,2024-04-04 17:00:00,5.8,5.8,5.8,5.8,196
ok,2024-04-04 18:00:00,5.77,5.77,5.77,5.77,221
ok,2024-04-04 18:30:00,6.2,6.29,6.2,6.29,1300
ok,2024-04-05 03:00:00,6.31,6.31,6.11,6.11,919
ok,2024-04-05 03:30:00,6.11,6.25,6.11,6.13,1093
ok,2024-04-05 04:00:00,6.14,11.77,6.14,10.99,228871
ok,2024-04-05 04:30:00,11.07,15.4,10.48,14.45,286969
ok,2024-04-05 05:00:00,14.05,17.7,11.3,11.69,300903
ok,2024-04-05 05:30:00,11.58,12.5,8.82,9.0,175062
ok,2024-04-05 06:00:00,9.01,9.64,8.4,9.2,110758
