s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.23,0.24,0.23,0.24,63782
ok,2024-01-02 04:30:00,0.24,0.24,0.24,0.24,62758
ok,2024-01-02 05:00:00,0.24,0.24,0.24,0.24,22443
ok,2024-01-02 05:30:00,0.24,0.24,0.23,0.24,61773
ok,2024-01-02 06:00:00,0.24,0.24,0.24,0.24,299
ok,2024-01-02 06:30:00,0.24,0.24,0.23,0.24,10709
ok,2024-01-02 07:00:00,0.24,0.24,0.23,0.23,166750
ok,2024-01-02 07:30:00,0.23,0.24,0.23,0.23,28530
ok,2024-01-02 08:00:00,0.24,0.24,0.23,0.23,372518
ok,2024-01-02 08:30:00,0.23,0.24,0.23,0.24,51496
ok,2024-01-02 09:00:00,0.24,0.24,0.24,0.24,79043
ok,2024-01-02 09:30:00,0.24,0.25,0.23,0.23,3262989
ok,2024-01-02 10:00:00,0.23,0.24,0.23,0.23,1527324
ok,2024-01-02 10:30:00,0.23,0.23,0.23,0.23,1342036
ok,2024-01-02 11:00:00,0.23,0.23,0.23,0.23,1079320
ok,2024-01-02 11:30:00,0.23,0.23,0.23,0.23,316960
ok,2024-01-02 12:00:00,0.23,0.23,0.23,0.23,807554
ok,2024-01-02 12:30:00,0.23,0.23,0.23,0.23,830813
ok,2024-01-02 13:00:00,0.23,0.23,0.21,0.21,4423295
ok,2024-01-02 13:30:00,0.21,0.21,0.21,0.21,1854786
ok,2024-01-02 14:00:00,0.21,0.21,0.21,0.21,785427
ok,2024-01-02 14:30:00,0.21,0.21,0.2,0.2,2643479
ok,2024-01-02 15:00:00,0.2,0.2,0.2,0.2,1207301
ok,2024-01-02 15:30:00,0.2,0.2,0.2,0.2,1758665
ok,2024-01-02 16:00:00,0.2,0.2,0.2,0.2,67274
ok,2024-01-02 16:30:00,0.2,0.2,0.2,0.2,119549
ok,2024-01-02 17:00:00,0.2,0.2,0.2,0.2,60944
ok,2024-01-02 17:30:00,0.2,0.2,0.2,0.2,199268
ok,2024-01-02 18:00:00,0.2,0.21,0.2,0.2,267535
ok,2024-01-02 18:30:00,0.2,0.2,0.2,0.2,18630
ok,2024-01-02 19:00:00,0.2,0.2,0.2,0.2,8758
ok,2024-01-02 19:30:00,0.2,0.2,0.2,0.2,37353
ok,2024-01-03 04:00:00,0.2,0.21,0.2,0.2,36122
ok,2024-01-03 04:30:00,0.2,0.2,0.2,0.2,20915
ok,2024-01-03 05:00:00,0.2,0.2,0.2,0.2,4646
ok,2024-01-03 05:30:00,0.2,0.2,0.2,0.2,64977
ok,2024-01-03 06:00:00,0.2,0.2,0.2,0.2,10873
ok,2024-01-03 06:30:00,0.21,0.21,0.2,0.21,2891
ok,2024-01-03 07:00:00,0.21,0.21,0.2,0.2,87946
ok,2024-01-03 07:30:00,0.21,0.21,0.2,0.2,99875
ok,2024-01-03 08:00:00,0.21,0.21,0.2,0.2,88748
ok,2024-01-03 08:30:00,0.2,0.2,0.2,0.2,78686
ok,2024-01-03 09:00:00,0.2,0.2,0.2,0.2,91086
ok,2024-01-03 09:30:00,0.2,0.2,0.19,0.19,4101605
ok,2024-01-03 10:00:00,0.19,0.2,0.19,0.19,1904975
ok,2024-01-03 10:30:00,0.19,0.19,0.17,0.18,3661527
ok,2024-01-03 11:00:00,0.18,0.18,0.18,0.18,1728204
ok,2024-01-03 11:30:00,0.18,0.18,0.18,0.18,1565913
ok,2024-01-03 12:00:00,0.18,0.18,0.17,0.18,1642555
ok,2024-01-03 12:30:00,0.18,0.18,0.18,0.18,549233
ok,2024-01-03 13:00:00,0.18,0.18,0.18,0.18,336009
ok,2024-01-03 13:30:00,0.18,0.18,0.18,0.18,767013
ok,2024-01-03 14:00:00,0.18,0.18,0.18,0.18,924585
ok,2024-01-03 14:30:00,0.18,0.18,0.18,0.18,742725
ok,2024-01-03 15:00:00,0.18,0.18,0.17,0.17,3336447
ok,2024-01-03 15:30:00,0.17,0.18,0.17,0.18,1162706
ok,2024-01-03 16:00:00,0.18,0.18,0.18,0.18,176249
ok,2024-01-03 16:30:00,0.18,0.18,0.18,0.18,11590
ok,2024-01-03 17:00:00,0.18,0.18,0.18,0.18,20476
ok,2024-01-03 17:30:00,0.18,0.18,0.18,0.18,123783
ok,2024-01-03 18:00:00,0.18,0.18,0.18,0.18,10051
ok,2024-01-03 18:30:00,0.18,0.18,0.18,0.18,23952
ok,2024-01-03 19:00:00,0.18,0.18,0.18,0.18,6925
ok,2024-01-03 19:30:00,0.18,0.18,0.18,0.18,28384
ok,2024-01-04 04:00:00,0.18,0.19,0.18,0.19,79956
ok,2024-01-04 04:30:00,0.19,0.22,0.19,0.21,732486
ok,2024-01-04 05:00:00,0.21,0.22,0.2,0.21,401364
ok,2024-01-04 05:30:00,0.21,0.21,0.2,0.2,189798
ok,2024-01-04 06:00:00,0.21,0.21,0.2,0.2,319582
ok,2024-01-04 06:30:00,0.2,0.21,0.2,0.2,93303
ok,2024-01-04 07:00:00,0.2,0.2,0.2,0.2,337348
ok,2024-01-04 07:30:00,0.2,0.2,0.2,0.2,136804
ok,2024-01-04 08:00:00,0.2,0.2,0.18,0.19,369794
ok,2024-01-04 08:30:00,0.19,0.2,0.19,0.19,190360
ok,2024-01-04 09:00:00,0.19,0.19,0.19,0.19,243341
ok,2024-01-04 09:30:00,0.19,0.2,0.18,0.2,6914074
ok,2024-01-04 10:00:00,0.2,0.2,0.18,0.18,2315116
ok,2024-01-04 10:30:00,0.18,0.19,0.18,0.18,1914306
ok,2024-01-04 11:00:00,0.18,0.19,0.18,0.19,1568601
ok,2024-01-04 11:30:00,0.19,0.19,0.18,0.18,720188
ok,2024-01-04 12:00:00,0.18,0.19,0.18,0.18,716378
ok,2024-01-04 12:30:00,0.18,0.18,0.18,0.18,935525
ok,2024-01-04 13:00:00,0.18,0.18,0.18,0.18,908823
ok,2024-01-04 13:30:00,0.18,0.18,0.18,0.18,744566
ok,2024-01-04 14:00:00,0.18,0.18,0.18,0.18,711082
ok,2024-01-04 14:30:00,0.18,0.18,0.18,0.18,588712
ok,2024-01-04 15:00:00,0.18,0.18,0.17,0.17,821386
ok,2024-01-04 15:30:00,0.17,0.17,0.17,0.17,1617509
ok,2024-01-04 16:00:00,0.17,0.18,0.17,0.18,149778
ok,2024-01-04 16:30:00,0.18,0.18,0.17,0.18,141993
ok,2024-01-04 17:00:00,0.17,0.18,0.17,0.18,31556
ok,2024-01-04 17:30:00,0.18,0.18,0.18,0.18,213433
ok,2024-01-04 18:00:00,0.18,0.18,0.18,0.18,85687
ok,2024-01-04 18:30:00,0.18,0.18,0.18,0.18,13583
ok,2024-01-04 19:00:00,0.18,0.18,0.18,0.18,35467
ok,2024-01-04 19:30:00,0.18,0.18,0.18,0.18,20505
ok,2024-01-05 04:00:00,0.18,0.18,0.18,0.18,45017
ok,2024-01-05 04:30:00,0.18,0.18,0.18,0.18,18578
ok,2024-01-05 05:00:00,0.18,0.18,0.18,0.18,17631
ok,2024-01-05 05:30:00,0.18,0.18,0.18,0.18,4215
ok,2024-01-05 06:00:00,0.18,0.18,0.17,0.17,44816
ok,2024-01-05 06:30:00,0.17,0.17,0.17,0.17,23413
ok,2024-01-05 07:00:00,0.17,0.18,0.17,0.17,80558
ok,2024-01-05 07:30:00,0.17,0.18,0.17,0.17,9565
ok,2024-01-05 08:00:00,0.17,0.18,0.17,0.18,170556
ok,2024-01-05 08:30:00,0.17,0.18,0.17,0.17,94688
ok,2024-01-05 09:00:00,0.18,0.18,0.17,0.17,50389
ok,2024-01-05 09:30:00,0.17,0.18,0.17,0.17,3141701
ok,2024-01-05 10:00:00,0.17,0.18,0.17,0.17,1332351
ok,2024-01-05 10:30:00,0.17,0.17,0.17,0.17,1057788
ok,2024-01-05 11:00:00,0.17,0.17,0.17,0.17,1249397
ok,2024-01-05 11:30:00,0.17,0.17,0.16,0.17,1088684
ok,2024-01-05 12:00:00,0.17,0.17,0.16,0.17,1156240
ok,2024-01-05 12:30:00,0.17,0.17,0.16,0.17,968040
ok,2024-01-05 13:00:00,0.16,0.17,0.16,0.16,794998
ok,2024-01-05 13:30:00,0.16,0.16,0.16,0.16,805085
ok,2024-01-05 14:00:00,0.16,0.16,0.16,0.16,880875
ok,2024-01-05 14:30:00,0.16,0.16,0.16,0.16,1054285
ok,2024-01-05 15:00:00,0.16,0.16,0.16,0.16,1444336
ok,2024-01-05 15:30:00,0.16,0.16,0.16,0.16,2230157
ok,2024-01-05 16:00:00,0.16,0.17,0.16,0.16,50014
ok,2024-01-05 16:30:00,0.16,0.17,0.16,0.16,138320
ok,2024-01-05 17:00:00,0.16,0.17,0.16,0.17,44880
ok,2024-01-05 17:30:00,0.17,0.17,0.16,0.16,8749
ok,2024-01-05 18:00:00,0.16,0.16,0.16,0.16,21509
ok,2024-01-05 18:30:00,0.16,0.16,0.16,0.16,8713
ok,2024-01-05 19:00:00,0.16,0.16,0.16,0.16,14936
ok,2024-01-05 19:30:00,0.16,0.16,0.16,0.16,76427
ok,2024-01-08 04:00:00,0.16,0.16,0.16,0.16,59015
ok,2024-01-08 04:30:00,0.16,0.16,0.16,0.16,30782
ok,2024-01-08 05:00:00,0.16,0.16,0.16,0.16,19942
ok,2024-01-08 05:30:00,0.16,0.16,0.16,0.16,5873
ok,2024-01-08 06:00:00,0.16,0.16,0.16,0.16,7878
ok,2024-01-08 06:30:00,0.16,0.16,0.16,0.16,11771
ok,2024-01-08 07:00:00,0.16,0.16,0.16,0.16,78786
ok,2024-01-08 07:30:00,0.16,0.16,0.16,0.16,19927
ok,2024-01-08 08:00:00,0.16,0.16,0.15,0.16,395227
ok,2024-01-08 08:30:00,0.16,0.16,0.16,0.16,63003
ok,2024-01-08 09:00:00,0.16,0.17,0.16,0.16,391784
ok,2024-01-08 09:30:00,0.16,0.18,0.16,0.18,4607338
ok,2024-01-08 10:00:00,0.18,0.19,0.17,0.18,5646860
ok,2024-01-08 10:30:00,0.18,0.18,0.17,0.17,3094381
ok,2024-01-08 11:00:00,0.17,0.18,0.17,0.18,1890184
ok,2024-01-08 11:30:00,0.18,0.18,0.18,0.18,1312152
ok,2024-01-08 12:00:00,0.18,0.18,0.17,0.17,769747
ok,2024-01-08 12:30:00,0.17,0.18,0.17,0.17,934803
