s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,3.65,3.65,3.3,3.42,1068
ok,2024-01-02 10:00:00,3.45,3.45,3.42,3.42,700
ok,2024-01-02 11:00:00,3.48,3.48,3.48,3.48,600
ok,2024-01-02 12:00:00,3.41,3.41,3.41,3.41,257
ok,2024-01-02 12:30:00,3.41,3.88,3.41,3.88,5408
ok,2024-01-02 13:30:00,3.81,3.84,3.81,3.84,770
ok,2024-01-02 14:00:00,3.78,3.78,3.64,3.68,1943
ok,2024-01-02 14:30:00,3.82,3.82,3.82,3.82,1000
ok,2024-01-03 09:30:00,3.7,3.73,3.47,3.48,5686
ok,2024-01-03 10:30:00,3.48,3.65,3.48,3.65,443
ok,2024-01-03 13:00:00,3.62,3.62,3.55,3.55,2273
ok,2024-01-03 13:30:00,3.67,3.67,3.67,3.67,1000
ok,2024-01-03 14:30:00,3.55,3.56,3.4,3.4,6065
ok,2024-01-03 15:00:00,3.52,3.62,3.46,3.46,4203
ok,2024-01-03 15:30:00,3.46,3.46,3.45,3.45,923
ok,2024-01-03 16:30:00,3.42,3.42,3.42,3.42,200
ok,2024-01-04 09:30:00,3.48,3.56,3.48,3.56,1680
ok,2024-01-04 10:00:00,3.6,3.79,3.55,3.79,489
ok,2024-01-04 10:30:00,3.64,3.78,3.5,3.64,4276
ok,2024-01-04 11:00:00,3.6,3.67,3.59,3.65,4571
ok,2024-01-04 11:30:00,3.6,3.66,3.5,3.63,5677
ok,2024-01-04 12:00:00,3.51,3.51,3.4,3.4,1006
ok,2024-01-04 12:30:00,3.44,3.47,3.44,3.44,1891
ok,2024-01-04 13:00:00,3.52,3.52,3.52,3.52,100
ok,2024-01-04 14:00:00,3.56,3.56,3.56,3.56,1000
ok,2024-01-04 15:00:00,3.48,3.48,3.48,3.48,600
ok,2024-01-04 15:30:00,3.47,3.53,3.47,3.53,1314
ok,2024-01-05 09:30:00,3.42,3.42,3.42,3.42,101
ok,2024-01-05 11:00:00,3.49,3.64,3.49,3.64,601
ok,2024-01-05 11:30:00,3.54,3.54,3.53,3.53,1207
ok,2024-01-05 12:00:00,3.5,3.5,3.5,3.5,922
ok,2024-01-05 12:30:00,3.55,3.58,3.55,3.58,792
ok,2024-01-05 13:00:00,3.5,3.61,3.47,3.5,725
ok,2024-01-05 14:00:00,3.47,3.62,3.45,3.45,16202
ok,2024-01-05 14:30:00,3.5,3.5,3.5,3.5,7002
ok,2024-01-05 15:30:00,3.45,3.46,3.45,3.45,1210
ok,2024-01-08 09:30:00,3.66,3.66,3.4,3.4,1337
ok,2024-01-08 10:00:00,3.47,3.47,3.45,3.45,2201
ok,2024-01-08 10:30:00,3.48,3.48,3.45,3.48,1100
ok,2024-01-08 12:30:00,3.48,3.48,3.48,3.48,100
ok,2024-01-08 13:30:00,3.44,3.44,3.4,3.4,1915
ok,2024-01-08 14:00:00,3.4,3.77,3.4,3.49,11198
ok,2024-01-08 14:30:00,3.51,3.6,3.41,3.41,5519
ok,2024-01-08 15:00:00,3.5,3.51,3.48,3.48,757
ok,2024-01-08 15:30:00,3.44,3.5,3.44,3.5,348
ok,2024-01-08 16:00:00,3.5,3.5,3.5,3.5,170
ok,2024-01-08 17:30:00,3.5,3.5,3.5,3.5,100
ok,2024-01-09 09:30:00,3.5,3.5,3.5,3.5,106
ok,2024-01-09 10:00:00,3.45,3.45,3.45,3.45,100
ok,2024-01-09 10:30:00,3.45,3.5,3.35,3.5,4543
ok,2024-01-09 11:00:00,3.6,3.63,3.54,3.55,2730
ok,2024-01-09 11:30:00,3.5,3.5,3.47,3.47,1800
ok,2024-01-09 12:00:00,3.46,3.6,3.46,3.52,3600
ok,2024-01-09 12:30:00,3.48,3.48,3.48,3.48,1000
ok,2024-01-09 13:00:00,3.36,3.41,3.29,3.32,1200
ok,2024-01-09 13:30:00,3.31,3.31,3.15,3.2,3332
ok,2024-01-09 14:00:00,3.26,3.29,3.04,3.22,9832
ok,2024-01-09 14:30:00,3.25,3.29,3.24,3.26,1048
ok,2024-01-09 15:00:00,3.28,3.36,3.28,3.3,6548
ok,2024-01-10 09:30:00,3.31,3.31,3.31,3.31,320
ok,2024-01-10 13:00:00,3.1,3.16,3.1,3.16,1134
ok,2024-01-10 13:30:00,3.17,3.2,3.1,3.18,4013
ok,2024-01-10 14:00:00,3.1,3.1,3.07,3.07,1000
ok,2024-01-10 14:30:00,3.26,3.26,3.26,3.26,1000
ok,2024-01-10 15:30:00,3.1,3.1,3.1,3.1,100
ok,2024-01-11 09:30:00,3.1,3.1,3.06,3.06,1253
ok,2024-01-11 10:00:00,3.08,3.08,3.06,3.06,600
ok,2024-01-11 11:30:00,3.1,3.1,3.1,3.1,300
ok,2024-01-11 14:30:00,3.11,3.12,3.08,3.09,1229
ok,2024-01-11 15:00:00,3.09,3.16,3.06,3.16,10650
ok,2024-01-11 15:30:00,3.15,3.15,3.11,3.11,602
ok,2024-01-12 09:30:00,3.06,3.27,3.06,3.27,335
ok,2024-01-12 10:00:00,3.05,3.05,3.05,3.05,100
ok,2024-01-12 11:30:00,3.11,3.11,3.11,3.11,200
ok,2024-01-12 12:30:00,3.05,3.05,3.05,3.05,999
ok,2024-01-12 13:30:00,3.05,3.07,3.05,3.05,388
ok,2024-01-12 15:00:00,3.07,3.07,3.07,3.07,122
ok,2024-01-12 15:30:00,3.11,3.11,3.11,3.11,1000
ok,2024-01-16 11:00:00,3.08,3.11,3.06,3.07,8471
ok,2024-01-16 11:30:00,3.07,3.07,3.06,3.07,1201
ok,2024-01-16 12:30:00,3.09,3.12,3.09,3.12,421
ok,2024-01-16 14:30:00,3.07,3.07,3.06,3.06,205
ok,2024-01-16 15:30:00,3.07,3.07,3.07,3.07,410
ok,2024-01-17 09:30:00,3.06,3.06,3.06,3.06,324
ok,2024-01-17 10:30:00,3.07,3.07,3.05,3.05,5665
ok,2024-01-17 11:00:00,3.02,3.02,3.0,3.0,3222
ok,2024-01-17 11:30:00,3.0,3.0,3.0,3.0,200
ok,2024-01-17 14:30:00,3.01,3.01,3.01,3.01,200
ok,2024-01-17 15:00:00,2.92,2.94,2.91,2.91,4267
ok,2024-01-17 15:30:00,3.01,3.01,3.0,3.0,920
ok,2024-01-18 06:00:00,3.0,3.0,3.0,3.0,100
ok,2024-01-18 10:30:00,2.94,3.02,2.94,3.02,300
ok,2024-01-18 15:00:00,3.01,3.01,3.01,3.01,142
ok,2024-01-19 08:00:00,2.92,2.92,2.92,2.92,197
ok,2024-01-19 09:30:00,2.97,2.97,2.97,2.97,101
ok,2024-01-19 10:00:00,2.92,2.92,2.83,2.9,4633
ok,2024-01-19 10:30:00,2.86,2.87,2.85,2.85,1400
ok,2024-01-19 11:00:00,2.85,2.88,2.85,2.85,1200
ok,2024-01-19 11:30:00,2.86,2.86,2.83,2.84,4896
ok,2024-01-19 13:00:00,2.78,2.84,2.78,2.84,1347
ok,2024-01-19 14:00:00,2.85,2.85,2.85,2.85,100
ok,2024-01-19 14:30:00,2.95,2.95,2.95,2.95,100
ok,2024-01-19 15:00:00,2.95,2.95,2.95,2.95,100
ok,2024-01-19 15:30:00,2.86,2.9,2.85,2.85,1082
ok,2024-01-22 09:30:00,3.24,3.24,3.24,3.24,850
ok,2024-01-22 12:00:00,2.99,2.99,2.88,2.89,1610
ok,2024-01-22 14:00:00,2.8,2.8,2.8,2.8,280
ok,2024-01-22 15:30:00,2.91,2.91,2.91,2.91,1000
ok,2024-01-23 15:30:00,2.99,2.99,2.85,2.96,562
ok,2024-01-24 12:00:00,2.83,2.83,2.83,2.83,150
ok,2024-01-24 12:30:00,2.76,2.84,2.76,2.83,2450
ok,2024-01-24 13:00:00,2.88,2.89,2.68,2.71,9807
ok,2024-01-24 13:30:00,2.68,2.83,2.68,2.83,500
ok,2024-01-24 14:00:00,2.8,2.8,2.8,2.8,150
ok,2024-01-24 15:30:00,2.77,2.83,2.77,2.83,647
ok,2024-01-25 10:30:00,2.82,2.87,2.82,2.87,1248
ok,2024-01-25 11:30:00,2.99,2.99,2.96,2.96,300
ok,2024-01-25 12:00:00,3.01,3.01,3.01,3.01,100
ok,2024-01-25 12:30:00,3.12,3.12,3.1,3.1,569
ok,2024-01-25 13:00:00,3.15,3.15,3.11,3.11,720
ok,2024-01-25 13:30:00,3.2,3.2,3.2,3.2,248
ok,2024-01-25 14:30:00,3.06,3.06,3.06,3.06,500
ok,2024-01-25 15:30:00,3.08,3.08,3.08,3.08,350
ok,2024-01-26 10:00:00,3.13,3.13,3.13,3.13,275
ok,2024-01-26 13:00:00,2.85,2.85,2.85,2.85,100
ok,2024-01-26 13:30:00,2.88,2.98,2.85,2.85,3843
ok,2024-01-26 14:00:00,2.88,2.88,2.88,2.88,300
ok,2024-01-26 14:30:00,2.91,2.91,2.91,2.91,200
ok,2024-01-26 15:30:00,2.9,2.9,2.9,2.9,340
ok,2024-01-29 09:30:00,2.95,2.96,2.95,2.96,2145
ok,2024-01-29 13:00:00,2.9,2.9,2.9,2.9,830
ok,2024-01-29 15:30:00,2.94,2.94,2.94,2.94,888
ok,2024-01-30 09:30:00,2.82,2.82,2.82,2.82,1402
ok,2024-01-30 10:00:00,2.98,2.98,2.98,2.98,250
ok,2024-01-30 11:30:00,2.81,2.81,2.81,2.81,500
ok,2024-01-30 12:00:00,2.91,2.91,2.91,2.91,100
ok,2024-01-30 12:30:00,2.81,2.81,2.81,2.81,164
ok,2024-01-30 15:30:00,2.86,2.93,2.86,2.93,200
ok,2024-01-31 10:30:00,2.7,2.7,2.7,2.7,648
ok,2024-01-31 12:30:00,2.98,2.98,2.98,2.98,513
ok,2024-02-01 10:00:00,2.95,2.95,2.68,2.76,2054
ok,2024-02-01 11:30:00,2.74,2.74,2.74,2.74,245
ok,2024-02-01 12:30:00,2.85,2.85,2.85,2.85,150
ok,2024-02-01 15:30:00,2.71,2.71,2.7,2.7,804
ok,2024-02-02 09:30:00,2.72,2.75,2.7,2.75,803
ok,2024-02-02 10:30:00,2.73,2.73,2.73,2.73,275
ok,2024-02-02 11:00:00,2.95,2.95,2.68,2.7,1899
ok,2024-02-02 11:30:00,2.7,2.72,2.54,2.54,3877
ok,2024-02-02 12:00:00,2.51,2.55,2.51,2.55,545
ok,2024-02-02 12:30:00,2.68,2.68,2.52,2.52,354
ok,2024-02-02 13:00:00,2.52,2.6,2.52,2.6,1562
ok,2024-02-02 14:00:00,2.67,2.67,2.67,2.67,1000
ok,2024-02-02 15:00:00,2.67,2.7,2.67,2.7,3520
ok,2024-02-02 15:30:00,2.69,2.73,2.56,2.68,5025
ok,2024-02-05 09:30:00,2.52,2.66,2.52,2.61,3123
ok,2024-02-05 11:00:00,2.61,2.61,2.61,2.61,200
ok,2024-02-05 12:00:00,2.63,2.63,2.6,2.6,402
ok,2024-02-05 12:30:00,2.6,2.61,2.6,2.6,1045
ok,2024-02-05 13:00:00,2.65,2.65,2.65,2.65,100
ok,2024-02-05 15:00:00,2.65,2.65,2.65,2.65,100
ok,2024-02-05 15:30:00,2.54,2.65,2.53,2.56,563
ok,2024-02-06 10:00:00,2.61,2.81,2.59,2.68,5942
ok,2024-02-06 10:30:00,2.72,2.72,2.7,2.7,347
ok,2024-02-06 11:00:00,2.62,2.62,2.5,2.52,9389
ok,2024-02-06 11:30:00,2.6,2.6,2.6,2.6,119
ok,2024-02-06 12:00:00,2.6,2.64,2.52,2.52,2423
ok,2024-02-06 12:30:00,2.52,2.52,2.52,2.52,100
ok,2024-02-06 13:00:00,2.59,2.59,2.59,2.59,750
ok,2024-02-06 13:30:00,2.52,2.52,2.52,2.52,1300
ok,2024-02-06 14:00:00,2.52,2.52,2.5,2.5,1599
ok,2024-02-06 14:30:00,2.5,2.5,2.5,2.5,100
ok,2024-02-06 15:00:00,2.5,2.5,2.49,2.49,473
ok,2024-02-06 15:30:00,2.79,2.79,2.79,2.79,2000
ok,2024-02-06 16:30:00,2.75,2.88,2.75,2.77,1295
ok,2024-02-06 17:00:00,2.77,2.77,2.77,2.77,195
ok,2024-02-07 09:30:00,2.76,2.82,2.71,2.71,3428
ok,2024-02-07 10:30:00,2.71,2.71,2.71,2.71,136
ok,2024-02-07 14:30:00,2.57,2.65,2.57,2.65,346
ok,2024-02-07 15:00:00,2.65,2.65,2.65,2.65,293
ok,2024-02-08 09:30:00,2.56,2.56,2.56,2.56,382
ok,2024-02-08 10:00:00,2.56,2.56,2.56,2.56,427
ok,2024-02-08 10:30:00,2.56,2.56,2.56,2.56,200
ok,2024-02-08 14:30:00,2.48,2.48,2.48,2.48,100
ok,2024-02-08 15:30:00,2.55,2.59,2.52,2.59,1579
ok,2024-02-09 09:30:00,2.64,2.64,2.64,2.64,201
ok,2024-02-09 10:30:00,2.5,2.5,2.5,2.5,500
ok,2024-02-09 12:00:00,2.56,2.56,2.56,2.56,100
ok,2024-02-09 13:00:00,2.58,2.59,2.57,2.57,400
ok,2024-02-09 13:30:00,2.56,2.56,2.56,2.56,458
ok,2024-02-09 14:00:00,2.53,2.53,2.53,2.53,210
ok,2024-02-09 14:30:00,2.55,2.55,2.55,2.55,400
ok,2024-02-09 15:30:00,2.57,2.57,2.55,2.55,1161
ok,2024-02-12 09:30:00,2.56,2.56,2.56,2.56,300
ok,2024-02-12 11:00:00,2.71,2.71,2.71,2.71,154
ok,2024-02-12 13:30:00,2.58,2.58,2.58,2.58,100
ok,2024-02-12 14:00:00,2.63,2.63,2.63,2.63,277
ok,2024-02-13 09:30:00,2.42,2.46,2.35,2.45,5454
ok,2024-02-13 10:00:00,2.55,2.55,2.54,2.54,300
ok,2024-02-13 12:00:00,2.49,2.52,2.49,2.52,202
ok,2024-02-13 13:30:00,2.64,2.64,2.56,2.56,599
ok,2024-02-13 15:30:00,2.67,2.67,2.48,2.54,5192
ok,2024-02-14 10:30:00,2.2,2.47,2.2,2.46,810
ok,2024-02-14 11:00:00,2.46,2.58,2.35,2.35,1011
ok,2024-02-14 11:30:00,2.35,2.45,2.35,2.36,600
ok,2024-02-14 12:00:00,2.36,2.36,2.3,2.34,500
ok,2024-02-14 12:30:00,2.31,2.31,2.31,2.31,400
ok,2024-02-14 13:00:00,2.27,2.33,2.2,2.26,780
ok,2024-02-14 13:30:00,2.26,2.27,2.26,2.27,550
ok,2024-02-14 14:00:00,2.26,2.26,2.26,2.26,780
ok,2024-02-14 14:30:00,2.33,2.4,2.33,2.4,610
ok,2024-02-14 15:00:00,2.34,2.34,2.34,2.34,1080
ok,2024-02-14 15:30:00,2.4,2.41,2.34,2.34,1777
ok,2024-02-15 09:30:00,2.41,2.41,2.41,2.41,220
ok,2024-02-15 10:30:00,2.44,2.48,2.44,2.45,1200
ok,2024-02-15 11:30:00,2.41,2.44,2.41,2.44,915
ok,2024-02-15 12:00:00,2.42,2.43,2.42,2.43,1500
ok,2024-02-15 12:30:00,2.43,2.43,2.41,2.41,401
ok,2024-02-15 13:00:00,2.39,2.4,2.39,2.39,900
ok,2024-02-15 13:30:00,2.19,2.19,2.19,2.19,300
ok,2024-02-15 14:00:00,2.35,2.36,2.3,2.3,500
ok,2024-02-15 14:30:00,2.4,2.4,2.4,2.4,1799
ok,2024-02-15 15:00:00,2.54,2.54,2.4,2.53,400
ok,2024-02-15 15:30:00,2.5,2.65,2.33,2.5,10721
ok,2024-02-15 16:00:00,2.62,2.62,2.62,2.62,323
ok,2024-02-15 19:00:00,2.5,2.5,2.5,2.5,100
ok,2024-02-16 07:30:00,2.36,2.36,2.33,2.33,209
ok,2024-02-16 08:00:00,2.38,2.38,2.33,2.33,411
ok,2024-02-16 10:00:00,2.41,2.6,2.41,2.48,5826
ok,2024-02-16 10:30:00,2.54,2.54,2.54,2.54,100
ok,2024-02-16 11:00:00,2.62,2.65,2.5,2.5,4618
ok,2024-02-16 12:00:00,2.45,2.49,2.45,2.46,700
ok,2024-02-16 13:00:00,2.31,2.4,2.31,2.4,1504
ok,2024-02-16 13:30:00,2.48,2.48,2.48,2.48,200
ok,2024-02-16 14:00:00,2.5,2.5,2.5,2.5,200
ok,2024-02-16 15:00:00,2.39,2.5,2.39,2.5,280
ok,2024-02-16 17:30:00,2.59,2.59,2.59,2.59,296
ok,2024-02-16 19:00:00,2.6,2.6,2.6,2.6,654
ok,2024-02-20 09:30:00,2.5,2.56,2.5,2.56,200
ok,2024-02-20 10:00:00,2.58,2.67,2.51,2.6,6492
ok,2024-02-20 10:30:00,2.56,2.56,2.56,2.56,752
ok,2024-02-20 11:00:00,2.56,2.56,2.56,2.56,962
ok,2024-02-20 11:30:00,2.57,2.62,2.46,2.47,5000
ok,2024-02-20 12:00:00,2.48,2.48,2.48,2.48,500
ok,2024-02-20 13:00:00,2.49,2.49,2.48,2.48,1000
ok,2024-02-20 13:30:00,2.5,2.5,2.5,2.5,500
ok,2024-02-20 14:00:00,2.5,2.5,2.47,2.47,847
ok,2024-02-20 14:30:00,2.56,2.56,2.56,2.56,100
ok,2024-02-20 15:30:00,2.5,2.5,2.41,2.5,4268
ok,2024-02-21 09:30:00,2.42,2.42,2.42,2.42,213
ok,2024-02-21 10:30:00,2.49,2.49,2.49,2.49,200
ok,2024-02-21 15:00:00,2.5,2.5,2.5,2.5,100
ok,2024-02-21 15:30:00,2.49,2.49,2.49,2.49,410
ok,2024-02-22 10:00:00,2.42,2.54,2.25,2.51,5404
ok,2024-02-22 13:00:00,2.45,2.45,2.45,2.45,100
ok,2024-02-22 13:30:00,2.45,2.45,2.45,2.45,1100
ok,2024-02-22 14:00:00,2.45,2.45,2.42,2.44,2690
ok,2024-02-22 14:30:00,2.37,2.45,2.36,2.38,1883
ok,2024-02-22 15:00:00,2.36,2.38,2.35,2.38,2669
ok,2024-02-22 15:30:00,2.47,2.47,2.31,2.31,300
ok,2024-02-23 09:30:00,2.26,2.26,2.26,2.26,1307
ok,2024-02-23 10:00:00,2.34,2.47,2.34,2.47,300
ok,2024-02-23 11:00:00,2.38,2.39,2.32,2.32,4878
ok,2024-02-23 11:30:00,2.31,2.31,2.31,2.31,180
ok,2024-02-23 14:30:00,2.53,2.53,2.53,2.53,100
ok,2024-02-23 15:30:00,2.42,2.42,2.42,2.42,100
ok,2024-02-26 10:00:00,2.55,2.55,2.51,2.51,200
ok,2024-02-26 11:00:00,2.55,2.7,2.55,2.66,6367
ok,2024-02-26 11:30:00,2.64,2.64,2.59,2.59,918
ok,2024-02-26 12:00:00,2.59,2.64,2.53,2.56,1400
ok,2024-02-26 12:30:00,2.55,2.65,2.55,2.6,2374
ok,2024-02-26 13:00:00,2.6,2.6,2.55,2.55,809
ok,2024-02-26 14:00:00,2.51,2.51,2.42,2.44,2411
ok,2024-02-26 14:30:00,2.48,2.48,2.48,2.48,100
ok,2024-02-26 15:30:00,2.58,2.58,2.54,2.54,1083
ok,2024-02-27 09:30:00,2.43,2.66,2.43,2.66,337
ok,2024-02-27 10:30:00,2.68,2.68,2.68,2.68,100
ok,2024-02-27 11:30:00,2.52,2.52,2.52,2.52,500
ok,2024-02-27 14:00:00,2.38,2.54,2.38,2.54,200
ok,2024-02-27 14:30:00,2.48,2.56,2.46,2.54,3800
ok,2024-02-27 16:00:00,2.57,2.57,2.57,2.57,196
ok,2024-02-28 08:00:00,2.67,2.67,2.67,2.67,250
ok,2024-02-28 10:00:00,2.55,2.55,2.55,2.55,270
ok,2024-02-28 11:30:00,2.5,2.5,2.5,2.5,235
ok,2024-02-28 13:30:00,2.65,2.65,2.65,2.65,100
ok,2024-02-28 14:00:00,2.65,2.65,2.65,2.65,793
ok,2024-02-28 15:00:00,2.67,2.72,2.38,2.7,1531
ok,2024-02-28 15:30:00,2.66,2.66,2.56,2.6,2470
ok,2024-02-29 10:00:00,2.6,2.6,2.6,2.6,100
ok,2024-02-29 12:00:00,2.48,2.48,2.48,2.48,100
ok,2024-02-29 12:30:00,2.5,2.5,2.5,2.5,365
ok,2024-02-29 13:30:00,2.69,2.69,2.62,2.66,1594
ok,2024-02-29 15:30:00,2.7,2.7,2.7,2.7,150
ok,2024-02-29 16:30:00,2.7,2.7,2.7,2.7,100
ok,2024-03-01 09:30:00,2.68,2.71,2.68,2.71,800
ok,2024-03-01 10:30:00,2.66,2.78,2.66,2.78,3111
ok,2024-03-01 11:00:00,2.68,2.74,2.68,2.7,700
ok,2024-03-01 11:30:00,2.74,2.89,2.74,2.75,8126
ok,2024-03-01 12:00:00,2.7,2.7,2.68,2.68,2735
ok,2024-03-01 12:30:00,2.69,2.69,2.68,2.68,376
ok,2024-03-01 13:30:00,2.64,2.86,2.62,2.72,3359
ok,2024-03-04 09:30:00,2.78,2.78,2.78,2.78,480
ok,2024-03-04 10:00:00,2.8,2.84,2.63,2.82,7650
ok,2024-03-04 10:30:00,2.71,2.71,2.69,2.69,1800
ok,2024-03-04 11:00:00,2.69,2.69,2.69,2.69,300
ok,2024-03-04 11:30:00,2.69,2.69,2.69,2.69,723
ok,2024-03-04 15:00:00,2.64,2.64,2.64,2.64,250
ok,2024-03-04 15:30:00,2.7,2.7,2.64,2.64,710
ok,2024-03-05 10:00:00,2.65,2.65,2.65,2.65,100
ok,2024-03-05 10:30:00,2.6,2.66,2.6,2.66,400
ok,2024-03-05 11:00:00,2.6,2.6,2.6,2.6,100
ok,2024-03-05 11:30:00,2.6,2.6,2.35,2.44,901
ok,2024-03-05 12:00:00,2.64,2.64,2.64,2.64,100
ok,2024-03-05 15:30:00,2.55,2.55,2.47,2.5,2650
ok,2024-03-06 11:00:00,2.4,2.4,2.4,2.4,100
ok,2024-03-06 11:30:00,2.49,2.5,2.45,2.5,1700
ok,2024-03-06 12:30:00,2.42,2.42,2.42,2.42,500
ok,2024-03-06 13:00:00,2.52,2.52,2.5,2.5,450
ok,2024-03-07 13:00:00,2.5,2.5,2.5,2.5,2400
ok,2024-03-07 15:30:00,2.51,2.51,2.37,2.45,2924
ok,2024-03-08 09:30:00,2.51,2.51,2.51,2.51,100
ok,2024-03-08 10:30:00,2.37,2.37,2.37,2.37,100
ok,2024-03-08 11:00:00,2.51,2.51,2.51,2.51,100
ok,2024-03-08 15:30:00,2.5,2.5,2.5,2.5,630
ok,2024-03-11 08:30:00,2.59,2.59,2.59,2.59,1023
ok,2024-03-11 09:30:00,2.51,2.51,2.51,2.51,100
ok,2024-03-11 10:30:00,2.52,2.61,2.52,2.6,4213
ok,2024-03-11 11:30:00,2.65,2.76,2.63,2.63,3247
ok,2024-03-11 13:00:00,2.7,2.7,2.63,2.63,700
ok,2024-03-11 13:30:00,2.67,2.67,2.67,2.67,500
ok,2024-03-11 14:00:00,2.76,3.4,2.7,3.4,43688
ok,2024-03-11 14:30:00,3.34,4.46,3.09,3.42,301634
ok,2024-03-11 15:00:00,3.34,3.5,3.15,3.33,13351
ok,2024-03-11 15:30:00,3.28,3.37,3.25,3.36,6946
ok,2024-03-11 16:00:00,3.2,3.2,3.1,3.15,1509
ok,2024-03-11 16:30:00,3.12,3.16,3.1,3.1,7003
ok,2024-03-11 17:00:00,3.09,3.09,3.09,3.09,425
ok,2024-03-11 17:30:00,3.09,3.09,2.83,2.83,2524
ok,2024-03-11 18:00:00,2.99,2.99,2.99,2.99,2314
ok,2024-03-11 18:30:00,2.99,3.08,2.98,3.0,2579
ok,2024-03-12 06:00:00,3.05,3.05,2.95,2.95,687
ok,2024-03-12 06:30:00,2.9,2.94,2.9,2.94,253
ok,2024-03-12 07:00:00,2.9,2.9,2.88,2.88,1296
ok,2024-03-12 08:00:00,2.94,3.0,2.94,2.95,4068
ok,2024-03-12 08:30:00,3.1,3.1,2.77,2.9,19762
ok,2024-03-12 09:00:00,2.9,2.9,2.62,2.86,17383
ok,2024-03-12 09:30:00,2.82,2.88,2.81,2.82,6246
ok,2024-03-12 10:00:00,2.9,2.9,2.85,2.9,2342
ok,2024-03-12 10:30:00,2.89,2.89,2.89,2.89,100
ok,2024-03-12 11:00:00,2.85,2.91,2.85,2.85,2417
ok,2024-03-12 12:00:00,2.8,2.81,2.8,2.81,402
ok,2024-03-12 12:30:00,2.81,2.81,2.81,2.81,571
ok,2024-03-12 13:00:00,2.89,2.89,2.89,2.89,110
ok,2024-03-12 13:30:00,2.87,2.87,2.85,2.85,2505
