s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.31,0.37,0.31,0.34,20401
ok,2024-01-02 04:30:00,0.34,0.36,0.34,0.36,7926
ok,2024-01-02 05:00:00,0.35,0.36,0.35,0.36,1494
ok,2024-01-02 05:30:00,0.36,0.36,0.35,0.35,4904
ok,2024-01-02 06:00:00,0.36,0.36,0.36,0.36,344
ok,2024-01-02 06:30:00,0.35,0.36,0.35,0.36,1500
ok,2024-01-02 07:00:00,0.35,0.35,0.32,0.32,37857
ok,2024-01-02 07:30:00,0.32,0.32,0.32,0.32,1865
ok,2024-01-02 08:00:00,0.34,0.34,0.32,0.32,17516
ok,2024-01-02 08:30:00,0.32,0.32,0.32,0.32,7400
ok,2024-01-02 09:00:00,0.32,0.32,0.32,0.32,21220
ok,2024-01-02 09:30:00,0.33,0.33,0.3,0.31,163493
ok,2024-01-02 10:00:00,0.3,0.34,0.3,0.33,155834
ok,2024-01-02 10:30:00,0.33,0.34,0.32,0.32,228107
ok,2024-01-02 11:00:00,0.33,0.34,0.33,0.34,83935
ok,2024-01-02 11:30:00,0.33,0.33,0.33,0.33,9822
ok,2024-01-02 12:00:00,0.33,0.33,0.3,0.32,316429
ok,2024-01-02 12:30:00,0.32,0.32,0.31,0.32,16541
ok,2024-01-02 13:00:00,0.31,0.32,0.31,0.31,11830
ok,2024-01-02 13:30:00,0.31,0.31,0.3,0.31,95273
ok,2024-01-02 14:00:00,0.31,0.32,0.31,0.32,38811
ok,2024-01-02 14:30:00,0.31,0.32,0.31,0.31,7974
ok,2024-01-02 15:00:00,0.31,0.32,0.31,0.32,9818
ok,2024-01-02 15:30:00,0.31,0.32,0.3,0.31,20915
ok,2024-01-02 16:00:00,0.31,0.31,0.3,0.3,4140
ok,2024-01-02 16:30:00,0.3,0.32,0.3,0.32,10961
ok,2024-01-02 17:00:00,0.31,0.31,0.31,0.31,2895
ok,2024-01-02 17:30:00,0.31,0.31,0.31,0.31,3900
ok,2024-01-02 18:00:00,0.31,0.31,0.31,0.31,3245
ok,2024-01-02 18:30:00,0.31,0.31,0.31,0.31,877
ok,2024-01-02 19:30:00,0.31,0.32,0.31,0.32,4814
ok,2024-01-03 04:00:00,0.32,0.32,0.31,0.31,576
ok,2024-01-03 04:30:00,0.31,0.31,0.3,0.3,17180
ok,2024-01-03 05:00:00,0.3,0.31,0.3,0.31,6329
ok,2024-01-03 05:30:00,0.3,0.3,0.3,0.3,1631
ok,2024-01-03 06:00:00,0.3,0.3,0.3,0.3,6146
ok,2024-01-03 06:30:00,0.3,0.3,0.3,0.3,4249
ok,2024-01-03 07:30:00,0.3,0.31,0.3,0.3,6443
ok,2024-01-03 08:00:00,0.3,0.31,0.29,0.29,50244
ok,2024-01-03 08:30:00,0.29,0.3,0.29,0.29,5106
ok,2024-01-03 09:00:00,0.29,0.3,0.29,0.3,62294
ok,2024-01-03 09:30:00,0.3,0.31,0.29,0.3,46363
ok,2024-01-03 10:00:00,0.31,0.31,0.29,0.29,27118
ok,2024-01-03 10:30:00,0.3,0.3,0.29,0.29,33105
ok,2024-01-03 11:00:00,0.29,0.3,0.29,0.29,42577
ok,2024-01-03 11:30:00,0.29,0.3,0.29,0.29,13834
ok,2024-01-03 12:00:00,0.29,0.3,0.29,0.3,32872
ok,2024-01-03 12:30:00,0.31,0.31,0.3,0.3,49267
ok,2024-01-03 13:00:00,0.3,0.31,0.3,0.31,32142
ok,2024-01-03 13:30:00,0.3,0.3,0.3,0.3,26606
ok,2024-01-03 14:00:00,0.3,0.32,0.3,0.32,115115
ok,2024-01-03 14:30:00,0.32,0.32,0.31,0.31,67927
ok,2024-01-03 15:00:00,0.31,0.32,0.31,0.31,34141
ok,2024-01-03 15:30:00,0.31,0.32,0.3,0.31,31104
ok,2024-01-03 16:00:00,0.31,0.32,0.31,0.32,500
ok,2024-01-03 16:30:00,0.31,0.31,0.31,0.31,2600
ok,2024-01-03 17:00:00,0.31,0.31,0.31,0.31,1133
ok,2024-01-03 17:30:00,0.31,0.31,0.31,0.31,1530
ok,2024-01-03 19:30:00,0.31,0.31,0.31,0.31,5000
ok,2024-01-04 04:00:00,0.32,0.32,0.3,0.3,3980
ok,2024-01-04 04:30:00,0.31,0.33,0.3,0.33,15847
ok,2024-01-04 05:00:00,0.32,0.32,0.32,0.32,100
ok,2024-01-04 05:30:00,0.31,0.32,0.31,0.32,3987
ok,2024-01-04 06:30:00,0.32,0.32,0.31,0.32,1152
ok,2024-01-04 07:00:00,0.32,0.32,0.29,0.32,31810
ok,2024-01-04 08:00:00,0.29,0.32,0.29,0.31,11305
ok,2024-01-04 08:30:00,0.3,0.31,0.3,0.31,955
ok,2024-01-04 09:00:00,0.31,0.31,0.3,0.3,1978
ok,2024-01-04 09:30:00,0.31,0.31,0.3,0.3,53292
ok,2024-01-04 10:00:00,0.3,0.31,0.3,0.3,5103
ok,2024-01-04 10:30:00,0.3,0.31,0.3,0.31,31102
ok,2024-01-04 11:00:00,0.3,0.3,0.3,0.3,8674
ok,2024-01-04 11:30:00,0.3,0.32,0.3,0.31,20032
ok,2024-01-04 12:00:00,0.32,0.32,0.31,0.31,14902
ok,2024-01-04 12:30:00,0.31,0.31,0.3,0.3,6500
ok,2024-01-04 13:00:00,0.3,0.31,0.3,0.31,2616
ok,2024-01-04 13:30:00,0.3,0.31,0.3,0.3,7970
ok,2024-01-04 14:00:00,0.32,0.32,0.32,0.32,2953
ok,2024-01-04 14:30:00,0.31,0.31,0.3,0.3,41547
ok,2024-01-04 15:00:00,0.3,0.3,0.3,0.3,22868
ok,2024-01-04 15:30:00,0.3,0.31,0.3,0.31,14795
ok,2024-01-04 19:00:00,0.3,0.3,0.3,0.3,500
ok,2024-01-04 19:30:00,0.3,0.3,0.3,0.3,200
ok,2024-01-05 05:00:00,0.3,0.3,0.3,0.3,388
ok,2024-01-05 06:00:00,0.28,0.28,0.28,0.28,10450
