s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.52,1.53,1.5,1.53,400
ok,2024-01-02 10:30:00,1.45,1.55,1.45,1.51,516
ok,2024-01-02 11:00:00,1.52,1.52,1.52,1.52,2125
ok,2024-01-03 10:00:00,1.6,1.6,1.6,1.6,200
ok,2024-01-03 14:00:00,1.55,1.55,1.53,1.53,3000
ok,2024-01-03 15:30:00,1.47,1.48,1.27,1.3,6537
ok,2024-01-04 08:30:00,1.22,1.22,1.22,1.22,100
ok,2024-01-04 09:30:00,1.15,1.15,1.15,1.15,147
ok,2024-01-04 11:00:00,1.3,1.32,1.3,1.32,626
ok,2024-01-04 12:00:00,1.4,1.4,1.4,1.4,170
ok,2024-01-04 15:00:00,1.3,1.3,1.3,1.3,100
ok,2024-01-04 15:30:00,1.32,1.32,1.32,1.32,349
ok,2024-01-05 10:30:00,1.41,1.41,1.4,1.41,600
ok,2024-01-05 11:00:00,1.3,1.3,1.3,1.3,401
ok,2024-01-05 12:30:00,1.32,1.32,1.32,1.32,300
ok,2024-01-05 15:00:00,1.34,1.36,1.34,1.35,691
ok,2024-01-05 15:30:00,1.3,1.3,1.3,1.3,1119
ok,2024-01-08 09:30:00,1.34,1.34,1.34,1.34,100
ok,2024-01-08 11:30:00,1.29,1.3,1.29,1.3,270
ok,2024-01-08 12:00:00,1.34,1.34,1.34,1.34,100
ok,2024-01-08 14:00:00,1.25,1.26,1.25,1.26,1014
ok,2024-01-08 14:30:00,1.33,1.35,1.23,1.24,1798
ok,2024-01-08 15:00:00,1.3,1.3,1.3,1.3,100
ok,2024-01-08 15:30:00,1.32,1.32,1.32,1.32,239
ok,2024-01-09 08:30:00,1.28,1.28,1.28,1.28,263
ok,2024-01-09 09:00:00,1.36,1.36,1.36,1.36,100
ok,2024-01-09 09:30:00,1.39,1.39,1.37,1.37,3300
ok,2024-01-09 10:00:00,1.37,1.37,1.31,1.31,701
ok,2024-01-09 10:30:00,1.34,1.42,1.34,1.37,2100
ok,2024-01-09 11:00:00,1.31,1.31,1.31,1.31,100
ok,2024-01-09 14:00:00,1.17,1.17,1.17,1.17,400
ok,2024-01-09 14:30:00,1.27,1.3,1.18,1.3,656
ok,2024-01-09 15:00:00,1.3,1.3,1.3,1.3,160
ok,2024-01-09 15:30:00,1.3,1.3,1.18,1.2,3150
ok,2024-01-10 09:30:00,1.19,1.19,1.19,1.19,100
ok,2024-01-10 10:00:00,1.21,1.21,1.18,1.18,220
ok,2024-01-10 13:30:00,1.19,1.19,1.19,1.19,123
ok,2024-01-10 15:30:00,1.15,1.15,1.04,1.04,5084
ok,2024-01-10 16:00:00,1.06,1.06,1.06,1.06,100
ok,2024-01-11 09:30:00,1.08,1.12,1.08,1.12,334
ok,2024-01-11 10:30:00,1.13,1.13,1.13,1.13,170
ok,2024-01-11 12:30:00,1.13,1.13,1.13,1.13,100
ok,2024-01-11 15:30:00,1.06,1.06,0.95,0.95,5621
ok,2024-01-11 16:00:00,1.0,1.0,1.0,1.0,4700
ok,2024-01-12 09:30:00,0.95,0.95,0.92,0.93,2251
ok,2024-01-12 10:00:00,0.98,0.98,0.98,0.98,600
ok,2024-01-12 10:30:00,0.93,0.93,0.93,0.93,100
ok,2024-01-12 11:30:00,0.93,0.99,0.93,0.99,1750
ok,2024-01-12 12:00:00,0.96,0.96,0.96,0.96,247
ok,2024-01-12 13:00:00,0.99,0.99,0.99,0.99,195
ok,2024-01-12 13:30:00,0.96,0.99,0.96,0.99,684
ok,2024-01-12 14:00:00,0.95,0.95,0.95,0.95,200
ok,2024-01-12 14:30:00,0.96,1.01,0.95,0.95,6875
ok,2024-01-12 15:30:00,0.95,0.95,0.91,0.91,1909
ok,2024-01-16 09:30:00,1.09,1.09,0.94,0.94,478
ok,2024-01-16 10:30:00,0.94,0.94,0.94,0.94,200
ok,2024-01-16 11:00:00,0.94,0.94,0.92,0.93,6774
ok,2024-01-16 11:30:00,0.93,0.95,0.93,0.95,3550
ok,2024-01-16 12:30:00,0.95,0.95,0.95,0.95,100
ok,2024-01-16 13:00:00,0.95,0.95,0.95,0.95,2108
ok,2024-01-16 13:30:00,0.95,0.95,0.95,0.95,200
ok,2024-01-16 14:30:00,0.95,0.95,0.95,0.95,2063
ok,2024-01-16 15:30:00,0.98,0.99,0.98,0.99,1549
ok,2024-01-16 18:00:00,0.99,0.99,0.99,0.99,101
ok,2024-01-17 09:30:00,1.02,1.12,0.98,1.1,28511
ok,2024-01-17 10:00:00,1.1,1.12,1.05,1.1,25728
ok,2024-01-17 10:30:00,1.1,1.11,1.1,1.1,14670
ok,2024-01-17 11:00:00,1.1,1.1,1.05,1.1,20113
ok,2024-01-17 11:30:00,1.1,1.42,1.1,1.36,178684
ok,2024-01-17 12:00:00,1.35,1.38,1.11,1.2,271736
ok,2024-01-17 12:30:00,1.21,1.34,1.1,1.24,40443
ok,2024-01-17 13:00:00,1.29,1.34,1.24,1.3,8377
ok,2024-01-17 13:30:00,1.3,1.35,1.24,1.3,10556
ok,2024-01-17 14:00:00,1.3,1.35,1.25,1.28,3827
ok,2024-01-17 14:30:00,1.34,1.35,1.25,1.33,5998
ok,2024-01-17 15:00:00,1.33,1.35,1.28,1.34,5480
ok,2024-01-17 15:30:00,1.31,1.35,1.27,1.35,18193
ok,2024-01-17 16:00:00,1.29,1.37,1.29,1.37,5407
ok,2024-01-17 16:30:00,1.36,1.47,1.36,1.45,10772
ok,2024-01-17 17:00:00,1.47,1.55,1.4,1.41,18751
ok,2024-01-17 18:00:00,1.45,1.48,1.45,1.48,3902
ok,2024-01-17 18:30:00,1.48,1.48,1.48,1.48,129
ok,2024-01-17 19:00:00,1.42,1.49,1.41,1.49,3099
ok,2024-01-17 19:30:00,1.49,1.49,1.49,1.49,1022
ok,2024-01-18 04:00:00,1.38,1.38,1.38,1.38,339
ok,2024-01-18 05:00:00,1.39,1.39,1.37,1.37,1884
