s,t,o,h,l,c,v
ok,2024-03-01 08:30:00,5.25,5.25,5.25,5.25,328
ok,2024-03-01 09:00:00,5.27,6.64,5.27,6.44,2647
ok,2024-03-01 09:30:00,7.0,9.94,6.36,6.86,55352
ok,2024-03-01 10:00:00,6.91,8.0,6.25,6.25,54045
ok,2024-03-01 10:30:00,6.1,8.03,6.1,8.03,6434
ok,2024-03-01 11:00:00,8.5,8.5,7.26,7.95,21533
ok,2024-03-01 11:30:00,7.69,8.0,7.44,7.5,12048
ok,2024-03-01 12:00:00,7.4,7.5,7.0,7.35,5127
ok,2024-03-01 12:30:00,7.17,7.34,7.17,7.31,3680
ok,2024-03-01 13:00:00,7.39,7.67,7.31,7.5,3629
ok,2024-03-01 13:30:00,7.5,7.64,7.0,7.0,7706
ok,2024-03-01 14:00:00,7.0,7.0,6.5,6.5,12945
ok,2024-03-01 14:30:00,6.25,6.74,6.25,6.57,3960
ok,2024-03-01 15:00:00,6.62,6.88,6.62,6.88,2120
ok,2024-03-01 15:30:00,6.88,6.88,6.38,6.38,3633
ok,2024-03-01 16:00:00,7.67,7.68,7.2,7.2,835
ok,2024-03-01 16:30:00,7.49,7.6,7.45,7.6,1017
ok,2024-03-01 17:30:00,7.59,7.59,7.59,7.59,128
ok,2024-03-01 19:30:00,7.02,7.02,7.0,7.0,599
ok,2024-03-04 04:00:00,7.5,7.7,6.95,7.54,3186
ok,2024-03-04 04:30:00,8.4,18.44,7.9,12.5,168911
ok,2024-03-04 05:00:00,12.16,13.89,11.03,12.5,109989
ok,2024-03-04 05:30:00,12.2,13.35,11.71,11.71,39031
ok,2024-03-04 06:00:00,12.02,12.51,10.96,11.1,25566
ok,2024-03-04 06:30:00,11.5,16.85,11.5,14.0,205463
ok,2024-03-04 07:00:00,14.0,17.23,12.68,13.13,364896
ok,2024-03-04 07:30:00,13.14,14.66,12.11,13.46,134909
ok,2024-03-04 08:00:00,14.42,17.29,12.23,13.3,213617
ok,2024-03-04 08:30:00,13.3,13.77,13.02,13.4,48170
ok,2024-03-04 09:00:00,13.21,13.77,11.5,12.05,142827
ok,2024-03-04 09:30:00,12.29,18.32,11.9,15.65,1868252
ok,2024-03-04 10:00:00,15.8,16.95,13.22,14.22,1147999
ok,2024-03-04 10:30:00,14.02,15.6,13.5,14.75,545463
ok,2024-03-04 11:00:00,14.86,16.86,14.5,15.27,775867
ok,2024-03-04 11:30:00,15.35,15.46,14.2,15.45,286383
ok,2024-03-04 12:00:00,15.45,16.38,15.17,15.8,250080
ok,2024-03-04 12:30:00,15.93,15.93,14.35,15.19,264794
ok,2024-03-04 13:00:00,15.0,15.32,15.0,15.1,45594
ok,2024-03-04 13:30:00,15.24,15.24,13.02,13.75,248678
ok,2024-03-04 14:00:00,13.5,14.1,13.4,13.75,65693
ok,2024-03-04 14:30:00,13.8,16.04,13.8,14.85,251995
ok,2024-03-04 15:00:00,14.92,14.93,13.91,14.0,85788
ok,2024-03-04 15:30:00,14.1,14.5,12.39,13.1,189307
