s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.25,0.25,0.25,0.25,300
ok,2024-01-02 04:30:00,0.24,0.24,0.24,0.24,709
ok,2024-01-02 05:00:00,0.24,0.24,0.24,0.24,339
ok,2024-01-02 06:00:00,0.26,0.26,0.26,0.26,400
ok,2024-01-02 09:30:00,0.27,0.28,0.27,0.27,19900
ok,2024-01-02 10:00:00,0.28,0.28,0.27,0.27,3000
ok,2024-01-02 10:30:00,0.27,0.28,0.27,0.28,47663
ok,2024-01-02 11:00:00,0.27,0.27,0.27,0.27,3000
ok,2024-01-02 11:30:00,0.27,0.28,0.27,0.28,311
ok,2024-01-02 12:00:00,0.28,0.28,0.28,0.28,240
ok,2024-01-02 12:30:00,0.28,0.28,0.28,0.28,371
ok,2024-01-02 13:00:00,0.28,0.28,0.28,0.28,1716
ok,2024-01-02 13:30:00,0.28,0.28,0.28,0.28,600
ok,2024-01-02 14:00:00,0.28,0.28,0.28,0.28,1300
ok,2024-01-02 14:30:00,0.28,0.29,0.27,0.27,13813
ok,2024-01-02 15:30:00,0.28,0.28,0.28,0.28,3246
ok,2024-01-02 16:00:00,0.27,0.27,0.27,0.27,251
ok,2024-01-03 08:00:00,0.27,0.27,0.27,0.27,1106
ok,2024-01-03 09:30:00,0.29,0.29,0.28,0.28,4930
ok,2024-01-03 10:00:00,0.28,0.29,0.28,0.28,20102
ok,2024-01-03 10:30:00,0.28,0.28,0.27,0.28,813
ok,2024-01-03 11:00:00,0.28,0.28,0.28,0.28,100
ok,2024-01-03 13:00:00,0.28,0.28,0.28,0.28,295
ok,2024-01-03 14:00:00,0.28,0.28,0.28,0.28,190
ok,2024-01-03 15:30:00,0.29,0.29,0.28,0.28,14534
ok,2024-01-04 04:30:00,0.26,0.26,0.26,0.26,100
ok,2024-01-04 06:30:00,0.27,0.27,0.27,0.27,100
ok,2024-01-04 09:00:00,0.26,0.26,0.26,0.26,100
ok,2024-01-04 09:30:00,0.26,0.26,0.25,0.26,28083
ok,2024-01-04 10:00:00,0.25,0.26,0.25,0.26,788
ok,2024-01-04 10:30:00,0.26,0.27,0.26,0.27,20734
ok,2024-01-04 11:00:00,0.25,0.25,0.25,0.25,2610
ok,2024-01-04 13:00:00,0.25,0.25,0.25,0.25,2300
ok,2024-01-04 14:30:00,0.26,0.26,0.26,0.26,5700
ok,2024-01-04 15:00:00,0.26,0.26,0.26,0.26,3000
ok,2024-01-04 15:30:00,0.27,0.27,0.27,0.27,100
ok,2024-01-05 08:00:00,0.28,0.29,0.26,0.28,16521
ok,2024-01-05 08:30:00,0.27,0.27,0.27,0.27,5000
ok,2024-01-05 09:00:00,0.27,0.27,0.27,0.27,2450
ok,2024-01-05 09:30:00,0.29,0.29,0.27,0.29,4088
ok,2024-01-05 10:30:00,0.29,0.29,0.29,0.29,5000
ok,2024-01-05 11:00:00,0.27,0.27,0.27,0.27,5000
ok,2024-01-05 11:30:00,0.26,0.26,0.26,0.26,100
ok,2024-01-05 12:30:00,0.28,0.28,0.28,0.28,200
ok,2024-01-05 13:00:00,0.27,0.28,0.27,0.28,11215
ok,2024-01-05 13:30:00,0.28,0.28,0.28,0.28,700
ok,2024-01-05 14:30:00,0.28,0.28,0.28,0.28,7000
ok,2024-01-05 15:00:00,0.27,0.28,0.27,0.28,258
ok,2024-01-05 15:30:00,0.27,0.28,0.27,0.28,7155
ok,2024-01-05 17:00:00,0.28,0.28,0.28,0.28,100
ok,2024-01-08 07:30:00,0.28,0.28,0.28,0.28,199
ok,2024-01-08 09:00:00,0.26,0.26,0.26,0.26,250
ok,2024-01-08 09:30:00,0.29,0.29,0.27,0.28,3105
ok,2024-01-08 10:30:00,0.27,0.28,0.27,0.28,15700
ok,2024-01-08 11:00:00,0.28,0.28,0.27,0.27,810
ok,2024-01-08 11:30:00,0.28,0.28,0.28,0.28,100
ok,2024-01-08 12:00:00,0.28,0.28,0.28,0.28,401
ok,2024-01-08 12:30:00,0.27,0.28,0.27,0.28,1377
ok,2024-01-08 13:00:00,0.28,0.28,0.27,0.27,905
ok,2024-01-08 13:30:00,0.27,0.27,0.27,0.27,322
ok,2024-01-08 14:00:00,0.27,0.27,0.27,0.27,995
ok,2024-01-08 15:00:00,0.27,0.27,0.27,0.27,556
ok,2024-01-08 15:30:00,0.27,0.27,0.27,0.27,3079
ok,2024-01-09 09:30:00,0.27,0.28,0.27,0.28,1798
ok,2024-01-09 10:00:00,0.27,0.27,0.27,0.27,829
ok,2024-01-09 10:30:00,0.28,0.28,0.28,0.28,350
ok,2024-01-09 11:00:00,0.28,0.28,0.27,0.28,9086
ok,2024-01-09 11:30:00,0.28,0.28,0.28,0.28,2020
ok,2024-01-09 12:00:00,0.28,0.28,0.27,0.28,3726
ok,2024-01-09 12:30:00,0.28,0.28,0.28,0.28,18904
ok,2024-01-09 13:00:00,0.28,0.28,0.28,0.28,1076
ok,2024-01-09 13:30:00,0.28,0.28,0.28,0.28,7315
ok,2024-01-09 14:00:00,0.28,0.28,0.27,0.28,21452
ok,2024-01-09 14:30:00,0.26,0.26,0.26,0.26,400
ok,2024-01-09 15:00:00,0.27,0.27,0.27,0.27,200
ok,2024-01-09 15:30:00,0.27,0.27,0.26,0.27,1929
ok,2024-01-10 04:30:00,0.27,0.27,0.27,0.27,100
ok,2024-01-10 08:00:00,0.28,0.28,0.28,0.28,805
ok,2024-01-10 10:30:00,0.27,0.27,0.27,0.27,211
ok,2024-01-10 11:00:00,0.27,0.27,0.27,0.27,400
