s,t,o,h,l,c,v
ok,2024-03-27 04:00:00,11.13,11.13,11.13,11.13,200
ok,2024-03-27 06:00:00,10.01,28.84,9.8,16.01,53447
ok,2024-03-27 06:30:00,14.2,15.6,11.5,11.8,85180
ok,2024-03-27 07:00:00,12.48,28.84,10.23,12.39,60852
ok,2024-03-27 07:30:00,12.35,12.88,11.75,11.93,33285
ok,2024-03-27 08:00:00,11.93,13.05,11.61,12.66,36892
ok,2024-03-27 08:30:00,12.57,13.5,9.44,10.31,66477
ok,2024-03-27 09:00:00,10.92,16.36,10.28,16.36,101140
ok,2024-03-27 09:30:00,17.5,19.0,13.24,14.0,237423
ok,2024-03-27 10:00:00,14.0,17.73,13.88,17.69,160554
ok,2024-03-27 10:30:00,17.54,26.18,16.53,26.18,442452
ok,2024-03-27 11:00:00,25.4,31.0,22.86,26.66,371853
ok,2024-03-27 11:30:00,26.65,42.67,24.52,42.46,469287
ok,2024-03-27 12:00:00,42.47,42.85,31.54,36.58,305516
ok,2024-03-27 12:30:00,38.79,47.42,34.4,47.37,498413
ok,2024-03-27 13:00:00,47.4,55.0,41.11,50.44,643148
ok,2024-03-27 13:30:00,49.94,56.0,40.3,46.5,311419
ok,2024-03-27 14:00:00,46.01,47.47,37.5,43.45,124029
ok,2024-03-27 14:30:00,42.3,48.94,38.26,41.81,156764
ok,2024-03-27 15:00:00,44.11,45.0,35.0,37.5,54313
ok,2024-03-27 15:30:00,37.0,37.28,36.0,36.51,8925
ok,2024-03-27 16:00:00,37.26,42.99,37.0,41.12,18619
ok,2024-03-27 16:30:00,41.13,41.13,37.02,37.06,9205
ok,2024-03-27 17:00:00,37.21,38.01,36.0,37.03,9107
ok,2024-03-27 17:30:00,37.83,37.84,36.0,36.5,6571
ok,2024-03-27 18:00:00,36.71,37.7,36.71,37.7,1689
ok,2024-03-27 18:30:00,37.05,38.63,37.01,38.63,4173
ok,2024-03-28 03:00:00,39.52,40.72,38.4,38.49,3041
ok,2024-03-28 03:30:00,35.68,35.68,35.0,35.0,963
ok,2024-03-28 04:00:00,33.33,33.33,33.33,33.33,312
ok,2024-03-28 04:30:00,33.72,35.68,33.72,35.68,983
ok,2024-03-28 05:00:00,35.02,36.0,35.01,36.0,838
ok,2024-03-28 05:30:00,35.26,35.56,35.26,35.56,517
ok,2024-03-28 06:00:00,35.57,37.1,35.57,37.1,2173
ok,2024-03-28 06:30:00,36.25,37.01,36.15,37.0,2324
ok,2024-03-28 07:00:00,37.0,41.93,35.25,35.25,16127
ok,2024-03-28 07:30:00,35.04,35.95,30.99,34.0,12802
ok,2024-03-28 08:00:00,33.4,34.58,32.78,33.0,5811
ok,2024-03-28 08:30:00,33.0,37.07,28.1,30.4,68766
ok,2024-03-28 09:00:00,30.4,36.48,30.4,32.8,62112
ok,2024-03-28 09:30:00,33.15,48.0,33.15,43.0,164990
ok,2024-03-28 10:00:00,42.49,44.0,37.44,44.0,75477
ok,2024-03-28 10:30:00,44.04,45.0,38.63,39.15,38156
ok,2024-03-28 11:00:00,38.39,39.97,35.0,38.8,31169
ok,2024-03-28 11:30:00,38.25,38.55,35.0,36.0,8406
ok,2024-03-28 12:00:00,36.75,37.5,35.11,35.2,20566
ok,2024-03-28 12:30:00,35.3,37.0,35.27,36.75,2811
ok,2024-03-28 13:00:00,35.64,36.0,35.12,35.67,7558
ok,2024-03-28 13:30:00,35.44,35.44,33.0,33.32,11289
ok,2024-03-28 14:00:00,33.7,34.0,33.0,33.85,11820
