s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.05,0.05,0.05,0.05,90810
ok,2024-01-02 04:30:00,0.05,0.05,0.05,0.05,127550
ok,2024-01-02 05:00:00,0.05,0.05,0.05,0.05,71272
ok,2024-01-02 05:30:00,0.05,0.05,0.05,0.05,23266
ok,2024-01-02 06:00:00,0.05,0.05,0.05,0.05,44802
ok,2024-01-02 06:30:00,0.05,0.05,0.05,0.05,105253
ok,2024-01-02 07:00:00,0.05,0.05,0.05,0.05,184781
ok,2024-01-02 07:30:00,0.05,0.05,0.05,0.05,242348
ok,2024-01-02 08:00:00,0.05,0.05,0.05,0.05,416124
ok,2024-01-02 08:30:00,0.05,0.05,0.05,0.05,210527
ok,2024-01-02 09:00:00,0.05,0.05,0.05,0.05,132009
ok,2024-01-02 09:30:00,0.05,0.05,0.05,0.05,1328707
ok,2024-01-02 10:00:00,0.05,0.05,0.05,0.05,740474
ok,2024-01-02 10:30:00,0.05,0.05,0.05,0.05,1190490
ok,2024-01-02 11:00:00,0.05,0.05,0.05,0.05,350226
ok,2024-01-02 11:30:00,0.05,0.05,0.05,0.05,115451
ok,2024-01-02 12:00:00,0.05,0.05,0.05,0.05,216717
ok,2024-01-02 12:30:00,0.05,0.05,0.05,0.05,296934
ok,2024-01-02 13:00:00,0.05,0.05,0.05,0.05,113116
ok,2024-01-02 13:30:00,0.05,0.05,0.05,0.05,331678
ok,2024-01-02 14:00:00,0.05,0.05,0.05,0.05,463242
ok,2024-01-02 14:30:00,0.05,0.05,0.05,0.05,1784104
ok,2024-01-02 15:00:00,0.05,0.05,0.05,0.05,836284
ok,2024-01-02 15:30:00,0.05,0.05,0.05,0.05,586391
ok,2024-01-02 16:00:00,0.05,0.05,0.05,0.05,62551
ok,2024-01-02 16:30:00,0.05,0.05,0.05,0.05,16419
ok,2024-01-02 17:00:00,0.05,0.05,0.05,0.05,4374
ok,2024-01-02 17:30:00,0.05,0.05,0.05,0.05,6396
ok,2024-01-02 18:00:00,0.05,0.05,0.05,0.05,15325
ok,2024-01-02 18:30:00,0.05,0.05,0.05,0.05,31090
ok,2024-01-02 19:00:00,0.05,0.05,0.05,0.05,30451
ok,2024-01-02 19:30:00,0.05,0.05,0.05,0.05,13782
ok,2024-01-03 04:00:00,0.05,0.05,0.05,0.05,18378
ok,2024-01-03 04:30:00,0.05,0.05,0.05,0.05,7801
ok,2024-01-03 05:00:00,0.05,0.05,0.05,0.05,52759
ok,2024-01-03 05:30:00,0.05,0.05,0.05,0.05,48574
ok,2024-01-03 06:00:00,0.05,0.05,0.05,0.05,3267
ok,2024-01-03 06:30:00,0.05,0.05,0.05,0.05,113373
ok,2024-01-03 07:00:00,0.05,0.05,0.05,0.05,294705
ok,2024-01-03 07:30:00,0.05,0.05,0.05,0.05,103974
ok,2024-01-03 08:00:00,0.05,0.05,0.05,0.05,427796
ok,2024-01-03 08:30:00,0.05,0.05,0.05,0.05,138695
ok,2024-01-03 09:00:00,0.05,0.05,0.05,0.05,69319
ok,2024-01-03 09:30:00,0.05,0.05,0.05,0.05,2404672
ok,2024-01-03 10:00:00,0.05,0.05,0.05,0.05,1384428
ok,2024-01-03 10:30:00,0.05,0.05,0.05,0.05,821313
ok,2024-01-03 11:00:00,0.05,0.05,0.05,0.05,1187497
ok,2024-01-03 11:30:00,0.05,0.05,0.04,0.04,757078
ok,2024-01-03 12:00:00,0.05,0.05,0.04,0.05,655394
ok,2024-01-03 12:30:00,0.05,0.05,0.04,0.04,1219590
ok,2024-01-03 13:00:00,0.04,0.04,0.04,0.04,434021
ok,2024-01-03 13:30:00,0.04,0.04,0.04,0.04,185401
ok,2024-01-03 14:00:00,0.04,0.04,0.04,0.04,224106
ok,2024-01-03 14:30:00,0.04,0.04,0.04,0.04,162059
ok,2024-01-03 15:00:00,0.04,0.05,0.04,0.05,608489
ok,2024-01-03 15:30:00,0.05,0.05,0.04,0.05,322674
ok,2024-01-03 16:00:00,0.05,0.05,0.05,0.05,36963
ok,2024-01-03 16:30:00,0.05,0.05,0.04,0.04,90104
ok,2024-01-03 17:00:00,0.04,0.05,0.04,0.05,59700
ok,2024-01-03 17:30:00,0.05,0.05,0.05,0.05,10072
ok,2024-01-03 18:00:00,0.05,0.05,0.05,0.05,3958
ok,2024-01-03 18:30:00,0.05,0.05,0.04,0.05,28500
ok,2024-01-03 19:00:00,0.04,0.05,0.04,0.04,6500
ok,2024-01-03 19:30:00,0.05,0.05,0.05,0.05,3385
ok,2024-01-04 04:00:00,0.05,0.05,0.04,0.04,36543
ok,2024-01-04 04:30:00,0.05,0.05,0.04,0.04,32748
ok,2024-01-04 05:00:00,0.05,0.05,0.04,0.05,33370
ok,2024-01-04 05:30:00,0.05,0.05,0.04,0.05,30598
ok,2024-01-04 06:00:00,0.05,0.05,0.05,0.05,4007
ok,2024-01-04 06:30:00,0.05,0.05,0.04,0.05,47204
ok,2024-01-04 07:00:00,0.05,0.05,0.04,0.04,20286
ok,2024-01-04 07:30:00,0.05,0.05,0.04,0.04,44227
ok,2024-01-04 08:00:00,0.05,0.05,0.04,0.05,414400
ok,2024-01-04 08:30:00,0.05,0.05,0.05,0.05,56412
ok,2024-01-04 09:00:00,0.05,0.05,0.04,0.04,197041
ok,2024-01-04 09:30:00,0.05,0.05,0.04,0.05,538990
ok,2024-01-04 10:00:00,0.05,0.05,0.05,0.05,430850
ok,2024-01-04 10:30:00,0.05,0.05,0.05,0.05,531513
ok,2024-01-04 11:00:00,0.05,0.05,0.05,0.05,310570
ok,2024-01-04 11:30:00,0.05,0.05,0.05,0.05,210362
ok,2024-01-04 12:00:00,0.05,0.05,0.05,0.05,218377
ok,2024-01-04 12:30:00,0.05,0.05,0.05,0.05,418655
ok,2024-01-04 13:00:00,0.05,0.05,0.05,0.05,264635
ok,2024-01-04 13:30:00,0.05,0.05,0.05,0.05,41798
ok,2024-01-04 14:00:00,0.05,0.05,0.05,0.05,135747
ok,2024-01-04 14:30:00,0.05,0.05,0.04,0.05,358769
ok,2024-01-04 15:00:00,0.05,0.05,0.04,0.04,566085
ok,2024-01-04 15:30:00,0.04,0.05,0.04,0.04,641383
ok,2024-01-04 16:00:00,0.04,0.05,0.04,0.04,73482
ok,2024-01-04 16:30:00,0.04,0.05,0.04,0.05,22203
ok,2024-01-04 17:00:00,0.04,0.05,0.04,0.05,227199
ok,2024-01-04 17:30:00,0.05,0.05,0.05,0.05,123174
ok,2024-01-04 18:00:00,0.04,0.05,0.04,0.05,17855
ok,2024-01-04 18:30:00,0.05,0.05,0.05,0.05,4951
ok,2024-01-04 19:00:00,0.05,0.05,0.05,0.05,114309
ok,2024-01-04 19:30:00,0.05,0.05,0.05,0.05,10000
ok,2024-01-05 04:00:00,0.05,0.05,0.05,0.05,24292
ok,2024-01-05 04:30:00,0.05,0.05,0.04,0.04,12596
ok,2024-01-05 05:00:00,0.05,0.05,0.05,0.05,11152
ok,2024-01-05 05:30:00,0.05,0.05,0.05,0.05,16970
ok,2024-01-05 06:00:00,0.05,0.05,0.04,0.05,93753
ok,2024-01-05 06:30:00,0.04,0.05,0.04,0.04,97025
ok,2024-01-05 07:00:00,0.04,0.05,0.04,0.04,255187
ok,2024-01-05 07:30:00,0.04,0.05,0.04,0.04,131399
ok,2024-01-05 08:00:00,0.04,0.05,0.04,0.04,626863
ok,2024-01-05 08:30:00,0.04,0.04,0.04,0.04,74724
ok,2024-01-05 09:00:00,0.04,0.04,0.04,0.04,90066
ok,2024-01-05 09:30:00,0.04,0.04,0.04,0.04,1337952
ok,2024-01-05 10:00:00,0.04,0.04,0.04,0.04,376004
ok,2024-01-05 10:30:00,0.04,0.04,0.04,0.04,461868
ok,2024-01-05 11:00:00,0.04,0.04,0.04,0.04,291168
ok,2024-01-05 11:30:00,0.04,0.04,0.04,0.04,386351
ok,2024-01-05 12:00:00,0.04,0.04,0.04,0.04,344697
ok,2024-01-05 12:30:00,0.04,0.04,0.04,0.04,152063
ok,2024-01-05 13:00:00,0.04,0.04,0.04,0.04,1445579
ok,2024-01-05 13:30:00,0.04,0.04,0.04,0.04,852135
ok,2024-01-05 14:00:00,0.04,0.04,0.04,0.04,710752
ok,2024-01-05 14:30:00,0.04,0.04,0.04,0.04,530962
ok,2024-01-05 15:00:00,0.04,0.04,0.04,0.04,242150
ok,2024-01-05 15:30:00,0.04,0.04,0.04,0.04,729191
ok,2024-01-05 16:00:00,0.04,0.04,0.04,0.04,138485
ok,2024-01-05 16:30:00,0.04,0.04,0.04,0.04,43062
ok,2024-01-05 17:00:00,0.04,0.04,0.04,0.04,34299
ok,2024-01-05 17:30:00,0.04,0.04,0.04,0.04,21097
ok,2024-01-05 18:00:00,0.04,0.04,0.04,0.04,15049
ok,2024-01-05 18:30:00,0.04,0.04,0.04,0.04,6260
ok,2024-01-05 19:00:00,0.04,0.04,0.04,0.04,15281
ok,2024-01-05 19:30:00,0.04,0.04,0.04,0.04,13715
ok,2024-01-08 04:00:00,0.04,0.04,0.04,0.04,37383
ok,2024-01-08 04:30:00,0.04,0.05,0.04,0.04,54837
ok,2024-01-08 05:00:00,0.04,0.04,0.04,0.04,71411
ok,2024-01-08 05:30:00,0.04,0.04,0.04,0.04,35210
ok,2024-01-08 06:00:00,0.04,0.04,0.04,0.04,7672
ok,2024-01-08 06:30:00,0.04,0.04,0.04,0.04,36620
ok,2024-01-08 07:00:00,0.04,0.04,0.04,0.04,11209
ok,2024-01-08 07:30:00,0.04,0.04,0.04,0.04,27496
ok,2024-01-08 08:00:00,0.04,0.05,0.04,0.04,491584
ok,2024-01-08 08:30:00,0.04,0.04,0.04,0.04,41437
ok,2024-01-08 09:00:00,0.04,0.04,0.04,0.04,157958
ok,2024-01-08 09:30:00,0.04,0.04,0.04,0.04,943647
ok,2024-01-08 10:00:00,0.04,0.04,0.04,0.04,480950
ok,2024-01-08 10:30:00,0.04,0.04,0.04,0.04,414130
ok,2024-01-08 11:00:00,0.04,0.04,0.04,0.04,185136
ok,2024-01-08 11:30:00,0.04,0.04,0.04,0.04,378354
ok,2024-01-08 12:00:00,0.04,0.04,0.04,0.04,625400
ok,2024-01-08 12:30:00,0.04,0.04,0.04,0.04,435750
ok,2024-01-08 13:00:00,0.04,0.04,0.04,0.04,197077
ok,2024-01-08 13:30:00,0.04,0.04,0.04,0.04,143640
ok,2024-01-08 14:00:00,0.04,0.04,0.04,0.04,94762
ok,2024-01-08 14:30:00,0.04,0.04,0.04,0.04,147703
ok,2024-01-08 15:00:00,0.04,0.04,0.04,0.04,61311
ok,2024-01-08 15:30:00,0.04,0.04,0.04,0.04,232973
ok,2024-01-08 16:00:00,0.04,0.04,0.04,0.04,128257
ok,2024-01-08 16:30:00,0.04,0.04,0.04,0.04,80254
ok,2024-01-08 17:00:00,0.04,0.04,0.04,0.04,179996
ok,2024-01-08 17:30:00,0.04,0.04,0.04,0.04,15549
ok,2024-01-08 18:00:00,0.04,0.04,0.04,0.04,3304
ok,2024-01-08 18:30:00,0.04,0.04,0.04,0.04,10505
ok,2024-01-08 19:00:00,0.04,0.04,0.04,0.04,1843
ok,2024-01-08 19:30:00,0.04,0.04,0.04,0.04,130818
ok,2024-01-09 04:00:00,0.04,0.04,0.04,0.04,12033
ok,2024-01-09 04:30:00,0.04,0.04,0.04,0.04,9645
ok,2024-01-09 05:00:00,0.04,0.04,0.04,0.04,9562
ok,2024-01-09 05:30:00,0.04,0.04,0.04,0.04,53584
ok,2024-01-09 06:00:00,0.04,0.04,0.04,0.04,8612
ok,2024-01-09 06:30:00,0.04,0.04,0.04,0.04,61928
ok,2024-01-09 07:00:00,0.04,0.04,0.04,0.04,45383
ok,2024-01-09 07:30:00,0.04,0.04,0.04,0.04,113168
ok,2024-01-09 08:00:00,0.04,0.04,0.04,0.04,230179
ok,2024-01-09 08:30:00,0.04,0.04,0.04,0.04,168770
ok,2024-01-09 09:00:00,0.04,0.04,0.04,0.04,52624
ok,2024-01-09 09:30:00,0.04,0.04,0.04,0.04,859747
ok,2024-01-09 10:00:00,0.04,0.04,0.04,0.04,410362
ok,2024-01-09 10:30:00,0.04,0.04,0.04,0.04,478386
ok,2024-01-09 11:00:00,0.04,0.04,0.04,0.04,452729
ok,2024-01-09 11:30:00,0.04,0.04,0.04,0.04,202739
ok,2024-01-09 12:00:00,0.04,0.04,0.04,0.04,170542
ok,2024-01-09 12:30:00,0.04,0.04,0.04,0.04,145694
ok,2024-01-09 13:00:00,0.04,0.04,0.04,0.04,120397
ok,2024-01-09 13:30:00,0.04,0.04,0.04,0.04,204787
ok,2024-01-09 14:00:00,0.04,0.04,0.04,0.04,368860
ok,2024-01-09 14:30:00,0.04,0.04,0.04,0.04,252113
ok,2024-01-09 15:00:00,0.04,0.04,0.04,0.04,439978
ok,2024-01-09 15:30:00,0.04,0.04,0.04,0.04,493631
ok,2024-01-09 16:00:00,0.04,0.04,0.04,0.04,42946
ok,2024-01-09 16:30:00,0.04,0.04,0.04,0.04,33004
ok,2024-01-09 17:00:00,0.04,0.04,0.04,0.04,61567
ok,2024-01-09 17:30:00,0.04,0.04,0.04,0.04,46511
ok,2024-01-09 18:00:00,0.04,0.04,0.04,0.04,13672
ok,2024-01-09 18:30:00,0.04,0.04,0.04,0.04,10053
ok,2024-01-09 19:00:00,0.04,0.04,0.04,0.04,12716
ok,2024-01-09 19:30:00,0.04,0.04,0.04,0.04,191669
ok,2024-01-10 04:00:00,0.04,0.04,0.04,0.04,187271
ok,2024-01-10 04:30:00,0.04,0.04,0.04,0.04,21613
ok,2024-01-10 05:00:00,0.04,0.04,0.04,0.04,71823
ok,2024-01-10 05:30:00,0.04,0.04,0.04,0.04,21956
ok,2024-01-10 06:00:00,0.04,0.04,0.04,0.04,12562
ok,2024-01-10 06:30:00,0.04,0.04,0.04,0.04,14670
ok,2024-01-10 07:00:00,0.04,0.04,0.04,0.04,43437
ok,2024-01-10 07:30:00,0.04,0.04,0.04,0.04,73330
ok,2024-01-10 08:00:00,0.04,0.04,0.04,0.04,500436
ok,2024-01-10 08:30:00,0.04,0.04,0.04,0.04,59419
ok,2024-01-10 09:00:00,0.04,0.04,0.04,0.04,888719
ok,2024-01-10 09:30:00,0.04,0.04,0.04,0.04,772048
ok,2024-01-10 10:00:00,0.04,0.04,0.04,0.04,588233
ok,2024-01-10 10:30:00,0.04,0.04,0.04,0.04,470598
ok,2024-01-10 11:00:00,0.04,0.04,0.04,0.04,624051
ok,2024-01-10 11:30:00,0.04,0.04,0.04,0.04,459089
ok,2024-01-10 12:00:00,0.04,0.04,0.04,0.04,443843
ok,2024-01-10 12:30:00,0.04,0.04,0.04,0.04,649614
ok,2024-01-10 13:00:00,0.04,0.04,0.04,0.04,388153
ok,2024-01-10 13:30:00,0.04,0.04,0.04,0.04,114473
ok,2024-01-10 14:00:00,0.04,0.04,0.04,0.04,138122
ok,2024-01-10 14:30:00,0.04,0.04,0.04,0.04,450886
ok,2024-01-10 15:00:00,0.04,0.05,0.04,0.05,4176027
ok,2024-01-10 15:30:00,0.05,0.05,0.05,0.05,4281073
ok,2024-01-10 16:00:00,0.05,0.05,0.04,0.05,533411
ok,2024-01-10 16:30:00,0.05,0.05,0.05,0.05,61727
ok,2024-01-10 17:00:00,0.05,0.05,0.05,0.05,114060
ok,2024-01-10 17:30:00,0.05,0.05,0.05,0.05,101700
ok,2024-01-10 18:00:00,0.05,0.05,0.05,0.05,14737
ok,2024-01-10 18:30:00,0.05,0.05,0.05,0.05,32054
ok,2024-01-10 19:00:00,0.05,0.05,0.05,0.05,438883
ok,2024-01-10 19:30:00,0.05,0.05,0.05,0.05,43089
ok,2024-01-11 04:00:00,0.05,0.05,0.05,0.05,55210
ok,2024-01-11 04:30:00,0.05,0.05,0.05,0.05,8040
ok,2024-01-11 05:00:00,0.05,0.05,0.05,0.05,50931
ok,2024-01-11 05:30:00,0.05,0.05,0.05,0.05,5596
ok,2024-01-11 06:00:00,0.05,0.05,0.05,0.05,38118
ok,2024-01-11 06:30:00,0.05,0.05,0.05,0.05,7718
ok,2024-01-11 07:00:00,0.05,0.05,0.05,0.05,169676
ok,2024-01-11 07:30:00,0.05,0.05,0.05,0.05,13003
ok,2024-01-11 08:00:00,0.05,0.05,0.05,0.05,390387
ok,2024-01-11 08:30:00,0.05,0.05,0.05,0.05,112932
ok,2024-01-11 09:00:00,0.05,0.05,0.05,0.05,83088
ok,2024-01-11 09:30:00,0.05,0.05,0.04,0.04,3543003
ok,2024-01-11 10:00:00,0.04,0.05,0.04,0.04,697532
ok,2024-01-11 10:30:00,0.04,0.04,0.04,0.04,541873
ok,2024-01-11 11:00:00,0.04,0.04,0.04,0.04,751218
ok,2024-01-11 11:30:00,0.04,0.04,0.04,0.04,542858
ok,2024-01-11 12:00:00,0.04,0.04,0.04,0.04,195214
ok,2024-01-11 12:30:00,0.04,0.04,0.04,0.04,79550
ok,2024-01-11 13:00:00,0.04,0.04,0.04,0.04,337551
ok,2024-01-11 13:30:00,0.04,0.04,0.04,0.04,260453
ok,2024-01-11 14:00:00,0.04,0.04,0.04,0.04,425072
ok,2024-01-11 14:30:00,0.04,0.05,0.04,0.05,544277
ok,2024-01-11 15:00:00,0.05,0.05,0.04,0.04,241832
ok,2024-01-11 15:30:00,0.04,0.05,0.04,0.05,758251
ok,2024-01-11 16:00:00,0.04,0.04,0.04,0.04,81552
ok,2024-01-11 16:30:00,0.04,0.04,0.04,0.04,74551
ok,2024-01-11 17:00:00,0.04,0.05,0.04,0.04,35236
ok,2024-01-11 17:30:00,0.04,0.05,0.04,0.05,42193
ok,2024-01-11 18:00:00,0.05,0.05,0.05,0.05,15650
ok,2024-01-11 18:30:00,0.05,0.05,0.05,0.05,6207
