s,t,o,h,l,c,v
ok,2024-01-02 06:00:00,0.44,0.44,0.44,0.44,100
ok,2024-01-02 09:30:00,0.45,0.45,0.42,0.43,17941
ok,2024-01-02 10:00:00,0.43,0.43,0.42,0.43,14591
ok,2024-01-02 10:30:00,0.43,0.43,0.43,0.43,2125
ok,2024-01-02 11:00:00,0.43,0.45,0.43,0.44,3569
ok,2024-01-02 11:30:00,0.45,0.45,0.44,0.44,469
ok,2024-01-02 12:00:00,0.44,0.44,0.44,0.44,436
ok,2024-01-02 12:30:00,0.44,0.44,0.43,0.43,6780
ok,2024-01-02 13:00:00,0.44,0.44,0.44,0.44,6951
ok,2024-01-02 13:30:00,0.44,0.44,0.44,0.44,3000
ok,2024-01-02 14:30:00,0.44,0.44,0.44,0.44,900
ok,2024-01-02 15:00:00,0.44,0.44,0.43,0.43,265
ok,2024-01-02 15:30:00,0.44,0.44,0.44,0.44,1222
ok,2024-01-02 16:30:00,0.44,0.44,0.44,0.44,100
ok,2024-01-02 18:00:00,0.44,0.44,0.44,0.44,1500
ok,2024-01-02 19:30:00,0.44,0.44,0.44,0.44,771
ok,2024-01-03 04:00:00,0.44,0.44,0.43,0.43,1279
ok,2024-01-03 05:00:00,0.46,0.46,0.45,0.46,501
ok,2024-01-03 07:30:00,0.45,0.45,0.44,0.45,774
ok,2024-01-03 08:00:00,0.45,0.52,0.45,0.52,7641
ok,2024-01-03 08:30:00,0.44,0.44,0.44,0.44,300
ok,2024-01-03 09:00:00,0.46,0.46,0.46,0.46,216
ok,2024-01-03 09:30:00,0.44,0.45,0.44,0.44,42626
ok,2024-01-03 10:00:00,0.43,0.45,0.43,0.45,11270
ok,2024-01-03 10:30:00,0.45,0.46,0.44,0.45,45011
ok,2024-01-03 11:00:00,0.44,0.45,0.44,0.45,10200
ok,2024-01-03 11:30:00,0.45,0.45,0.45,0.45,9357
ok,2024-01-03 12:00:00,0.45,0.45,0.44,0.45,11600
ok,2024-01-03 12:30:00,0.44,0.44,0.44,0.44,9323
ok,2024-01-03 13:00:00,0.45,0.45,0.45,0.45,100
ok,2024-01-03 14:00:00,0.44,0.44,0.44,0.44,100
ok,2024-01-03 14:30:00,0.45,0.45,0.45,0.45,9570
ok,2024-01-03 15:00:00,0.45,0.45,0.45,0.45,792
ok,2024-01-03 15:30:00,0.45,0.45,0.45,0.45,8941
ok,2024-01-03 16:00:00,0.44,0.45,0.44,0.45,1600
ok,2024-01-03 17:30:00,0.44,0.44,0.44,0.44,177
ok,2024-01-04 05:00:00,0.46,0.46,0.46,0.46,100
ok,2024-01-04 08:00:00,0.43,0.43,0.43,0.43,338
ok,2024-01-04 10:00:00,0.43,0.45,0.43,0.45,2413
ok,2024-01-04 10:30:00,0.43,0.44,0.43,0.44,301
ok,2024-01-04 12:00:00,0.44,0.44,0.44,0.44,1500
ok,2024-01-04 13:00:00,0.44,0.45,0.44,0.45,2589
ok,2024-01-04 13:30:00,0.45,0.45,0.45,0.45,110
ok,2024-01-04 15:00:00,0.42,0.42,0.42,0.42,3317
ok,2024-01-04 15:30:00,0.43,0.43,0.43,0.43,2471
ok,2024-01-04 16:00:00,0.47,0.47,0.44,0.46,1399
ok,2024-01-05 09:30:00,0.45,0.45,0.44,0.45,4361
ok,2024-01-05 10:00:00,0.45,0.45,0.43,0.44,6098
ok,2024-01-05 11:30:00,0.44,0.44,0.44,0.44,3000
ok,2024-01-05 12:00:00,0.44,0.44,0.44,0.44,2700
ok,2024-01-05 12:30:00,0.44,0.44,0.44,0.44,1441
ok,2024-01-05 13:00:00,0.44,0.44,0.44,0.44,600
ok,2024-01-05 15:00:00,0.44,0.44,0.44,0.44,320
ok,2024-01-05 15:30:00,0.44,0.44,0.44,0.44,16410
ok,2024-01-08 09:30:00,0.44,0.44,0.43,0.43,2839
ok,2024-01-08 10:00:00,0.44,0.44,0.44,0.44,120
ok,2024-01-08 10:30:00,0.43,0.44,0.43,0.44,5297
ok,2024-01-08 11:30:00,0.44,0.44,0.44,0.44,1200
ok,2024-01-08 13:00:00,0.43,0.44,0.43,0.43,7411
ok,2024-01-08 13:30:00,0.43,0.43,0.42,0.42,578
ok,2024-01-08 14:00:00,0.43,0.43,0.43,0.43,200
ok,2024-01-08 14:30:00,0.42,0.42,0.42,0.42,2532
ok,2024-01-08 15:00:00,0.42,0.42,0.42,0.42,356
ok,2024-01-08 15:30:00,0.42,0.43,0.42,0.43,33547
ok,2024-01-08 17:00:00,0.43,0.43,0.43,0.43,420
ok,2024-01-09 08:00:00,0.43,0.43,0.43,0.43,300
ok,2024-01-09 09:30:00,0.43,0.43,0.43,0.43,227
ok,2024-01-09 10:00:00,0.43,0.43,0.43,0.43,160
ok,2024-01-09 10:30:00,0.43,0.43,0.43,0.43,305
ok,2024-01-09 11:00:00,0.42,0.42,0.42,0.42,830
ok,2024-01-09 11:30:00,0.44,0.45,0.42,0.42,4100
ok,2024-01-09 12:00:00,0.42,0.43,0.42,0.43,1200
ok,2024-01-09 12:30:00,0.44,0.44,0.44,0.44,3450
ok,2024-01-09 13:00:00,0.45,0.45,0.45,0.45,1000
ok,2024-01-09 13:30:00,0.45,0.45,0.45,0.45,2747
ok,2024-01-09 15:00:00,0.44,0.45,0.44,0.45,2960
ok,2024-01-09 15:30:00,0.44,0.45,0.44,0.45,7614
ok,2024-01-09 17:00:00,0.45,0.45,0.45,0.45,1000
ok,2024-01-10 08:00:00,0.53,0.53,0.53,0.53,438
ok,2024-01-10 09:30:00,0.45,0.45,0.45,0.45,385
ok,2024-01-10 10:00:00,0.44,0.44,0.44,0.44,385
ok,2024-01-10 11:00:00,0.44,0.44,0.44,0.44,101
ok,2024-01-10 11:30:00,0.45,0.45,0.44,0.44,4222
ok,2024-01-10 12:00:00,0.45,0.45,0.45,0.45,3003
ok,2024-01-10 12:30:00,0.45,0.45,0.45,0.45,200
ok,2024-01-10 13:00:00,0.45,0.46,0.45,0.46,12235
ok,2024-01-10 14:30:00,0.45,0.45,0.45,0.45,5040
ok,2024-01-10 15:00:00,0.45,0.45,0.45,0.45,2840
ok,2024-01-10 15:30:00,0.46,0.46,0.45,0.46,5216
ok,2024-01-10 16:00:00,0.45,0.46,0.45,0.46,2105
ok,2024-01-10 18:00:00,0.46,0.46,0.46,0.46,712
ok,2024-01-11 09:30:00,0.44,0.44,0.44,0.44,300
ok,2024-01-11 10:00:00,0.45,0.45,0.42,0.42,43000
ok,2024-01-11 10:30:00,0.43,0.44,0.43,0.44,12771
ok,2024-01-11 11:30:00,0.43,0.44,0.43,0.44,4134
ok,2024-01-11 12:00:00,0.44,0.46,0.44,0.46,1200
ok,2024-01-11 13:30:00,0.45,0.45,0.45,0.45,500
ok,2024-01-11 15:30:00,0.44,0.45,0.44,0.45,7936
ok,2024-01-11 17:30:00,0.45,0.45,0.45,0.45,100
ok,2024-01-12 09:30:00,0.44,0.46,0.44,0.46,1272
ok,2024-01-12 10:00:00,0.44,0.45,0.44,0.44,2923
ok,2024-01-12 10:30:00,0.44,0.45,0.44,0.45,607
ok,2024-01-12 11:00:00,0.45,0.45,0.44,0.44,8217
ok,2024-01-12 11:30:00,0.44,0.44,0.43,0.44,4043
ok,2024-01-12 12:00:00,0.44,0.45,0.43,0.45,32239
ok,2024-01-12 12:30:00,0.45,0.45,0.45,0.45,2922
ok,2024-01-12 13:00:00,0.46,0.46,0.46,0.46,3500
ok,2024-01-12 13:30:00,0.46,0.46,0.46,0.46,2670
ok,2024-01-12 14:30:00,0.46,0.46,0.46,0.46,600
ok,2024-01-12 15:30:00,0.45,0.45,0.45,0.45,4774
ok,2024-01-12 16:30:00,0.46,0.46,0.46,0.46,109
ok,2024-01-16 09:30:00,0.45,0.45,0.43,0.43,4474
ok,2024-01-16 10:00:00,0.46,0.46,0.43,0.43,3625
ok,2024-01-16 10:30:00,0.45,0.45,0.44,0.44,15980
ok,2024-01-16 11:00:00,0.44,0.45,0.43,0.43,15682
ok,2024-01-16 11:30:00,0.43,0.44,0.43,0.43,7152
ok,2024-01-16 12:00:00,0.43,0.43,0.42,0.43,15042
ok,2024-01-16 12:30:00,0.43,0.43,0.43,0.43,700
ok,2024-01-16 13:00:00,0.42,0.42,0.42,0.42,1972
ok,2024-01-16 13:30:00,0.43,0.43,0.41,0.41,7461
ok,2024-01-16 14:00:00,0.41,0.41,0.4,0.4,9587
ok,2024-01-16 14:30:00,0.4,0.4,0.4,0.4,3078
ok,2024-01-16 15:00:00,0.4,0.41,0.4,0.4,3619
ok,2024-01-16 15:30:00,0.4,0.41,0.4,0.41,1187
ok,2024-01-17 09:30:00,0.4,0.41,0.38,0.39,16058
ok,2024-01-17 10:00:00,0.38,0.38,0.35,0.36,56220
ok,2024-01-17 10:30:00,0.36,0.36,0.35,0.36,19654
ok,2024-01-17 11:00:00,0.37,0.38,0.35,0.38,24610
ok,2024-01-17 11:30:00,0.38,0.38,0.36,0.36,19666
ok,2024-01-17 12:00:00,0.37,0.39,0.37,0.39,15324
ok,2024-01-17 12:30:00,0.41,0.41,0.39,0.4,10042
ok,2024-01-17 13:00:00,0.39,0.4,0.39,0.4,1000
ok,2024-01-17 13:30:00,0.4,0.4,0.36,0.36,1133
ok,2024-01-17 14:00:00,0.36,0.36,0.36,0.36,1250
ok,2024-01-17 14:30:00,0.38,0.38,0.38,0.38,2100
ok,2024-01-17 15:30:00,0.39,0.39,0.38,0.38,1970
ok,2024-01-17 16:00:00,0.4,0.4,0.4,0.4,600
ok,2024-01-17 16:30:00,0.4,0.4,0.4,0.4,300
ok,2024-01-17 17:30:00,0.41,0.42,0.41,0.42,3000
ok,2024-01-17 18:00:00,0.42,0.42,0.42,0.42,2325
ok,2024-01-17 18:30:00,0.43,0.43,0.43,0.43,101
ok,2024-01-18 09:30:00,0.4,0.4,0.38,0.4,6681
ok,2024-01-18 10:00:00,0.4,0.4,0.39,0.39,2000
ok,2024-01-18 10:30:00,0.4,0.4,0.4,0.4,100
ok,2024-01-18 11:00:00,0.39,0.39,0.39,0.39,1500
ok,2024-01-18 13:00:00,0.39,0.39,0.39,0.39,514
ok,2024-01-18 13:30:00,0.39,0.4,0.39,0.4,2302
ok,2024-01-18 14:00:00,0.4,0.4,0.4,0.4,751
ok,2024-01-18 14:30:00,0.39,0.39,0.39,0.39,466
ok,2024-01-18 15:30:00,0.38,0.39,0.38,0.38,2748
ok,2024-01-18 18:30:00,0.38,0.38,0.38,0.38,1500
ok,2024-01-18 19:30:00,0.38,0.38,0.38,0.38,125
ok,2024-01-19 08:00:00,0.4,0.4,0.4,0.4,390
ok,2024-01-19 09:30:00,0.38,0.39,0.38,0.38,3676
ok,2024-01-19 10:00:00,0.38,0.38,0.33,0.36,38909
ok,2024-01-19 10:30:00,0.34,0.35,0.32,0.35,22994
ok,2024-01-19 11:00:00,0.34,0.34,0.33,0.33,400
ok,2024-01-19 11:30:00,0.33,0.33,0.33,0.33,600
ok,2024-01-19 12:00:00,0.34,0.36,0.34,0.36,58381
ok,2024-01-19 12:30:00,0.36,0.37,0.35,0.37,6668
ok,2024-01-19 13:00:00,0.37,0.37,0.35,0.35,1699
ok,2024-01-19 13:30:00,0.35,0.36,0.35,0.36,967
ok,2024-01-19 14:00:00,0.36,0.36,0.35,0.35,4304
ok,2024-01-19 14:30:00,0.35,0.35,0.34,0.34,5953
ok,2024-01-19 15:00:00,0.34,0.37,0.34,0.34,4613
ok,2024-01-19 15:30:00,0.34,0.35,0.34,0.34,5053
ok,2024-01-19 16:30:00,0.4,0.4,0.4,0.4,302
ok,2024-01-19 17:00:00,0.43,0.43,0.35,0.4,11295
ok,2024-01-22 04:00:00,0.35,0.35,0.31,0.32,733
ok,2024-01-22 08:00:00,0.32,0.35,0.32,0.35,1435
ok,2024-01-22 09:30:00,0.37,0.37,0.34,0.36,3415
ok,2024-01-22 10:00:00,0.35,0.36,0.35,0.36,5340
ok,2024-01-22 10:30:00,0.36,0.36,0.36,0.36,1400
ok,2024-01-22 11:00:00,0.36,0.36,0.36,0.36,1601
ok,2024-01-22 11:30:00,0.36,0.36,0.36,0.36,2220
ok,2024-01-22 12:00:00,0.36,0.36,0.35,0.36,3076
ok,2024-01-22 12:30:00,0.35,0.35,0.35,0.35,6820
ok,2024-01-22 13:00:00,0.35,0.35,0.35,0.35,1874
ok,2024-01-22 14:00:00,0.35,0.35,0.35,0.35,3544
ok,2024-01-22 14:30:00,0.36,0.36,0.35,0.35,3081
ok,2024-01-22 15:30:00,0.35,0.36,0.35,0.35,1476
ok,2024-01-22 16:30:00,0.37,0.37,0.37,0.37,5000
ok,2024-01-23 08:00:00,0.35,0.35,0.35,0.35,100
ok,2024-01-23 09:30:00,0.37,0.37,0.37,0.37,1558
ok,2024-01-23 10:00:00,0.35,0.37,0.35,0.37,368
ok,2024-01-23 11:00:00,0.37,0.37,0.37,0.37,100
ok,2024-01-23 13:30:00,0.37,0.37,0.37,0.37,9603
ok,2024-01-23 15:00:00,0.37,0.38,0.36,0.36,17911
ok,2024-01-23 15:30:00,0.38,0.38,0.37,0.38,993
ok,2024-01-23 16:30:00,0.4,0.4,0.4,0.4,250
ok,2024-01-24 09:30:00,0.4,0.4,0.38,0.4,18642
ok,2024-01-24 10:00:00,0.4,0.4,0.38,0.38,11500
ok,2024-01-24 12:00:00,0.38,0.38,0.38,0.38,176
ok,2024-01-24 12:30:00,0.38,0.38,0.38,0.38,100
ok,2024-01-24 13:30:00,0.4,0.4,0.38,0.38,600
ok,2024-01-24 15:00:00,0.39,0.39,0.38,0.38,456
ok,2024-01-24 15:30:00,0.38,0.39,0.37,0.37,17786
ok,2024-01-24 18:00:00,0.37,0.37,0.37,0.37,300
ok,2024-01-24 19:30:00,0.4,0.42,0.4,0.42,2500
ok,2024-01-25 04:30:00,0.42,0.42,0.42,0.42,647
ok,2024-01-25 08:00:00,0.4,0.4,0.4,0.4,500
ok,2024-01-25 09:30:00,0.39,0.4,0.38,0.39,4403
ok,2024-01-25 11:00:00,0.39,0.39,0.37,0.37,11142
ok,2024-01-25 11:30:00,0.39,0.39,0.38,0.38,1884
ok,2024-01-25 12:00:00,0.38,0.38,0.38,0.38,600
ok,2024-01-25 12:30:00,0.38,0.38,0.37,0.37,7774
ok,2024-01-25 13:00:00,0.37,0.37,0.37,0.37,497
ok,2024-01-25 14:00:00,0.37,0.37,0.37,0.37,120
ok,2024-01-25 14:30:00,0.37,0.38,0.37,0.38,12621
ok,2024-01-25 15:00:00,0.38,0.38,0.37,0.37,2670
ok,2024-01-25 15:30:00,0.38,0.38,0.37,0.37,2978
ok,2024-01-25 16:00:00,0.39,0.39,0.39,0.39,131
ok,2024-01-26 07:30:00,0.42,0.42,0.41,0.41,1764
ok,2024-01-26 09:30:00,0.4,0.4,0.38,0.38,5259
ok,2024-01-26 10:00:00,0.38,0.38,0.38,0.38,325
ok,2024-01-26 11:00:00,0.37,0.37,0.37,0.37,400
ok,2024-01-26 12:00:00,0.38,0.38,0.38,0.38,1400
ok,2024-01-26 12:30:00,0.38,0.38,0.38,0.38,325
ok,2024-01-26 13:00:00,0.37,0.37,0.37,0.37,2277
ok,2024-01-26 13:30:00,0.37,0.37,0.37,0.37,1151
ok,2024-01-26 15:30:00,0.38,0.38,0.38,0.38,133
ok,2024-01-29 04:30:00,0.37,0.38,0.37,0.38,308
ok,2024-01-29 06:00:00,0.38,0.38,0.38,0.38,150
ok,2024-01-29 07:00:00,0.41,0.41,0.41,0.41,260
ok,2024-01-29 08:00:00,0.38,0.38,0.38,0.38,167
ok,2024-01-29 09:30:00,0.38,0.38,0.37,0.37,925
ok,2024-01-29 10:00:00,0.37,0.39,0.37,0.37,5173
ok,2024-01-29 10:30:00,0.37,0.37,0.37,0.37,1068
ok,2024-01-29 11:00:00,0.39,0.39,0.39,0.39,1000
ok,2024-01-29 11:30:00,0.39,0.39,0.38,0.38,567
ok,2024-01-29 12:00:00,0.38,0.38,0.38,0.38,211
ok,2024-01-29 14:00:00,0.39,0.39,0.38,0.39,4249
ok,2024-01-29 14:30:00,0.38,0.38,0.38,0.38,500
ok,2024-01-29 15:30:00,0.39,0.39,0.38,0.38,1588
ok,2024-01-30 06:00:00,0.37,0.37,0.37,0.37,100
ok,2024-01-30 07:00:00,0.38,0.38,0.37,0.38,630
ok,2024-01-30 07:30:00,0.38,0.38,0.38,0.38,7169
ok,2024-01-30 08:00:00,0.38,0.38,0.38,0.38,793
ok,2024-01-30 09:30:00,0.39,0.39,0.35,0.36,9469
ok,2024-01-30 10:00:00,0.38,0.38,0.37,0.38,4259
ok,2024-01-30 10:30:00,0.39,0.39,0.37,0.37,16960
ok,2024-01-30 11:00:00,0.39,0.39,0.38,0.39,956
ok,2024-01-30 12:00:00,0.39,0.39,0.37,0.37,1000
ok,2024-01-30 13:30:00,0.37,0.39,0.36,0.39,15249
ok,2024-01-30 16:00:00,0.39,0.39,0.39,0.39,182
ok,2024-01-30 18:30:00,0.39,0.39,0.39,0.39,473
ok,2024-01-31 09:30:00,0.39,0.39,0.38,0.38,6272
ok,2024-01-31 10:00:00,0.38,0.38,0.37,0.37,3342
ok,2024-01-31 10:30:00,0.37,0.37,0.37,0.37,300
ok,2024-01-31 11:00:00,0.37,0.37,0.37,0.37,189
ok,2024-01-31 11:30:00,0.38,0.38,0.38,0.38,560
ok,2024-01-31 12:00:00,0.38,0.38,0.37,0.37,1971
ok,2024-01-31 13:30:00,0.37,0.37,0.37,0.37,200
ok,2024-01-31 14:00:00,0.37,0.37,0.37,0.37,216
ok,2024-01-31 15:30:00,0.37,0.38,0.37,0.37,12230
ok,2024-01-31 17:30:00,0.38,0.38,0.38,0.38,300
ok,2024-01-31 18:00:00,0.38,0.38,0.37,0.37,6000
ok,2024-02-01 07:30:00,0.36,0.36,0.36,0.36,200
ok,2024-02-01 08:30:00,0.37,0.37,0.37,0.37,1000
ok,2024-02-01 09:30:00,0.36,0.36,0.35,0.36,7553
ok,2024-02-01 10:00:00,0.36,0.36,0.36,0.36,10616
ok,2024-02-01 10:30:00,0.36,0.36,0.36,0.36,656
ok,2024-02-01 11:00:00,0.36,0.36,0.35,0.35,850
ok,2024-02-01 11:30:00,0.36,0.36,0.36,0.36,4431
ok,2024-02-01 12:00:00,0.36,0.36,0.36,0.36,1125
ok,2024-02-01 12:30:00,0.37,0.37,0.37,0.37,869
ok,2024-02-01 13:00:00,0.36,0.37,0.36,0.37,1329
ok,2024-02-01 14:30:00,0.37,0.37,0.37,0.37,258
ok,2024-02-01 15:00:00,0.37,0.39,0.36,0.39,54824
ok,2024-02-01 15:30:00,0.36,0.41,0.36,0.4,65386
ok,2024-02-01 16:00:00,0.41,0.41,0.39,0.39,2250
ok,2024-02-01 16:30:00,0.39,0.39,0.39,0.39,282
ok,2024-02-02 07:30:00,0.42,0.42,0.42,0.42,200
ok,2024-02-02 08:00:00,0.4,0.4,0.4,0.4,400
ok,2024-02-02 08:30:00,0.39,0.4,0.39,0.4,600
ok,2024-02-02 09:30:00,0.4,0.4,0.37,0.39,9115
ok,2024-02-02 10:00:00,0.39,0.39,0.37,0.37,2429
ok,2024-02-02 10:30:00,0.38,0.38,0.38,0.38,100
ok,2024-02-02 11:00:00,0.4,0.4,0.4,0.4,100
ok,2024-02-02 11:30:00,0.4,0.4,0.38,0.38,20000
ok,2024-02-02 12:00:00,0.4,0.4,0.4,0.4,272
ok,2024-02-02 12:30:00,0.4,0.4,0.4,0.4,200
ok,2024-02-02 13:30:00,0.38,0.38,0.38,0.38,100
ok,2024-02-02 14:00:00,0.38,0.39,0.38,0.39,10879
ok,2024-02-02 14:30:00,0.39,0.39,0.37,0.37,6365
ok,2024-02-02 15:00:00,0.38,0.46,0.37,0.4,137977
ok,2024-02-02 15:30:00,0.37,0.38,0.37,0.38,1821
ok,2024-02-05 06:00:00,0.37,0.37,0.37,0.37,101
ok,2024-02-05 08:00:00,0.43,0.43,0.43,0.43,303
ok,2024-02-05 09:30:00,0.38,0.4,0.38,0.4,4560
ok,2024-02-05 10:00:00,0.38,0.38,0.36,0.37,29478
ok,2024-02-05 10:30:00,0.37,0.38,0.35,0.36,16606
ok,2024-02-05 11:00:00,0.36,0.37,0.35,0.35,64063
ok,2024-02-05 11:30:00,0.37,0.37,0.36,0.36,3280
ok,2024-02-05 12:00:00,0.36,0.36,0.36,0.36,100
ok,2024-02-05 12:30:00,0.37,0.37,0.36,0.36,7500
ok,2024-02-05 13:00:00,0.36,0.36,0.36,0.36,100
ok,2024-02-05 13:30:00,0.36,0.36,0.36,0.36,18681
ok,2024-02-05 14:00:00,0.37,0.38,0.37,0.37,1009
ok,2024-02-05 14:30:00,0.38,0.38,0.36,0.37,4326
ok,2024-02-05 15:00:00,0.37,0.37,0.37,0.37,3170
ok,2024-02-05 15:30:00,0.36,0.36,0.36,0.36,2358
ok,2024-02-05 18:00:00,0.37,0.37,0.37,0.37,443
ok,2024-02-06 08:00:00,0.42,0.42,0.38,0.38,2034
ok,2024-02-06 11:00:00,0.38,0.38,0.37,0.37,774
ok,2024-02-06 11:30:00,0.38,0.38,0.37,0.38,1601
ok,2024-02-06 12:00:00,0.38,0.38,0.38,0.38,2721
ok,2024-02-06 12:30:00,0.39,0.39,0.38,0.38,4966
ok,2024-02-06 13:00:00,0.38,0.38,0.38,0.38,796
ok,2024-02-06 13:30:00,0.37,0.37,0.35,0.37,10315
ok,2024-02-06 15:00:00,0.37,0.37,0.36,0.36,900
ok,2024-02-06 15:30:00,0.36,0.36,0.36,0.36,958
ok,2024-02-06 17:00:00,0.38,0.38,0.38,0.38,101
ok,2024-02-06 19:30:00,0.43,0.43,0.43,0.43,100
ok,2024-02-07 06:00:00,0.42,0.42,0.41,0.41,1041
ok,2024-02-07 07:00:00,0.4,0.4,0.4,0.4,150
ok,2024-02-07 07:30:00,0.41,0.41,0.39,0.41,13906
ok,2024-02-07 08:00:00,0.4,0.41,0.37,0.4,15093
ok,2024-02-07 08:30:00,0.38,0.38,0.36,0.37,13459
