s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.42,0.43,0.42,0.43,9214
ok,2024-01-02 04:30:00,0.43,0.43,0.43,0.43,4665
ok,2024-01-02 05:00:00,0.43,0.43,0.43,0.43,3897
ok,2024-01-02 05:30:00,0.43,0.43,0.42,0.43,11252
ok,2024-01-02 06:00:00,0.43,0.43,0.42,0.42,1942
ok,2024-01-02 06:30:00,0.42,0.43,0.42,0.42,1724
ok,2024-01-02 07:00:00,0.43,0.43,0.42,0.43,10616
ok,2024-01-02 07:30:00,0.43,0.43,0.42,0.42,3990
ok,2024-01-02 08:00:00,0.43,0.43,0.42,0.42,47015
ok,2024-01-02 08:30:00,0.42,0.43,0.42,0.43,30923
ok,2024-01-02 09:00:00,0.43,0.43,0.42,0.42,5589
ok,2024-01-02 09:30:00,0.43,0.44,0.42,0.42,968078
ok,2024-01-02 10:00:00,0.42,0.43,0.4,0.41,801231
ok,2024-01-02 10:30:00,0.4,0.41,0.4,0.4,490556
ok,2024-01-02 11:00:00,0.4,0.41,0.4,0.4,137356
ok,2024-01-02 11:30:00,0.4,0.41,0.4,0.41,264687
ok,2024-01-02 12:00:00,0.41,0.42,0.4,0.41,134622
ok,2024-01-02 12:30:00,0.41,0.41,0.41,0.41,164902
ok,2024-01-02 13:00:00,0.41,0.41,0.4,0.4,150899
ok,2024-01-02 13:30:00,0.4,0.41,0.4,0.4,150813
ok,2024-01-02 14:00:00,0.4,0.4,0.4,0.4,78811
ok,2024-01-02 14:30:00,0.4,0.4,0.4,0.4,52444
ok,2024-01-02 15:00:00,0.4,0.4,0.39,0.4,141629
ok,2024-01-02 15:30:00,0.4,0.4,0.4,0.4,258753
ok,2024-01-02 16:00:00,0.4,0.4,0.4,0.4,5380
ok,2024-01-02 16:30:00,0.4,0.4,0.4,0.4,455
ok,2024-01-02 17:00:00,0.4,0.4,0.39,0.39,10423
ok,2024-01-02 17:30:00,0.39,0.39,0.39,0.39,2133
ok,2024-01-02 19:00:00,0.4,0.41,0.4,0.41,1000
ok,2024-01-03 04:00:00,0.4,0.4,0.4,0.4,230
