s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,0.24,0.24,0.23,0.23,1493
ok,2024-01-02 09:30:00,0.23,0.23,0.23,0.23,8269
ok,2024-01-02 10:00:00,0.23,0.23,0.23,0.23,6596
ok,2024-01-02 10:30:00,0.23,0.23,0.23,0.23,12295
ok,2024-01-02 11:00:00,0.23,0.23,0.23,0.23,5875
ok,2024-01-02 11:30:00,0.23,0.23,0.22,0.23,13274
ok,2024-01-02 12:00:00,0.23,0.23,0.22,0.23,15681
ok,2024-01-02 12:30:00,0.22,0.23,0.22,0.23,8082
ok,2024-01-02 13:00:00,0.23,0.24,0.23,0.23,13478
ok,2024-01-02 13:30:00,0.23,0.24,0.23,0.23,6459
ok,2024-01-02 14:00:00,0.24,0.24,0.23,0.24,2206
ok,2024-01-02 14:30:00,0.23,0.24,0.23,0.24,16949
ok,2024-01-02 15:00:00,0.23,0.23,0.23,0.23,23060
ok,2024-01-02 15:30:00,0.23,0.24,0.23,0.23,27662
ok,2024-01-02 16:00:00,0.24,0.24,0.24,0.24,200
ok,2024-01-02 17:30:00,0.24,0.24,0.24,0.24,222
ok,2024-01-03 09:00:00,0.24,0.24,0.24,0.24,456
ok,2024-01-03 09:30:00,0.24,0.24,0.22,0.22,20052
ok,2024-01-03 10:00:00,0.22,0.23,0.22,0.22,4906
ok,2024-01-03 10:30:00,0.22,0.23,0.22,0.22,9775
ok,2024-01-03 11:00:00,0.23,0.23,0.22,0.22,6694
ok,2024-01-03 11:30:00,0.23,0.23,0.22,0.22,35621
ok,2024-01-03 12:00:00,0.22,0.22,0.22,0.22,32528
ok,2024-01-03 12:30:00,0.22,0.22,0.22,0.22,2775
ok,2024-01-03 13:00:00,0.22,0.22,0.22,0.22,20371
ok,2024-01-03 13:30:00,0.22,0.22,0.22,0.22,26705
ok,2024-01-03 14:00:00,0.22,0.22,0.22,0.22,15218
ok,2024-01-03 14:30:00,0.22,0.22,0.22,0.22,9096
ok,2024-01-03 15:00:00,0.22,0.22,0.22,0.22,7525
ok,2024-01-03 15:30:00,0.22,0.22,0.22,0.22,6530
ok,2024-01-03 18:00:00,0.22,0.22,0.22,0.22,922
ok,2024-01-03 18:30:00,0.23,0.23,0.23,0.23,7500
ok,2024-01-04 09:00:00,0.23,0.23,0.23,0.23,454
ok,2024-01-04 09:30:00,0.22,0.24,0.22,0.24,146678
ok,2024-01-04 10:00:00,0.23,0.24,0.23,0.23,18280
ok,2024-01-04 10:30:00,0.23,0.23,0.23,0.23,9948
ok,2024-01-04 11:00:00,0.23,0.23,0.23,0.23,34319
ok,2024-01-04 11:30:00,0.23,0.23,0.22,0.23,21100
ok,2024-01-04 12:00:00,0.23,0.23,0.22,0.22,729
ok,2024-01-04 12:30:00,0.22,0.22,0.22,0.22,33102
ok,2024-01-04 13:00:00,0.22,0.23,0.22,0.23,2181
ok,2024-01-04 13:30:00,0.23,0.23,0.23,0.23,16205
ok,2024-01-04 14:00:00,0.23,0.23,0.22,0.23,9452
