s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.66,0.66,0.66,0.66,1173
ok,2024-01-02 04:30:00,0.67,0.67,0.67,0.67,100
ok,2024-01-02 05:00:00,0.67,0.7,0.67,0.7,1578
ok,2024-01-02 05:30:00,0.7,0.7,0.7,0.7,3220
ok,2024-01-02 06:30:00,0.7,0.7,0.7,0.7,150
ok,2024-01-02 07:00:00,0.7,0.7,0.66,0.66,16548
ok,2024-01-02 07:30:00,0.66,0.66,0.66,0.66,251
ok,2024-01-02 08:00:00,0.68,0.68,0.65,0.66,14806
ok,2024-01-02 08:30:00,0.66,0.66,0.64,0.64,31501
ok,2024-01-02 09:00:00,0.64,0.68,0.64,0.68,34586
ok,2024-01-02 09:30:00,0.67,0.67,0.65,0.66,109871
ok,2024-01-02 10:00:00,0.66,0.66,0.64,0.64,108382
ok,2024-01-02 10:30:00,0.64,0.64,0.63,0.64,152227
ok,2024-01-02 11:00:00,0.64,0.64,0.63,0.63,106123
ok,2024-01-02 11:30:00,0.63,0.64,0.63,0.64,23501
ok,2024-01-02 12:00:00,0.64,0.64,0.64,0.64,49609
ok,2024-01-02 12:30:00,0.64,0.64,0.63,0.63,90778
ok,2024-01-02 13:00:00,0.63,0.64,0.62,0.63,205559
ok,2024-01-02 13:30:00,0.63,0.63,0.63,0.63,32697
ok,2024-01-02 14:00:00,0.63,0.63,0.63,0.63,36378
ok,2024-01-02 14:30:00,0.63,0.63,0.62,0.63,47176
ok,2024-01-02 15:00:00,0.63,0.63,0.62,0.63,75853
ok,2024-01-02 15:30:00,0.63,0.63,0.62,0.63,44599
ok,2024-01-02 16:00:00,0.63,0.63,0.62,0.62,14020
ok,2024-01-02 16:30:00,0.63,0.63,0.63,0.63,4300
ok,2024-01-02 17:00:00,0.63,0.63,0.63,0.63,12762
ok,2024-01-02 17:30:00,0.63,0.63,0.63,0.63,1000
ok,2024-01-02 18:30:00,0.63,0.63,0.62,0.63,3100
ok,2024-01-02 19:00:00,0.63,0.63,0.63,0.63,9000
ok,2024-01-02 19:30:00,0.63,0.63,0.62,0.63,19254
ok,2024-01-03 05:30:00,0.64,0.64,0.64,0.64,216
ok,2024-01-03 07:00:00,0.62,0.63,0.62,0.62,10128
ok,2024-01-03 07:30:00,0.62,0.63,0.62,0.62,2258
ok,2024-01-03 08:00:00,0.62,0.65,0.6,0.62,57025
ok,2024-01-03 08:30:00,0.62,0.63,0.62,0.62,8637
ok,2024-01-03 09:00:00,0.62,0.63,0.61,0.63,2446
ok,2024-01-03 09:30:00,0.62,0.63,0.6,0.62,191597
ok,2024-01-03 10:00:00,0.62,0.62,0.6,0.6,83918
ok,2024-01-03 10:30:00,0.6,0.6,0.58,0.59,477086
ok,2024-01-03 11:00:00,0.58,0.59,0.58,0.59,212278
ok,2024-01-03 11:30:00,0.59,0.61,0.58,0.59,122437
ok,2024-01-03 12:00:00,0.59,0.59,0.57,0.57,266101
ok,2024-01-03 12:30:00,0.58,0.58,0.56,0.56,300606
ok,2024-01-03 13:00:00,0.56,0.57,0.56,0.56,360388
ok,2024-01-03 13:30:00,0.56,0.56,0.55,0.56,633499
ok,2024-01-03 14:00:00,0.56,0.57,0.56,0.56,211591
ok,2024-01-03 14:30:00,0.56,0.57,0.56,0.56,196775
ok,2024-01-03 15:00:00,0.56,0.57,0.56,0.56,227582
ok,2024-01-03 15:30:00,0.56,0.56,0.55,0.55,252077
ok,2024-01-03 16:00:00,0.56,0.56,0.56,0.56,19558
ok,2024-01-03 16:30:00,0.56,0.56,0.56,0.56,6885
ok,2024-01-03 17:00:00,0.56,0.56,0.56,0.56,8705
ok,2024-01-03 17:30:00,0.56,0.57,0.56,0.56,31112
ok,2024-01-03 18:00:00,0.57,0.57,0.56,0.56,12278
ok,2024-01-03 18:30:00,0.57,0.57,0.56,0.56,6470
ok,2024-01-03 19:00:00,0.56,0.56,0.56,0.56,3210
ok,2024-01-03 19:30:00,0.56,0.56,0.56,0.56,5135
ok,2024-01-04 04:00:00,0.59,0.6,0.58,0.58,822
ok,2024-01-04 04:30:00,0.58,0.58,0.58,0.58,100
ok,2024-01-04 05:00:00,0.58,0.58,0.56,0.56,873
ok,2024-01-04 06:00:00,0.58,0.58,0.57,0.58,2144
ok,2024-01-04 07:00:00,0.58,0.58,0.56,0.56,5170
ok,2024-01-04 07:30:00,0.55,0.55,0.55,0.55,1000
ok,2024-01-04 08:00:00,0.57,0.57,0.54,0.55,73453
ok,2024-01-04 08:30:00,0.55,0.55,0.54,0.55,7117
ok,2024-01-04 09:00:00,0.55,0.56,0.54,0.55,19945
ok,2024-01-04 09:30:00,0.56,0.57,0.56,0.56,228102
ok,2024-01-04 10:00:00,0.56,0.56,0.56,0.56,81511
ok,2024-01-04 10:30:00,0.56,0.56,0.55,0.55,194616
ok,2024-01-04 11:00:00,0.55,0.55,0.55,0.55,65897
ok,2024-01-04 11:30:00,0.55,0.55,0.55,0.55,145539
ok,2024-01-04 12:00:00,0.55,0.55,0.55,0.55,257522
ok,2024-01-04 12:30:00,0.55,0.55,0.55,0.55,76875
ok,2024-01-04 13:00:00,0.55,0.55,0.55,0.55,337855
ok,2024-01-04 13:30:00,0.55,0.56,0.55,0.56,107084
ok,2024-01-04 14:00:00,0.55,0.55,0.55,0.55,103506
ok,2024-01-04 14:30:00,0.55,0.55,0.53,0.53,263323
ok,2024-01-04 15:00:00,0.53,0.54,0.53,0.53,244718
ok,2024-01-04 15:30:00,0.53,0.54,0.53,0.54,144518
ok,2024-01-04 16:00:00,0.54,0.54,0.54,0.54,7261
ok,2024-01-04 16:30:00,0.54,0.54,0.54,0.54,2745
ok,2024-01-04 17:00:00,0.54,0.54,0.53,0.53,15326
ok,2024-01-04 17:30:00,0.54,0.54,0.54,0.54,100
ok,2024-01-04 18:00:00,0.54,0.54,0.54,0.54,4479
ok,2024-01-04 18:30:00,0.53,0.54,0.53,0.54,1208
ok,2024-01-04 19:00:00,0.54,0.54,0.54,0.54,3603
ok,2024-01-04 19:30:00,0.54,0.54,0.54,0.54,21830
ok,2024-01-05 04:00:00,0.53,0.53,0.53,0.53,100
ok,2024-01-05 05:00:00,0.56,0.56,0.54,0.54,1657
ok,2024-01-05 06:00:00,0.56,0.56,0.56,0.56,131
ok,2024-01-05 07:00:00,0.54,0.55,0.54,0.55,2297
ok,2024-01-05 07:30:00,0.55,0.55,0.55,0.55,1250
ok,2024-01-05 08:00:00,0.55,0.55,0.54,0.54,25260
ok,2024-01-05 08:30:00,0.55,0.55,0.54,0.54,23828
ok,2024-01-05 09:00:00,0.54,0.56,0.53,0.56,28433
ok,2024-01-05 09:30:00,0.54,0.54,0.53,0.54,280979
ok,2024-01-05 10:00:00,0.54,0.56,0.53,0.55,453056
ok,2024-01-05 10:30:00,0.55,0.56,0.55,0.56,328389
ok,2024-01-05 11:00:00,0.56,0.61,0.56,0.59,864197
ok,2024-01-05 11:30:00,0.59,0.6,0.58,0.59,192312
ok,2024-01-05 12:00:00,0.59,0.6,0.59,0.59,87061
ok,2024-01-05 12:30:00,0.59,0.59,0.58,0.59,71363
ok,2024-01-05 13:00:00,0.59,0.59,0.58,0.59,80764
ok,2024-01-05 13:30:00,0.59,0.59,0.56,0.57,193666
ok,2024-01-05 14:00:00,0.58,0.58,0.56,0.56,69540
ok,2024-01-05 14:30:00,0.56,0.58,0.56,0.58,86771
ok,2024-01-05 15:00:00,0.57,0.59,0.57,0.59,69332
ok,2024-01-05 15:30:00,0.58,0.59,0.57,0.58,96916
ok,2024-01-05 16:00:00,0.59,0.59,0.57,0.59,8029
ok,2024-01-05 16:30:00,0.59,0.59,0.58,0.58,1370
ok,2024-01-05 17:00:00,0.58,0.58,0.58,0.58,1878
ok,2024-01-05 17:30:00,0.58,0.58,0.58,0.58,3051
ok,2024-01-05 18:00:00,0.58,0.59,0.58,0.58,1820
ok,2024-01-05 18:30:00,0.58,0.59,0.58,0.59,4673
ok,2024-01-05 19:30:00,0.58,0.6,0.58,0.58,8397
ok,2024-01-08 04:00:00,0.59,0.59,0.58,0.58,3100
ok,2024-01-08 05:00:00,0.58,0.61,0.58,0.61,623
ok,2024-01-08 05:30:00,0.61,0.61,0.61,0.61,200
ok,2024-01-08 06:30:00,0.61,0.61,0.61,0.61,4745
ok,2024-01-08 07:00:00,0.61,0.63,0.58,0.58,15427
ok,2024-01-08 07:30:00,0.58,0.59,0.58,0.59,607
ok,2024-01-08 08:00:00,0.6,0.63,0.58,0.59,63699
ok,2024-01-08 08:30:00,0.6,0.6,0.58,0.6,17515
ok,2024-01-08 09:00:00,0.6,0.6,0.58,0.6,12608
ok,2024-01-08 09:30:00,0.59,0.6,0.57,0.58,270159
ok,2024-01-08 10:00:00,0.58,0.59,0.58,0.58,114034
ok,2024-01-08 10:30:00,0.58,0.59,0.58,0.58,39374
ok,2024-01-08 11:00:00,0.58,0.59,0.58,0.58,90662
ok,2024-01-08 11:30:00,0.58,0.59,0.57,0.57,80186
ok,2024-01-08 12:00:00,0.57,0.59,0.57,0.58,35369
ok,2024-01-08 12:30:00,0.57,0.59,0.57,0.58,104523
ok,2024-01-08 13:00:00,0.59,0.59,0.57,0.58,27773
ok,2024-01-08 13:30:00,0.57,0.58,0.57,0.57,100013
ok,2024-01-08 14:00:00,0.57,0.58,0.57,0.57,70216
ok,2024-01-08 14:30:00,0.57,0.58,0.57,0.57,54140
ok,2024-01-08 15:00:00,0.57,0.58,0.56,0.57,78131
ok,2024-01-08 15:30:00,0.57,0.58,0.57,0.57,82400
ok,2024-01-08 16:00:00,0.57,0.57,0.56,0.57,21321
ok,2024-01-08 16:30:00,0.57,0.57,0.57,0.57,22475
ok,2024-01-08 17:00:00,0.57,0.57,0.57,0.57,3221
ok,2024-01-08 17:30:00,0.57,0.57,0.57,0.57,5954
ok,2024-01-08 18:00:00,0.57,0.57,0.57,0.57,350
ok,2024-01-08 18:30:00,0.57,0.57,0.55,0.57,21454
ok,2024-01-08 19:30:00,0.56,0.57,0.56,0.56,14119
ok,2024-01-09 04:00:00,0.64,0.64,0.6,0.61,500
ok,2024-01-09 04:30:00,0.58,0.58,0.58,0.58,100
ok,2024-01-09 05:00:00,0.58,0.58,0.58,0.58,100
ok,2024-01-09 05:30:00,0.6,0.61,0.6,0.61,300
ok,2024-01-09 07:00:00,0.58,0.6,0.56,0.59,16372
ok,2024-01-09 07:30:00,0.58,0.59,0.58,0.59,2851
ok,2024-01-09 08:00:00,0.59,0.59,0.55,0.58,32378
ok,2024-01-09 08:30:00,0.58,0.58,0.56,0.58,4460
ok,2024-01-09 09:00:00,0.58,0.58,0.57,0.58,3138
ok,2024-01-09 09:30:00,0.57,0.58,0.55,0.56,158524
ok,2024-01-09 10:00:00,0.56,0.57,0.56,0.57,53686
ok,2024-01-09 10:30:00,0.57,0.57,0.56,0.56,156345
ok,2024-01-09 11:00:00,0.56,0.57,0.55,0.55,150386
ok,2024-01-09 11:30:00,0.55,0.56,0.55,0.55,130389
ok,2024-01-09 12:00:00,0.55,0.55,0.54,0.55,91067
ok,2024-01-09 12:30:00,0.55,0.55,0.54,0.55,98876
ok,2024-01-09 13:00:00,0.55,0.55,0.55,0.55,48420
ok,2024-01-09 13:30:00,0.55,0.55,0.54,0.55,150204
ok,2024-01-09 14:00:00,0.55,0.57,0.54,0.55,157941
ok,2024-01-09 14:30:00,0.56,0.56,0.55,0.56,65043
ok,2024-01-09 15:00:00,0.56,0.56,0.54,0.55,21998
ok,2024-01-09 15:30:00,0.55,0.56,0.55,0.55,225403
ok,2024-01-09 16:00:00,0.56,0.56,0.55,0.55,12759
ok,2024-01-09 16:30:00,0.56,0.56,0.55,0.55,4138
ok,2024-01-09 17:00:00,0.55,0.55,0.54,0.54,14807
ok,2024-01-09 17:30:00,0.54,0.55,0.54,0.55,6086
ok,2024-01-09 18:00:00,0.55,0.55,0.54,0.55,2094
ok,2024-01-09 18:30:00,0.56,0.56,0.56,0.56,375
ok,2024-01-09 19:00:00,0.56,0.56,0.55,0.55,1320
ok,2024-01-09 19:30:00,0.55,0.56,0.54,0.56,5133
ok,2024-01-10 04:30:00,0.56,0.56,0.56,0.56,200
ok,2024-01-10 07:00:00,0.56,0.57,0.56,0.57,930
ok,2024-01-10 07:30:00,0.56,0.56,0.56,0.56,1600
ok,2024-01-10 08:00:00,0.56,0.57,0.56,0.57,27318
ok,2024-01-10 08:30:00,0.56,0.57,0.56,0.56,5095
ok,2024-01-10 09:00:00,0.57,0.57,0.55,0.56,145224
ok,2024-01-10 09:30:00,0.57,0.57,0.54,0.54,197079
ok,2024-01-10 10:00:00,0.54,0.55,0.54,0.55,66129
ok,2024-01-10 10:30:00,0.55,0.55,0.54,0.55,63999
ok,2024-01-10 11:00:00,0.54,0.55,0.54,0.55,100203
ok,2024-01-10 11:30:00,0.55,0.56,0.54,0.55,121615
ok,2024-01-10 12:00:00,0.55,0.56,0.55,0.55,120754
ok,2024-01-10 12:30:00,0.55,0.57,0.55,0.55,125793
ok,2024-01-10 13:00:00,0.57,0.57,0.55,0.56,41777
ok,2024-01-10 13:30:00,0.56,0.57,0.56,0.56,79868
ok,2024-01-10 14:00:00,0.56,0.56,0.56,0.56,50087
ok,2024-01-10 14:30:00,0.56,0.56,0.55,0.55,144141
ok,2024-01-10 15:00:00,0.55,0.55,0.54,0.55,148307
ok,2024-01-10 15:30:00,0.55,0.55,0.54,0.55,112211
ok,2024-01-10 16:00:00,0.54,0.57,0.54,0.54,9451
ok,2024-01-10 16:30:00,0.56,0.56,0.54,0.55,787
ok,2024-01-10 17:00:00,0.55,0.56,0.55,0.56,3822
ok,2024-01-10 17:30:00,0.56,0.56,0.55,0.55,3111
ok,2024-01-10 18:00:00,0.55,0.55,0.55,0.55,1200
ok,2024-01-10 18:30:00,0.55,0.55,0.55,0.55,914
ok,2024-01-10 19:00:00,0.55,0.55,0.55,0.55,300
ok,2024-01-10 19:30:00,0.55,0.56,0.55,0.56,3300
ok,2024-01-11 05:30:00,0.55,0.56,0.54,0.56,15500
ok,2024-01-11 07:00:00,0.55,0.55,0.55,0.55,140
ok,2024-01-11 08:00:00,0.55,0.56,0.55,0.55,19645
ok,2024-01-11 08:30:00,0.56,0.56,0.54,0.55,6176
ok,2024-01-11 09:00:00,0.54,0.55,0.54,0.55,14919
ok,2024-01-11 09:30:00,0.54,0.55,0.51,0.53,359044
ok,2024-01-11 10:00:00,0.53,0.55,0.5,0.53,320537
ok,2024-01-11 10:30:00,0.53,0.53,0.51,0.52,139848
ok,2024-01-11 11:00:00,0.52,0.52,0.51,0.51,165825
ok,2024-01-11 11:30:00,0.51,0.52,0.51,0.51,179963
ok,2024-01-11 12:00:00,0.51,0.53,0.51,0.52,148446
ok,2024-01-11 12:30:00,0.53,0.53,0.52,0.52,68838
ok,2024-01-11 13:00:00,0.52,0.52,0.51,0.51,67022
ok,2024-01-11 13:30:00,0.51,0.53,0.51,0.52,123544
ok,2024-01-11 14:00:00,0.52,0.53,0.51,0.52,85508
ok,2024-01-11 14:30:00,0.52,0.52,0.52,0.52,63964
ok,2024-01-11 15:00:00,0.52,0.52,0.51,0.52,125322
ok,2024-01-11 15:30:00,0.52,0.52,0.51,0.51,130675
ok,2024-01-11 16:00:00,0.52,0.53,0.51,0.52,17897
ok,2024-01-11 16:30:00,0.52,0.52,0.52,0.52,100
ok,2024-01-11 17:00:00,0.52,0.52,0.52,0.52,5940
ok,2024-01-11 17:30:00,0.51,0.52,0.51,0.52,21336
ok,2024-01-11 18:00:00,0.51,0.52,0.51,0.51,11264
ok,2024-01-11 18:30:00,0.51,0.51,0.51,0.51,5586
ok,2024-01-11 19:00:00,0.51,0.51,0.51,0.51,17604
ok,2024-01-11 19:30:00,0.51,0.54,0.51,0.53,33684
ok,2024-01-12 04:00:00,0.52,0.52,0.45,0.45,20307
ok,2024-01-12 04:30:00,0.45,0.48,0.41,0.44,42867
ok,2024-01-12 05:00:00,0.44,0.44,0.41,0.43,52567
ok,2024-01-12 05:30:00,0.43,0.45,0.43,0.44,23317
ok,2024-01-12 06:00:00,0.45,0.45,0.32,0.34,310470
ok,2024-01-12 06:30:00,0.34,0.36,0.31,0.34,208263
ok,2024-01-12 07:00:00,0.34,0.34,0.31,0.31,664981
ok,2024-01-12 07:30:00,0.31,0.32,0.31,0.32,305343
ok,2024-01-12 08:00:00,0.34,0.34,0.3,0.32,1043075
ok,2024-01-12 08:30:00,0.31,0.31,0.28,0.28,1021451
ok,2024-01-12 09:00:00,0.28,0.28,0.26,0.27,2058601
ok,2024-01-12 09:30:00,0.27,0.27,0.26,0.27,6372735
ok,2024-01-12 10:00:00,0.27,0.27,0.25,0.26,3508437
ok,2024-01-12 10:30:00,0.26,0.26,0.25,0.25,1221202
ok,2024-01-12 11:00:00,0.25,0.27,0.25,0.27,2038799
ok,2024-01-12 11:30:00,0.27,0.27,0.26,0.26,1503361
ok,2024-01-12 12:00:00,0.26,0.28,0.26,0.28,1452279
ok,2024-01-12 12:30:00,0.28,0.28,0.26,0.27,1651410
ok,2024-01-12 13:00:00,0.27,0.28,0.27,0.28,779283
ok,2024-01-12 13:30:00,0.28,0.28,0.28,0.28,900052
ok,2024-01-12 14:00:00,0.28,0.28,0.27,0.27,668194
ok,2024-01-12 14:30:00,0.27,0.27,0.27,0.27,479797
ok,2024-01-12 15:00:00,0.27,0.27,0.26,0.27,1033619
ok,2024-01-12 15:30:00,0.27,0.27,0.24,0.25,3383793
ok,2024-01-12 16:00:00,0.26,0.26,0.25,0.26,158825
ok,2024-01-12 16:30:00,0.26,0.26,0.26,0.26,86074
ok,2024-01-12 17:00:00,0.26,0.26,0.26,0.26,40391
ok,2024-01-12 17:30:00,0.26,0.26,0.25,0.26,75111
ok,2024-01-12 18:00:00,0.26,0.27,0.25,0.27,43912
ok,2024-01-12 18:30:00,0.26,0.27,0.26,0.27,98198
ok,2024-01-12 19:00:00,0.27,0.27,0.27,0.27,116423
ok,2024-01-12 19:30:00,0.27,0.27,0.27,0.27,95275
ok,2024-01-16 04:00:00,0.27,0.28,0.26,0.27,21463
ok,2024-01-16 04:30:00,0.27,0.29,0.27,0.28,23303
ok,2024-01-16 05:00:00,0.28,0.28,0.28,0.28,11948
ok,2024-01-16 05:30:00,0.28,0.28,0.27,0.28,7515
ok,2024-01-16 06:00:00,0.28,0.28,0.27,0.27,2035
ok,2024-01-16 06:30:00,0.27,0.27,0.26,0.27,3759
ok,2024-01-16 07:00:00,0.27,0.27,0.26,0.26,49492
ok,2024-01-16 07:30:00,0.26,0.27,0.26,0.26,20066
ok,2024-01-16 08:00:00,0.27,0.28,0.26,0.27,209379
ok,2024-01-16 08:30:00,0.27,0.27,0.26,0.27,177633
ok,2024-01-16 09:00:00,0.27,0.28,0.27,0.27,212993
ok,2024-01-16 09:30:00,0.28,0.28,0.26,0.26,833011
ok,2024-01-16 10:00:00,0.26,0.26,0.26,0.26,384643
ok,2024-01-16 10:30:00,0.26,0.27,0.26,0.27,895569
ok,2024-01-16 11:00:00,0.27,0.27,0.26,0.27,167364
ok,2024-01-16 11:30:00,0.27,0.27,0.26,0.26,312120
ok,2024-01-16 12:00:00,0.26,0.27,0.26,0.26,311391
ok,2024-01-16 12:30:00,0.27,0.27,0.26,0.27,258564
ok,2024-01-16 13:00:00,0.26,0.27,0.26,0.26,114357
ok,2024-01-16 13:30:00,0.26,0.26,0.26,0.26,153900
ok,2024-01-16 14:00:00,0.26,0.27,0.26,0.26,253314
ok,2024-01-16 14:30:00,0.27,0.27,0.26,0.26,193326
ok,2024-01-16 15:00:00,0.26,0.27,0.26,0.26,79348
ok,2024-01-16 15:30:00,0.26,0.27,0.26,0.27,264220
ok,2024-01-16 16:00:00,0.27,0.27,0.26,0.27,95872
ok,2024-01-16 16:30:00,0.27,0.27,0.26,0.27,29752
ok,2024-01-16 17:00:00,0.27,0.27,0.26,0.26,9234
ok,2024-01-16 17:30:00,0.27,0.27,0.26,0.26,2968
ok,2024-01-16 18:00:00,0.27,0.27,0.26,0.27,3710
ok,2024-01-16 18:30:00,0.27,0.27,0.26,0.27,18373
ok,2024-01-16 19:00:00,0.27,0.27,0.26,0.27,10351
ok,2024-01-16 19:30:00,0.27,0.27,0.27,0.27,2700
ok,2024-01-17 04:00:00,0.27,0.27,0.26,0.27,18752
ok,2024-01-17 04:30:00,0.27,0.27,0.26,0.26,6638
ok,2024-01-17 05:00:00,0.27,0.27,0.27,0.27,5422
ok,2024-01-17 05:30:00,0.27,0.27,0.26,0.27,1860
ok,2024-01-17 06:00:00,0.26,0.26,0.26,0.26,20750
ok,2024-01-17 06:30:00,0.26,0.27,0.26,0.27,2037
ok,2024-01-17 07:00:00,0.26,0.28,0.26,0.27,18914
ok,2024-01-17 07:30:00,0.27,0.27,0.26,0.27,16595
ok,2024-01-17 08:00:00,0.26,0.28,0.26,0.27,168282
ok,2024-01-17 08:30:00,0.27,0.27,0.26,0.27,45205
ok,2024-01-17 09:00:00,0.27,0.27,0.26,0.26,41322
ok,2024-01-17 09:30:00,0.27,0.27,0.24,0.25,1108294
ok,2024-01-17 10:00:00,0.25,0.26,0.25,0.26,229381
ok,2024-01-17 10:30:00,0.26,0.27,0.26,0.27,514308
ok,2024-01-17 11:00:00,0.27,0.27,0.26,0.26,326824
ok,2024-01-17 11:30:00,0.26,0.27,0.26,0.27,359842
ok,2024-01-17 12:00:00,0.27,0.28,0.27,0.28,1176372
ok,2024-01-17 12:30:00,0.28,0.28,0.27,0.27,829152
ok,2024-01-17 13:00:00,0.27,0.28,0.27,0.27,403355
ok,2024-01-17 13:30:00,0.27,0.28,0.27,0.28,198822
ok,2024-01-17 14:00:00,0.28,0.28,0.27,0.27,207820
ok,2024-01-17 14:30:00,0.27,0.27,0.27,0.27,105656
ok,2024-01-17 15:00:00,0.27,0.28,0.27,0.27,217818
ok,2024-01-17 15:30:00,0.27,0.27,0.27,0.27,159154
ok,2024-01-17 16:00:00,0.27,0.28,0.26,0.27,26277
ok,2024-01-17 16:30:00,0.27,0.27,0.26,0.26,44636
ok,2024-01-17 17:00:00,0.26,0.27,0.26,0.26,6585
ok,2024-01-17 17:30:00,0.27,0.27,0.27,0.27,1428
ok,2024-01-17 18:00:00,0.27,0.27,0.27,0.27,6610
ok,2024-01-17 18:30:00,0.27,0.27,0.27,0.27,6260
ok,2024-01-17 19:30:00,0.27,0.28,0.27,0.27,46728
ok,2024-01-18 04:00:00,0.27,0.27,0.26,0.26,3100
ok,2024-01-18 04:30:00,0.27,0.28,0.26,0.28,1590
ok,2024-01-18 05:00:00,0.28,0.28,0.25,0.25,66440
ok,2024-01-18 05:30:00,0.26,0.26,0.26,0.26,6418
ok,2024-01-18 06:00:00,0.26,0.26,0.26,0.26,2936
ok,2024-01-18 06:30:00,0.26,0.26,0.26,0.26,100
ok,2024-01-18 07:00:00,0.26,0.27,0.26,0.27,82974
