s,t,o,h,l,c,v
ok,2024-01-02 06:30:00,0.46,0.46,0.45,0.45,200
ok,2024-01-02 08:00:00,0.45,0.45,0.45,0.45,1100
ok,2024-01-02 09:30:00,0.41,0.49,0.41,0.46,8001
ok,2024-01-02 10:00:00,0.46,0.46,0.43,0.46,3389
ok,2024-01-02 10:30:00,0.48,0.48,0.48,0.48,100
ok,2024-01-02 11:00:00,0.45,0.48,0.45,0.48,3134
ok,2024-01-02 11:30:00,0.46,0.48,0.45,0.45,9308
ok,2024-01-02 12:00:00,0.46,0.47,0.45,0.45,1468
ok,2024-01-02 12:30:00,0.46,0.46,0.45,0.46,1378
ok,2024-01-02 13:00:00,0.45,0.46,0.45,0.46,5820
ok,2024-01-02 14:00:00,0.48,0.48,0.45,0.45,700
ok,2024-01-02 14:30:00,0.46,0.46,0.45,0.46,1786
ok,2024-01-02 15:00:00,0.46,0.48,0.46,0.46,5637
ok,2024-01-02 15:30:00,0.47,0.48,0.45,0.48,4248
ok,2024-01-02 16:00:00,0.49,0.49,0.49,0.49,100
ok,2024-01-02 16:30:00,0.47,0.49,0.47,0.49,12000
ok,2024-01-02 17:00:00,0.49,0.49,0.49,0.49,100
ok,2024-01-02 19:00:00,0.49,0.49,0.49,0.49,100
ok,2024-01-02 19:30:00,0.49,0.49,0.49,0.49,100
ok,2024-01-03 04:30:00,0.48,0.48,0.48,0.48,100
ok,2024-01-03 09:00:00,0.45,0.45,0.45,0.45,500
ok,2024-01-03 09:30:00,0.47,0.47,0.47,0.47,104
ok,2024-01-03 10:00:00,0.44,0.47,0.44,0.47,1100
ok,2024-01-03 10:30:00,0.46,0.47,0.44,0.47,1600
ok,2024-01-03 11:00:00,0.43,0.43,0.43,0.43,200
ok,2024-01-03 11:30:00,0.45,0.45,0.45,0.45,900
ok,2024-01-03 12:00:00,0.45,0.45,0.44,0.45,3230
ok,2024-01-03 12:30:00,0.45,0.45,0.44,0.44,850
ok,2024-01-03 13:30:00,0.45,0.47,0.44,0.47,7300
ok,2024-01-03 14:00:00,0.44,0.44,0.44,0.44,2100
ok,2024-01-03 15:00:00,0.44,0.47,0.44,0.47,2200
ok,2024-01-03 15:30:00,0.44,0.47,0.44,0.46,15744
ok,2024-01-04 07:00:00,0.46,0.46,0.46,0.46,200
ok,2024-01-04 09:00:00,0.44,0.46,0.44,0.46,350
ok,2024-01-04 09:30:00,0.45,0.45,0.44,0.44,1582
ok,2024-01-04 10:00:00,0.45,0.45,0.45,0.45,1000
ok,2024-01-04 10:30:00,0.45,0.45,0.45,0.45,482
ok,2024-01-04 11:00:00,0.45,0.45,0.44,0.44,3680
ok,2024-01-04 11:30:00,0.44,0.45,0.44,0.45,3084
ok,2024-01-04 12:00:00,0.45,0.45,0.44,0.45,1305
ok,2024-01-04 12:30:00,0.44,0.45,0.44,0.45,2193
ok,2024-01-04 13:00:00,0.44,0.44,0.44,0.44,100
ok,2024-01-04 13:30:00,0.44,0.45,0.44,0.45,1295
ok,2024-01-04 14:00:00,0.44,0.44,0.44,0.44,929
ok,2024-01-04 14:30:00,0.45,0.45,0.44,0.44,8244
ok,2024-01-04 15:00:00,0.43,0.45,0.43,0.45,1278
ok,2024-01-04 15:30:00,0.45,0.45,0.44,0.45,2816
ok,2024-01-04 16:00:00,0.47,0.47,0.44,0.47,900
ok,2024-01-04 16:30:00,0.45,0.45,0.45,0.45,100
ok,2024-01-04 17:30:00,0.47,0.47,0.47,0.47,350
ok,2024-01-05 09:30:00,0.46,0.46,0.45,0.45,200
ok,2024-01-05 10:00:00,0.46,0.46,0.4,0.44,97242
ok,2024-01-05 10:30:00,0.43,0.45,0.43,0.44,3593
ok,2024-01-05 11:00:00,0.44,0.44,0.43,0.44,1230
ok,2024-01-05 11:30:00,0.42,0.44,0.4,0.44,4200
ok,2024-01-05 12:00:00,0.44,0.44,0.44,0.44,1000
ok,2024-01-05 12:30:00,0.41,0.43,0.41,0.42,1100
ok,2024-01-05 13:00:00,0.44,0.44,0.42,0.42,500
ok,2024-01-05 13:30:00,0.44,0.44,0.42,0.44,3720
ok,2024-01-05 14:00:00,0.42,0.42,0.42,0.42,514
ok,2024-01-05 14:30:00,0.43,0.44,0.42,0.44,1578
ok,2024-01-05 15:00:00,0.44,0.44,0.44,0.44,900
ok,2024-01-05 15:30:00,0.44,0.45,0.43,0.45,4412
ok,2024-01-05 16:00:00,0.45,0.45,0.42,0.44,10900
ok,2024-01-05 18:30:00,0.44,0.45,0.44,0.45,900
ok,2024-01-05 19:00:00,0.45,0.45,0.45,0.45,1000
ok,2024-01-08 09:30:00,0.44,0.46,0.41,0.46,12050
ok,2024-01-08 10:00:00,0.44,0.46,0.42,0.42,2100
ok,2024-01-08 10:30:00,0.44,0.46,0.43,0.46,2727
ok,2024-01-08 11:00:00,0.43,0.44,0.43,0.44,2500
ok,2024-01-08 11:30:00,0.46,0.46,0.45,0.45,1068
ok,2024-01-08 12:00:00,0.44,0.46,0.43,0.46,2692
ok,2024-01-08 12:30:00,0.44,0.46,0.44,0.46,1389
ok,2024-01-08 13:30:00,0.45,0.45,0.45,0.45,365
ok,2024-01-08 14:00:00,0.45,0.46,0.45,0.46,400
ok,2024-01-08 14:30:00,0.45,0.46,0.42,0.46,75255
ok,2024-01-08 15:00:00,0.44,0.44,0.4,0.44,10862
ok,2024-01-08 15:30:00,0.43,0.44,0.4,0.42,6740
ok,2024-01-08 16:00:00,0.44,0.45,0.41,0.45,800
ok,2024-01-09 08:00:00,0.47,0.47,0.47,0.47,200
ok,2024-01-09 09:30:00,0.43,0.43,0.4,0.4,19550
ok,2024-01-09 10:00:00,0.4,0.4,0.4,0.4,5000
