s,t,o,h,l,c,v
ok,2024-01-29 06:30:00,11.2,27.53,11.2,17.21,18509
ok,2024-01-29 07:00:00,13.67,24.0,13.13,16.3,37778
ok,2024-01-29 07:30:00,14.97,15.0,11.2,12.0,28757
ok,2024-01-29 08:00:00,13.8,18.85,8.68,10.13,18468
ok,2024-01-29 08:30:00,10.0,10.1,8.56,9.28,9287
ok,2024-01-29 09:00:00,9.13,10.08,9.0,10.08,6090
ok,2024-01-29 09:30:00,9.66,9.66,6.71,7.34,21305
ok,2024-01-29 10:00:00,7.34,8.08,6.97,7.6,10318
ok,2024-01-29 10:30:00,7.7,7.7,6.66,7.08,8990
ok,2024-01-29 11:00:00,7.23,7.25,6.9,6.98,15985
ok,2024-01-29 11:30:00,7.02,7.18,6.95,7.1,7494
ok,2024-01-29 12:00:00,7.05,7.15,6.73,6.73,5040
ok,2024-01-29 12:30:00,6.75,6.85,5.6,5.6,7483
ok,2024-01-29 13:00:00,5.64,6.91,5.56,5.7,5731
ok,2024-01-29 13:30:00,5.51,5.68,5.07,5.25,6369
ok,2024-01-29 14:00:00,5.5,6.35,5.5,5.81,2955
ok,2024-01-29 14:30:00,5.9,5.95,5.77,5.84,1918
ok,2024-01-29 15:00:00,5.78,6.75,5.78,6.66,16817
ok,2024-01-29 15:30:00,6.66,6.66,5.14,5.46,14940
ok,2024-01-29 16:00:00,5.45,5.45,5.1,5.1,755
ok,2024-01-29 18:30:00,6.1,6.1,6.1,6.1,366
ok,2024-01-29 19:30:00,6.55,6.55,6.55,6.55,507
ok,2024-01-30 04:00:00,6.57,7.85,5.94,6.11,38271
ok,2024-01-30 04:30:00,6.05,6.1,5.15,5.24,12501
ok,2024-01-30 05:00:00,5.45,5.45,5.45,5.45,316
ok,2024-01-30 05:30:00,5.51,5.52,5.45,5.45,819
ok,2024-01-30 06:00:00,5.5,5.76,5.41,5.76,1294
ok,2024-01-30 06:30:00,5.64,5.64,5.6,5.61,1009
ok,2024-01-30 07:00:00,5.55,5.55,5.55,5.55,279
ok,2024-01-30 08:00:00,5.84,5.84,5.2,5.2,802
ok,2024-01-30 08:30:00,5.25,5.75,5.25,5.75,1282
ok,2024-01-30 09:00:00,5.48,5.48,5.21,5.21,819
ok,2024-01-30 09:30:00,5.48,5.8,5.2,5.25,15025
ok,2024-01-30 10:00:00,5.25,5.73,4.74,4.74,17718
ok,2024-01-30 10:30:00,4.74,5.09,4.51,4.6,5532
ok,2024-01-30 11:00:00,4.6,5.04,4.55,4.89,12115
ok,2024-01-30 11:30:00,5.04,5.6,5.04,5.3,1645
