s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.1,1.13,1.1,1.13,19266
ok,2024-01-02 10:00:00,1.13,1.19,1.13,1.17,15012
ok,2024-01-02 10:30:00,1.19,1.2,1.17,1.19,8985
ok,2024-01-02 11:00:00,1.19,1.21,1.18,1.18,41146
ok,2024-01-02 11:30:00,1.13,1.19,1.13,1.16,3425
ok,2024-01-02 12:00:00,1.19,1.19,1.17,1.18,1071
ok,2024-01-02 12:30:00,1.17,1.17,1.17,1.17,100
ok,2024-01-02 13:30:00,1.17,1.17,1.15,1.15,4200
ok,2024-01-02 14:00:00,1.16,1.17,1.16,1.16,620
ok,2024-01-02 14:30:00,1.17,1.17,1.17,1.17,409
ok,2024-01-02 15:00:00,1.15,1.15,1.14,1.14,4917
ok,2024-01-02 15:30:00,1.15,1.17,1.15,1.17,2158
ok,2024-01-02 16:00:00,1.14,1.14,1.14,1.14,638
ok,2024-01-03 07:30:00,1.12,1.12,1.12,1.12,900
ok,2024-01-03 09:30:00,1.15,1.19,1.14,1.14,5726
ok,2024-01-03 10:30:00,1.12,1.13,1.1,1.1,3941
ok,2024-01-03 11:00:00,1.1,1.15,1.1,1.15,1860
ok,2024-01-03 12:30:00,1.13,1.13,1.13,1.13,150
ok,2024-01-03 13:00:00,1.11,1.11,1.11,1.11,498
ok,2024-01-03 13:30:00,1.12,1.12,1.12,1.12,175
ok,2024-01-03 14:00:00,1.1,1.1,1.1,1.1,1709
ok,2024-01-03 14:30:00,1.11,1.14,1.11,1.12,735
ok,2024-01-03 15:00:00,1.14,1.14,1.11,1.11,810
ok,2024-01-03 15:30:00,1.11,1.13,1.09,1.13,5542
ok,2024-01-04 09:30:00,1.1,1.13,1.09,1.09,4354
ok,2024-01-04 10:00:00,1.1,1.13,1.1,1.13,2263
ok,2024-01-04 10:30:00,1.12,1.12,1.12,1.12,1094
ok,2024-01-04 11:30:00,1.1,1.1,1.09,1.09,1219
ok,2024-01-04 12:00:00,1.08,1.1,1.08,1.1,5942
ok,2024-01-04 12:30:00,1.12,1.12,1.1,1.1,1370
ok,2024-01-04 13:00:00,1.1,1.1,1.1,1.1,3506
ok,2024-01-04 13:30:00,1.1,1.1,1.1,1.1,524
ok,2024-01-04 14:00:00,1.12,1.12,1.1,1.1,330
ok,2024-01-04 14:30:00,1.1,1.1,1.1,1.1,252
ok,2024-01-04 15:00:00,1.1,1.1,1.1,1.1,1159
ok,2024-01-04 15:30:00,1.15,1.15,1.15,1.15,2257
ok,2024-01-04 17:30:00,1.13,1.13,1.1,1.1,600
ok,2024-01-04 18:30:00,1.11,1.11,1.11,1.11,106
ok,2024-01-05 07:30:00,1.14,1.15,1.14,1.15,1470
ok,2024-01-05 09:30:00,1.13,1.16,1.13,1.16,750
ok,2024-01-05 10:00:00,1.14,1.14,1.11,1.13,6706
ok,2024-01-05 10:30:00,1.15,1.15,1.15,1.15,250
ok,2024-01-05 11:00:00,1.12,1.12,1.12,1.12,209
ok,2024-01-05 11:30:00,1.11,1.14,1.11,1.14,267
ok,2024-01-05 13:00:00,1.14,1.15,1.12,1.15,2944
ok,2024-01-05 14:00:00,1.11,1.11,1.11,1.11,176
ok,2024-01-05 14:30:00,1.15,1.18,1.15,1.18,7692
ok,2024-01-05 15:00:00,1.15,1.15,1.15,1.15,826
ok,2024-01-05 15:30:00,1.11,1.17,1.11,1.17,4181
ok,2024-01-08 08:00:00,1.17,1.17,1.17,1.17,100
ok,2024-01-08 09:30:00,1.12,1.18,1.08,1.18,4767
ok,2024-01-08 10:00:00,1.16,1.17,1.1,1.13,10341
ok,2024-01-08 10:30:00,1.13,1.18,1.13,1.15,1674
ok,2024-01-08 11:00:00,1.14,1.18,1.14,1.18,1559
ok,2024-01-08 11:30:00,1.14,1.16,1.14,1.16,200
ok,2024-01-08 12:00:00,1.14,1.14,1.12,1.12,1500
ok,2024-01-08 12:30:00,1.13,1.13,1.13,1.13,203
ok,2024-01-08 13:00:00,1.16,1.16,1.16,1.16,1239
ok,2024-01-08 13:30:00,1.17,1.18,1.17,1.18,3297
ok,2024-01-08 14:00:00,1.18,1.18,1.18,1.18,3614
ok,2024-01-08 14:30:00,1.18,1.18,1.14,1.18,5419
ok,2024-01-08 15:00:00,1.16,1.19,1.16,1.19,346
ok,2024-01-08 15:30:00,1.19,1.21,1.18,1.21,8097
ok,2024-01-08 17:30:00,1.13,1.13,1.08,1.08,1126
ok,2024-01-09 09:30:00,1.18,1.18,1.14,1.15,665
