s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.6,0.6,0.56,0.59,20870
ok,2024-01-02 04:30:00,0.59,0.59,0.58,0.58,5553
ok,2024-01-02 05:00:00,0.58,0.59,0.58,0.58,3192
ok,2024-01-02 05:30:00,0.59,0.59,0.58,0.58,1400
ok,2024-01-02 06:00:00,0.58,0.58,0.58,0.58,2505
ok,2024-01-02 06:30:00,0.58,0.58,0.58,0.58,2183
ok,2024-01-02 07:00:00,0.58,0.6,0.58,0.59,10335
ok,2024-01-02 07:30:00,0.58,0.59,0.58,0.58,2786
ok,2024-01-02 08:00:00,0.58,0.62,0.55,0.58,96097
ok,2024-01-02 08:30:00,0.58,0.58,0.58,0.58,10169
ok,2024-01-02 09:00:00,0.58,0.59,0.58,0.58,23061
ok,2024-01-02 09:30:00,0.57,0.59,0.56,0.57,64610
ok,2024-01-02 10:00:00,0.57,0.57,0.56,0.56,67330
ok,2024-01-02 10:30:00,0.56,0.57,0.56,0.56,47038
ok,2024-01-02 11:00:00,0.56,0.56,0.56,0.56,18282
ok,2024-01-02 11:30:00,0.56,0.56,0.56,0.56,23771
ok,2024-01-02 12:00:00,0.56,0.56,0.56,0.56,64711
ok,2024-01-02 12:30:00,0.57,0.57,0.56,0.56,60077
ok,2024-01-02 13:00:00,0.56,0.56,0.56,0.56,11879
ok,2024-01-02 13:30:00,0.56,0.56,0.56,0.56,8822
ok,2024-01-02 14:00:00,0.56,0.56,0.56,0.56,8398
ok,2024-01-02 14:30:00,0.56,0.57,0.56,0.56,44951
ok,2024-01-02 15:00:00,0.56,0.56,0.56,0.56,21434
ok,2024-01-02 15:30:00,0.56,0.56,0.56,0.56,41821
ok,2024-01-02 16:00:00,0.56,0.56,0.56,0.56,251
ok,2024-01-02 16:30:00,0.56,0.56,0.56,0.56,1429
ok,2024-01-02 17:00:00,0.56,0.57,0.56,0.57,432
ok,2024-01-02 17:30:00,0.56,0.56,0.56,0.56,152
ok,2024-01-02 18:30:00,0.56,0.56,0.56,0.56,190
ok,2024-01-03 04:00:00,0.55,0.55,0.55,0.55,13161
ok,2024-01-03 04:30:00,0.55,0.55,0.55,0.55,719
ok,2024-01-03 06:00:00,0.55,0.55,0.55,0.55,1071
ok,2024-01-03 06:30:00,0.55,0.55,0.55,0.55,8506
ok,2024-01-03 07:00:00,0.56,0.6,0.56,0.6,19149
ok,2024-01-03 07:30:00,0.58,0.58,0.58,0.58,611
ok,2024-01-03 08:00:00,0.56,0.58,0.55,0.56,11824
ok,2024-01-03 08:30:00,0.56,0.57,0.56,0.57,1145
ok,2024-01-03 09:00:00,0.57,0.57,0.57,0.57,420
ok,2024-01-03 09:30:00,0.57,0.58,0.55,0.55,96637
ok,2024-01-03 10:00:00,0.55,0.55,0.54,0.55,47442
ok,2024-01-03 10:30:00,0.55,0.55,0.54,0.54,20015
ok,2024-01-03 11:00:00,0.55,0.55,0.54,0.55,8442
ok,2024-01-03 11:30:00,0.55,0.55,0.54,0.54,20510
ok,2024-01-03 12:00:00,0.54,0.55,0.54,0.54,8420
ok,2024-01-03 12:30:00,0.54,0.54,0.54,0.54,16158
ok,2024-01-03 13:00:00,0.54,0.54,0.54,0.54,2685
ok,2024-01-03 13:30:00,0.54,0.55,0.54,0.55,3875
ok,2024-01-03 14:00:00,0.55,0.55,0.54,0.54,24447
ok,2024-01-03 14:30:00,0.54,0.54,0.53,0.54,52057
ok,2024-01-03 15:00:00,0.54,0.54,0.54,0.54,24920
ok,2024-01-03 15:30:00,0.54,0.54,0.54,0.54,32527
ok,2024-01-03 16:00:00,0.54,0.54,0.54,0.54,3300
ok,2024-01-03 17:00:00,0.54,0.54,0.54,0.54,350
ok,2024-01-03 19:00:00,0.54,0.54,0.54,0.54,220
ok,2024-01-04 04:00:00,0.53,0.53,0.53,0.53,151
ok,2024-01-04 04:30:00,0.53,0.53,0.53,0.53,1005
ok,2024-01-04 05:00:00,0.54,0.54,0.54,0.54,1074
ok,2024-01-04 06:30:00,0.54,0.54,0.54,0.54,446
ok,2024-01-04 07:00:00,0.54,0.54,0.54,0.54,1581
ok,2024-01-04 07:30:00,0.54,0.54,0.54,0.54,1279
ok,2024-01-04 08:00:00,0.54,0.54,0.54,0.54,10525
ok,2024-01-04 08:30:00,0.54,0.54,0.54,0.54,1582
ok,2024-01-04 09:00:00,0.54,0.54,0.54,0.54,700
ok,2024-01-04 09:30:00,0.55,0.55,0.54,0.54,56685
ok,2024-01-04 10:00:00,0.54,0.54,0.54,0.54,2684
ok,2024-01-04 10:30:00,0.54,0.54,0.54,0.54,12661
ok,2024-01-04 11:00:00,0.54,0.55,0.54,0.55,3091
ok,2024-01-04 11:30:00,0.55,0.58,0.55,0.57,57443
ok,2024-01-04 12:00:00,0.57,0.57,0.55,0.56,10425
ok,2024-01-04 12:30:00,0.56,0.57,0.55,0.57,60694
ok,2024-01-04 13:00:00,0.57,0.58,0.56,0.58,57340
ok,2024-01-04 13:30:00,0.58,0.58,0.57,0.57,17737
ok,2024-01-04 14:00:00,0.57,0.57,0.56,0.57,6227
ok,2024-01-04 14:30:00,0.57,0.57,0.56,0.57,14014
ok,2024-01-04 15:00:00,0.57,0.57,0.57,0.57,8240
ok,2024-01-04 15:30:00,0.56,0.57,0.56,0.56,49404
ok,2024-01-04 16:00:00,0.57,0.57,0.57,0.57,1000
ok,2024-01-04 17:00:00,0.57,0.57,0.57,0.57,2197
ok,2024-01-04 19:00:00,0.57,0.58,0.57,0.58,2000
ok,2024-01-05 04:30:00,0.56,0.56,0.55,0.56,1107
ok,2024-01-05 05:30:00,0.57,0.57,0.57,0.57,175
ok,2024-01-05 06:00:00,0.57,0.57,0.57,0.57,100
ok,2024-01-05 08:00:00,0.57,0.57,0.56,0.57,3098
ok,2024-01-05 09:30:00,0.57,0.6,0.57,0.6,139522
ok,2024-01-05 10:00:00,0.6,0.7,0.6,0.64,1047148
ok,2024-01-05 10:30:00,0.64,0.65,0.61,0.62,271921
ok,2024-01-05 11:00:00,0.63,0.65,0.62,0.65,156596
ok,2024-01-05 11:30:00,0.65,0.66,0.62,0.63,97902
ok,2024-01-05 12:00:00,0.63,0.63,0.61,0.61,69412
ok,2024-01-05 12:30:00,0.62,0.62,0.6,0.6,211553
ok,2024-01-05 13:00:00,0.6,0.6,0.56,0.57,74900
ok,2024-01-05 13:30:00,0.58,0.61,0.57,0.6,77636
ok,2024-01-05 14:00:00,0.6,0.61,0.58,0.59,114165
ok,2024-01-05 14:30:00,0.59,0.6,0.58,0.58,43692
ok,2024-01-05 15:00:00,0.58,0.59,0.57,0.59,69095
ok,2024-01-05 15:30:00,0.59,0.59,0.58,0.58,41968
ok,2024-01-05 16:00:00,0.57,0.58,0.57,0.58,2231
ok,2024-01-05 16:30:00,0.59,0.59,0.59,0.59,1741
ok,2024-01-05 17:30:00,0.58,0.58,0.57,0.57,900
ok,2024-01-05 19:00:00,0.57,0.61,0.57,0.61,2100
ok,2024-01-05 19:30:00,0.59,0.59,0.59,0.59,200
ok,2024-01-08 04:00:00,0.58,0.61,0.58,0.58,3650
ok,2024-01-08 06:30:00,0.6,0.6,0.58,0.58,1050
ok,2024-01-08 07:00:00,0.59,0.59,0.59,0.59,170
ok,2024-01-08 07:30:00,0.59,0.59,0.58,0.58,2051
ok,2024-01-08 08:00:00,0.59,0.6,0.58,0.58,7541
ok,2024-01-08 08:30:00,0.58,0.58,0.58,0.58,3000
ok,2024-01-08 09:00:00,0.58,0.58,0.58,0.58,1253
ok,2024-01-08 09:30:00,0.56,0.61,0.56,0.59,147364
ok,2024-01-08 10:00:00,0.59,0.59,0.58,0.59,33122
ok,2024-01-08 10:30:00,0.59,0.59,0.58,0.58,91943
ok,2024-01-08 11:00:00,0.58,0.58,0.57,0.58,23293
ok,2024-01-08 11:30:00,0.58,0.58,0.57,0.57,32721
ok,2024-01-08 12:00:00,0.57,0.57,0.57,0.57,22187
ok,2024-01-08 12:30:00,0.57,0.57,0.57,0.57,8316
ok,2024-01-08 13:00:00,0.57,0.57,0.56,0.57,22212
ok,2024-01-08 13:30:00,0.58,0.58,0.58,0.58,3945
ok,2024-01-08 14:00:00,0.57,0.58,0.56,0.58,25561
ok,2024-01-08 14:30:00,0.58,0.58,0.57,0.57,14827
ok,2024-01-08 15:00:00,0.57,0.57,0.57,0.57,7965
ok,2024-01-08 15:30:00,0.57,0.57,0.56,0.57,35516
ok,2024-01-08 16:00:00,0.57,0.57,0.56,0.56,1893
ok,2024-01-08 16:30:00,0.56,0.56,0.56,0.56,473
ok,2024-01-08 17:00:00,0.57,0.57,0.57,0.57,3647
ok,2024-01-08 17:30:00,0.56,0.57,0.56,0.57,2297
ok,2024-01-08 18:00:00,0.57,0.57,0.56,0.56,1704
ok,2024-01-09 04:00:00,0.57,0.57,0.57,0.57,292
ok,2024-01-09 05:00:00,0.55,0.58,0.55,0.58,965
ok,2024-01-09 05:30:00,0.56,0.56,0.56,0.56,1000
ok,2024-01-09 06:00:00,0.56,0.57,0.56,0.56,1009
ok,2024-01-09 06:30:00,0.56,0.58,0.56,0.58,1529
ok,2024-01-09 07:00:00,0.57,0.57,0.57,0.57,337
ok,2024-01-09 08:00:00,0.57,0.59,0.57,0.58,2538
ok,2024-01-09 08:30:00,0.58,0.59,0.58,0.59,904
ok,2024-01-09 09:00:00,0.56,0.58,0.56,0.58,400
ok,2024-01-09 09:30:00,0.59,0.59,0.57,0.59,23282
ok,2024-01-09 10:00:00,0.58,0.59,0.56,0.56,40143
ok,2024-01-09 10:30:00,0.57,0.58,0.57,0.57,60031
ok,2024-01-09 11:00:00,0.57,0.58,0.56,0.57,29098
ok,2024-01-09 11:30:00,0.57,0.57,0.56,0.57,5956
ok,2024-01-09 12:00:00,0.57,0.57,0.57,0.57,1454
ok,2024-01-09 12:30:00,0.57,0.57,0.56,0.57,4777
ok,2024-01-09 13:00:00,0.57,0.57,0.56,0.57,11962
ok,2024-01-09 13:30:00,0.57,0.57,0.57,0.57,9271
ok,2024-01-09 14:00:00,0.57,0.57,0.56,0.57,13520
ok,2024-01-09 14:30:00,0.56,0.56,0.56,0.56,5033
ok,2024-01-09 15:00:00,0.56,0.57,0.56,0.57,27837
ok,2024-01-09 15:30:00,0.57,0.57,0.57,0.57,14194
ok,2024-01-09 16:30:00,0.57,0.57,0.57,0.57,2000
ok,2024-01-09 17:00:00,0.57,0.57,0.57,0.57,900
ok,2024-01-10 05:00:00,0.57,0.57,0.57,0.57,700
ok,2024-01-10 05:30:00,0.57,0.57,0.57,0.57,819
ok,2024-01-10 06:30:00,0.59,0.59,0.57,0.58,4132
ok,2024-01-10 08:00:00,0.57,0.59,0.56,0.57,7095
ok,2024-01-10 08:30:00,0.57,0.57,0.56,0.56,6897
ok,2024-01-10 09:00:00,0.57,0.57,0.57,0.57,478
ok,2024-01-10 09:30:00,0.57,0.57,0.55,0.55,138835
ok,2024-01-10 10:00:00,0.55,0.57,0.55,0.56,11307
ok,2024-01-10 10:30:00,0.56,0.56,0.55,0.56,13387
ok,2024-01-10 11:00:00,0.56,0.56,0.55,0.55,2717
ok,2024-01-10 11:30:00,0.56,0.56,0.56,0.56,14137
ok,2024-01-10 12:00:00,0.56,0.56,0.56,0.56,77252
ok,2024-01-10 12:30:00,0.56,0.56,0.56,0.56,78100
ok,2024-01-10 13:00:00,0.56,0.56,0.55,0.55,26309
ok,2024-01-10 13:30:00,0.55,0.56,0.55,0.56,28694
ok,2024-01-10 14:00:00,0.56,0.56,0.55,0.55,11694
