s,t,o,h,l,c,v
ok,2024-03-15 03:00:00,12.25,12.25,12.25,12.25,201
ok,2024-03-15 03:30:00,11.73,11.73,11.73,11.73,100
ok,2024-03-15 07:30:00,11.18,11.18,11.18,11.18,230
ok,2024-03-15 08:00:00,11.55,13.2,11.55,13.2,517
ok,2024-03-15 08:30:00,12.5,14.0,11.98,12.8,25716
ok,2024-03-15 09:00:00,12.52,13.5,12.22,13.0,17753
ok,2024-03-15 09:30:00,12.99,12.99,12.6,12.88,1659
ok,2024-03-15 10:00:00,12.9,13.0,12.9,13.0,1391
ok,2024-03-15 10:30:00,12.99,13.07,12.7,12.7,2926
ok,2024-03-15 11:00:00,12.85,12.95,12.72,12.74,2458
ok,2024-03-15 11:30:00,12.9,12.9,12.9,12.9,300
ok,2024-03-15 12:30:00,12.72,12.8,12.65,12.7,1063
ok,2024-03-15 13:00:00,12.6,12.6,12.6,12.6,185
ok,2024-03-15 13:30:00,12.66,12.66,12.66,12.66,350
ok,2024-03-15 14:00:00,12.98,12.98,12.98,12.98,193
ok,2024-03-15 14:30:00,12.7,12.82,11.8,11.8,57845
ok,2024-03-15 15:30:00,12.16,12.16,12.16,12.16,200
ok,2024-03-18 06:00:00,12.99,12.99,12.99,12.99,200
ok,2024-03-18 08:00:00,13.04,13.05,12.89,12.9,875
ok,2024-03-18 08:30:00,12.43,13.32,12.43,13.0,6787
ok,2024-03-18 09:00:00,12.9,13.09,12.8,12.85,3900
ok,2024-03-18 09:30:00,12.97,12.98,12.51,12.51,7771
ok,2024-03-18 10:00:00,12.55,12.6,12.4,12.4,7698
ok,2024-03-18 10:30:00,12.51,12.51,12.49,12.49,800
ok,2024-03-18 11:00:00,12.55,12.55,12.48,12.55,1705
ok,2024-03-18 11:30:00,12.54,12.54,12.4,12.4,1413
ok,2024-03-18 12:00:00,12.41,12.52,12.3,12.52,6171
ok,2024-03-18 12:30:00,12.33,12.33,12.33,12.33,250
ok,2024-03-18 13:00:00,12.33,12.33,12.33,12.33,100
ok,2024-03-18 13:30:00,12.3,12.3,12.2,12.2,2073
ok,2024-03-18 14:00:00,12.3,12.3,12.3,12.3,398
ok,2024-03-18 14:30:00,12.23,12.3,12.03,12.15,14087
ok,2024-03-18 17:00:00,12.3,12.3,12.3,12.3,300
ok,2024-03-18 18:00:00,12.3,12.3,12.3,12.3,100
ok,2024-03-19 08:30:00,12.5,12.5,11.0,11.4,13956
ok,2024-03-19 09:00:00,11.52,11.53,11.09,11.2,5727
ok,2024-03-19 09:30:00,11.26,11.26,11.01,11.2,3710
ok,2024-03-19 10:00:00,11.99,11.99,11.99,11.99,400
ok,2024-03-19 10:30:00,11.49,11.49,11.49,11.49,100
ok,2024-03-19 11:00:00,11.2,11.2,11.2,11.2,202
ok,2024-03-19 11:30:00,11.18,11.4,11.18,11.31,3364
ok,2024-03-19 12:00:00,11.27,11.27,11.27,11.27,200
ok,2024-03-19 12:30:00,11.25,11.28,11.25,11.28,200
