s,t,o,h,l,c,v
ok,2024-02-02 12:30:00,13.75,13.98,13.06,13.35,911658
ok,2024-02-02 13:00:00,13.34,14.5,13.3,14.07,576387
ok,2024-02-02 13:30:00,14.18,14.26,13.56,13.84,328817
ok,2024-02-02 14:00:00,13.86,13.97,13.61,13.8,200083
ok,2024-02-02 14:30:00,13.81,13.81,12.7,13.07,249263
ok,2024-02-02 15:00:00,13.09,13.4,12.76,13.15,222077
ok,2024-02-02 15:30:00,13.18,13.4,12.76,13.0,333063
ok,2024-02-02 16:00:00,13.0,13.0,12.8,12.8,572
ok,2024-02-02 16:30:00,13.24,13.4,12.8,13.34,1611
ok,2024-02-02 17:00:00,13.4,13.4,13.05,13.05,931
ok,2024-02-02 17:30:00,13.39,13.4,13.39,13.4,576
ok,2024-02-02 18:00:00,13.75,13.75,13.11,13.11,1297
ok,2024-02-02 18:30:00,13.74,13.74,13.7,13.7,585
ok,2024-02-02 19:00:00,13.7,13.75,13.39,13.39,2139
ok,2024-02-02 19:30:00,13.75,14.0,13.75,14.0,614
ok,2024-02-05 08:00:00,13.88,13.88,13.0,13.0,3961
ok,2024-02-05 08:30:00,13.51,13.51,13.51,13.51,200
ok,2024-02-05 09:00:00,13.44,13.91,13.01,13.85,11159
ok,2024-02-05 09:30:00,13.91,13.99,12.85,12.85,83873
ok,2024-02-05 10:00:00,12.85,13.07,12.84,12.87,34435
ok,2024-02-05 10:30:00,12.85,12.85,12.0,12.15,53486
ok,2024-02-05 11:00:00,12.15,12.32,11.5,12.1,54897
ok,2024-02-05 11:30:00,12.01,12.46,11.9,12.04,30085
ok,2024-02-05 12:00:00,12.01,12.47,11.77,11.77,39718
ok,2024-02-05 12:30:00,11.74,11.85,11.56,11.75,52174
ok,2024-02-05 13:00:00,11.73,12.22,11.02,11.03,67716
ok,2024-02-05 13:30:00,11.03,11.07,10.93,11.0,101517
ok,2024-02-05 14:00:00,11.01,11.03,11.0,11.0,34640
ok,2024-02-05 14:30:00,11.01,11.74,11.01,11.3,27745
ok,2024-02-05 15:00:00,11.22,11.22,11.0,11.0,41677
ok,2024-02-05 15:30:00,11.04,11.06,11.0,11.0,115004
ok,2024-02-05 16:00:00,10.72,10.72,10.72,10.72,200
ok,2024-02-05 16:30:00,10.92,11.36,10.92,11.36,333
ok,2024-02-05 18:00:00,11.24,11.24,11.0,11.0,408
ok,2024-02-05 19:00:00,11.5,11.5,11.0,11.0,401
ok,2024-02-05 19:30:00,11.05,11.05,11.05,11.05,100
ok,2024-02-06 08:00:00,11.53,11.53,11.49,11.49,674
ok,2024-02-06 08:30:00,11.49,11.49,11.49,11.49,366
ok,2024-02-06 09:00:00,10.96,11.52,10.96,11.51,987
ok,2024-02-06 09:30:00,11.44,11.55,10.77,11.25,38383
ok,2024-02-06 10:00:00,11.3,11.3,10.9,10.95,19537
ok,2024-02-06 10:30:00,10.91,10.92,10.76,10.78,52308
ok,2024-02-06 11:00:00,10.78,10.78,10.69,10.7,17815
ok,2024-02-06 11:30:00,10.69,10.98,10.69,10.76,11473
ok,2024-02-06 12:00:00,10.75,10.76,10.69,10.7,6035
ok,2024-02-06 12:30:00,10.7,10.77,10.69,10.73,12724
ok,2024-02-06 13:00:00,10.73,10.74,10.69,10.7,5067
ok,2024-02-06 13:30:00,10.7,10.73,10.69,10.7,7938
ok,2024-02-06 14:00:00,10.7,10.99,10.63,10.67,24371
ok,2024-02-06 14:30:00,10.67,10.9,10.66,10.79,18111
ok,2024-02-06 15:00:00,10.81,10.81,10.61,10.61,23889
ok,2024-02-06 15:30:00,10.61,10.62,10.3,10.36,85724
ok,2024-02-06 16:00:00,10.8,10.8,10.02,10.02,605
ok,2024-02-06 18:00:00,10.4,10.85,10.4,10.85,758
ok,2024-02-06 19:00:00,10.85,10.85,10.85,10.85,101
ok,2024-02-07 08:30:00,10.88,10.88,10.3,10.34,1664
ok,2024-02-07 09:00:00,10.59,10.59,10.58,10.58,1100
ok,2024-02-07 09:30:00,10.4,10.5,10.25,10.41,40658
ok,2024-02-07 10:00:00,10.41,10.45,10.2,10.2,8691
ok,2024-02-07 10:30:00,10.35,10.5,10.35,10.4,8829
ok,2024-02-07 11:00:00,10.42,10.49,10.35,10.35,5419
ok,2024-02-07 11:30:00,10.35,10.5,10.33,10.37,9555
ok,2024-02-07 12:00:00,10.37,10.37,10.26,10.29,14279
ok,2024-02-07 12:30:00,10.36,10.39,10.28,10.32,1211
ok,2024-02-07 13:00:00,10.32,10.33,10.26,10.32,10947
ok,2024-02-07 13:30:00,10.32,10.35,10.2,10.26,58746
