s,t,o,h,l,c,v
ok,2024-01-02 07:30:00,1.45,1.45,1.45,1.45,3000
ok,2024-01-02 08:00:00,1.5,1.5,1.5,1.5,2000
ok,2024-01-02 09:00:00,1.49,1.49,1.49,1.49,127
ok,2024-01-02 09:30:00,1.55,1.7,1.49,1.69,35809
ok,2024-01-02 10:00:00,1.71,1.75,1.65,1.75,22374
ok,2024-01-02 10:30:00,1.73,1.84,1.7,1.81,24149
ok,2024-01-02 11:00:00,1.75,1.84,1.71,1.8,10648
ok,2024-01-02 11:30:00,1.84,1.84,1.83,1.84,3786
ok,2024-01-02 12:00:00,1.8,1.8,1.79,1.79,1084
ok,2024-01-02 12:30:00,1.77,1.8,1.74,1.78,16198
ok,2024-01-02 13:00:00,1.77,1.78,1.77,1.78,213
ok,2024-01-02 13:30:00,1.78,1.79,1.75,1.79,1510
ok,2024-01-02 14:00:00,1.79,1.8,1.77,1.8,2239
ok,2024-01-02 14:30:00,1.79,1.82,1.79,1.8,2777
ok,2024-01-02 15:00:00,1.84,1.84,1.8,1.82,4266
ok,2024-01-02 15:30:00,1.84,1.88,1.65,1.65,47096
ok,2024-01-02 16:00:00,1.65,1.65,1.65,1.65,165
ok,2024-01-03 09:00:00,1.68,1.7,1.68,1.7,400
ok,2024-01-03 09:30:00,1.82,1.83,1.74,1.75,4378
ok,2024-01-03 10:00:00,1.71,1.8,1.71,1.74,14432
ok,2024-01-03 10:30:00,1.75,1.8,1.7,1.77,3519
ok,2024-01-03 11:00:00,1.7,1.72,1.65,1.65,4155
ok,2024-01-03 11:30:00,1.73,1.73,1.65,1.65,2113
ok,2024-01-03 14:00:00,1.67,1.68,1.47,1.64,45215
ok,2024-01-03 14:30:00,1.64,1.64,1.5,1.5,12724
ok,2024-01-03 15:00:00,1.51,1.51,1.48,1.51,5000
ok,2024-01-03 15:30:00,1.53,1.53,1.48,1.52,3879
ok,2024-01-04 09:30:00,1.5,1.5,1.5,1.5,200
ok,2024-01-04 10:00:00,1.46,1.48,1.39,1.45,12476
ok,2024-01-04 10:30:00,1.43,1.64,1.43,1.52,18940
ok,2024-01-04 11:30:00,1.5,1.5,1.5,1.5,328
ok,2024-01-04 12:00:00,1.49,1.49,1.46,1.47,935
ok,2024-01-04 13:00:00,1.46,1.46,1.39,1.44,8351
ok,2024-01-04 13:30:00,1.46,1.46,1.46,1.46,130
ok,2024-01-04 14:00:00,1.47,1.47,1.45,1.45,1111
ok,2024-01-04 14:30:00,1.45,1.45,1.39,1.43,15207
ok,2024-01-04 15:00:00,1.41,1.45,1.33,1.33,12568
ok,2024-01-04 15:30:00,1.34,1.36,1.32,1.35,3592
ok,2024-01-04 16:30:00,1.31,1.31,1.31,1.31,220
ok,2024-01-05 09:30:00,1.31,1.34,1.28,1.29,8005
ok,2024-01-05 10:00:00,1.31,1.4,1.28,1.28,2804
ok,2024-01-05 10:30:00,1.39,1.39,1.29,1.29,2341
ok,2024-01-05 11:00:00,1.33,1.33,1.28,1.28,3508
ok,2024-01-05 11:30:00,1.32,1.34,1.28,1.28,2431
ok,2024-01-05 12:00:00,1.34,1.34,1.33,1.34,2500
ok,2024-01-05 13:30:00,1.31,1.31,1.31,1.31,100
ok,2024-01-05 14:00:00,1.28,1.28,1.28,1.28,314
ok,2024-01-05 15:00:00,1.29,1.29,1.03,1.03,26028
ok,2024-01-05 15:30:00,1.03,1.09,1.0,1.07,44967
ok,2024-01-05 16:00:00,1.11,1.11,1.11,1.11,900
ok,2024-01-05 16:30:00,1.1,1.15,1.1,1.15,755
ok,2024-01-08 05:30:00,1.15,1.15,1.15,1.15,208
ok,2024-01-08 08:00:00,1.07,1.07,1.07,1.07,235
ok,2024-01-08 08:30:00,1.09,1.09,1.09,1.09,200
ok,2024-01-08 09:30:00,1.17,1.18,1.17,1.18,500
ok,2024-01-08 10:00:00,1.15,1.25,1.15,1.25,17859
ok,2024-01-08 10:30:00,1.24,1.29,1.23,1.23,19056
ok,2024-01-08 11:00:00,1.22,1.25,1.21,1.24,7531
ok,2024-01-08 11:30:00,1.23,1.26,1.23,1.26,7180
ok,2024-01-08 12:00:00,1.22,1.28,1.22,1.28,343
ok,2024-01-08 12:30:00,1.27,1.5,1.26,1.5,52394
ok,2024-01-08 13:00:00,1.45,1.5,1.39,1.45,36257
ok,2024-01-08 13:30:00,1.41,1.49,1.41,1.45,6497
ok,2024-01-08 14:00:00,1.46,1.48,1.44,1.48,4558
ok,2024-01-08 14:30:00,1.46,1.46,1.43,1.46,8774
ok,2024-01-08 15:00:00,1.39,1.39,1.36,1.36,1638
ok,2024-01-08 15:30:00,1.4,1.4,1.3,1.3,8942
ok,2024-01-09 09:30:00,1.4,1.4,1.39,1.39,351
ok,2024-01-09 10:00:00,1.31,1.35,1.31,1.35,2014
ok,2024-01-09 11:00:00,1.32,1.32,1.23,1.23,7671
ok,2024-01-09 11:30:00,1.24,1.31,1.23,1.31,6561
ok,2024-01-09 12:00:00,1.27,1.31,1.25,1.31,5762
ok,2024-01-09 12:30:00,1.27,1.35,1.23,1.35,6530
ok,2024-01-09 13:00:00,1.26,1.26,1.21,1.21,2982
ok,2024-01-09 13:30:00,1.25,1.25,1.21,1.21,11361
ok,2024-01-09 14:00:00,1.18,1.18,1.16,1.16,1301
ok,2024-01-09 15:00:00,1.2,1.21,1.2,1.21,518
ok,2024-01-09 15:30:00,1.22,1.22,1.22,1.22,274
ok,2024-01-10 08:00:00,1.35,1.35,1.35,1.35,400
