s,t,o,h,l,c,v
ok,2024-01-26 10:30:00,4.25,5.39,4.25,5.39,522938
ok,2024-01-26 11:00:00,5.65,6.22,4.4,4.61,1240530
ok,2024-01-26 11:30:00,4.6,4.7,4.3,4.39,262294
ok,2024-01-26 12:00:00,4.38,4.67,4.37,4.52,205952
ok,2024-01-26 12:30:00,4.52,4.59,4.4,4.48,88078
ok,2024-01-26 13:00:00,4.41,4.94,4.26,4.94,122491
ok,2024-01-26 13:30:00,5.1,5.15,4.4,4.81,291632
ok,2024-01-26 14:00:00,4.8,5.47,4.63,5.25,177736
ok,2024-01-26 14:30:00,5.25,5.25,4.78,5.13,50109
ok,2024-01-26 15:00:00,5.2,5.2,4.92,4.92,45529
ok,2024-01-26 15:30:00,5.02,5.35,4.74,5.28,120905
ok,2024-01-26 16:00:00,5.08,5.08,5.01,5.03,6571
ok,2024-01-26 16:30:00,5.06,5.32,5.06,5.15,6921
ok,2024-01-26 17:00:00,5.07,5.1,5.05,5.05,2235
ok,2024-01-26 17:30:00,5.25,5.25,5.08,5.24,1394
ok,2024-01-26 18:00:00,5.09,5.28,5.09,5.13,3819
ok,2024-01-26 18:30:00,5.19,5.21,5.13,5.13,1831
ok,2024-01-26 19:00:00,5.14,5.14,5.13,5.13,711
ok,2024-01-26 19:30:00,5.12,5.18,5.0,5.0,9882
ok,2024-01-29 04:00:00,5.01,5.04,5.0,5.01,2345
ok,2024-01-29 04:30:00,5.0,5.0,4.8,4.8,1389
ok,2024-01-29 05:00:00,4.81,4.9,4.8,4.81,2513
ok,2024-01-29 05:30:00,4.81,4.83,4.8,4.81,4557
ok,2024-01-29 06:00:00,4.7,5.01,4.5,5.01,6346
ok,2024-01-29 07:00:00,4.8,4.8,4.61,4.7,1836
ok,2024-01-29 07:30:00,4.68,4.99,4.68,4.69,904
ok,2024-01-29 08:00:00,4.84,4.97,4.65,4.65,7115
ok,2024-01-29 08:30:00,4.8,4.8,4.71,4.71,2037
ok,2024-01-29 09:00:00,4.95,5.1,4.85,5.1,7255
ok,2024-01-29 09:30:00,5.31,5.45,4.81,4.85,91748
ok,2024-01-29 10:00:00,4.81,5.0,4.74,4.79,34816
ok,2024-01-29 10:30:00,4.76,4.9,4.76,4.77,32602
ok,2024-01-29 11:00:00,4.78,4.89,4.78,4.79,8129
ok,2024-01-29 11:30:00,4.8,4.96,4.8,4.9,20909
ok,2024-01-29 12:00:00,4.87,4.92,4.87,4.91,4918
ok,2024-01-29 12:30:00,4.94,4.94,4.8,4.82,17218
ok,2024-01-29 13:00:00,4.85,4.86,4.85,4.85,4398
ok,2024-01-29 13:30:00,4.85,4.88,4.85,4.87,2322
ok,2024-01-29 14:00:00,4.85,4.85,4.82,4.82,1826
ok,2024-01-29 14:30:00,4.82,4.84,4.82,4.84,3358
ok,2024-01-29 15:00:00,4.85,4.85,4.8,4.82,10316
ok,2024-01-29 15:30:00,4.79,4.8,4.75,4.76,17553
ok,2024-01-29 16:00:00,4.62,4.62,4.62,4.62,494
ok,2024-01-29 16:30:00,4.58,4.69,4.52,4.69,2449
ok,2024-01-29 17:00:00,4.7,4.7,4.7,4.7,208
ok,2024-01-29 19:30:00,4.64,4.64,4.64,4.64,224
ok,2024-01-30 04:00:00,4.51,4.52,4.43,4.43,672
ok,2024-01-30 05:00:00,4.73,4.73,4.73,4.73,100
ok,2024-01-30 06:30:00,4.54,4.54,4.54,4.54,100
ok,2024-01-30 07:00:00,4.55,4.55,4.54,4.54,367
ok,2024-01-30 08:00:00,4.54,4.54,4.53,4.53,272
ok,2024-01-30 08:30:00,4.51,4.51,4.5,4.5,1502
ok,2024-01-30 09:00:00,4.5,4.5,4.25,4.25,7516
ok,2024-01-30 09:30:00,4.31,4.73,4.31,4.5,9710
ok,2024-01-30 10:00:00,4.41,5.09,4.41,5.06,34479
ok,2024-01-30 10:30:00,5.08,5.3,4.8,5.15,51883
ok,2024-01-30 11:00:00,5.09,5.4,5.01,5.12,41761
