s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,2.75,2.97,2.68,2.97,7768
ok,2024-01-02 10:30:00,2.97,2.97,2.97,2.97,244
ok,2024-01-02 12:30:00,2.86,2.86,2.86,2.86,200
ok,2024-01-02 13:00:00,2.86,2.86,2.86,2.86,155
ok,2024-01-02 14:00:00,2.85,2.95,2.85,2.94,999
ok,2024-01-02 14:30:00,2.86,2.86,2.86,2.86,200
ok,2024-01-03 10:00:00,2.7,2.78,2.56,2.78,500
ok,2024-01-03 11:00:00,2.8,2.8,2.8,2.8,216
ok,2024-01-03 11:30:00,2.85,2.86,2.85,2.86,905
ok,2024-01-03 12:00:00,2.83,2.83,2.83,2.83,200
ok,2024-01-03 13:30:00,2.79,2.86,2.78,2.86,1716
ok,2024-01-04 11:30:00,2.72,2.79,2.72,2.79,457
ok,2024-01-04 12:30:00,2.86,2.86,2.86,2.86,100
ok,2024-01-04 13:30:00,2.85,2.86,2.85,2.86,829
ok,2024-01-04 14:00:00,2.95,2.95,2.95,2.95,339
ok,2024-01-05 08:00:00,2.77,2.77,2.77,2.77,100
ok,2024-01-05 09:30:00,2.76,2.93,2.76,2.91,2413
ok,2024-01-05 11:30:00,2.77,2.77,2.77,2.77,150
ok,2024-01-05 12:30:00,2.84,2.84,2.84,2.84,200
ok,2024-01-05 13:00:00,2.97,2.97,2.92,2.92,300
ok,2024-01-05 13:30:00,2.88,2.88,2.88,2.88,200
ok,2024-01-05 14:00:00,2.93,2.93,2.93,2.93,180
ok,2024-01-05 15:30:00,2.9,2.9,2.9,2.9,546
ok,2024-01-08 09:30:00,2.95,2.95,2.95,2.95,928
ok,2024-01-08 10:00:00,2.95,2.95,2.95,2.95,678
ok,2024-01-08 12:30:00,2.96,2.96,2.95,2.95,7266
ok,2024-01-08 13:00:00,2.95,2.95,2.95,2.95,2900
ok,2024-01-08 13:30:00,2.95,2.95,2.95,2.95,100
ok,2024-01-08 15:00:00,2.95,2.95,2.95,2.95,888
