s,t,o,h,l,c,v
ok,2024-01-02 06:30:00,3.55,3.55,3.55,3.55,158
ok,2024-01-02 08:00:00,3.55,3.55,3.55,3.55,244
ok,2024-01-02 09:30:00,3.43,3.49,3.35,3.35,610
ok,2024-01-02 10:00:00,3.37,3.4,3.3,3.3,2992
ok,2024-01-02 10:30:00,3.46,3.5,3.45,3.5,1113
ok,2024-01-02 15:30:00,3.5,3.5,3.41,3.41,652
ok,2024-01-03 09:30:00,3.27,3.27,3.27,3.27,901
ok,2024-01-03 10:30:00,3.2,3.2,2.88,3.07,1855
ok,2024-01-03 11:00:00,3.48,3.68,3.07,3.07,3551
ok,2024-01-03 11:30:00,3.34,3.51,3.34,3.44,525
ok,2024-01-03 12:00:00,3.21,3.3,3.02,3.02,5520
ok,2024-01-03 12:30:00,3.05,3.15,3.05,3.13,6106
ok,2024-01-03 13:00:00,3.11,3.19,3.03,3.03,2362
ok,2024-01-03 13:30:00,3.09,3.31,3.09,3.18,11454
ok,2024-01-03 14:00:00,3.26,3.68,3.26,3.68,4473
ok,2024-01-03 14:30:00,3.68,3.9,3.6,3.76,19234
ok,2024-01-03 15:00:00,3.54,3.54,3.25,3.46,3890
ok,2024-01-03 15:30:00,3.45,3.45,3.2,3.2,745
ok,2024-01-04 09:30:00,3.14,3.14,3.14,3.14,223
ok,2024-01-04 10:30:00,3.08,3.46,3.08,3.46,6070
ok,2024-01-04 11:00:00,3.2,3.2,3.2,3.2,100
ok,2024-01-04 12:00:00,3.15,3.2,3.15,3.2,400
ok,2024-01-04 12:30:00,3.19,3.19,3.19,3.19,132
ok,2024-01-04 13:30:00,3.2,3.2,3.15,3.15,1382
ok,2024-01-04 15:30:00,3.1,3.13,3.06,3.06,1141
ok,2024-01-05 09:00:00,3.04,3.04,3.04,3.04,105
ok,2024-01-05 09:30:00,3.0,3.37,2.88,3.37,3845
ok,2024-01-05 10:00:00,3.19,3.33,3.1,3.15,6273
ok,2024-01-05 10:30:00,3.15,3.15,3.1,3.15,1143
ok,2024-01-05 11:00:00,3.12,3.24,3.12,3.23,956
ok,2024-01-05 11:30:00,3.23,3.23,3.23,3.23,201
ok,2024-01-05 13:00:00,3.13,3.13,3.11,3.11,553
ok,2024-01-05 13:30:00,3.22,3.23,3.22,3.23,461
ok,2024-01-05 14:00:00,3.11,3.11,3.11,3.11,245
ok,2024-01-05 14:30:00,3.24,3.26,3.18,3.18,547
ok,2024-01-05 15:30:00,3.21,3.21,3.21,3.21,600
ok,2024-01-08 09:30:00,3.38,3.38,3.21,3.21,626
ok,2024-01-08 10:00:00,3.2,3.25,3.18,3.19,8042
ok,2024-01-08 11:30:00,3.3,3.3,3.3,3.3,500
ok,2024-01-08 12:00:00,3.19,3.19,3.19,3.19,342
ok,2024-01-08 13:00:00,3.2,3.35,3.07,3.35,6047
ok,2024-01-08 13:30:00,3.25,3.35,3.25,3.3,1520
ok,2024-01-08 14:00:00,3.29,3.4,3.29,3.4,1801
ok,2024-01-08 14:30:00,3.31,3.4,3.31,3.4,3430
ok,2024-01-08 15:00:00,3.54,3.54,3.36,3.4,1586
ok,2024-01-08 15:30:00,3.55,3.55,3.35,3.36,17953
ok,2024-01-09 07:00:00,3.18,3.18,3.18,3.18,100
ok,2024-01-09 11:00:00,3.2,3.2,3.2,3.2,300
ok,2024-01-09 11:30:00,3.22,3.3,3.22,3.3,2124
ok,2024-01-09 12:30:00,3.29,3.29,3.29,3.29,100
ok,2024-01-09 13:00:00,3.24,3.24,3.0,3.02,7627
ok,2024-01-09 14:00:00,3.08,3.08,3.08,3.08,2202
ok,2024-01-09 15:00:00,3.1,3.22,3.1,3.22,438
ok,2024-01-09 15:30:00,3.16,3.16,3.16,3.16,367
ok,2024-01-10 09:30:00,3.0,3.0,3.0,3.0,390
ok,2024-01-10 10:00:00,3.1,3.18,3.1,3.11,2342
ok,2024-01-11 10:00:00,3.03,3.37,3.03,3.19,6106
ok,2024-01-11 11:30:00,3.21,3.22,3.21,3.22,1068
ok,2024-01-11 12:00:00,3.38,3.39,3.23,3.23,10341
ok,2024-01-11 14:00:00,3.25,3.25,3.25,3.25,400
ok,2024-01-11 14:30:00,3.29,3.29,3.29,3.29,100
ok,2024-01-11 15:30:00,3.29,3.43,3.25,3.3,1585
ok,2024-01-12 07:00:00,3.35,3.35,3.35,3.35,275
ok,2024-01-12 09:30:00,3.35,3.35,3.35,3.35,411
ok,2024-01-12 10:00:00,3.28,3.28,3.28,3.28,261
ok,2024-01-12 11:00:00,3.19,3.19,3.19,3.19,150
ok,2024-01-12 15:30:00,3.18,3.18,3.18,3.18,100
ok,2024-01-16 09:30:00,3.25,3.28,3.05,3.2,4207
