s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,2.01,2.01,2.01,2.01,581
ok,2024-01-02 10:00:00,2.1,2.1,2.06,2.1,802
ok,2024-01-02 10:30:00,2.01,2.01,2.0,2.0,660
ok,2024-01-02 11:00:00,2.1,2.1,2.1,2.1,379
ok,2024-01-02 12:30:00,2.08,2.1,2.08,2.1,700
ok,2024-01-02 13:00:00,2.08,2.24,2.0,2.14,8202
ok,2024-01-02 13:30:00,2.09,2.12,2.09,2.12,517
ok,2024-01-02 14:30:00,2.05,2.05,2.05,2.05,200
ok,2024-01-02 15:00:00,2.02,2.09,2.02,2.02,930
ok,2024-01-02 15:30:00,2.02,2.02,2.01,2.01,200
ok,2024-01-02 18:30:00,2.01,2.01,2.01,2.01,520
ok,2024-01-02 19:30:00,2.01,2.01,2.01,2.01,396
ok,2024-01-03 07:00:00,2.03,2.03,2.01,2.01,2114
ok,2024-01-03 08:00:00,2.01,2.01,2.01,2.01,2600
ok,2024-01-03 09:30:00,2.04,2.04,2.0,2.0,1503
ok,2024-01-03 10:00:00,2.04,2.04,2.04,2.04,462
ok,2024-01-03 12:00:00,2.04,2.15,2.04,2.09,3654
ok,2024-01-03 12:30:00,2.17,2.17,2.06,2.12,2539
ok,2024-01-03 13:00:00,2.07,2.16,2.06,2.12,2894
ok,2024-01-03 13:30:00,2.11,2.11,2.1,2.1,298
ok,2024-01-03 14:00:00,2.06,2.06,2.05,2.05,1123
ok,2024-01-03 15:00:00,2.12,2.12,2.06,2.06,1100
ok,2024-01-03 15:30:00,2.15,2.17,2.04,2.04,27133
ok,2024-01-04 08:00:00,1.85,2.09,1.85,2.05,5093
ok,2024-01-04 09:00:00,2.05,2.05,2.05,2.05,100
ok,2024-01-04 09:30:00,2.02,2.02,1.96,1.96,8117
ok,2024-01-04 10:00:00,1.98,1.98,1.96,1.96,696
ok,2024-01-04 10:30:00,2.01,2.01,1.99,1.99,600
ok,2024-01-04 11:00:00,2.02,2.03,2.02,2.03,350
ok,2024-01-04 11:30:00,1.99,1.99,1.99,1.99,400
ok,2024-01-04 13:30:00,1.98,1.99,1.96,1.96,2267
ok,2024-01-04 14:00:00,2.02,2.03,2.02,2.03,300
ok,2024-01-04 16:00:00,1.87,1.87,1.87,1.87,235
ok,2024-01-05 08:00:00,1.97,1.97,1.97,1.97,153
ok,2024-01-05 10:00:00,2.14,2.14,2.0,2.0,1605
ok,2024-01-05 10:30:00,2.0,2.06,1.97,2.06,3450
ok,2024-01-05 12:30:00,2.01,2.01,2.0,2.0,315
ok,2024-01-05 14:30:00,2.05,2.05,2.05,2.05,237
ok,2024-01-08 07:30:00,2.05,2.05,1.8,1.8,2806
ok,2024-01-08 08:00:00,1.98,1.98,1.98,1.98,300
ok,2024-01-08 08:30:00,1.86,1.86,1.83,1.84,13284
ok,2024-01-08 09:00:00,1.94,1.99,1.94,1.94,1400
ok,2024-01-08 09:30:00,1.95,1.97,1.83,1.97,5560
ok,2024-01-08 10:00:00,1.86,1.92,1.86,1.92,429
ok,2024-01-08 10:30:00,1.86,1.98,1.86,1.98,2247
ok,2024-01-08 11:00:00,1.94,1.98,1.94,1.98,750
ok,2024-01-08 12:00:00,1.98,1.98,1.98,1.98,600
ok,2024-01-08 12:30:00,1.95,1.95,1.95,1.95,167
ok,2024-01-08 13:00:00,1.92,1.92,1.89,1.89,1040
ok,2024-01-08 14:30:00,1.87,1.87,1.82,1.87,3430
ok,2024-01-08 15:00:00,1.9,1.9,1.9,1.9,910
ok,2024-01-08 15:30:00,1.9,1.97,1.89,1.97,4953
ok,2024-01-09 09:30:00,1.92,1.92,1.91,1.91,236
ok,2024-01-09 10:30:00,1.83,1.83,1.83,1.83,100
ok,2024-01-09 12:00:00,1.9,1.9,1.89,1.89,301
ok,2024-01-09 12:30:00,1.85,1.85,1.85,1.85,429
ok,2024-01-09 13:00:00,1.9,1.9,1.9,1.9,309
ok,2024-01-09 14:30:00,1.86,1.9,1.85,1.86,2527
ok,2024-01-09 15:30:00,1.9,1.9,1.87,1.87,2400
ok,2024-01-10 09:30:00,1.85,1.85,1.8,1.82,2833
ok,2024-01-10 10:00:00,1.86,1.86,1.85,1.85,1000
ok,2024-01-10 11:00:00,1.88,1.88,1.88,1.88,100
ok,2024-01-10 12:00:00,1.86,1.86,1.86,1.86,100
ok,2024-01-10 13:00:00,1.89,1.9,1.89,1.9,1312
ok,2024-01-10 13:30:00,1.91,1.91,1.91,1.91,528
ok,2024-01-10 15:00:00,1.86,1.88,1.86,1.88,621
ok,2024-01-11 10:30:00,1.98,1.98,1.98,1.98,127
ok,2024-01-11 11:00:00,1.92,1.93,1.83,1.83,4709
ok,2024-01-11 11:30:00,1.85,1.87,1.85,1.87,1934
ok,2024-01-11 12:00:00,1.9,1.9,1.9,1.9,550
ok,2024-01-11 12:30:00,1.88,1.88,1.87,1.87,634
ok,2024-01-11 14:30:00,1.87,1.87,1.87,1.87,278
ok,2024-01-11 15:30:00,1.87,1.88,1.86,1.88,2972
ok,2024-01-11 17:00:00,1.87,1.87,1.87,1.87,410
ok,2024-01-11 18:30:00,1.84,1.84,1.81,1.81,550
ok,2024-01-12 08:00:00,1.87,1.87,1.87,1.87,101
ok,2024-01-12 09:30:00,1.85,1.85,1.84,1.84,858
ok,2024-01-12 11:30:00,1.87,1.87,1.87,1.87,205
ok,2024-01-12 12:30:00,1.85,1.85,1.85,1.85,1100
ok,2024-01-12 13:30:00,1.88,1.88,1.88,1.88,100
ok,2024-01-12 14:30:00,1.9,1.9,1.9,1.9,245
ok,2024-01-12 15:00:00,1.9,1.9,1.9,1.9,200
ok,2024-01-12 15:30:00,1.91,1.91,1.87,1.87,203
ok,2024-01-16 09:30:00,1.86,1.86,1.86,1.86,288
ok,2024-01-16 11:00:00,1.86,1.86,1.86,1.86,100
ok,2024-01-16 13:30:00,1.82,1.86,1.82,1.86,205
ok,2024-01-16 14:00:00,1.9,1.9,1.9,1.9,333
ok,2024-01-16 14:30:00,1.85,1.9,1.85,1.9,850
ok,2024-01-16 15:00:00,1.92,1.92,1.92,1.92,200
ok,2024-01-16 15:30:00,1.9,1.9,1.9,1.9,474
ok,2024-01-17 09:30:00,1.85,1.86,1.85,1.85,2131
ok,2024-01-17 10:00:00,1.86,1.9,1.86,1.9,700
ok,2024-01-17 10:30:00,1.9,1.9,1.9,1.9,2499
ok,2024-01-17 11:00:00,1.85,1.86,1.85,1.85,2607
ok,2024-01-17 11:30:00,1.86,1.86,1.86,1.86,164
ok,2024-01-17 12:00:00,1.87,1.9,1.85,1.85,3426
ok,2024-01-17 12:30:00,1.9,1.9,1.85,1.9,800
ok,2024-01-17 13:00:00,1.86,1.86,1.85,1.85,2556
ok,2024-01-17 13:30:00,1.85,1.85,1.82,1.85,3445
ok,2024-01-17 15:00:00,1.83,1.83,1.83,1.83,200
ok,2024-01-17 15:30:00,1.9,1.9,1.87,1.9,592
ok,2024-01-18 10:30:00,1.83,1.83,1.8,1.8,2387
ok,2024-01-18 11:00:00,1.83,1.83,1.83,1.83,200
ok,2024-01-18 11:30:00,1.83,1.86,1.83,1.86,1554
ok,2024-01-18 12:00:00,1.83,1.88,1.75,1.88,3512
ok,2024-01-18 13:30:00,1.83,2.0,1.8,1.98,19298
ok,2024-01-18 14:00:00,2.0,2.01,2.0,2.01,901
ok,2024-01-18 14:30:00,2.0,2.04,2.0,2.04,6301
ok,2024-01-18 15:00:00,2.03,2.06,2.03,2.05,7511
ok,2024-01-18 15:30:00,2.03,2.15,2.03,2.15,5560
ok,2024-01-18 16:00:00,1.91,2.2,1.91,2.2,5223
ok,2024-01-18 16:30:00,2.18,2.31,2.18,2.29,8784
ok,2024-01-18 17:00:00,2.3,2.37,2.3,2.37,1884
ok,2024-01-18 18:30:00,2.32,2.32,2.32,2.32,206
ok,2024-01-18 19:00:00,2.17,2.19,2.17,2.19,301
ok,2024-01-19 04:30:00,2.6,2.6,2.38,2.39,3295
ok,2024-01-19 05:00:00,2.39,2.57,2.33,2.53,13501
ok,2024-01-19 05:30:00,2.41,2.41,2.21,2.21,3907
ok,2024-01-19 06:00:00,2.33,2.33,2.33,2.33,254
ok,2024-01-19 06:30:00,2.37,2.39,2.37,2.39,352
ok,2024-01-19 07:00:00,2.4,2.44,2.33,2.36,3054
ok,2024-01-19 08:00:00,2.22,2.4,2.22,2.4,3250
ok,2024-01-19 08:30:00,2.35,2.37,2.35,2.37,590
ok,2024-01-19 09:30:00,2.17,2.33,2.09,2.09,21912
ok,2024-01-19 10:00:00,2.11,2.11,2.08,2.1,4833
ok,2024-01-19 10:30:00,2.07,2.07,2.06,2.06,220
ok,2024-01-19 11:00:00,2.07,2.07,1.96,1.96,2104
ok,2024-01-19 11:30:00,1.99,2.04,1.96,1.96,1181
ok,2024-01-19 12:30:00,1.97,2.0,1.92,2.0,2406
ok,2024-01-19 13:00:00,2.04,2.07,2.04,2.07,3776
ok,2024-01-19 14:00:00,2.07,2.14,2.07,2.14,830
ok,2024-01-19 15:30:00,2.15,2.15,2.15,2.15,1026
ok,2024-01-19 16:00:00,2.37,2.58,2.24,2.24,23708
ok,2024-01-19 16:30:00,2.35,2.47,2.28,2.47,1419
ok,2024-01-19 17:30:00,2.47,2.47,2.34,2.44,5832
ok,2024-01-19 18:00:00,2.35,2.35,2.35,2.35,250
ok,2024-01-19 19:00:00,2.35,2.35,2.35,2.35,250
ok,2024-01-19 19:30:00,2.35,2.35,2.35,2.35,199
ok,2024-01-22 04:00:00,2.51,2.51,2.37,2.51,8975
ok,2024-01-22 04:30:00,2.51,2.58,2.15,2.38,19231
ok,2024-01-22 05:00:00,2.37,2.38,2.3,2.38,623
ok,2024-01-22 06:30:00,2.27,2.32,2.2,2.2,1894
ok,2024-01-22 08:00:00,2.35,2.35,2.2,2.22,831
ok,2024-01-22 08:30:00,2.2,2.35,2.2,2.35,325
ok,2024-01-22 09:30:00,2.21,2.33,2.15,2.18,14242
ok,2024-01-22 10:00:00,2.16,2.32,2.14,2.18,2000
ok,2024-01-22 11:00:00,2.24,2.24,2.21,2.22,461
ok,2024-01-22 11:30:00,2.2,2.29,2.16,2.16,2722
ok,2024-01-22 12:00:00,2.3,2.3,2.3,2.3,125
ok,2024-01-22 12:30:00,2.26,2.26,2.25,2.25,200
ok,2024-01-22 13:00:00,2.2,2.29,2.15,2.29,16693
ok,2024-01-22 13:30:00,2.19,2.25,2.14,2.25,5673
ok,2024-01-22 15:00:00,2.15,2.25,2.13,2.14,1967
ok,2024-01-22 15:30:00,2.12,2.2,2.05,2.05,13887
ok,2024-01-22 16:30:00,2.34,2.34,2.34,2.34,158
ok,2024-01-22 19:30:00,2.1,2.1,2.1,2.1,153
ok,2024-01-23 04:30:00,2.0,2.39,2.0,2.39,632
ok,2024-01-23 07:00:00,2.0,2.0,2.0,2.0,164
ok,2024-01-23 09:30:00,2.19,2.19,1.9,1.98,5895
ok,2024-01-23 10:00:00,1.98,2.0,1.95,1.95,6877
ok,2024-01-23 10:30:00,2.04,2.05,2.04,2.05,1300
ok,2024-01-23 11:00:00,2.04,2.05,2.04,2.05,2200
ok,2024-01-23 11:30:00,2.0,2.01,2.0,2.0,4451
ok,2024-01-23 12:00:00,1.98,1.98,1.98,1.98,127
ok,2024-01-23 12:30:00,2.04,2.04,2.04,2.04,100
ok,2024-01-23 13:00:00,2.0,2.0,2.0,2.0,1030
ok,2024-01-23 13:30:00,2.01,2.01,1.98,1.98,715
ok,2024-01-23 14:00:00,1.97,1.97,1.92,1.95,8308
ok,2024-01-23 14:30:00,1.91,2.0,1.91,2.0,889
ok,2024-01-23 15:00:00,1.99,2.05,1.99,2.0,1394
ok,2024-01-23 15:30:00,1.98,2.07,1.97,1.99,5355
ok,2024-01-23 16:00:00,1.88,1.88,1.77,1.77,519
ok,2024-01-24 09:30:00,1.91,1.95,1.81,1.92,3525
ok,2024-01-24 10:00:00,1.93,1.93,1.93,1.93,100
ok,2024-01-24 10:30:00,1.92,1.93,1.9,1.93,825
ok,2024-01-24 12:00:00,2.0,2.0,2.0,2.0,100
ok,2024-01-24 12:30:00,1.95,2.0,1.95,2.0,255
