s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.46,1.46,1.46,1.46,561
ok,2024-01-02 11:00:00,1.43,1.43,1.43,1.43,789
ok,2024-01-02 15:30:00,1.4,1.42,1.4,1.42,500
ok,2024-01-03 09:30:00,1.4,1.4,1.4,1.4,197
ok,2024-01-03 15:00:00,1.43,1.43,1.4,1.4,235
ok,2024-01-04 13:30:00,1.4,1.4,1.4,1.4,500
ok,2024-01-05 12:30:00,1.39,1.39,1.39,1.39,2002
ok,2024-01-05 13:30:00,1.39,1.39,1.39,1.39,100
ok,2024-01-05 14:30:00,1.39,1.39,1.39,1.39,112
ok,2024-01-05 16:00:00,1.39,1.39,1.39,1.39,100
ok,2024-01-08 08:00:00,1.45,1.45,1.39,1.39,1294
ok,2024-01-08 09:30:00,1.41,1.41,1.34,1.34,724
ok,2024-01-08 12:00:00,1.34,1.34,1.34,1.34,2864
ok,2024-01-08 13:30:00,1.35,1.35,1.21,1.21,20515
ok,2024-01-08 14:00:00,1.21,1.32,1.0,1.17,62549
ok,2024-01-08 14:30:00,1.17,1.17,1.12,1.15,2104
ok,2024-01-08 15:00:00,1.17,1.17,1.17,1.17,250
ok,2024-01-08 15:30:00,1.25,1.37,1.25,1.37,3462
ok,2024-01-08 16:00:00,1.39,1.39,1.39,1.39,2000
ok,2024-01-08 16:30:00,1.15,1.35,1.15,1.35,3000
ok,2024-01-08 17:00:00,1.16,1.16,1.16,1.16,998
ok,2024-01-09 09:30:00,1.26,1.26,1.25,1.25,1042
ok,2024-01-09 10:00:00,1.25,1.27,1.25,1.25,2081
ok,2024-01-09 10:30:00,1.25,1.25,1.25,1.25,1781
ok,2024-01-09 12:00:00,1.26,1.26,1.26,1.26,3500
ok,2024-01-09 12:30:00,1.32,1.32,1.3,1.32,1000
ok,2024-01-09 13:00:00,1.3,1.3,1.3,1.3,212
ok,2024-01-09 13:30:00,1.3,1.3,1.3,1.3,400
