s,t,o,h,l,c,v
ok,2024-01-16 04:00:00,6.02,6.45,5.73,5.73,1221
ok,2024-01-16 04:30:00,4.6,5.0,3.98,4.53,6448
ok,2024-01-16 05:00:00,4.5,4.51,4.29,4.38,1347
ok,2024-01-16 05:30:00,4.25,4.25,4.25,4.25,330
ok,2024-01-16 06:00:00,4.27,4.31,3.99,4.09,1384
ok,2024-01-16 06:30:00,4.02,4.02,4.01,4.01,711
ok,2024-01-16 07:00:00,3.8,3.8,3.56,3.8,1568
ok,2024-01-16 07:30:00,4.01,4.04,3.56,4.04,800
ok,2024-01-16 08:00:00,4.14,4.17,4.1,4.1,713
ok,2024-01-16 08:30:00,4.1,4.1,3.86,3.86,803
ok,2024-01-16 09:00:00,4.0,4.0,4.0,4.0,659
ok,2024-01-16 09:30:00,3.8,4.03,3.35,3.48,26497
ok,2024-01-16 10:00:00,3.49,3.49,2.87,3.08,31528
ok,2024-01-16 10:30:00,3.18,3.2,2.98,3.04,7366
ok,2024-01-16 11:00:00,3.02,3.12,2.96,3.0,9680
ok,2024-01-16 11:30:00,3.1,3.18,2.99,3.0,5860
ok,2024-01-16 12:00:00,2.96,3.2,2.96,3.1,3420
ok,2024-01-16 12:30:00,3.02,3.03,2.99,2.99,1747
ok,2024-01-16 13:00:00,3.1,3.13,3.08,3.13,631
ok,2024-01-16 14:00:00,3.12,3.72,3.12,3.37,10850
ok,2024-01-16 14:30:00,3.35,3.48,3.13,3.44,2080
ok,2024-01-16 15:00:00,3.38,3.45,3.16,3.16,3836
ok,2024-01-16 15:30:00,3.31,3.38,3.14,3.15,12670
ok,2024-01-16 16:00:00,3.15,3.5,3.15,3.5,233
ok,2024-01-16 16:30:00,3.07,3.07,3.05,3.07,946
ok,2024-01-16 17:30:00,3.15,3.25,3.15,3.25,500
ok,2024-01-16 18:30:00,3.04,3.04,3.04,3.04,100
ok,2024-01-16 19:30:00,3.1,3.1,2.99,2.99,2804
ok,2024-01-17 04:00:00,3.0,3.0,3.0,3.0,854
ok,2024-01-17 04:30:00,3.0,3.0,3.0,3.0,218
ok,2024-01-17 06:00:00,3.01,3.01,3.0,3.0,443
ok,2024-01-17 07:00:00,2.84,2.98,2.84,2.98,303
ok,2024-01-17 07:30:00,2.96,2.96,2.96,2.96,256
ok,2024-01-17 08:00:00,2.84,2.88,2.84,2.88,500
ok,2024-01-17 08:30:00,2.98,2.98,2.96,2.96,410
ok,2024-01-17 09:00:00,3.03,3.17,2.99,3.14,1316
ok,2024-01-17 09:30:00,2.98,3.15,2.8,2.8,12236
ok,2024-01-17 10:00:00,2.81,2.95,2.44,2.55,23808
ok,2024-01-17 10:30:00,2.6,2.65,2.5,2.6,15876
ok,2024-01-17 11:00:00,2.52,2.65,2.52,2.56,1209
ok,2024-01-17 11:30:00,2.6,2.65,2.51,2.63,3857
ok,2024-01-17 12:00:00,2.51,2.65,2.51,2.62,2345
ok,2024-01-17 12:30:00,2.52,2.65,2.47,2.56,3693
ok,2024-01-17 13:00:00,2.52,2.54,2.52,2.54,459
ok,2024-01-17 13:30:00,2.61,2.64,2.46,2.46,12102
ok,2024-01-17 14:00:00,2.47,2.47,2.46,2.46,1592
ok,2024-01-17 14:30:00,2.49,2.54,2.44,2.48,17174
ok,2024-01-17 15:00:00,2.44,2.52,2.42,2.42,4984
ok,2024-01-17 15:30:00,2.42,2.5,2.36,2.41,12104
ok,2024-01-17 16:00:00,2.49,2.98,2.3,2.68,30474
ok,2024-01-17 16:30:00,2.67,2.68,2.38,2.45,6254
ok,2024-01-17 17:00:00,2.45,2.5,2.35,2.4,3302
ok,2024-01-17 17:30:00,2.4,2.65,2.4,2.41,1000
ok,2024-01-17 18:00:00,2.62,2.65,2.62,2.64,300
ok,2024-01-17 18:30:00,2.42,2.42,2.42,2.42,340
ok,2024-01-17 19:00:00,2.43,2.43,2.4,2.4,1141
ok,2024-01-17 19:30:00,2.4,2.53,2.4,2.53,1380
ok,2024-01-18 04:00:00,2.99,4.82,2.95,3.4,357448
ok,2024-01-18 04:30:00,3.39,3.8,3.38,3.67,196168
ok,2024-01-18 05:00:00,3.69,3.69,3.3,3.34,96468
ok,2024-01-18 05:30:00,3.34,3.34,2.86,2.94,117964
ok,2024-01-18 06:00:00,2.95,2.95,2.54,2.68,102627
ok,2024-01-18 06:30:00,2.68,2.8,2.56,2.67,34226
ok,2024-01-18 07:00:00,2.67,2.91,2.61,2.7,149260
ok,2024-01-18 07:30:00,2.71,2.71,2.45,2.49,53987
ok,2024-01-18 08:00:00,2.68,2.93,2.49,2.6,63201
ok,2024-01-18 08:30:00,2.6,2.63,2.57,2.57,16877
ok,2024-01-18 09:00:00,2.57,2.62,2.55,2.61,13769
ok,2024-01-18 09:30:00,2.6,2.6,2.03,2.21,119742
ok,2024-01-18 10:00:00,2.24,2.44,2.21,2.35,44082
ok,2024-01-18 10:30:00,2.35,2.37,2.25,2.3,19918
ok,2024-01-18 11:00:00,2.3,2.5,2.3,2.35,32017
ok,2024-01-18 11:30:00,2.43,2.5,2.42,2.48,38485
ok,2024-01-18 12:00:00,2.43,2.51,2.43,2.48,9656
ok,2024-01-18 12:30:00,2.5,2.55,2.43,2.46,15104
ok,2024-01-18 13:00:00,2.47,2.49,2.43,2.46,2419
ok,2024-01-18 13:30:00,2.49,2.51,2.44,2.5,2620
ok,2024-01-18 14:00:00,2.46,2.5,2.43,2.48,5668
ok,2024-01-18 14:30:00,2.48,2.5,2.43,2.46,5057
ok,2024-01-18 15:00:00,2.46,2.48,2.3,2.3,17219
ok,2024-01-18 15:30:00,2.28,2.47,2.25,2.47,26470
ok,2024-01-18 16:00:00,2.36,2.36,2.2,2.22,2530
ok,2024-01-18 16:30:00,2.33,2.33,2.26,2.26,3831
ok,2024-01-18 17:00:00,2.26,2.27,2.2,2.2,1758
ok,2024-01-18 17:30:00,2.2,2.2,2.2,2.2,200
ok,2024-01-18 18:00:00,2.2,2.2,2.2,2.2,427
ok,2024-01-18 19:30:00,2.5,2.5,2.5,2.5,100
ok,2024-01-19 04:00:00,2.49,2.49,2.08,2.11,3781
ok,2024-01-19 04:30:00,2.11,2.22,2.11,2.12,4097
ok,2024-01-19 05:00:00,2.14,2.15,2.09,2.09,3502
ok,2024-01-19 05:30:00,2.08,2.12,2.05,2.05,7382
ok,2024-01-19 06:00:00,2.07,2.08,2.07,2.08,387
ok,2024-01-19 06:30:00,2.13,2.15,2.07,2.15,1587
ok,2024-01-19 07:00:00,2.14,2.18,2.14,2.18,905
ok,2024-01-19 08:00:00,2.08,2.27,2.08,2.13,5814
ok,2024-01-19 08:30:00,2.13,2.13,2.1,2.11,1690
ok,2024-01-19 09:00:00,2.17,2.24,2.16,2.18,1885
ok,2024-01-19 09:30:00,2.07,2.22,2.01,2.02,48236
ok,2024-01-19 10:00:00,2.17,2.18,2.01,2.01,12860
ok,2024-01-19 10:30:00,2.01,2.04,2.0,2.01,30389
ok,2024-01-19 11:00:00,2.01,2.12,1.75,1.91,37164
ok,2024-01-19 11:30:00,1.84,1.91,1.83,1.91,5518
ok,2024-01-19 12:00:00,1.9,1.91,1.8,1.85,10422
ok,2024-01-19 12:30:00,1.8,1.89,1.79,1.8,2814
