s,t,o,h,l,c,v
ok,2024-01-02 06:00:00,0.34,0.34,0.34,0.34,100
ok,2024-01-02 08:00:00,0.34,0.34,0.33,0.33,1100
ok,2024-01-02 08:30:00,0.33,0.33,0.33,0.33,110
ok,2024-01-02 09:00:00,0.33,0.33,0.33,0.33,100
ok,2024-01-02 09:30:00,0.34,0.35,0.33,0.33,4595
ok,2024-01-02 10:00:00,0.34,0.34,0.33,0.33,821
ok,2024-01-02 10:30:00,0.34,0.34,0.34,0.34,947
ok,2024-01-02 12:00:00,0.34,0.34,0.34,0.34,1032
ok,2024-01-02 12:30:00,0.34,0.34,0.34,0.34,6062
ok,2024-01-02 13:00:00,0.34,0.34,0.34,0.34,100
ok,2024-01-02 13:30:00,0.34,0.34,0.34,0.34,3242
ok,2024-01-02 14:00:00,0.34,0.35,0.34,0.34,2968
ok,2024-01-02 14:30:00,0.33,0.34,0.33,0.34,1100
ok,2024-01-02 15:00:00,0.33,0.33,0.33,0.33,262
ok,2024-01-02 15:30:00,0.34,0.35,0.33,0.34,910
ok,2024-01-02 16:00:00,0.35,0.35,0.35,0.35,1500
ok,2024-01-03 04:00:00,0.34,0.34,0.34,0.34,100
ok,2024-01-03 09:30:00,0.34,0.36,0.34,0.35,81987
ok,2024-01-03 10:00:00,0.35,0.36,0.35,0.36,9459
ok,2024-01-03 10:30:00,0.35,0.36,0.35,0.36,15440
ok,2024-01-03 11:00:00,0.36,0.36,0.36,0.36,2100
ok,2024-01-03 11:30:00,0.36,0.36,0.36,0.36,11445
ok,2024-01-03 12:00:00,0.37,0.38,0.36,0.37,16688
ok,2024-01-03 12:30:00,0.37,0.39,0.37,0.37,57850
ok,2024-01-03 13:00:00,0.37,0.38,0.37,0.38,18817
ok,2024-01-03 13:30:00,0.38,0.4,0.38,0.39,90824
ok,2024-01-03 14:00:00,0.39,0.39,0.39,0.39,41518
ok,2024-01-03 14:30:00,0.39,0.39,0.39,0.39,74466
ok,2024-01-03 15:00:00,0.39,0.39,0.39,0.39,9742
ok,2024-01-03 15:30:00,0.38,0.39,0.37,0.39,17235
ok,2024-01-03 16:30:00,0.39,0.39,0.39,0.39,200
ok,2024-01-03 17:00:00,0.39,0.39,0.39,0.39,100
ok,2024-01-03 17:30:00,0.39,0.39,0.39,0.39,200
ok,2024-01-03 18:00:00,0.38,0.38,0.38,0.38,199
ok,2024-01-03 18:30:00,0.38,0.38,0.37,0.37,2160
ok,2024-01-04 06:30:00,0.37,0.37,0.37,0.37,300
ok,2024-01-04 07:00:00,0.37,0.37,0.37,0.37,200
ok,2024-01-04 08:00:00,0.37,0.37,0.37,0.37,1771
ok,2024-01-04 09:30:00,0.38,0.39,0.35,0.37,53787
ok,2024-01-04 10:00:00,0.35,0.38,0.35,0.35,54935
ok,2024-01-04 10:30:00,0.35,0.38,0.35,0.37,6685
ok,2024-01-04 11:00:00,0.38,0.38,0.35,0.37,5359
ok,2024-01-04 11:30:00,0.38,0.46,0.38,0.39,160499
ok,2024-01-04 12:00:00,0.39,0.41,0.35,0.38,69929
ok,2024-01-04 12:30:00,0.38,0.38,0.38,0.38,943
ok,2024-01-04 13:00:00,0.36,0.37,0.36,0.37,18705
ok,2024-01-04 14:00:00,0.36,0.36,0.36,0.36,1283
ok,2024-01-04 14:30:00,0.36,0.38,0.36,0.38,6004
ok,2024-01-04 15:00:00,0.36,0.37,0.36,0.37,1600
ok,2024-01-04 15:30:00,0.37,0.38,0.36,0.36,6475
ok,2024-01-04 16:00:00,0.38,0.38,0.38,0.38,200
ok,2024-01-05 08:00:00,0.36,0.36,0.36,0.36,1410
ok,2024-01-05 08:30:00,0.37,0.38,0.37,0.38,200
ok,2024-01-05 09:30:00,0.38,0.38,0.36,0.36,4145
ok,2024-01-05 10:00:00,0.38,0.38,0.36,0.38,2300
ok,2024-01-05 11:00:00,0.37,0.37,0.37,0.37,104
ok,2024-01-05 11:30:00,0.38,0.38,0.38,0.38,200
ok,2024-01-05 12:00:00,0.36,0.36,0.36,0.36,1100
ok,2024-01-05 12:30:00,0.36,0.36,0.36,0.36,13461
ok,2024-01-05 13:00:00,0.35,0.38,0.35,0.38,300
ok,2024-01-05 14:00:00,0.36,0.36,0.35,0.35,515
ok,2024-01-05 14:30:00,0.35,0.36,0.35,0.36,9720
ok,2024-01-05 15:00:00,0.35,0.36,0.35,0.36,5814
ok,2024-01-05 15:30:00,0.35,0.37,0.35,0.36,1577
ok,2024-01-05 16:30:00,0.35,0.37,0.35,0.37,215
ok,2024-01-08 08:00:00,0.37,0.37,0.37,0.37,245
ok,2024-01-08 08:30:00,0.35,0.35,0.35,0.35,479
ok,2024-01-08 09:00:00,0.36,0.36,0.36,0.36,100
ok,2024-01-08 09:30:00,0.37,0.37,0.36,0.36,15821
ok,2024-01-08 10:00:00,0.36,0.36,0.36,0.36,1000
ok,2024-01-08 10:30:00,0.36,0.36,0.35,0.35,1990
ok,2024-01-08 11:00:00,0.36,0.36,0.36,0.36,176
ok,2024-01-08 11:30:00,0.36,0.36,0.35,0.35,350
ok,2024-01-08 12:00:00,0.35,0.36,0.35,0.36,11585
ok,2024-01-08 13:00:00,0.35,0.36,0.35,0.36,1539
ok,2024-01-08 13:30:00,0.34,0.34,0.34,0.34,200
ok,2024-01-08 14:00:00,0.35,0.35,0.33,0.35,3515
ok,2024-01-08 14:30:00,0.35,0.36,0.34,0.34,1826
ok,2024-01-08 15:00:00,0.36,0.36,0.34,0.34,2102
ok,2024-01-08 15:30:00,0.34,0.35,0.34,0.34,342
ok,2024-01-08 16:00:00,0.33,0.33,0.33,0.33,1000
ok,2024-01-08 16:30:00,0.34,0.34,0.33,0.33,2163
ok,2024-01-08 17:00:00,0.35,0.35,0.35,0.35,100
ok,2024-01-08 18:30:00,0.35,0.36,0.35,0.36,3230
ok,2024-01-08 19:30:00,0.36,0.36,0.36,0.36,200
ok,2024-01-09 08:00:00,0.34,0.38,0.34,0.38,1246
ok,2024-01-09 09:30:00,0.36,0.36,0.35,0.36,2734
ok,2024-01-09 10:00:00,0.35,0.35,0.35,0.35,800
ok,2024-01-09 10:30:00,0.36,0.36,0.35,0.35,6100
ok,2024-01-09 11:00:00,0.35,0.36,0.35,0.36,221
ok,2024-01-09 11:30:00,0.36,0.36,0.36,0.36,300
ok,2024-01-09 12:00:00,0.36,0.38,0.36,0.38,60268
ok,2024-01-09 12:30:00,0.4,0.4,0.36,0.36,94470
ok,2024-01-09 13:00:00,0.36,0.37,0.36,0.37,7216
ok,2024-01-09 14:00:00,0.37,0.38,0.37,0.37,3586
ok,2024-01-09 14:30:00,0.37,0.37,0.36,0.36,3490
ok,2024-01-09 15:00:00,0.37,0.37,0.37,0.37,1311
ok,2024-01-09 15:30:00,0.37,0.37,0.36,0.37,5320
ok,2024-01-09 16:00:00,0.36,0.37,0.36,0.37,375
ok,2024-01-09 16:30:00,0.37,0.37,0.37,0.37,100
ok,2024-01-09 17:00:00,0.37,0.37,0.37,0.37,100
ok,2024-01-09 19:30:00,0.36,0.36,0.36,0.36,300
ok,2024-01-10 04:00:00,0.36,0.36,0.36,0.36,100
ok,2024-01-10 09:30:00,0.38,0.38,0.36,0.37,5516
ok,2024-01-10 10:00:00,0.36,0.37,0.36,0.36,3007
ok,2024-01-10 10:30:00,0.37,0.4,0.37,0.38,46572
ok,2024-01-10 11:00:00,0.38,0.38,0.38,0.38,2123
ok,2024-01-10 11:30:00,0.38,0.39,0.38,0.38,10469
ok,2024-01-10 12:00:00,0.37,0.38,0.37,0.38,400
ok,2024-01-10 12:30:00,0.38,0.38,0.36,0.36,600
ok,2024-01-10 13:00:00,0.36,0.36,0.36,0.36,23044
ok,2024-01-10 13:30:00,0.36,0.37,0.36,0.37,6648
ok,2024-01-10 14:00:00,0.36,0.36,0.36,0.36,10000
ok,2024-01-10 14:30:00,0.37,0.37,0.36,0.36,1120
ok,2024-01-10 15:30:00,0.36,0.37,0.36,0.37,1266
ok,2024-01-10 16:00:00,0.39,0.39,0.39,0.39,3000
ok,2024-01-10 16:30:00,0.36,0.39,0.36,0.39,200
ok,2024-01-10 19:00:00,0.36,0.36,0.36,0.36,200
ok,2024-01-11 08:00:00,0.37,0.37,0.37,0.37,1500
ok,2024-01-11 09:30:00,0.38,0.38,0.36,0.36,8529
ok,2024-01-11 10:00:00,0.36,0.36,0.36,0.36,1287
ok,2024-01-11 10:30:00,0.36,0.36,0.36,0.36,1146
ok,2024-01-11 11:00:00,0.36,0.36,0.36,0.36,438
ok,2024-01-11 11:30:00,0.36,0.36,0.36,0.36,137
ok,2024-01-11 12:00:00,0.36,0.36,0.36,0.36,1834
ok,2024-01-11 12:30:00,0.36,0.36,0.35,0.36,4438
ok,2024-01-11 13:00:00,0.35,0.36,0.35,0.36,1642
ok,2024-01-11 13:30:00,0.35,0.35,0.35,0.35,2030
ok,2024-01-11 14:30:00,0.35,0.35,0.35,0.35,1200
ok,2024-01-11 15:00:00,0.36,0.36,0.36,0.36,200
ok,2024-01-11 15:30:00,0.35,0.36,0.35,0.35,5646
ok,2024-01-11 17:00:00,0.35,0.35,0.35,0.35,2243
ok,2024-01-11 19:30:00,0.35,0.35,0.35,0.35,389
ok,2024-01-12 09:30:00,0.35,0.36,0.35,0.36,520
ok,2024-01-12 10:00:00,0.35,0.35,0.35,0.35,5897
ok,2024-01-12 10:30:00,0.35,0.35,0.34,0.34,6169
ok,2024-01-12 11:00:00,0.34,0.35,0.34,0.34,6607
ok,2024-01-12 11:30:00,0.34,0.34,0.34,0.34,1875
ok,2024-01-12 12:00:00,0.34,0.34,0.33,0.33,15417
ok,2024-01-12 12:30:00,0.33,0.34,0.33,0.34,5373
ok,2024-01-12 13:00:00,0.35,0.36,0.34,0.36,10673
ok,2024-01-12 13:30:00,0.36,0.36,0.36,0.36,1004
ok,2024-01-12 14:00:00,0.36,0.36,0.36,0.36,500
ok,2024-01-12 15:30:00,0.36,0.36,0.35,0.35,1446
ok,2024-01-12 16:00:00,0.36,0.36,0.36,0.36,1024
ok,2024-01-12 19:00:00,0.36,0.36,0.36,0.36,153
ok,2024-01-16 04:00:00,0.35,0.35,0.35,0.35,100
ok,2024-01-16 08:00:00,0.34,0.36,0.34,0.36,3143
ok,2024-01-16 09:30:00,0.35,0.35,0.34,0.34,8469
ok,2024-01-16 10:00:00,0.34,0.34,0.34,0.34,1722
ok,2024-01-16 10:30:00,0.35,0.41,0.34,0.37,82755
ok,2024-01-16 11:00:00,0.4,0.41,0.39,0.4,7614
ok,2024-01-16 11:30:00,0.37,0.4,0.37,0.37,4004
ok,2024-01-16 12:00:00,0.38,0.38,0.37,0.37,3785
ok,2024-01-16 12:30:00,0.37,0.37,0.37,0.37,300
ok,2024-01-16 13:00:00,0.37,0.38,0.36,0.36,9136
ok,2024-01-16 14:30:00,0.38,0.38,0.36,0.36,3369
ok,2024-01-16 15:00:00,0.37,0.37,0.37,0.37,2555
ok,2024-01-16 15:30:00,0.36,0.37,0.36,0.36,1157
ok,2024-01-16 16:00:00,0.36,0.37,0.36,0.37,475
ok,2024-01-16 18:00:00,0.38,0.38,0.38,0.38,1004
ok,2024-01-16 18:30:00,0.38,0.38,0.38,0.38,500
ok,2024-01-16 19:30:00,0.38,0.38,0.38,0.38,2000
ok,2024-01-17 09:00:00,0.38,0.38,0.38,0.38,100
ok,2024-01-17 09:30:00,0.4,0.4,0.38,0.38,3252
ok,2024-01-17 10:00:00,0.38,0.38,0.38,0.38,2504
ok,2024-01-17 10:30:00,0.36,0.37,0.36,0.37,1450
ok,2024-01-17 11:00:00,0.36,0.38,0.36,0.38,1550
ok,2024-01-17 11:30:00,0.38,0.38,0.36,0.37,4100
ok,2024-01-17 12:00:00,0.37,0.37,0.34,0.35,13220
ok,2024-01-17 12:30:00,0.36,0.36,0.35,0.35,2073
ok,2024-01-17 13:00:00,0.35,0.35,0.35,0.35,354
