s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.85,0.88,0.85,0.86,3664
ok,2024-01-02 04:30:00,0.86,0.86,0.86,0.86,324
ok,2024-01-02 05:00:00,0.86,0.91,0.86,0.88,1123
ok,2024-01-02 05:30:00,0.88,0.91,0.88,0.91,3459
ok,2024-01-02 06:00:00,0.9,0.9,0.9,0.9,1896
ok,2024-01-02 06:30:00,0.9,0.9,0.89,0.89,539
ok,2024-01-02 07:00:00,0.89,0.89,0.87,0.87,2501
ok,2024-01-02 07:30:00,0.87,0.89,0.85,0.89,20348
ok,2024-01-02 08:00:00,0.87,0.92,0.87,0.89,35660
ok,2024-01-02 08:30:00,0.87,0.89,0.85,0.89,3166
ok,2024-01-02 09:00:00,0.87,0.87,0.86,0.86,825
ok,2024-01-02 09:30:00,0.86,0.89,0.86,0.89,30688
ok,2024-01-02 10:00:00,0.89,0.89,0.85,0.86,11569
ok,2024-01-02 10:30:00,0.86,0.86,0.84,0.86,25947
ok,2024-01-02 11:00:00,0.86,0.86,0.86,0.86,12340
ok,2024-01-02 11:30:00,0.88,0.88,0.88,0.88,10534
ok,2024-01-02 12:00:00,0.87,0.88,0.84,0.84,17947
ok,2024-01-02 12:30:00,0.84,0.86,0.84,0.86,5200
ok,2024-01-02 13:00:00,0.84,0.86,0.84,0.86,10713
ok,2024-01-02 13:30:00,0.86,0.86,0.85,0.86,5380
ok,2024-01-02 14:00:00,0.86,0.86,0.85,0.85,7370
ok,2024-01-02 14:30:00,0.85,0.86,0.84,0.85,3211
ok,2024-01-02 15:00:00,0.85,0.86,0.84,0.86,1535
ok,2024-01-02 15:30:00,0.84,0.86,0.84,0.86,7920
ok,2024-01-02 16:00:00,0.84,0.85,0.84,0.85,300
ok,2024-01-02 16:30:00,0.86,0.86,0.86,0.86,551
ok,2024-01-02 17:00:00,0.86,0.86,0.86,0.86,300
ok,2024-01-02 18:00:00,0.86,0.86,0.86,0.86,5000
ok,2024-01-02 18:30:00,0.86,0.86,0.86,0.86,2000
ok,2024-01-02 19:00:00,0.85,0.85,0.84,0.84,1300
ok,2024-01-03 05:30:00,0.86,0.86,0.86,0.86,351
ok,2024-01-03 06:00:00,0.86,0.86,0.86,0.86,500
ok,2024-01-03 06:30:00,0.85,0.85,0.85,0.85,940
ok,2024-01-03 07:00:00,0.85,0.85,0.85,0.85,493
ok,2024-01-03 07:30:00,0.85,0.85,0.85,0.85,220
ok,2024-01-03 08:00:00,0.85,0.87,0.85,0.86,42600
ok,2024-01-03 08:30:00,0.86,0.86,0.85,0.86,10136
ok,2024-01-03 09:30:00,0.85,0.86,0.84,0.85,17732
ok,2024-01-03 10:00:00,0.85,0.86,0.85,0.85,8578
ok,2024-01-03 10:30:00,0.85,0.85,0.84,0.84,12755
ok,2024-01-03 11:00:00,0.84,0.85,0.84,0.85,3000
ok,2024-01-03 11:30:00,0.85,0.85,0.85,0.85,5783
ok,2024-01-03 12:00:00,0.85,0.85,0.84,0.85,7033
ok,2024-01-03 12:30:00,0.85,0.85,0.84,0.84,3827
ok,2024-01-03 13:00:00,0.85,0.85,0.84,0.84,1731
ok,2024-01-03 13:30:00,0.84,0.85,0.84,0.85,10284
ok,2024-01-03 14:00:00,0.85,0.85,0.84,0.85,7922
ok,2024-01-03 14:30:00,0.84,0.85,0.84,0.85,1325
ok,2024-01-03 15:00:00,0.85,0.85,0.83,0.84,12052
ok,2024-01-03 15:30:00,0.84,0.85,0.84,0.85,3941
ok,2024-01-03 16:00:00,0.85,0.85,0.85,0.85,509
ok,2024-01-03 17:30:00,0.85,0.86,0.81,0.81,16997
ok,2024-01-04 04:00:00,0.83,0.85,0.82,0.84,709
ok,2024-01-04 04:30:00,0.83,0.83,0.83,0.83,1355
ok,2024-01-04 05:00:00,0.82,0.83,0.82,0.83,4172
ok,2024-01-04 07:00:00,0.84,0.85,0.83,0.84,2904
ok,2024-01-04 07:30:00,0.83,0.83,0.83,0.83,6100
ok,2024-01-04 08:00:00,0.84,0.86,0.84,0.85,6345
ok,2024-01-04 08:30:00,0.84,0.85,0.84,0.84,1657
ok,2024-01-04 09:30:00,0.84,0.85,0.82,0.82,25579
ok,2024-01-04 10:00:00,0.83,0.84,0.82,0.82,22039
ok,2024-01-04 10:30:00,0.83,0.84,0.82,0.84,9360
ok,2024-01-04 11:00:00,0.84,0.84,0.82,0.83,10346
ok,2024-01-04 11:30:00,0.83,0.83,0.82,0.82,5780
ok,2024-01-04 12:00:00,0.82,0.83,0.82,0.82,2873
ok,2024-01-04 12:30:00,0.82,0.83,0.82,0.82,2374
ok,2024-01-04 13:00:00,0.83,0.83,0.82,0.82,14665
ok,2024-01-04 13:30:00,0.82,0.83,0.82,0.82,2610
ok,2024-01-04 14:00:00,0.82,0.84,0.82,0.82,6920
ok,2024-01-04 14:30:00,0.82,0.83,0.82,0.83,2529
ok,2024-01-04 15:00:00,0.82,0.83,0.82,0.82,8570
ok,2024-01-04 15:30:00,0.82,0.83,0.82,0.82,4398
ok,2024-01-04 16:30:00,0.82,0.82,0.82,0.82,1091
ok,2024-01-04 17:00:00,0.82,0.82,0.82,0.82,7859
ok,2024-01-04 17:30:00,0.82,0.82,0.82,0.82,188
ok,2024-01-05 04:00:00,0.82,0.82,0.82,0.82,721
ok,2024-01-05 05:00:00,0.84,0.84,0.84,0.84,226
ok,2024-01-05 05:30:00,0.82,0.82,0.82,0.82,106
ok,2024-01-05 06:00:00,0.82,0.82,0.82,0.82,3320
ok,2024-01-05 07:00:00,0.82,0.82,0.81,0.82,4092
ok,2024-01-05 08:00:00,0.85,0.85,0.82,0.84,12270
ok,2024-01-05 09:00:00,0.82,0.82,0.82,0.82,2686
ok,2024-01-05 09:30:00,0.8,0.83,0.8,0.83,14003
ok,2024-01-05 10:00:00,0.83,0.85,0.82,0.85,17200
ok,2024-01-05 10:30:00,0.85,0.85,0.85,0.85,59804
ok,2024-01-05 11:00:00,0.85,0.85,0.83,0.85,40165
ok,2024-01-05 11:30:00,0.85,0.85,0.84,0.85,20868
ok,2024-01-05 12:00:00,0.85,0.9,0.85,0.88,89322
ok,2024-01-05 12:30:00,0.9,0.95,0.88,0.93,112303
ok,2024-01-05 13:00:00,0.94,0.94,0.9,0.94,24029
ok,2024-01-05 13:30:00,0.94,0.96,0.92,0.95,55303
ok,2024-01-05 14:00:00,0.96,0.96,0.93,0.96,41114
ok,2024-01-05 14:30:00,0.96,0.96,0.92,0.92,24042
ok,2024-01-05 15:00:00,0.92,0.94,0.91,0.92,19388
ok,2024-01-05 15:30:00,0.93,0.94,0.92,0.94,17145
ok,2024-01-05 16:00:00,0.94,0.94,0.94,0.94,1750
ok,2024-01-05 16:30:00,0.92,0.92,0.92,0.92,500
ok,2024-01-05 17:30:00,0.91,0.91,0.91,0.91,3590
ok,2024-01-05 18:00:00,0.92,0.94,0.92,0.92,1825
ok,2024-01-05 18:30:00,0.92,0.92,0.92,0.92,8648
ok,2024-01-08 04:00:00,0.91,0.92,0.91,0.92,459
ok,2024-01-08 04:30:00,0.94,0.94,0.93,0.93,610
ok,2024-01-08 05:00:00,0.94,0.94,0.94,0.94,223
ok,2024-01-08 05:30:00,0.94,0.94,0.94,0.94,524
ok,2024-01-08 06:00:00,0.92,0.92,0.92,0.92,143
ok,2024-01-08 06:30:00,0.94,0.94,0.92,0.92,1674
ok,2024-01-08 07:00:00,0.94,0.94,0.94,0.94,945
