s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,2.17,2.17,2.17,2.17,100
ok,2024-01-02 08:00:00,2.2,2.2,2.2,2.2,145
ok,2024-01-02 09:00:00,2.14,2.14,2.13,2.13,3990
ok,2024-01-02 09:30:00,2.08,2.16,2.08,2.13,42849
ok,2024-01-02 10:00:00,2.14,2.16,2.12,2.12,11571
ok,2024-01-02 10:30:00,2.12,2.15,2.11,2.11,12392
ok,2024-01-02 11:00:00,2.11,2.16,2.1,2.11,10185
ok,2024-01-02 11:30:00,2.12,2.12,2.11,2.11,1888
ok,2024-01-02 12:00:00,2.11,2.15,2.11,2.12,3696
ok,2024-01-02 12:30:00,2.12,2.17,2.12,2.13,17048
ok,2024-01-02 13:00:00,2.13,2.27,2.13,2.21,32475
ok,2024-01-02 13:30:00,2.24,2.29,2.2,2.28,36220
ok,2024-01-02 14:00:00,2.27,2.34,2.26,2.3,44518
ok,2024-01-02 14:30:00,2.31,2.48,2.25,2.39,146138
ok,2024-01-02 15:00:00,2.39,2.41,2.3,2.31,29464
ok,2024-01-02 15:30:00,2.31,2.38,2.29,2.36,19767
ok,2024-01-02 16:00:00,2.33,2.33,2.33,2.33,350
ok,2024-01-02 17:00:00,2.36,2.36,2.36,2.36,100
ok,2024-01-02 17:30:00,2.35,2.35,2.35,2.35,500
ok,2024-01-02 19:30:00,2.31,2.31,2.23,2.23,1209
ok,2024-01-03 08:00:00,2.2,2.28,2.2,2.2,603
ok,2024-01-03 09:00:00,2.35,2.35,2.35,2.35,101
ok,2024-01-03 09:30:00,2.27,2.28,2.14,2.18,27474
ok,2024-01-03 10:00:00,2.18,2.24,2.17,2.22,14784
ok,2024-01-03 10:30:00,2.23,2.26,2.19,2.21,12284
ok,2024-01-03 11:00:00,2.22,2.23,2.19,2.19,23112
ok,2024-01-03 11:30:00,2.22,2.22,2.18,2.19,16079
ok,2024-01-03 12:00:00,2.19,2.21,2.18,2.19,4167
ok,2024-01-03 12:30:00,2.18,2.26,2.18,2.22,2249
ok,2024-01-03 13:00:00,2.24,2.28,2.2,2.26,3867
ok,2024-01-03 13:30:00,2.24,2.25,2.22,2.25,3912
ok,2024-01-03 14:00:00,2.25,2.28,2.22,2.26,11987
ok,2024-01-03 14:30:00,2.28,2.3,2.22,2.3,11179
ok,2024-01-03 15:00:00,2.32,2.33,2.25,2.25,28189
ok,2024-01-03 15:30:00,2.27,2.3,2.24,2.3,20294
ok,2024-01-03 17:30:00,2.23,2.23,2.23,2.23,123
ok,2024-01-04 08:00:00,2.39,2.39,2.32,2.32,466
ok,2024-01-04 08:30:00,2.27,2.27,2.27,2.27,178
ok,2024-01-04 09:30:00,2.26,2.26,2.19,2.2,16242
ok,2024-01-04 10:00:00,2.2,2.24,2.2,2.21,7626
ok,2024-01-04 10:30:00,2.21,2.25,2.21,2.23,7716
ok,2024-01-04 11:00:00,2.25,2.28,2.24,2.27,8934
ok,2024-01-04 11:30:00,2.27,2.27,2.25,2.26,5701
ok,2024-01-04 12:00:00,2.28,2.32,2.26,2.27,9691
ok,2024-01-04 12:30:00,2.27,2.35,2.27,2.32,17235
ok,2024-01-04 13:00:00,2.36,2.37,2.33,2.33,4503
ok,2024-01-04 13:30:00,2.31,2.36,2.31,2.33,7057
ok,2024-01-04 14:00:00,2.33,2.33,2.3,2.32,6564
ok,2024-01-04 14:30:00,2.33,2.38,2.3,2.32,17553
ok,2024-01-04 15:00:00,2.34,2.37,2.3,2.32,32373
ok,2024-01-04 15:30:00,2.32,2.35,2.31,2.34,24271
ok,2024-01-04 16:30:00,2.35,2.36,2.27,2.35,4870
ok,2024-01-04 17:00:00,2.3,2.35,2.29,2.29,353
ok,2024-01-04 17:30:00,2.29,2.29,2.29,2.29,850
ok,2024-01-04 19:00:00,2.3,2.3,2.29,2.29,2000
ok,2024-01-05 08:00:00,2.36,2.4,2.36,2.4,2499
ok,2024-01-05 08:30:00,2.36,2.36,2.36,2.36,2360
ok,2024-01-05 09:30:00,2.35,2.36,2.29,2.36,9598
