s,t,o,h,l,c,v
ok,2024-01-09 04:00:00,4.43,7.5,4.36,4.6,129159
ok,2024-01-09 04:30:00,4.6,4.74,4.15,4.56,25401
ok,2024-01-09 05:00:00,4.67,4.79,3.97,4.0,18358
ok,2024-01-09 05:30:00,3.75,3.81,3.35,3.59,11157
ok,2024-01-09 06:00:00,3.48,3.85,3.32,3.38,6455
ok,2024-01-09 06:30:00,3.43,3.44,3.33,3.33,8100
ok,2024-01-09 07:00:00,3.35,3.4,3.2,3.3,4216
ok,2024-01-09 07:30:00,3.22,3.27,2.9,3.0,10091
ok,2024-01-09 08:00:00,3.26,3.37,2.72,2.94,14562
ok,2024-01-09 08:30:00,2.95,2.99,2.75,2.95,2894
ok,2024-01-09 09:00:00,2.99,3.3,2.99,3.1,7110
ok,2024-01-09 09:30:00,3.28,3.33,1.65,1.65,88104
ok,2024-01-09 10:00:00,2.28,2.59,1.96,2.26,180209
ok,2024-01-09 10:30:00,2.37,2.53,2.27,2.52,65806
ok,2024-01-09 11:00:00,2.42,2.6,2.37,2.44,62558
ok,2024-01-09 11:30:00,2.45,2.54,2.44,2.52,12084
ok,2024-01-09 12:00:00,2.55,2.55,2.45,2.55,12326
ok,2024-01-09 12:30:00,2.54,2.6,2.25,2.25,78869
ok,2024-01-09 13:00:00,2.25,2.46,2.25,2.44,34727
ok,2024-01-09 13:30:00,2.42,2.67,2.37,2.67,3777
ok,2024-01-09 14:00:00,2.47,2.65,2.25,2.25,20827
ok,2024-01-09 14:30:00,2.48,2.48,2.06,2.2,17257
ok,2024-01-09 15:00:00,2.22,2.34,2.12,2.33,9021
ok,2024-01-09 15:30:00,2.33,2.82,2.33,2.82,27416
ok,2024-01-09 16:00:00,2.79,2.8,2.46,2.52,6089
ok,2024-01-09 16:30:00,2.58,2.58,2.47,2.47,1089
ok,2024-01-09 17:00:00,2.48,2.48,2.4,2.4,2011
ok,2024-01-09 17:30:00,2.4,2.4,2.4,2.4,250
ok,2024-01-09 18:30:00,2.43,2.43,2.3,2.3,4590
ok,2024-01-09 19:00:00,2.29,2.39,2.29,2.29,3885
ok,2024-01-09 19:30:00,2.41,2.41,2.41,2.41,200
ok,2024-01-10 04:00:00,2.28,2.41,2.18,2.22,13244
ok,2024-01-10 04:30:00,2.22,2.47,2.22,2.42,4546
ok,2024-01-10 05:00:00,2.43,2.43,2.25,2.35,2464
ok,2024-01-10 05:30:00,2.42,2.42,2.35,2.35,1198
ok,2024-01-10 06:00:00,2.28,2.35,2.28,2.35,993
ok,2024-01-10 06:30:00,2.3,2.33,2.3,2.32,630
ok,2024-01-10 07:00:00,2.29,2.3,2.25,2.25,2813
ok,2024-01-10 07:30:00,2.25,2.25,2.16,2.22,4660
ok,2024-01-10 08:00:00,2.22,2.55,2.15,2.3,3427
ok,2024-01-10 08:30:00,2.32,2.34,2.23,2.24,3586
ok,2024-01-10 09:00:00,2.26,2.3,2.12,2.21,8008
ok,2024-01-10 09:30:00,2.24,2.49,2.19,2.24,37142
ok,2024-01-10 10:00:00,2.2,2.23,2.1,2.1,8380
ok,2024-01-10 10:30:00,2.1,2.13,1.79,1.89,40579
ok,2024-01-10 11:00:00,1.91,2.13,1.91,2.08,36819
ok,2024-01-10 11:30:00,2.05,2.05,1.96,2.01,14535
ok,2024-01-10 12:00:00,2.01,2.01,1.96,1.98,4566
ok,2024-01-10 12:30:00,1.97,2.06,1.97,2.0,14175
ok,2024-01-10 13:00:00,1.97,2.14,1.97,2.05,7902
