s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,1.08,1.08,1.08,1.08,200
ok,2024-01-02 05:00:00,1.08,1.08,1.08,1.08,1344
ok,2024-01-02 07:00:00,1.08,1.08,1.08,1.08,1000
ok,2024-01-02 09:00:00,1.1,1.1,1.05,1.05,1080
ok,2024-01-02 09:30:00,1.08,1.2,1.08,1.11,135973
ok,2024-01-02 10:00:00,1.11,1.17,1.1,1.15,33923
ok,2024-01-02 10:30:00,1.17,1.17,1.15,1.17,47141
ok,2024-01-02 11:00:00,1.17,1.17,1.15,1.16,16070
ok,2024-01-02 11:30:00,1.15,1.16,1.13,1.13,50692
ok,2024-01-02 12:00:00,1.14,1.15,1.13,1.14,4293
ok,2024-01-02 12:30:00,1.14,1.14,1.14,1.14,704
ok,2024-01-02 13:00:00,1.14,1.14,1.13,1.13,3971
ok,2024-01-02 13:30:00,1.13,1.14,1.13,1.14,4093
ok,2024-01-02 14:00:00,1.14,1.14,1.13,1.14,1850
ok,2024-01-02 14:30:00,1.14,1.15,1.13,1.15,29375
ok,2024-01-02 15:00:00,1.15,1.16,1.13,1.16,17957
ok,2024-01-02 15:30:00,1.16,1.16,1.15,1.16,32253
ok,2024-01-02 16:30:00,1.16,1.16,1.16,1.16,1400
ok,2024-01-02 17:30:00,1.17,1.17,1.17,1.17,1324
ok,2024-01-02 18:00:00,1.16,1.16,1.16,1.16,250
ok,2024-01-03 05:30:00,1.16,1.16,1.16,1.16,750
ok,2024-01-03 08:00:00,1.18,1.64,1.18,1.26,1277493
ok,2024-01-03 08:30:00,1.24,1.26,1.18,1.19,169869
ok,2024-01-03 09:00:00,1.19,1.21,1.17,1.17,63062
ok,2024-01-03 09:30:00,1.2,1.27,1.18,1.2,546447
ok,2024-01-03 10:00:00,1.19,1.23,1.18,1.22,91535
ok,2024-01-03 10:30:00,1.22,1.32,1.22,1.28,362910
ok,2024-01-03 11:00:00,1.27,1.32,1.27,1.3,104241
ok,2024-01-03 11:30:00,1.3,1.3,1.25,1.25,124996
ok,2024-01-03 12:00:00,1.25,1.28,1.25,1.28,24995
ok,2024-01-03 12:30:00,1.28,1.29,1.26,1.28,30567
ok,2024-01-03 13:00:00,1.27,1.28,1.25,1.26,48748
ok,2024-01-03 13:30:00,1.26,1.26,1.25,1.26,54732
ok,2024-01-03 14:00:00,1.24,1.25,1.21,1.23,32375
