s,t,o,h,l,c,v
ok,2024-01-02 09:00:00,1.41,1.42,1.41,1.42,930
ok,2024-01-02 09:30:00,1.43,1.43,1.4,1.4,10238
ok,2024-01-02 10:00:00,1.42,1.42,1.35,1.36,26659
ok,2024-01-02 10:30:00,1.4,1.4,1.38,1.38,6080
ok,2024-01-02 11:00:00,1.38,1.4,1.38,1.38,3041
ok,2024-01-02 11:30:00,1.38,1.38,1.38,1.38,218
ok,2024-01-02 12:00:00,1.38,1.39,1.38,1.38,4721
ok,2024-01-02 12:30:00,1.38,1.39,1.36,1.39,3057
ok,2024-01-02 13:00:00,1.4,1.43,1.38,1.38,20460
ok,2024-01-02 14:00:00,1.39,1.41,1.39,1.41,1280
ok,2024-01-02 14:30:00,1.4,1.4,1.4,1.4,200
ok,2024-01-02 15:00:00,1.42,1.49,1.42,1.46,12632
ok,2024-01-02 15:30:00,1.47,1.5,1.39,1.44,21584
ok,2024-01-02 17:30:00,1.4,1.4,1.4,1.4,100
ok,2024-01-02 18:30:00,1.46,1.46,1.46,1.46,1000
ok,2024-01-03 08:00:00,1.51,1.51,1.44,1.44,1264
ok,2024-01-03 09:00:00,1.47,1.47,1.41,1.41,1232
ok,2024-01-03 09:30:00,1.51,1.51,1.46,1.46,3242
ok,2024-01-03 10:00:00,1.45,1.46,1.43,1.45,7051
ok,2024-01-03 10:30:00,1.47,1.47,1.45,1.46,6400
ok,2024-01-03 11:00:00,1.47,1.49,1.47,1.49,300
ok,2024-01-03 11:30:00,1.46,1.46,1.44,1.46,1159
ok,2024-01-03 12:00:00,1.46,1.47,1.44,1.46,8048
ok,2024-01-03 14:00:00,1.45,1.45,1.45,1.45,725
ok,2024-01-03 15:00:00,1.47,1.47,1.46,1.47,4027
ok,2024-01-03 15:30:00,1.47,1.5,1.46,1.5,5261
ok,2024-01-04 06:00:00,1.36,1.37,1.36,1.37,1610
ok,2024-01-04 09:30:00,1.5,1.69,1.41,1.42,70229
ok,2024-01-04 10:00:00,1.42,1.48,1.42,1.48,17941
ok,2024-01-04 10:30:00,1.47,1.5,1.46,1.49,4339
ok,2024-01-04 11:00:00,1.47,1.49,1.42,1.46,8116
ok,2024-01-04 11:30:00,1.46,1.46,1.43,1.43,2085
ok,2024-01-04 12:00:00,1.44,1.48,1.44,1.45,3462
ok,2024-01-04 12:30:00,1.46,1.48,1.44,1.45,5500
ok,2024-01-04 13:30:00,1.45,1.45,1.43,1.43,2306
ok,2024-01-04 14:00:00,1.43,1.44,1.42,1.42,5311
ok,2024-01-04 14:30:00,1.42,1.42,1.42,1.42,200
ok,2024-01-04 15:00:00,1.44,1.45,1.44,1.45,300
ok,2024-01-04 15:30:00,1.45,1.46,1.4,1.43,23925
ok,2024-01-04 16:00:00,1.43,1.43,1.43,1.43,300
ok,2024-01-04 17:00:00,1.46,1.46,1.46,1.46,100
ok,2024-01-04 18:30:00,1.49,1.49,1.49,1.49,200
ok,2024-01-05 09:00:00,1.44,1.44,1.44,1.44,297
ok,2024-01-05 09:30:00,1.42,1.45,1.41,1.45,2375
ok,2024-01-05 10:00:00,1.47,1.47,1.43,1.43,793
ok,2024-01-05 10:30:00,1.43,1.43,1.43,1.43,4100
ok,2024-01-05 11:00:00,1.43,1.43,1.43,1.43,269
ok,2024-01-05 11:30:00,1.43,1.43,1.42,1.42,2360
ok,2024-01-05 12:00:00,1.43,1.43,1.43,1.43,4000
