s,t,o,h,l,c,v
ok,2024-01-02 07:30:00,2.0,2.01,2.0,2.01,4142
ok,2024-01-02 08:00:00,1.95,2.01,1.95,2.01,11992
ok,2024-01-02 08:30:00,2.01,2.01,1.97,1.97,1400
ok,2024-01-02 09:00:00,2.01,2.01,1.93,1.98,10725
ok,2024-01-02 09:30:00,2.01,2.11,1.98,2.08,44755
ok,2024-01-02 10:00:00,2.1,2.13,2.07,2.07,31836
ok,2024-01-02 10:30:00,2.07,2.09,2.01,2.09,79334
ok,2024-01-02 11:00:00,2.08,2.08,2.05,2.05,15704
ok,2024-01-02 11:30:00,2.05,2.09,2.03,2.07,7969
ok,2024-01-02 12:00:00,2.08,2.08,2.06,2.06,4332
ok,2024-01-02 12:30:00,2.08,2.13,2.08,2.09,27132
ok,2024-01-02 13:00:00,2.09,2.09,2.08,2.08,4101
ok,2024-01-02 13:30:00,2.08,2.08,1.98,1.98,19195
ok,2024-01-02 14:00:00,1.99,1.99,1.95,1.96,18367
ok,2024-01-02 14:30:00,1.96,1.98,1.95,1.95,15479
ok,2024-01-02 15:00:00,1.95,1.95,1.92,1.92,12231
ok,2024-01-02 15:30:00,1.94,1.99,1.92,1.97,30460
ok,2024-01-02 16:00:00,2.02,2.02,1.94,1.94,4002
ok,2024-01-02 16:30:00,1.95,1.95,1.95,1.95,1000
ok,2024-01-02 18:00:00,1.99,1.99,1.99,1.99,200
ok,2024-01-02 19:00:00,1.99,2.01,1.99,2.01,1325
ok,2024-01-03 07:00:00,1.96,1.99,1.96,1.99,998
ok,2024-01-03 08:00:00,1.98,1.98,1.98,1.98,135
ok,2024-01-03 09:00:00,2.0,2.0,1.95,1.95,665
ok,2024-01-03 09:30:00,1.99,1.99,1.91,1.92,26958
ok,2024-01-03 10:00:00,1.93,1.95,1.9,1.9,19381
ok,2024-01-03 10:30:00,1.91,1.91,1.8,1.83,36330
ok,2024-01-03 11:00:00,1.83,1.9,1.83,1.87,6978
ok,2024-01-03 11:30:00,1.88,1.92,1.88,1.9,5510
ok,2024-01-03 12:00:00,1.9,1.9,1.86,1.88,9852
ok,2024-01-03 12:30:00,1.88,1.88,1.86,1.88,7234
ok,2024-01-03 13:00:00,1.88,1.89,1.86,1.86,3231
ok,2024-01-03 13:30:00,1.86,1.87,1.83,1.83,12852
ok,2024-01-03 14:00:00,1.82,1.86,1.81,1.86,8056
ok,2024-01-03 14:30:00,1.86,1.87,1.84,1.87,2475
ok,2024-01-03 15:00:00,1.88,1.88,1.83,1.83,11360
ok,2024-01-03 15:30:00,1.83,1.84,1.81,1.83,35720
ok,2024-01-03 16:00:00,1.92,1.94,1.81,1.83,5737
ok,2024-01-03 16:30:00,1.92,1.92,1.91,1.91,365
ok,2024-01-03 17:00:00,1.81,1.81,1.81,1.81,128
ok,2024-01-03 17:30:00,1.9,1.9,1.9,1.9,1500
ok,2024-01-03 18:00:00,1.89,1.89,1.89,1.89,100
ok,2024-01-03 19:00:00,1.89,1.89,1.89,1.89,200
ok,2024-01-03 19:30:00,1.83,1.83,1.81,1.81,8372
ok,2024-01-04 09:00:00,1.9,1.9,1.9,1.9,469
ok,2024-01-04 09:30:00,1.9,1.9,1.83,1.87,22470
ok,2024-01-04 10:00:00,1.88,1.88,1.84,1.86,3937
ok,2024-01-04 10:30:00,1.87,1.88,1.82,1.82,4895
ok,2024-01-04 11:00:00,1.82,1.85,1.82,1.85,9278
ok,2024-01-04 11:30:00,1.85,1.85,1.8,1.82,17520
ok,2024-01-04 12:00:00,1.81,1.84,1.8,1.84,15586
ok,2024-01-04 12:30:00,1.85,1.87,1.83,1.84,18729
ok,2024-01-04 13:00:00,1.85,1.85,1.82,1.84,4912
ok,2024-01-04 13:30:00,1.84,1.86,1.84,1.85,2409
ok,2024-01-04 14:00:00,1.86,1.86,1.84,1.84,1296
ok,2024-01-04 14:30:00,1.84,1.85,1.83,1.84,3032
ok,2024-01-04 15:00:00,1.83,1.86,1.83,1.86,4519
ok,2024-01-04 15:30:00,1.86,1.87,1.85,1.86,33746
ok,2024-01-04 16:00:00,1.83,1.83,1.83,1.83,101
ok,2024-01-04 16:30:00,1.82,1.82,1.82,1.82,127
ok,2024-01-04 17:30:00,1.91,1.91,1.83,1.83,500
ok,2024-01-04 18:00:00,1.91,1.91,1.91,1.91,500
ok,2024-01-04 19:00:00,1.83,1.83,1.83,1.83,158
ok,2024-01-05 08:00:00,1.94,1.95,1.94,1.95,538
ok,2024-01-05 09:00:00,1.86,1.86,1.86,1.86,200
ok,2024-01-05 09:30:00,1.87,1.91,1.86,1.9,10578
ok,2024-01-05 10:00:00,1.92,1.95,1.92,1.94,6608
ok,2024-01-05 10:30:00,1.93,1.96,1.91,1.96,10493
ok,2024-01-05 11:00:00,1.97,1.98,1.93,1.96,20940
ok,2024-01-05 11:30:00,1.96,2.0,1.96,2.0,15834
ok,2024-01-05 12:00:00,2.0,2.02,1.98,2.01,17113
ok,2024-01-05 12:30:00,2.02,2.03,2.0,2.03,30706
ok,2024-01-05 13:00:00,2.03,2.04,2.01,2.02,23835
ok,2024-01-05 13:30:00,2.03,2.06,2.02,2.03,36509
ok,2024-01-05 14:00:00,2.03,2.06,2.03,2.04,6901
ok,2024-01-05 14:30:00,2.04,2.07,2.02,2.03,31078
ok,2024-01-05 15:00:00,2.03,2.05,2.02,2.05,5204
ok,2024-01-05 15:30:00,2.04,2.06,2.03,2.06,39875
ok,2024-01-05 16:00:00,2.06,2.06,1.96,2.06,1363
ok,2024-01-05 16:30:00,2.03,2.03,2.03,2.03,1000
ok,2024-01-05 17:00:00,2.03,2.03,2.03,2.03,283
ok,2024-01-05 17:30:00,2.0,2.0,2.0,2.0,610
ok,2024-01-05 18:00:00,2.0,2.0,2.0,2.0,3920
ok,2024-01-05 19:00:00,2.06,2.08,2.06,2.08,2097
ok,2024-01-08 08:30:00,2.06,2.06,2.06,2.06,171
ok,2024-01-08 09:00:00,1.99,2.09,1.99,2.09,2108
ok,2024-01-08 09:30:00,2.08,2.1,2.0,2.0,93334
ok,2024-01-08 10:00:00,2.0,2.0,1.97,1.99,21919
ok,2024-01-08 10:30:00,2.0,2.1,2.0,2.05,49434
ok,2024-01-08 11:00:00,2.05,2.11,2.02,2.1,19712
ok,2024-01-08 11:30:00,2.09,2.1,2.08,2.08,2538
ok,2024-01-08 12:00:00,2.08,2.09,2.07,2.07,2620
ok,2024-01-08 12:30:00,2.07,2.08,2.06,2.06,6322
ok,2024-01-08 13:00:00,2.07,2.1,2.07,2.08,5146
ok,2024-01-08 13:30:00,2.08,2.09,2.07,2.08,13494
ok,2024-01-08 14:00:00,2.09,2.09,2.06,2.06,6031
ok,2024-01-08 14:30:00,2.07,2.08,2.07,2.07,1633
ok,2024-01-08 15:00:00,2.07,2.08,2.04,2.05,8744
ok,2024-01-08 15:30:00,2.04,2.07,2.04,2.05,11215
ok,2024-01-08 16:00:00,2.05,2.05,2.05,2.05,200
ok,2024-01-08 17:00:00,2.04,2.04,2.04,2.04,150
ok,2024-01-08 17:30:00,2.1,2.1,2.1,2.1,368
ok,2024-01-08 18:30:00,2.03,2.03,2.03,2.03,105
ok,2024-01-08 19:30:00,2.03,2.04,2.03,2.04,200
ok,2024-01-09 05:00:00,2.05,2.05,2.05,2.05,223
ok,2024-01-09 07:30:00,2.03,2.03,2.03,2.03,229
