s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,0.34,0.36,0.34,0.36,2100
ok,2024-01-02 08:00:00,0.37,0.37,0.37,0.37,145
ok,2024-01-02 09:00:00,0.34,0.34,0.34,0.34,1000
ok,2024-01-02 09:30:00,0.36,0.36,0.34,0.36,4796
ok,2024-01-02 10:00:00,0.36,0.36,0.35,0.35,1256
ok,2024-01-02 11:00:00,0.36,0.36,0.35,0.36,2679
ok,2024-01-02 11:30:00,0.35,0.35,0.35,0.35,250
ok,2024-01-02 12:00:00,0.35,0.35,0.35,0.35,2684
ok,2024-01-02 12:30:00,0.35,0.35,0.34,0.34,2005
ok,2024-01-02 13:00:00,0.35,0.35,0.35,0.35,2100
ok,2024-01-02 14:00:00,0.35,0.35,0.34,0.34,2114
ok,2024-01-02 14:30:00,0.34,0.35,0.34,0.34,2523
ok,2024-01-02 15:00:00,0.34,0.36,0.34,0.34,2914
ok,2024-01-02 15:30:00,0.34,0.36,0.34,0.34,7492
ok,2024-01-02 17:30:00,0.36,0.36,0.36,0.36,101
ok,2024-01-02 18:00:00,0.36,0.36,0.36,0.36,1115
ok,2024-01-03 07:00:00,0.36,0.36,0.35,0.36,1887
ok,2024-01-03 08:00:00,0.37,0.37,0.36,0.36,2446
ok,2024-01-03 09:30:00,0.36,0.36,0.33,0.33,4399
ok,2024-01-03 10:00:00,0.34,0.35,0.33,0.34,1660
ok,2024-01-03 10:30:00,0.34,0.36,0.33,0.33,2856
ok,2024-01-03 11:00:00,0.33,0.34,0.32,0.32,4280
ok,2024-01-03 11:30:00,0.32,0.33,0.31,0.31,5574
ok,2024-01-03 12:00:00,0.32,0.33,0.32,0.32,1814
ok,2024-01-03 12:30:00,0.32,0.33,0.32,0.32,5865
ok,2024-01-03 13:00:00,0.32,0.33,0.32,0.32,1916
ok,2024-01-03 13:30:00,0.33,0.33,0.32,0.32,13085
ok,2024-01-03 14:00:00,0.32,0.33,0.31,0.32,5700
ok,2024-01-03 14:30:00,0.32,0.33,0.32,0.32,3000
ok,2024-01-03 15:00:00,0.32,0.33,0.32,0.32,2230
ok,2024-01-03 15:30:00,0.32,0.33,0.32,0.32,4338
ok,2024-01-03 16:00:00,0.34,0.34,0.34,0.34,150
ok,2024-01-03 16:30:00,0.34,0.34,0.34,0.34,200
ok,2024-01-03 17:00:00,0.34,0.34,0.33,0.33,1963
ok,2024-01-03 17:30:00,0.33,0.33,0.33,0.33,200
ok,2024-01-03 18:30:00,0.32,0.32,0.32,0.32,4957
ok,2024-01-03 19:00:00,0.34,0.34,0.34,0.34,100
ok,2024-01-04 08:00:00,0.32,0.34,0.32,0.34,350
ok,2024-01-04 09:30:00,0.35,0.35,0.33,0.34,7433
ok,2024-01-04 10:00:00,0.34,0.34,0.33,0.33,2073
ok,2024-01-04 10:30:00,0.33,0.33,0.33,0.33,200
ok,2024-01-04 11:00:00,0.32,0.32,0.31,0.31,3128
ok,2024-01-04 11:30:00,0.32,0.32,0.31,0.32,8560
ok,2024-01-04 12:00:00,0.32,0.32,0.32,0.32,15486
ok,2024-01-04 12:30:00,0.32,0.35,0.32,0.33,49011
ok,2024-01-04 13:00:00,0.35,0.35,0.34,0.34,1985
ok,2024-01-04 13:30:00,0.32,0.32,0.32,0.32,200
ok,2024-01-04 14:30:00,0.33,0.33,0.33,0.33,2000
ok,2024-01-04 15:30:00,0.35,0.35,0.35,0.35,17169
ok,2024-01-04 16:00:00,0.34,0.36,0.34,0.36,3400
ok,2024-01-04 18:00:00,0.36,0.36,0.36,0.36,600
ok,2024-01-04 18:30:00,0.36,0.36,0.36,0.36,166
ok,2024-01-05 08:00:00,0.36,0.36,0.36,0.36,550
ok,2024-01-05 09:30:00,0.36,0.36,0.33,0.35,5275
ok,2024-01-05 10:00:00,0.35,0.38,0.35,0.37,44452
ok,2024-01-05 10:30:00,0.37,0.38,0.34,0.34,46810
ok,2024-01-05 11:00:00,0.36,0.36,0.34,0.34,1827
ok,2024-01-05 11:30:00,0.35,0.35,0.35,0.35,500
ok,2024-01-05 12:00:00,0.35,0.36,0.35,0.35,10428
ok,2024-01-05 12:30:00,0.35,0.35,0.35,0.35,200
ok,2024-01-05 13:00:00,0.35,0.35,0.34,0.35,4124
ok,2024-01-05 13:30:00,0.35,0.36,0.35,0.36,9982
ok,2024-01-05 14:00:00,0.36,0.36,0.36,0.36,400
ok,2024-01-05 14:30:00,0.36,0.36,0.36,0.36,4000
ok,2024-01-05 15:00:00,0.35,0.36,0.35,0.36,407
