s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.9,1.9,1.9,1.9,193
ok,2024-01-02 10:00:00,1.9,1.9,1.9,1.9,1000
ok,2024-01-02 13:00:00,1.99,1.99,1.99,1.99,200
ok,2024-01-02 15:30:00,1.91,1.92,1.9,1.9,1208
ok,2024-01-03 18:00:00,1.92,1.92,1.92,1.92,161
ok,2024-01-04 09:30:00,1.9,1.9,1.9,1.9,125
ok,2024-01-04 10:00:00,1.9,1.9,1.9,1.9,312
ok,2024-01-04 15:00:00,1.95,1.95,1.95,1.95,796
ok,2024-01-04 15:30:00,1.9,1.9,1.9,1.9,418
ok,2024-01-05 09:30:00,1.9,1.9,1.9,1.9,498
ok,2024-01-05 11:00:00,1.9,1.9,1.9,1.9,170
ok,2024-01-05 13:30:00,1.91,1.91,1.91,1.91,800
ok,2024-01-08 10:00:00,1.99,1.99,1.99,1.99,300
ok,2024-01-10 13:00:00,1.95,1.95,1.95,1.95,327
ok,2024-01-10 15:00:00,1.91,1.91,1.91,1.91,100
ok,2024-01-11 09:30:00,1.85,1.95,1.85,1.95,600
ok,2024-01-11 10:30:00,1.87,1.96,1.85,1.96,4001
ok,2024-01-16 06:30:00,1.98,1.98,1.98,1.98,176
ok,2024-01-16 08:00:00,1.99,1.99,1.99,1.99,200
ok,2024-01-16 09:30:00,1.95,1.95,1.95,1.95,226
ok,2024-01-16 10:00:00,1.83,1.84,1.83,1.83,776
ok,2024-01-16 15:00:00,1.9,1.9,1.9,1.9,400
ok,2024-01-17 09:30:00,1.82,1.82,1.82,1.82,231
ok,2024-01-17 11:30:00,1.89,1.89,1.89,1.89,300
ok,2024-01-18 12:30:00,1.85,1.85,1.85,1.85,131
ok,2024-01-18 13:30:00,1.82,1.82,1.82,1.82,330
ok,2024-01-19 12:30:00,1.83,1.84,1.8,1.8,3370
ok,2024-01-19 14:00:00,1.8,1.8,1.8,1.8,1103
ok,2024-01-22 09:30:00,1.8,1.8,1.8,1.8,1142
ok,2024-01-22 10:00:00,1.85,1.9,1.81,1.81,5338
ok,2024-01-22 11:30:00,1.8,1.8,1.8,1.8,100
ok,2024-01-22 12:00:00,1.81,1.81,1.8,1.8,2722
ok,2024-01-22 12:30:00,1.8,1.85,1.8,1.85,2000
