s,t,o,h,l,c,v
ok,2024-01-02 06:30:00,0.34,0.34,0.34,0.34,101
ok,2024-01-02 07:00:00,0.34,0.34,0.34,0.34,242
ok,2024-01-02 07:30:00,0.34,0.34,0.33,0.33,1803
ok,2024-01-02 08:00:00,0.34,0.34,0.33,0.33,2552
ok,2024-01-02 08:30:00,0.33,0.33,0.33,0.33,400
ok,2024-01-02 09:00:00,0.33,0.34,0.33,0.34,3430
ok,2024-01-02 09:30:00,0.33,0.34,0.33,0.33,40960
ok,2024-01-02 10:00:00,0.33,0.33,0.32,0.32,42484
ok,2024-01-02 10:30:00,0.33,0.33,0.32,0.32,54798
ok,2024-01-02 11:00:00,0.33,0.33,0.33,0.33,19722
ok,2024-01-02 11:30:00,0.33,0.33,0.33,0.33,10677
ok,2024-01-02 12:00:00,0.33,0.34,0.32,0.34,54031
ok,2024-01-02 12:30:00,0.33,0.34,0.32,0.32,6031
ok,2024-01-02 13:00:00,0.34,0.34,0.33,0.33,7022
ok,2024-01-02 13:30:00,0.33,0.33,0.33,0.33,3944
ok,2024-01-02 14:00:00,0.33,0.33,0.33,0.33,5780
ok,2024-01-02 15:00:00,0.32,0.33,0.32,0.33,8464
ok,2024-01-02 15:30:00,0.33,0.33,0.32,0.33,14610
ok,2024-01-02 16:00:00,0.33,0.33,0.33,0.33,1101
ok,2024-01-02 17:00:00,0.32,0.32,0.32,0.32,107
ok,2024-01-02 17:30:00,0.33,0.33,0.33,0.33,200
ok,2024-01-02 18:30:00,0.33,0.33,0.33,0.33,100
ok,2024-01-02 19:00:00,0.33,0.33,0.33,0.33,507
ok,2024-01-02 19:30:00,0.33,0.34,0.33,0.34,473
ok,2024-01-03 04:30:00,0.33,0.33,0.33,0.33,255
ok,2024-01-03 08:00:00,0.33,0.34,0.33,0.34,8820
ok,2024-01-03 08:30:00,0.34,0.34,0.32,0.32,11409
ok,2024-01-03 09:00:00,0.33,0.33,0.33,0.33,2632
ok,2024-01-03 09:30:00,0.32,0.33,0.32,0.33,44311
ok,2024-01-03 10:00:00,0.32,0.33,0.32,0.32,40426
ok,2024-01-03 10:30:00,0.32,0.33,0.3,0.33,39536
ok,2024-01-03 11:00:00,0.32,0.33,0.31,0.33,478
ok,2024-01-03 11:30:00,0.31,0.32,0.31,0.31,4666
ok,2024-01-03 12:00:00,0.32,0.32,0.31,0.32,13673
ok,2024-01-03 12:30:00,0.31,0.32,0.31,0.32,6897
ok,2024-01-03 13:00:00,0.31,0.32,0.31,0.31,31773
ok,2024-01-03 13:30:00,0.31,0.31,0.3,0.31,97101
ok,2024-01-03 14:00:00,0.31,0.31,0.3,0.31,96020
ok,2024-01-03 14:30:00,0.3,0.31,0.3,0.31,10645
ok,2024-01-03 15:00:00,0.31,0.31,0.31,0.31,11048
ok,2024-01-03 15:30:00,0.31,0.32,0.3,0.32,20026
ok,2024-01-03 16:00:00,0.32,0.32,0.3,0.3,416
ok,2024-01-03 17:00:00,0.32,0.33,0.32,0.33,300
ok,2024-01-03 18:30:00,0.32,0.32,0.32,0.32,2000
ok,2024-01-03 19:00:00,0.32,0.32,0.32,0.32,100
ok,2024-01-04 08:00:00,0.31,0.32,0.31,0.32,1000
ok,2024-01-04 08:30:00,0.32,0.32,0.31,0.31,957
ok,2024-01-04 09:00:00,0.32,0.32,0.31,0.31,4110
ok,2024-01-04 09:30:00,0.31,0.32,0.31,0.32,109431
ok,2024-01-04 10:00:00,0.32,0.32,0.31,0.31,27987
ok,2024-01-04 10:30:00,0.31,0.31,0.3,0.3,56239
ok,2024-01-04 11:00:00,0.3,0.31,0.3,0.3,2168
ok,2024-01-04 11:30:00,0.3,0.31,0.3,0.3,22550
ok,2024-01-04 12:00:00,0.3,0.31,0.3,0.31,22116
ok,2024-01-04 12:30:00,0.3,0.3,0.29,0.29,28502
ok,2024-01-04 13:00:00,0.3,0.3,0.29,0.3,24582
ok,2024-01-04 13:30:00,0.3,0.3,0.3,0.3,52994
ok,2024-01-04 14:00:00,0.3,0.3,0.3,0.3,26800
ok,2024-01-04 14:30:00,0.3,0.3,0.3,0.3,8060
ok,2024-01-04 15:00:00,0.3,0.3,0.3,0.3,22154
ok,2024-01-04 15:30:00,0.3,0.3,0.3,0.3,32323
ok,2024-01-04 16:00:00,0.33,0.4,0.31,0.36,160972
ok,2024-01-04 16:30:00,0.35,0.36,0.33,0.35,47514
ok,2024-01-04 17:00:00,0.35,0.35,0.32,0.32,33889
ok,2024-01-04 17:30:00,0.32,0.32,0.32,0.32,18098
ok,2024-01-04 18:00:00,0.32,0.32,0.3,0.3,26175
ok,2024-01-04 18:30:00,0.3,0.31,0.3,0.31,11922
ok,2024-01-04 19:00:00,0.3,0.3,0.3,0.3,100
ok,2024-01-04 19:30:00,0.3,0.31,0.3,0.31,14820
ok,2024-01-05 04:00:00,0.36,0.36,0.33,0.35,8812
ok,2024-01-05 04:30:00,0.35,0.36,0.31,0.33,46032
ok,2024-01-05 05:00:00,0.34,0.36,0.33,0.35,12130
ok,2024-01-05 05:30:00,0.35,0.36,0.31,0.33,45807
ok,2024-01-05 06:00:00,0.33,0.34,0.32,0.34,17390
ok,2024-01-05 06:30:00,0.34,0.36,0.32,0.34,37899
ok,2024-01-05 07:00:00,0.34,0.36,0.33,0.33,37229
ok,2024-01-05 07:30:00,0.34,0.34,0.33,0.34,9607
ok,2024-01-05 08:00:00,0.34,0.36,0.33,0.34,48390
ok,2024-01-05 08:30:00,0.34,0.34,0.33,0.33,16551
ok,2024-01-05 09:00:00,0.33,0.35,0.33,0.34,13217
ok,2024-01-05 09:30:00,0.35,0.35,0.32,0.33,214254
ok,2024-01-05 10:00:00,0.33,0.33,0.32,0.33,37430
ok,2024-01-05 10:30:00,0.33,0.33,0.32,0.32,33909
ok,2024-01-05 11:00:00,0.32,0.33,0.32,0.32,29927
ok,2024-01-05 11:30:00,0.32,0.33,0.32,0.32,99787
ok,2024-01-05 12:00:00,0.32,0.32,0.32,0.32,11467
ok,2024-01-05 12:30:00,0.32,0.33,0.32,0.32,40552
ok,2024-01-05 13:00:00,0.32,0.33,0.32,0.33,22713
ok,2024-01-05 13:30:00,0.33,0.33,0.33,0.33,13710
ok,2024-01-05 14:00:00,0.32,0.33,0.32,0.32,27384
ok,2024-01-05 14:30:00,0.32,0.33,0.32,0.32,9810
ok,2024-01-05 15:00:00,0.32,0.32,0.32,0.32,11825
ok,2024-01-05 15:30:00,0.32,0.33,0.32,0.32,39039
ok,2024-01-05 16:00:00,0.33,0.33,0.32,0.32,1700
ok,2024-01-05 16:30:00,0.32,0.32,0.32,0.32,8500
ok,2024-01-05 17:00:00,0.31,0.32,0.31,0.32,3490
ok,2024-01-05 17:30:00,0.32,0.33,0.32,0.33,2324
ok,2024-01-05 18:30:00,0.33,0.33,0.33,0.33,1950
ok,2024-01-05 19:30:00,0.32,0.32,0.32,0.32,100
ok,2024-01-08 04:00:00,0.32,0.32,0.31,0.31,469
ok,2024-01-08 04:30:00,0.31,0.31,0.3,0.3,2842
ok,2024-01-08 05:00:00,0.3,0.32,0.3,0.32,1160
ok,2024-01-08 07:00:00,0.32,0.32,0.32,0.32,461
ok,2024-01-08 07:30:00,0.32,0.32,0.32,0.32,1036
ok,2024-01-08 08:00:00,0.31,0.33,0.3,0.33,18098
ok,2024-01-08 08:30:00,0.33,0.34,0.33,0.33,5517
ok,2024-01-08 09:00:00,0.32,0.32,0.32,0.32,2000
ok,2024-01-08 09:30:00,0.31,0.33,0.31,0.31,215108
ok,2024-01-08 10:00:00,0.31,0.32,0.31,0.32,41583
ok,2024-01-08 10:30:00,0.32,0.32,0.31,0.32,39507
ok,2024-01-08 11:00:00,0.32,0.32,0.31,0.32,57306
ok,2024-01-08 11:30:00,0.31,0.32,0.31,0.31,7504
ok,2024-01-08 12:00:00,0.32,0.32,0.31,0.31,26794
ok,2024-01-08 12:30:00,0.31,0.32,0.31,0.32,17637
ok,2024-01-08 13:00:00,0.31,0.32,0.31,0.32,15130
ok,2024-01-08 13:30:00,0.31,0.32,0.31,0.31,25748
ok,2024-01-08 14:00:00,0.31,0.31,0.31,0.31,13457
ok,2024-01-08 14:30:00,0.31,0.31,0.31,0.31,5575
ok,2024-01-08 15:00:00,0.31,0.32,0.31,0.31,8603
ok,2024-01-08 15:30:00,0.31,0.32,0.31,0.32,45513
ok,2024-01-08 16:00:00,0.32,0.32,0.32,0.32,271
ok,2024-01-08 16:30:00,0.31,0.31,0.31,0.31,3500
ok,2024-01-08 17:00:00,0.31,0.31,0.31,0.31,291
ok,2024-01-08 17:30:00,0.31,0.31,0.31,0.31,864
ok,2024-01-08 18:00:00,0.31,0.31,0.31,0.31,1430
ok,2024-01-08 19:00:00,0.32,0.32,0.31,0.31,4141
ok,2024-01-08 19:30:00,0.32,0.32,0.32,0.32,8119
ok,2024-01-09 06:30:00,0.32,0.32,0.32,0.32,128
ok,2024-01-09 07:00:00,0.32,0.32,0.32,0.32,455
ok,2024-01-09 07:30:00,0.32,0.32,0.31,0.31,4774
ok,2024-01-09 08:00:00,0.34,0.34,0.31,0.32,14192
