s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.06,0.06,0.05,0.06,40472
ok,2024-01-02 04:30:00,0.06,0.06,0.05,0.05,12204
ok,2024-01-02 05:00:00,0.05,0.05,0.05,0.05,8600
ok,2024-01-02 05:30:00,0.05,0.05,0.05,0.05,6602
ok,2024-01-02 06:00:00,0.05,0.05,0.05,0.05,4601
ok,2024-01-02 06:30:00,0.05,0.05,0.05,0.05,10002
ok,2024-01-02 07:00:00,0.05,0.05,0.05,0.05,58422
ok,2024-01-02 07:30:00,0.05,0.06,0.05,0.06,20159
ok,2024-01-02 08:00:00,0.05,0.06,0.05,0.06,152105
ok,2024-01-02 08:30:00,0.06,0.06,0.06,0.06,36449
ok,2024-01-02 09:00:00,0.06,0.06,0.06,0.06,140801
ok,2024-01-02 09:30:00,0.06,0.06,0.05,0.05,764117
ok,2024-01-02 10:00:00,0.05,0.06,0.05,0.05,711935
ok,2024-01-02 10:30:00,0.05,0.05,0.05,0.05,758512
ok,2024-01-02 11:00:00,0.05,0.05,0.05,0.05,949370
ok,2024-01-02 11:30:00,0.05,0.05,0.05,0.05,389843
ok,2024-01-02 12:00:00,0.05,0.06,0.05,0.05,293130
ok,2024-01-02 12:30:00,0.05,0.06,0.05,0.06,281576
ok,2024-01-02 13:00:00,0.05,0.06,0.05,0.05,251456
ok,2024-01-02 13:30:00,0.05,0.06,0.05,0.06,504791
ok,2024-01-02 14:00:00,0.05,0.06,0.05,0.05,573137
ok,2024-01-02 14:30:00,0.05,0.05,0.05,0.05,419581
ok,2024-01-02 15:00:00,0.05,0.05,0.05,0.05,340176
ok,2024-01-02 15:30:00,0.05,0.06,0.05,0.05,557923
ok,2024-01-02 16:00:00,0.06,0.06,0.05,0.05,81553
ok,2024-01-02 16:30:00,0.05,0.05,0.05,0.05,7465
ok,2024-01-02 17:00:00,0.05,0.05,0.05,0.05,15361
ok,2024-01-02 17:30:00,0.05,0.06,0.05,0.06,26278
ok,2024-01-02 18:00:00,0.06,0.06,0.05,0.05,173486
ok,2024-01-02 18:30:00,0.05,0.06,0.05,0.05,14142
ok,2024-01-02 19:00:00,0.05,0.06,0.05,0.06,3568
ok,2024-01-02 19:30:00,0.06,0.06,0.06,0.06,175
ok,2024-01-03 04:00:00,0.05,0.05,0.05,0.05,525
ok,2024-01-03 04:30:00,0.05,0.05,0.05,0.05,5000
ok,2024-01-03 06:00:00,0.06,0.06,0.06,0.06,5122
ok,2024-01-03 06:30:00,0.06,0.06,0.06,0.06,11003
ok,2024-01-03 07:00:00,0.06,0.06,0.05,0.05,1430
ok,2024-01-03 07:30:00,0.05,0.05,0.05,0.05,7996
ok,2024-01-03 08:00:00,0.05,0.06,0.05,0.05,56916
ok,2024-01-03 08:30:00,0.05,0.05,0.05,0.05,77920
ok,2024-01-03 09:00:00,0.05,0.05,0.05,0.05,14698
ok,2024-01-03 09:30:00,0.05,0.05,0.05,0.05,1343881
ok,2024-01-03 10:00:00,0.05,0.05,0.05,0.05,586661
ok,2024-01-03 10:30:00,0.05,0.05,0.05,0.05,242126
ok,2024-01-03 11:00:00,0.05,0.05,0.05,0.05,242062
ok,2024-01-03 11:30:00,0.05,0.05,0.05,0.05,311068
ok,2024-01-03 12:00:00,0.05,0.05,0.05,0.05,121420
ok,2024-01-03 12:30:00,0.05,0.05,0.05,0.05,162814
ok,2024-01-03 13:00:00,0.05,0.06,0.05,0.06,729541
ok,2024-01-03 13:30:00,0.05,0.06,0.05,0.06,1085805
ok,2024-01-03 14:00:00,0.06,0.06,0.05,0.06,741657
ok,2024-01-03 14:30:00,0.06,0.06,0.05,0.05,377797
ok,2024-01-03 15:00:00,0.06,0.06,0.05,0.05,155670
ok,2024-01-03 15:30:00,0.05,0.05,0.05,0.05,268458
ok,2024-01-03 16:00:00,0.06,0.06,0.05,0.05,25928
ok,2024-01-03 16:30:00,0.05,0.05,0.05,0.05,10975
ok,2024-01-03 17:00:00,0.05,0.05,0.05,0.05,4226
ok,2024-01-03 17:30:00,0.05,0.05,0.05,0.05,80376
ok,2024-01-03 18:00:00,0.06,0.06,0.05,0.05,8526
ok,2024-01-03 19:00:00,0.05,0.05,0.05,0.05,11377
ok,2024-01-03 19:30:00,0.06,0.06,0.05,0.06,9198
ok,2024-01-04 04:00:00,0.06,0.06,0.05,0.05,241
ok,2024-01-04 04:30:00,0.05,0.05,0.05,0.05,201
ok,2024-01-04 05:00:00,0.06,0.06,0.06,0.06,15864
ok,2024-01-04 05:30:00,0.06,0.06,0.06,0.06,3370
ok,2024-01-04 06:00:00,0.06,0.06,0.05,0.05,37476
ok,2024-01-04 06:30:00,0.05,0.05,0.05,0.05,3000
ok,2024-01-04 07:00:00,0.05,0.05,0.05,0.05,9637
ok,2024-01-04 07:30:00,0.05,0.05,0.05,0.05,18238
ok,2024-01-04 08:00:00,0.06,0.06,0.05,0.05,161154
ok,2024-01-04 08:30:00,0.05,0.05,0.05,0.05,3613
ok,2024-01-04 09:00:00,0.05,0.05,0.05,0.05,105250
ok,2024-01-04 09:30:00,0.05,0.05,0.05,0.05,961529
ok,2024-01-04 10:00:00,0.05,0.05,0.05,0.05,65118
ok,2024-01-04 10:30:00,0.05,0.05,0.05,0.05,278438
ok,2024-01-04 11:00:00,0.05,0.05,0.05,0.05,269581
ok,2024-01-04 11:30:00,0.05,0.05,0.05,0.05,241413
ok,2024-01-04 12:00:00,0.05,0.05,0.05,0.05,163162
